Gene,UnmethylationNormal,MethylationTumor,HypermethylationPercentage
GFRA3,91.05,4.75,4.75
LRRC4,88.72,2.52,2.52
FAM20A,96.83,1.12,1.12
SLITRK5,93.66,1.03,1.03
GALR1,95.81,0.93,0.93
SLC16A12,95.25,0.84,0.84
SLC30A2,94.41,0.75,0.75
MIR34B,93.2,0.75,0.75
ZNF542,90.31,0.75,0.75
SNX32,84.62,0.75,0.75
GRIN3A,95.06,0.65,0.65
RET,97.39,0.65,0.65
BMPER,96.46,0.56,0.56
ELMO1,91.61,0.56,0.56
ELOVL4,94.97,0.47,0.47
SCNN1B,85.83,0.47,0.47
KCNK9,95.99,0.47,0.47
HIF3A,94.78,0.37,0.37
ERBB4,97.3,0.37,0.37
PROK2,83.6,0.37,0.37
LOXL3,90.96,0.37,0.37
HIST1H4D,98.04,0.28,0.28
AOX1,91.71,0.28,0.28
SORCS3,90.4,0.28,0.28
PAK7,95.9,0.28,0.28
ZBTB16,98.6,0.28,0.28
NETO1,87.79,0.28,0.28
CPXM1,92.45,0.28,0.28
GFRA1,88.07,0.28,0.28
BEND5,98.6,0.28,0.28
ST6GALNAC5,89.66,0.28,0.28
SNCA,93.2,0.28,0.28
GATA4,94.97,0.28,0.28
DTX1,89.93,0.28,0.28
PHF21B,95.9,0.28,0.28
RNF182,94.32,0.19,0.19
VAV3,88.26,0.19,0.19
KCNS3,93.01,0.19,0.19
TSPAN2,97.58,0.19,0.19
MME,90.21,0.19,0.19
SLC22A17,95.62,0.19,0.19
JAKMIP1,84.34,0.19,0.19
PRR16,97.11,0.19,0.19
NELL2,97.3,0.19,0.19
ZNF569,97.58,0.19,0.19
SLC6A1,96.92,0.19,0.19
SOX5,96.55,0.19,0.19
ZNF570,98.79,0.19,0.19
ADAMTS3,97.39,0.19,0.19
WNT7A,93.76,0.19,0.19
WDR17,93.48,0.19,0.19
NPR3,92.45,0.19,0.19
SFRP5,87.51,0.19,0.19
FNBP1,99.35,0.19,0.19
TWIST1,96.55,0.19,0.19
CACNG2,98.7,0.19,0.19
KCNT2,89.93,0.19,0.19
ZNF345,95.81,0.19,0.19
SNAI2,98.23,0.19,0.19
SPDYA,93.66,0.19,0.19
ADAM23,97.39,0.19,0.19
PTPN13,82.57,0.19,0.19
CUX2,88.63,0.19,0.19
FOXE1,88.35,0.19,0.19
KCNC1,98.14,0.19,0.19
EPHA7,97.58,0.19,0.19
RBM24,93.76,0.19,0.19
SDC2,97.2,0.09,0.09
KCNQ3,97.48,0.09,0.09
ZNF365,95.9,0.09,0.09
GRIN2A,96.37,0.09,0.09
LOC283856,99.25,0.09,0.09
SPG20,97.95,0.09,0.09
GSTP1,98.51,0.09,0.09
PCDHGC3,98.97,0.09,0.09
EHD3,96.74,0.09,0.09
NDRG4,99.35,0.09,0.09
ATRNL1,99.35,0.09,0.09
HAAO,94.41,0.09,0.09
DFNA5,98.6,0.09,0.09
DLK1,93.2,0.09,0.09
MT1E,93.76,0.09,0.09
CRHR2,93.2,0.09,0.09
TMEM121,96.37,0.09,0.09
ME3,94.22,0.09,0.09
PCDH17,87.6,0.09,0.09
JPH3,92.82,0.09,0.09
IRX4,95.43,0.09,0.09
EPO,97.67,0.09,0.09
PLCB1,98.04,0.09,0.09
NPAS1,99.44,0.09,0.09
HIST1H3J,89.47,0.09,0.09
HIST1H2BB,90.21,0.09,0.09
RERG,94.87,0.09,0.09
SLC8A3,99.25,0.09,0.09
PRKG1,95.53,0.09,0.09
MIR1908,98.6,0.0,0.0
RPL39L,94.5,0.0,0.0
TNFRSF10D,96.27,0.0,0.0
CHCHD5,97.3,0.0,0.0
UQCRH,99.35,0.0,0.0
FKBP11,99.81,0.0,0.0
FUT9,89.84,0.0,0.0
GABRB2,97.86,0.0,0.0
MLH1,98.32,0.0,0.0
ZNF304,97.02,0.0,0.0
B3GALNT1,90.77,0.0,0.0
TMEM101,98.42,0.0,0.0
MGMT,96.09,0.0,0.0
LOC100130148,99.44,0.0,0.0
