Gene,IsJCGA,MutationPercentage
NPM1,True,8.2
TP53,True,6.56
DNMT3A,True,6.56
TTN,False,6.56
IDH2,True,5.74
RUNX1,True,5.74
ASXL1,True,4.92
BCORL1,True,4.92
FLT3,True,4.92
KRAS,True,4.92
KIT,True,4.1
MUC16,False,4.1
IDH1,True,3.28
PAN2,False,3.28
FAT2,False,3.28
IQCN,False,3.28
PRPF8,False,3.28
DNAH11,False,2.46
PHF6,False,2.46
RAPGEF2,False,2.46
EDC4,False,2.46
HIVEP3,False,2.46
ZFHX4,False,2.46
DOP1B,False,2.46
EIF5B,False,2.46
KDM6A,True,2.46
KMT2D,True,2.46
PTPN11,True,2.46
SPEN,True,2.46
MAP4,False,2.46
CACNA1C,False,2.46
TRPV5,False,2.46
DNAH7,False,2.46
ELF4,False,2.46
SETD2,True,2.46
UBR4,False,2.46
FREM2,False,2.46
LNX1,False,2.46
SYTL2,False,2.46
ITPR3,False,2.46
BSN,False,2.46
FAM13A,False,2.46
CEBPA,True,2.46
GOLGA1,False,2.46
SMC1A,False,2.46
CELSR2,False,1.64
CCDC171,False,1.64
CHD3,False,1.64
KIAA1217,False,1.64
CASR,False,1.64
CDH23,True,1.64
KCNA2,False,1.64
TASOR2,False,1.64
ITGA10,False,1.64
PCLO,False,1.64
ITGAD,False,1.64
TCHHL1,False,1.64
KANSL3,False,1.64
PFKM,False,1.64
CELF1,False,1.64
PEAK1,False,1.64
ITIH4,False,1.64
CEP164,False,1.64
PIK3CB,True,1.64
TEP1,False,1.64
RPTN,False,1.64
PI4KB,False,1.64
ITSN2,False,1.64
KAT6A,False,1.64
TJAP1,False,1.64
THRAP3,False,1.64
KIAA1614,False,1.64
TRPS1,False,1.64
LAMA3,False,1.64
TRRAP,False,1.64
LAMB2,False,1.64
LAMC3,False,1.64
TSC22D4,False,1.64
BRSK1,False,1.64
BRINP3,False,1.64
BRD4,True,1.64
LARP1,False,1.64
BLZF1,False,1.64
TTLL12,False,1.64
TUBA3C,False,1.64
BBS12,False,1.64
OR2AG1,False,1.64
UBA1,False,1.64
LPA,False,1.64
UBTF,False,1.64
TRPV3,False,1.64
TRPM8,False,1.64
KIAA2026,False,1.64
OR8B12,False,1.64
TNC,False,1.64
PCDH15,False,1.64
CALR,True,1.64
CALCOCO1,False,1.64
CACNA2D3,False,1.64
TNRC6C,False,1.64
CACNA1B,False,1.64
PLCE1,False,1.64
KLHL5,False,1.64
PAH,False,1.64
C6orf118,False,1.64
KNTC1,False,1.64
C20orf194,False,1.64
KRT78,False,1.64
TRIO,False,1.64
ORAI1,False,1.64
KY,False,1.64
CHD6,False,1.64
CNTNAP5,False,1.64
PLCH1,False,1.64
DUSP26,False,1.64
GPATCH2,False,1.64
GPATCH8,False,1.64
SH3TC2,False,1.64
GPD2,False,1.64
GPR137B,False,1.64
SIDT2,False,1.64
GPR179,False,1.64
RAD50,True,1.64
GRID1,False,1.64
EPG5,False,1.64
DSCAML1,False,1.64
GRIK4,False,1.64
GRIN3A,False,1.64
DOCK8,False,1.64
SLC22A16,False,1.64
DOCK10,False,1.64
DNMT1,True,1.64
DNAJC22,False,1.64
ENO3,False,1.64
EPHA3,True,1.64
CHMP3,False,1.64
SCAF8,False,1.64
FLOT1,False,1.64
FOXM1,False,1.64
FKBP15,False,1.64
ROBO4,False,1.64
RYR1,False,1.64
RNF38,False,1.64
G6PD,True,1.64
SAXO2,False,1.64
FAT4,False,1.64
ERBB3,True,1.64
FAT1,True,1.64
GATA2,False,1.64
SCN1A,False,1.64
RNASE13,False,1.64
RIMS1,False,1.64
EZH1,False,1.64
EVPL,False,1.64
RGL1,False,1.64
SLC26A9,False,1.64
GTF2H1,False,1.64
DLC1,False,1.64
LRBA,False,1.64
IFT140,False,1.64
STK10,False,1.64
COL6A3,False,1.64
COL5A1,False,1.64
COL4A5,False,1.64
COL2A1,False,1.64
STK36,False,1.64
STRIP2,False,1.64
SUMO2,False,1.64
DISP1,False,1.64
PLXND1,False,1.64
SYNE1,False,1.64
PLP1,False,1.64
PLEKHG1,False,1.64
CIT,False,1.64
SZT2,False,1.64
TACC2,False,1.64
IP6K3,False,1.64
POLR1B,False,1.64
SRSF2,False,1.64
SREBF2,False,1.64
SPTBN2,False,1.64
DIS3,True,1.64
DGKG,False,1.64
PSPC1,False,1.64
PRX,False,1.64
PRUNE2,False,1.64
HECTD1,False,1.64
HECW1,False,1.64
SLITRK3,False,1.64
PRR19,False,1.64
HNRNPM,False,1.64
PREB,False,1.64
CUL1,False,1.64
SPG11,False,1.64
CSMD3,False,1.64
HTR3E,False,1.64
SPTB,False,1.64
SPTBN1,False,1.64
ATP8B4,False,1.64
FMNL3,False,1.64
NR1D1,False,1.64
LTBP3,False,1.64
NRXN2,False,1.64
VPS13B,False,1.64
ARID1A,True,1.64
XRCC6,False,1.64
MSH6,True,1.64
AHNAK,False,1.64
ANKRD30A,False,1.64
MYLK,False,1.64
AHNAK2,False,1.64
NMUR2,False,1.64
MACF1,False,1.64
MCCC2,False,1.64
VCAN,False,1.64
AK9,False,1.64
MCRS1,False,1.64
ACO1,False,1.64
ANK2,False,1.64
MDC1,False,1.64
VARS2,False,1.64
ACLY,False,1.64
UVRAG,False,1.64
ZBTB39,False,1.64
UTP20,False,1.64
USP6,False,1.64
ASXL2,False,1.64
VPS13D,False,1.64
VPS26B,False,1.64
MSH5,False,1.64
WSCD1,False,1.64
NPC1,False,1.64
APBA2,False,1.64
MPI,False,1.64
ADGRG4,False,1.64
ZNF460,False,1.64
WIZ,False,1.64
ADGRL4,False,1.64
MARF1,False,1.64
NFIX,False,1.64
WNT11,False,1.64
NR2E1,False,1.64
WT1,True,1.64
ARHGAP32,False,1.64
MYOF,False,1.64
NOS1AP,False,1.64
ADSS2,False,1.64
MRPL45,False,1.64
VWF,False,1.64
NRAP,False,1.64
ADAM12,False,1.64
ARHGAP24,False,1.64
AFF1,False,1.64
ACVR1B,True,1.64
MANBA,False,1.64
ASXL3,False,1.64
NEB,False,1.64
LRP2,False,1.64
UGT2B4,False,1.64
MYH10,False,1.64
AMOT,False,1.64
MTOR,True,1.64
ZSWIM4,False,1.64
MYH11,False,1.64
MICAL2,False,1.64
UMOD,False,1.64
USH2A,False,1.64
ATP1A2,False,1.64
NF1,True,1.64
MED12,True,1.64
MYH13,False,1.64
NFE2L1,False,1.64
MYC,True,1.64
LRP1B,False,1.64
AC092143.1,False,1.64
ABCA3,False,1.64
MEFV,False,1.64
MTMR1,False,1.64
ALK,True,1.64
LRP1,False,1.64
MEPCE,False,1.64
PPCS,False,0.82
PTH1R,False,0.82
NCL,False,0.82
NCOA3,True,0.82
PTPN5,False,0.82
PTPN14,False,0.82
PTK2B,False,0.82
PTMS,False,0.82
PPARGC1B,False,0.82
PPEF1,False,0.82
PTPN13,False,0.82
PPARGC1A,False,0.82
PRKD1,False,0.82
NFAT5,False,0.82
POU5F1,False,0.82
PTPN6,False,0.82
QTRT1,False,0.82
NCAPD3,False,0.82
QSOX1,False,0.82
QRICH2,False,0.82
POU4F2,False,0.82
QRICH1,False,0.82
NFE2L2,True,0.82
PYGO2,False,0.82
PUS3,False,0.82
NCBP3,False,0.82
NCCRP1,False,0.82
PUS1,False,0.82
PUF60,False,0.82
NFE2,False,0.82
NFATC4,False,0.82
PTPRT,True,0.82
PTPRO,True,0.82
PTPRH,False,0.82
PPIP5K1,False,0.82
PTPRE,False,0.82
NCKAP5,False,0.82
PPIC,False,0.82
NCOA6,False,0.82
PTCHD4,False,0.82
PRELID2,False,0.82
NECTIN1,False,0.82
PRPSAP1,False,0.82
PRPS2,False,0.82
PRDM7,False,0.82
NEDD4L,False,0.82
PRPF4B,False,0.82
PROX2,False,0.82
PRDX4,False,0.82
NEU2,False,0.82
PROSER1,False,0.82
PRDM16,False,0.82
PROS1,False,0.82
PROKR1,False,0.82
NEIL1,False,0.82
PRMT3,False,0.82
PRF1,False,0.82
PRKX,False,0.82
PRKAG2,False,0.82
PRKAG3,False,0.82
PRKCG,False,0.82
NCAN,False,0.82
PRRC2B,False,0.82
PTCH2,False,0.82
PPP2R1B,False,0.82
PPP1R12C,False,0.82
PTCD1,False,0.82
PRKG2,False,0.82
PSME4,False,0.82
PSMD11,False,0.82
PSMD1,False,0.82
PSMB10,False,0.82
PSMA7,False,0.82
NEURL4,False,0.82
PSG9,False,0.82
PRRC2C,False,0.82
PPP2R2B,False,0.82
NCR2,False,0.82
NDRG2,False,0.82
PRSS58,False,0.82
PPP4R3A,False,0.82
PRAG1,False,0.82
PRAMEF2,False,0.82
PRDM1,True,0.82
NDRG4,False,0.82
R3HCC1L,False,0.82
OPALIN,False,0.82
NBPF11,False,0.82
RIN3,False,0.82
MYH15,False,0.82
MYH3,False,0.82
RNASEL,False,0.82
RNASE4,False,0.82
RNASE2,False,0.82
MYH4,False,0.82
RLN3,False,0.82
RIT1,True,0.82
RIPOR2,False,0.82
MYH6,False,0.82
RIPOR1,False,0.82
RIPK4,False,0.82
MYH7B,False,0.82
RNF10,False,0.82
RILPL2,False,0.82
RIF1,False,0.82
RHOC,False,0.82
RHO,False,0.82
RHBDL3,False,0.82
RGS16,False,0.82
RGS1,False,0.82
RGL3,False,0.82
MYH9,False,0.82
RFX4,False,0.82
RFX3,False,0.82
RFX2,False,0.82
RND1,False,0.82
RNF123,False,0.82
NBEAL1,False,0.82
RPGR,False,0.82
RPS6KA1,False,0.82
RPS18,False,0.82
RPS12,False,0.82
RPL7L1,False,0.82
RPL5,False,0.82
MYBPC2,False,0.82
RPL4,False,0.82
RPL32,False,0.82
RPL27,False,0.82
RPH3AL,False,0.82
MYCL,True,0.82
RPGRIP1L,False,0.82
MYD88,True,0.82
RNF144B,False,0.82
ROCK2,False,0.82
MYEF2,False,0.82
ROBO2,False,0.82
RNMT,False,0.82
MYG1,False,0.82
RNF6,False,0.82
RNF5,False,0.82
MYH1,False,0.82
RNF216,False,0.82
RNF207,False,0.82
RNF17,False,0.82
RNF152,False,0.82
RFPL1,False,0.82
RFC3,False,0.82
REV3L,False,0.82
N4BP2L2,False,0.82
MYOM3,False,0.82
MYOZ1,False,0.82
RANBP6,False,0.82
RALY,False,0.82
RALGPS1,False,0.82
RALGAPB,False,0.82
RAI1,False,0.82
MYRIP,False,0.82
MZF1,False,0.82
RAD23B,False,0.82
RAD21,True,0.82
RABGAP1,False,0.82
RAB5IF,False,0.82
MYL9,False,0.82
NAA15,False,0.82
RAB29,False,0.82
RAB28,False,0.82
RAB24,False,0.82
NADK2,False,0.82
RAB23,False,0.82
RAB19,False,0.82
RAB15,False,0.82
NAPSA,False,0.82
RAB11FIP3,False,0.82
RAB11FIP2,False,0.82
NASP,False,0.82
RAP1B,False,0.82
RAP1GDS1,False,0.82
MYOM1,False,0.82
MYO7B,False,0.82
RESF1,False,0.82
REPIN1,False,0.82
RELCH,False,0.82
REC8,False,0.82
MYO18A,False,0.82
RBPJ,False,0.82
RBP3,False,0.82
RBMX2,False,0.82
RBM4B,False,0.82
RBM48,False,0.82
RBM42,False,0.82
RBM3,False,0.82
MYO18B,False,0.82
RBM15,False,0.82
RBM11,False,0.82
RBFOX2,False,0.82
RBBP4,False,0.82
MYO1B,False,0.82
MYO5A,False,0.82
RASSF1,False,0.82
MYO5C,False,0.82
RASL11A,False,0.82
RASIP1,False,0.82
RASGRP2,False,0.82
RARS1,False,0.82
POU3F2,False,0.82
POGLUT1,False,0.82
POSTN,False,0.82
PABPC3,False,0.82
PAPSS1,False,0.82
PAPPA2,False,0.82
PALM2AKAP2,False,0.82
PALLD,False,0.82
PALB2,True,0.82
PAK3,False,0.82
NRXN3,False,0.82
NTNG2,False,0.82
NTRK3,True,0.82
NUAK2,False,0.82
PAGR1,False,0.82
PAG1,False,0.82
NUDT5,False,0.82
PAPSS2,False,0.82
P4HA1,False,0.82
P3H1,False,0.82
P2RX7,False,0.82
OXSR1,False,0.82
OXER1,False,0.82
OXA1L,False,0.82
OTX2,False,0.82
OTUD7B,False,0.82
OTOA,False,0.82
NUMA1,False,0.82
OSMR,False,0.82
OSBPL8,False,0.82
NRXN1,False,0.82
NRTN,False,0.82
PDE10A,False,0.82
PCDHB3,False,0.82
PCYT1A,False,0.82
PCYOX1L,False,0.82
PCSK5,False,0.82
PCSK2,False,0.82
PCNX2,False,0.82
PCF11,False,0.82
PCDHGA5,False,0.82
PCDHGA11,False,0.82
NR6A1,False,0.82
PCDHB8,False,0.82
PCDHB6,False,0.82
PCDHB5,False,0.82
PCDHB16,False,0.82
PARP12,False,0.82
PCDHB13,False,0.82
PCDHAC1,False,0.82
PCDHA8,False,0.82
PCDHA4,False,0.82
PCDHA3,False,0.82
NRAS,True,0.82
NRDE2,False,0.82
PCDHA2,False,0.82
PCDHA1,False,0.82
PCDH1,False,0.82
NRP2,False,0.82
PBXIP1,False,0.82
NUP155,False,0.82
OSBPL10,False,0.82
OS9,False,0.82
OR2B6,False,0.82
OR52E6,False,0.82
OR51M1,False,0.82
OR51L1,False,0.82
OR51F2,False,0.82
OR51B6,False,0.82
OR51B5,False,0.82
OR4C46,False,0.82
OR4C15,False,0.82
OR2T10,False,0.82
OR2L13,False,0.82
OR2F1,False,0.82
OR2D2,False,0.82
OR2B2,False,0.82
OR9Q1,False,0.82
OFD1,False,0.82
OR1N2,False,0.82
OR1G1,False,0.82
OR11H6,False,0.82
OR10H1,False,0.82
OGDHL,False,0.82
OGFRL1,False,0.82
OR10G3,False,0.82
OIT3,False,0.82
OPRM1,False,0.82
OPRL1,False,0.82
OPN3,False,0.82
OCRL,False,0.82
OBSCN,False,0.82
OR56B1,False,0.82
OR5D16,False,0.82
OR9G4,False,0.82
OR8K1,False,0.82
OR8D2,False,0.82
NUP210,False,0.82
OR7D2,False,0.82
NUP210L,False,0.82
NUP214,False,0.82
NUP50,False,0.82
NUP85,False,0.82
OR7A5,False,0.82
NUP93,False,0.82
NUP98,False,0.82
NXPH3,False,0.82
OR7A17,False,0.82
OAS2,False,0.82
OAS3,False,0.82
OR7A10,False,0.82
OR6Y1,False,0.82
OR6T1,False,0.82
OR6N2,False,0.82
OR6M1,False,0.82
OR6F1,False,0.82
OR6B1,False,0.82
OR5H2,False,0.82
OR5H15,False,0.82
PDAP1,False,0.82
PDE11A,True,0.82
POP7,False,0.82
NLRP10,False,0.82
PLXNC1,False,0.82
PLXNA4,False,0.82
PLXNA2,False,0.82
PLPPR4,False,0.82
NLRC3,False,0.82
PLPPR1,False,0.82
PLPP2,False,0.82
PLOD1,False,0.82
PLEKHO2,False,0.82
PLEKHG6,False,0.82
NLRC5,False,0.82
PLEKHA6,False,0.82
PLEKHA4,False,0.82
PMF1,False,0.82
PLD5,False,0.82
PLD1,False,0.82
NLRP14,False,0.82
NLRP2,False,0.82
NMRAL1,False,0.82
PLCD4,False,0.82
PLAGL1,False,0.82
PLAA,False,0.82
NOCT,False,0.82
PLA2G4F,False,0.82
PLA2G3,False,0.82
PLA2G2D,False,0.82
NLGN4Y,False,0.82
PMFBP1,False,0.82
PDE1B,False,0.82
NKRF,False,0.82
POP1,False,0.82
NFX1,False,0.82
POM121L12,False,0.82
POLRMT,False,0.82
POLR2E,False,0.82
NHS,False,0.82
NID1,False,0.82
POLR2B,False,0.82
NIT2,False,0.82
POLR1A,False,0.82
POLQ,False,0.82
NKG7,False,0.82
POLG,False,0.82
PMS2,True,0.82
NKX2-3,False,0.82
NLGN2,False,0.82
POLE,True,0.82
NLGN3,False,0.82
POGLUT2,False,0.82
OPA3,False,0.82
PODXL2,False,0.82
POC1A,False,0.82
PNPLA5,False,0.82
PNPLA3,False,0.82
PNMA5,False,0.82
PNMA3,False,0.82
PKP2,False,0.82
PKNOX1,False,0.82
PKN2,False,0.82
NPNT,False,0.82
PHF12,False,0.82
PHACTR4,False,0.82
PHACTR3,False,0.82
PHACTR1,False,0.82
PGM2L1,False,0.82
PGD,False,0.82
PGAP3,False,0.82
PGAM1,False,0.82
NPFFR2,False,0.82
NPHS1,False,0.82
PEX19,False,0.82
PEX13,False,0.82
PEG3,False,0.82
PKN1,False,0.82
PEAR1,False,0.82
NPR1,False,0.82
PDZK1,False,0.82
PDZD2,False,0.82
PDS5B,False,0.82
PDP1,False,0.82
NPTXR,False,0.82
PDGFRB,True,0.82
PDGFRA,True,0.82
PDE5A,False,0.82
PDE4DIP,False,0.82
PDE3A,False,0.82
NPAT,False,0.82
NPAS1,False,0.82
PHIP,False,0.82
PHKA2,False,0.82
PKM,False,0.82
PKHD1L1,False,0.82
PKHD1,False,0.82
PKDREJ,False,0.82
PKD2L1,False,0.82
PJA2,False,0.82
PJA1,False,0.82
NODAL,False,0.82
PIWIL4,False,0.82
NOL4L,False,0.82
PIP5K1C,False,0.82
NOL9,False,0.82
NOS2,False,0.82
PIP4P2,False,0.82
PIM2,False,0.82
PIKFYVE,False,0.82
PIK3C2B,True,0.82
PIGV,False,0.82
NOTCH4,False,0.82
PIGU,False,0.82
NOX4,False,0.82
PIGO,False,0.82
NOXRED1,False,0.82
PHYH,False,0.82
PHLPP1,False,0.82
AACS,False,0.82
SETD5,False,0.82
RRH,False,0.82
TTC21A,False,0.82
TSHZ1,False,0.82
TSHZ3,False,0.82
TSPAN33,False,0.82
TSPAN5,False,0.82
TTBK1,False,0.82
TTBK2,False,0.82
TTC26,False,0.82
TSGA10,False,0.82
TTC4,False,0.82
TTC6,False,0.82
TTLL1,False,0.82
TTLL2,False,0.82
TTLL3,False,0.82
TTLL8,False,0.82
TSGA13,False,0.82
TSG101,False,0.82
TRIM48,False,0.82
TRNT1,False,0.82
TRIM58,False,0.82
TRIM65,False,0.82
TRIP10,False,0.82
TRIP4,False,0.82
TRMO,False,0.82
TRMT5,False,0.82
TRPC3,False,0.82
TSC22D2,False,0.82
TRPC6,False,0.82
TRPM1,False,0.82
TRPM2,False,0.82
TRPM4,False,0.82
TRPV6,False,0.82
TSC1,True,0.82
TTLL9,False,0.82
TTPA,False,0.82
TUB,False,0.82
UNC45B,False,0.82
UFSP2,False,0.82
UGGT2,False,0.82
UGP2,False,0.82
UGT2B17,False,0.82
UHRF2,False,0.82
ULK4,False,0.82
UNC5D,False,0.82
TUBA1A,False,0.82
UPF1,False,0.82
UQCC1,False,0.82
USB1,False,0.82
USHBP1,False,0.82
USP18,False,0.82
USP19,False,0.82
UFD1,False,0.82
UBXN7,False,0.82
UBR5,False,0.82
UBR2,False,0.82
UBP1,False,0.82
UBE2L6,False,0.82
UBE2G2,False,0.82
UBAP2L,False,0.82
UBA6,False,0.82
TYRO3,True,0.82
TXNIP,False,0.82
TXNDC2,False,0.82
TWNK,False,0.82
TULP1,False,0.82
TUBD1,False,0.82
TUBB4A,False,0.82
TUBA1B,False,0.82
TRIM5,False,0.82
TRIM33,False,0.82
THRA,False,0.82
TMEM217,False,0.82
TMEM104,False,0.82
TMEM14B,False,0.82
TMEM163,False,0.82
TMEM171,False,0.82
TMEM179B,False,0.82
TMEM200A,False,0.82
