Gene,IsJCGA,MutationPercentage
TP53,True,16.67
MUC16,False,15.56
CTNNB1,True,14.44
TTN,False,11.11
PCDH15,False,7.78
CNTNAP5,False,7.78
ASXL3,False,7.78
PKHD1,False,7.78
HMCN1,False,6.67
LRP1,False,6.67
DST,False,6.67
SVEP1,False,6.67
NF1,True,6.67
APOB,False,5.56
TENM2,False,5.56
ATM,True,5.56
TUT7,False,5.56
PRKAR1A,True,5.56
MEN1,True,5.56
CSMD1,False,5.56
FBN2,False,5.56
FAT4,False,5.56
KMT2B,False,5.56
FRAS1,False,5.56
CMYA5,False,5.56
HSPG2,False,4.44
ZFPM2,False,4.44
PAPPA2,False,4.44
DAXX,True,4.44
SMC3,False,4.44
TLN2,False,4.44
COL4A6,False,4.44
MYO9B,False,4.44
STAB1,False,4.44
RYR1,False,4.44
SLIT2,False,4.44
TRIOBP,False,4.44
PTPRD,False,4.44
FNDC1,False,4.44
ANK3,False,4.44
PEG3,False,4.44
FAT3,False,4.44
LVRN,False,4.44
FBN3,False,4.44
KMT2D,True,4.44
ANK2,False,4.44
ADGRG4,False,4.44
SYNE1,False,4.44
SI,False,4.44
FRMPD4,False,4.44
OBSCN,False,4.44
HUWE1,False,4.44
NOS3,False,4.44
LAMA1,False,4.44
AHNAK2,False,4.44
MACF1,False,4.44
RELN,False,4.44
DOCK2,False,4.44
ITIH1,False,4.44
SPATA31E1,False,4.44
GOLGA4,False,4.44
ZNRF3,False,4.44
DNAH5,False,4.44
KCNH7,False,4.44
SPTA1,False,4.44
GNAS,True,4.44
VCAN,False,4.44
ZNF804B,False,4.44
ROBO2,False,4.44
KMT2C,True,3.33
DNAH7,False,3.33
CACNA1F,False,3.33
AVPR1A,False,3.33
POLR1F,False,3.33
FAM171B,False,3.33
TRPV4,False,3.33
ITPR3,False,3.33
VAV3,False,3.33
UGT2A3,False,3.33
KMT2A,True,3.33
ATRX,True,3.33
PLXNB3,False,3.33
PIK3AP1,False,3.33
FAM9A,False,3.33
SIPA1L3,False,3.33
VAV1,False,3.33
FAT1,True,3.33
VPS35,False,3.33
DNAH3,False,3.33
COL5A2,False,3.33
COL18A1,False,3.33
COL19A1,False,3.33
PI4KA,False,3.33
CADPS2,False,3.33
MYO15A,False,3.33
DIDO1,False,3.33
SPHKAP,False,3.33
ALOX5,False,3.33
KCNH1,False,3.33
PAK3,False,3.33
COL5A1,False,3.33
AMER3,False,3.33
DNAH17,False,3.33
BEND3,False,3.33
MYH6,False,3.33
UNC5C,False,3.33
UNC13C,False,3.33
FBN1,False,3.33
ZFAT,False,3.33
SPTBN5,False,3.33
JAK3,True,3.33
DNAH10,False,3.33
DNAH11,False,3.33
PRX,False,3.33
PLXNB2,False,3.33
KIRREL1,False,3.33
PRUNE2,False,3.33
MAP7D3,False,3.33
PLEC,False,3.33
ARMC5,False,3.33
CUX1,False,3.33
EHMT1,False,3.33
KIAA1109,False,3.33
EGFLAM,False,3.33
ATP2B3,False,3.33
SLITRK3,False,3.33
ECPAS,False,3.33
KDM7A,False,3.33
DSC2,False,3.33
ASMTL,False,3.33
VWF,False,3.33
ASPM,False,3.33
SMARCAL1,False,3.33
MME,False,3.33
DSG1,False,3.33
VPS13A,False,3.33
UBR5,False,3.33
SMC4,False,3.33
UBR4,False,3.33
ATF7IP,False,3.33
PCDHB5,False,3.33
PRDM9,False,3.33
DPYD,True,3.33
CRIM1,False,3.33
SLC5A5,False,3.33
PITX2,False,3.33
ST18,False,3.33
APBA2,False,3.33
APC,True,3.33
SYNE2,False,3.33
MAMLD1,False,3.33
DOCK5,False,3.33
DCLK1,False,3.33
PKHD1L1,False,3.33
ITIH2,False,3.33
ARAP2,False,3.33
KIF5A,False,3.33
ERBB4,True,3.33
XDH,False,3.33
KCTD16,False,3.33
CSMD3,False,3.33
SULF2,False,3.33
TTLL5,False,3.33
DPP10,False,3.33
SLC4A10,False,3.33
SLC4A11,False,3.33
OSMR,False,3.33
MCF2L2,False,3.33
CDH4,False,3.33
TBC1D32,False,3.33
BCORL1,True,3.33
GRM3,True,3.33
TIAM1,False,3.33
CCDC73,False,3.33
SCN11A,False,3.33
RPL22,False,3.33
TGM6,False,3.33
LRFN5,False,3.33
GTF3C1,False,3.33
TPTE,False,3.33
ADGRV1,False,3.33
RP1,False,3.33
CEP128,False,3.33
TG,False,3.33
TMCC1,False,3.33
ZNF793,False,3.33
FSTL5,False,3.33
CEMIP2,False,3.33
ZNF831,False,3.33
PCDHGB7,False,3.33
LAMA5,False,3.33
SCAP,False,3.33
NEB,False,3.33
TLR4,False,3.33
SETD5,False,3.33
RYR3,False,3.33
RYR2,False,3.33
ADAMTS17,False,3.33
TKTL2,False,3.33
PCDH7,False,3.33
ADAMTS19,False,3.33
ADAMTS2,False,3.33
GFRA1,False,3.33
RBM27,False,3.33
ACSL1,False,3.33
CD163L1,False,3.33
NOTCH3,True,3.33
LRP1B,False,3.33
PCDH10,False,3.33
LRRC4C,False,3.33
GLB1L2,False,3.33
PCDHA2,False,3.33
ZNF648,False,3.33
NLRP8,False,3.33
TNR,False,3.33
LAMA2,False,3.33
MYT1L,False,3.33
RIMS2,False,3.33
FLT4,False,3.33
HK2,False,3.33
NSD1,False,3.33
PER3,False,3.33
ABCA13,False,3.33
PARP1,True,3.33
CNTN5,False,3.33
SEC31A,False,3.33
PCDHB9,False,3.33
FMN2,False,3.33
LOXL3,False,3.33
FLG,False,3.33
GPRASP2,False,3.33
NLN,False,3.33
NLRP5,False,3.33
CDH23,True,3.33
AKAP12,False,3.33
GRIK1,False,3.33
PAPPA,False,3.33
NAV3,False,3.33
CAPN6,False,3.33
ABCC11,False,3.33
PHRF1,False,3.33
NRK,False,3.33
SETBP1,True,3.33
NLRP3,False,3.33
SPTB,False,2.22
DBF4,False,2.22
TLL1,False,2.22
SPTBN2,False,2.22
ST6GAL2,False,2.22
CFTR,False,2.22
KDM2B,False,2.22
KEAP1,True,2.22
TLR2,False,2.22
TLE4,False,2.22
STAB2,False,2.22
DAAM1,False,2.22
DAAM2,False,2.22
KDM6B,False,2.22
DAB2,False,2.22
DACT1,False,2.22
CFAP65,False,2.22
KCND1,False,2.22
SPRING1,False,2.22
CDH8,False,2.22
PNLIPRP1,False,2.22
CFAP47,False,2.22
DDX18,False,2.22
DDX60L,False,2.22
CENPE,False,2.22
PCDHGA2,False,2.22
KCNQ3,False,2.22
TMEM132D,False,2.22
PCNX2,False,2.22
PCDHGA3,False,2.22
KCNT1,False,2.22
SRRM2,False,2.22
SRRM1,False,2.22
PCDHGA5,False,2.22
SRMS,False,2.22
TMEM200A,False,2.22
KCNK2,False,2.22
KEL,True,2.22
SREBF2,False,2.22
PDE3A,False,2.22
DCAF8L1,False,2.22
TM2D3,False,2.22
CDKL5,False,2.22
LETMD1,False,2.22
DCAF12L2,False,2.22
PLXNA1,False,2.22
CEP43,False,2.22
PNLIP,False,2.22
TMC6,False,2.22
PLXNA2,False,2.22
DENND2A,False,2.22
LGALS12,False,2.22
CEP290,False,2.22
CEP250,False,2.22
PCDHGA1,False,2.22
TMC7,False,2.22
COL14A1,False,2.22
CYP4A22,False,2.22
KLHL1,False,2.22
