Gene,IsJCGA,MutationPercentage
IDH1,True,69.47
TP53,True,64.74
ATRX,True,47.37
TTN,False,14.74
EGFR,True,9.47
PTEN,True,8.95
NF1,True,8.95
MUC16,False,6.84
PIK3CA,True,6.32
MUC17,False,4.74
FLG,False,4.74
RYR2,False,4.74
PIK3R1,True,4.21
LRP2,False,3.68
SMARCA4,True,3.68
DNAH11,False,3.68
PCLO,False,3.16
ARID2,True,3.16
CSMD3,False,3.16
HSPG2,False,3.16
APOB,False,3.16
MYH8,False,3.16
HMCN1,False,2.63
FAT2,False,2.63
DNMT3A,True,2.63
MYH13,False,2.63
FAT4,False,2.63
LRP1B,False,2.63
FRAS1,False,2.63
RTL9,False,2.63
KMT2D,True,2.63
ROS1,True,2.63
MCTP2,False,2.63
TCF12,False,2.63
HCFC1,False,2.63
PKHD1,False,2.63
MED12,True,2.63
DNAH5,False,2.63
PRDM9,False,2.63
CUL4B,False,2.63
CR1,False,2.11
KEL,True,2.11
MYH2,False,2.11
CYLC1,False,2.11
EPPK1,False,2.11
WDFY3,False,2.11
PTPRH,False,2.11
IL1RAPL2,False,2.11
MUC7,False,2.11
SPTA1,False,2.11
PTPN11,True,2.11
ADAM2,False,2.11
MTUS2,False,2.11
PCDHA1,False,2.11
MACF1,False,2.11
VPS13B,False,2.11
DNAH17,False,2.11
CACNA1E,False,2.11
RGS3,False,2.11
NOTCH1,True,2.11
CNTN4,False,2.11
TNXB,False,2.11
DNAH7,False,2.11
RYR1,False,2.11
DMD,False,2.11
HKDC1,False,2.11
PCDHB3,False,2.11
RB1,True,2.11
ASPM,False,2.11
COL6A3,False,2.11
SCN10A,False,2.11
MYOCD,True,2.11
SPEF2,False,2.11
NPAP1,False,2.11
SETD2,True,2.11
FCGBP,False,2.11
BCOR,True,2.11
ZCCHC12,False,1.58
DSG2,False,1.58
EDAR,False,1.58
AKAP9,False,1.58
SLK,False,1.58
PLCE1,False,1.58
SLC9C2,False,1.58
PLXNB3,False,1.58
AKAP8,False,1.58
ZBTB20,False,1.58
PFKL,False,1.58
CD22,True,1.58
PLA2G4A,False,1.58
LGI1,False,1.58
DSC3,False,1.58
ZEB2,False,1.58
LRRC32,False,1.58
LIMK1,False,1.58
PGLYRP4,False,1.58
LRP1,False,1.58
DNAH9,False,1.58
TPTE,False,1.58
DOCK5,False,1.58
ALMS1,False,1.58
ZBED9,False,1.58
USP9X,False,1.58
ZAN,False,1.58
ATP7A,False,1.58
FGA,False,1.58
FGD5,False,1.58
UTRN,False,1.58
TIAM2,False,1.58
HIVEP3,False,1.58
FMNL3,False,1.58
RERE,False,1.58
HERC2,False,1.58
HERC1,False,1.58
USP20,False,1.58
KIT,True,1.58
RIMBP2,False,1.58
SCRIB,False,1.58
SCN3A,False,1.58
UNC79,False,1.58
GAS2L2,False,1.58
BTBD11,False,1.58
RUSC2,False,1.58
BRCA2,True,1.58
GLRB,False,1.58
TTBK2,False,1.58
VIL1,False,1.58
VPS13C,False,1.58
IGF1R,True,1.58
POTEE,False,1.58
KIF13B,False,1.58
ENPEP,False,1.58
KIAA1549L,False,1.58
EPHA5,False,1.58
CARMIL1,False,1.58
TRPA1,False,1.58
TRPC3,False,1.58
KCNB2,False,1.58
F8,False,1.58
ITIH6,False,1.58
SHROOM3,False,1.58
PRX,False,1.58
PSME4,False,1.58
IPO9,False,1.58
FAM47B,False,1.58
ARHGEF2,False,1.58
FAT1,True,1.58
FBN3,False,1.58
PTCHD4,False,1.58
LGSN,False,1.58
ZNF560,False,1.58
TMPRSS11F,False,1.58
MORC1,False,1.58
MNDA,False,1.58
ADAMTS9,False,1.58
OR9G1,False,1.58
ZNF479,False,1.58
NEBL,False,1.58
CFAP65,False,1.58
MKI67,False,1.58
ADGRG4,False,1.58
OCA2,False,1.58
DCAF12L2,False,1.58
OBSCN,False,1.58
ZP2,False,1.58
TMTC2,False,1.58
TDG,False,1.58
DCDC1,False,1.58
ACACA,False,1.58
MRC1,False,1.58
OR5M8,False,1.58
MYT1,False,1.58
CREBBP,True,1.58
MUC5B,False,1.58
SYNE1,False,1.58
CRYBG2,False,1.58
ACVRL1,False,1.58
TMEM132D,False,1.58
CELSR3,False,1.58
CELSR1,False,1.58
TMEM132B,False,1.58
MYO15A,False,1.58
MYO1F,False,1.58
MYO3A,False,1.58
ACAN,False,1.58
MROH2B,False,1.58
COL7A1,False,1.58
TENM3,False,1.58
MYH1,False,1.58
DDI1,False,1.58
SON,False,1.58
CDCP1,False,1.58
DGKA,False,1.58
ABCA13,False,1.58
PCDHGA5,False,1.58
SPATA31D1,False,1.58
NLRP2,False,1.58
CHD9,False,1.58
AHNAK,False,1.58
NLRP9,False,1.58
MAGEB6B,False,1.58
SPTBN4,False,1.58
NOTCH2,True,1.58
ADGRV1,False,1.58
AK7,False,1.58
THOC2,False,1.05
COX10,False,1.05
FBN2,False,1.05
FFAR2,False,1.05
COPS2,False,1.05
FAT3,False,1.05
CPVL,False,1.05
SETD9,False,1.05
CIC,True,1.05
SERPINB8,False,1.05
GEMIN5,False,1.05
SERPINB2,False,1.05
GHITM,False,1.05
FER1L6,False,1.05
FBXW7,True,1.05
FCRL5,False,1.05
GIGYF1,False,1.05
SF3B1,True,1.05
COX7B,False,1.05
SZT2,False,1.05
TAF2,False,1.05
TACC2,False,1.05
RUNX3,False,1.05
THOP1,False,1.05
FCER1A,False,1.05
RUNX1T1,False,1.05
GK2,False,1.05
RTP5,False,1.05
SFI1,False,1.05
COL22A1,False,1.05
COL27A1,False,1.05
TBX10,False,1.05
GALNT1,False,1.05
FRMD7,False,1.05
FRY,False,1.05
TEP1,False,1.05
FSIP2,False,1.05
GABRP,False,1.05
GABRG3,False,1.05
FUT10,False,1.05
TCHH,False,1.05
GABRA6,True,1.05
CNGA3,False,1.05
SCN2A,False,1.05
TEK,True,1.05
FZD9,False,1.05
SCN9A,False,1.05
SCN5A,False,1.05
GABRA4,False,1.05
TENM1,False,1.05
SEMA3A,False,1.05
FREM2,False,1.05
CR2,False,1.05
CILP2,False,1.05
COL21A1,False,1.05
