Gene,IsJCGA,MutationPercentage
TP53,True,49.14
TTN,False,42.72
KMT2D,True,26.91
MUC16,False,25.43
KDM6A,True,25.19
ARID1A,True,24.69
PIK3CA,True,20.99
SYNE1,False,19.01
RB1,True,17.78
KMT2C,True,17.04
RYR2,False,16.79
HMCN1,False,16.3
MACF1,False,14.81
EP300,True,14.81
FAT4,False,14.81
FLG,False,14.07
STAG2,True,13.83
ELF3,False,13.33
CSMD3,False,12.59
NEB,False,12.59
ATM,True,12.59
OBSCN,False,12.35
CUBN,False,11.85
SYNE2,False,11.6
DNAH5,False,11.6
BIRC6,False,11.6
CREBBP,True,11.36
XIRP2,False,11.36
ERBB2,True,11.11
ZFHX4,False,11.11
SPTAN1,False,10.86
DST,False,10.86
KMT2A,True,10.62
MUC17,False,10.37
FAT3,False,10.37
LRP1B,False,10.37
AKAP9,False,10.37
ADGRV1,False,10.37
RYR1,False,10.12
AHNAK2,False,10.12
FAT1,True,10.12
ANK2,False,9.88
CDKN1A,True,9.88
DNAH11,False,9.88
AHNAK,False,9.63
RYR3,False,9.63
UBR4,False,9.38
FREM2,False,9.38
DNAH7,False,9.38
ERBB3,True,9.38
ERCC2,True,9.14
SACS,False,9.14
MKI67,False,9.14
DMXL2,False,8.89
DNAH8,False,8.89
PCLO,False,8.64
UTRN,False,8.64
MDN1,False,8.64
LRP2,False,8.64
LRRK2,False,8.4
BRCA2,True,8.4
SPTA1,False,8.4
USP34,False,8.4
FGFR3,True,8.4
ALMS1,False,8.15
ANK3,False,8.15
USH2A,False,8.15
PCDH15,False,8.15
HERC1,False,8.15
TRIO,False,8.15
RNF213,False,8.15
DNAH3,False,8.15
MED13,False,8.15
TRRAP,False,7.9
DIDO1,False,7.9
KIAA1109,False,7.9
DMD,False,7.9
VPS13D,False,7.9
ASXL2,False,7.9
RELN,False,7.9
PKHD1L1,False,7.9
APOB,False,7.9
TCHH,False,7.9
TSC1,True,7.65
FLG2,False,7.65
MYH9,False,7.65
MYCBP2,False,7.65
FBXW7,True,7.65
WDFY3,False,7.65
FRY,False,7.65
ABCA13,False,7.41
VPS13B,False,7.41
DYNC1H1,False,7.41
LAMA3,False,7.41
CSMD2,False,7.41
CSMD1,False,7.41
ZFP36L1,False,7.41
DNAH17,False,7.41
TENM3,False,7.41
PCNT,False,7.16
LRP1,False,7.16
GOLGB1,False,7.16
COL7A1,False,7.16
ASH1L,False,7.16
VCAN,False,7.16
HERC2,False,7.16
PLEC,False,6.91
SRCAP,False,6.91
MUC5B,False,6.91
LYST,False,6.91
DNAH9,False,6.91
NCOR1,True,6.91
FRAS1,False,6.91
ATAD5,False,6.91
BDP1,False,6.67
PHF3,False,6.67
PKHD1,False,6.67
ITPR2,False,6.67
FBN2,False,6.67
BPTF,False,6.67
SPEN,True,6.67
USF3,False,6.67
POLQ,False,6.67
CDK12,True,6.67
PRKDC,False,6.42
VPS13C,False,6.42
DNAH10,False,6.42
BSN,False,6.42
PTPRD,False,6.42
DCC,False,6.42
LAMA1,False,6.42
COL11A1,False,6.42
COL14A1,False,6.42
GON4L,False,6.42
SCN1A,False,6.42
CCDC88A,False,6.42
ATR,True,6.42
CHD7,False,6.42
KALRN,False,6.42
AKAP6,False,6.42
NF1,True,6.42
NUP205,False,6.42
ARID2,True,6.42
HECTD4,False,6.17
SRRM2,False,6.17
NAV3,False,6.17
FAT2,False,6.17
CDKN2A,True,6.17
NFE2L2,True,6.17
UBR5,False,6.17
CELSR3,False,6.17
COL6A3,False,6.17
FBN1,False,6.17
SPAG17,False,6.17
DOP1B,False,6.17
DSP,False,6.17
MYO9A,False,6.17
HSPG2,False,6.17
ACACA,False,6.17
ANKHD1-EIF4EBP3,False,6.17
HYDIN,False,6.17
PARD3,False,6.17
FMN2,False,6.17
SPHKAP,False,6.17
FBN3,False,5.93
TG,False,5.93
COL6A6,False,5.93
RANBP2,False,5.93
TENM1,False,5.93
PREX2,False,5.93
SETD2,True,5.93
RHOB,False,5.93
TNXB,False,5.93
IGSF10,False,5.93
LAMA2,False,5.93
HRNR,False,5.93
LAMA4,False,5.68
UTP20,False,5.68
DMXL1,False,5.68
POLE,True,5.68
CACNA1A,False,5.68
CHD6,False,5.68
NRXN1,False,5.68
KANSL1,False,5.68
WNK1,False,5.68
CIT,False,5.68
DNAH1,False,5.68
