Gene,IsJCGA,MutationPercentage
TP53,True,39.25
PIK3CA,True,31.78
TTN,False,17.36
GATA3,True,13.89
KMT2C,True,9.88
MUC16,False,9.75
MAP3K1,True,9.08
HMCN1,False,5.74
FLG,False,5.61
SPTA1,False,5.47
RYR2,False,5.47
SYNE1,False,5.34
NCOR1,True,5.34
DMD,False,5.21
USH2A,False,5.21
ZFHX4,False,5.07
PTEN,True,4.94
MUC17,False,4.41
MAP2K4,True,4.41
LRP2,False,4.41
CSMD3,False,4.27
HUWE1,False,4.27
FAT3,False,4.27
PKHD1L1,False,4.01
NEB,False,4.01
APOB,False,4.01
CSMD1,False,3.87
MYCBP2,False,3.74
DST,False,3.74
MACF1,False,3.6
RYR3,False,3.6
OBSCN,False,3.6
NF1,True,3.47
PCLO,False,3.47
ARID1A,True,3.47
RYR1,False,3.47
DNAH17,False,3.34
DNAH11,False,3.34
MDN1,False,3.34
SPEN,True,3.34
RELN,False,3.34
PIK3R1,True,3.34
SYNE2,False,3.34
CACNA1E,False,3.34
KMT2D,True,3.34
ADGRV1,False,3.2
MAP1A,False,3.07
HERC2,False,3.07
AKAP9,False,3.07
FAT1,True,3.07
PRUNE2,False,3.07
DYNC1H1,False,3.07
DOCK11,False,3.07
ANK2,False,2.94
RUNX1,True,2.94
DNAH9,False,2.94
MUC5B,False,2.94
LRP1,False,2.94
DNAH8,False,2.94
XIRP2,False,2.94
KMT2A,True,2.94
TG,False,2.94
FMN2,False,2.8
PRKDC,False,2.8
ATRX,True,2.8
F5,False,2.8
AKT1,True,2.8
ABCA13,False,2.8
CUBN,False,2.8
ANK3,False,2.8
CSMD2,False,2.8
HYDIN,False,2.8
KIAA1109,False,2.8
AHCTF1,False,2.8
DNAH7,False,2.8
UTRN,False,2.67
DYNC2H1,False,2.67
PTPRD,False,2.67
DNAH2,False,2.67
BIRC6,False,2.67
ATM,True,2.67
SRCAP,False,2.67
MXRA5,False,2.67
TEX15,False,2.67
BRCA2,True,2.67
SVEP1,False,2.67
GON4L,False,2.67
LRP1B,False,2.67
DNAH3,False,2.54
PDZD2,False,2.54
AFF2,False,2.54
TBX3,True,2.54
BRCA1,True,2.54
SACS,False,2.54
CBFB,True,2.54
PKHD1,False,2.54
FCGBP,False,2.54
ASH1L,False,2.54
MED12,True,2.54
BAZ2B,False,2.54
RP1,False,2.54
RB1,True,2.54
PAPPA2,False,2.54
PREX2,False,2.54
COL12A1,False,2.54
GRIN2A,False,2.4
VPS13B,False,2.4
SCN10A,False,2.4
AHNAK,False,2.4
CTCF,True,2.4
USP34,False,2.4
TENM1,False,2.4
CMYA5,False,2.4
NIPBL,False,2.4
BRWD1,False,2.4
CENPE,False,2.4
NOTCH2,True,2.4
CDH1,True,2.4
ASPM,False,2.4
CHD6,False,2.4
VPS13D,False,2.4
UNC13C,False,2.27
DNAH5,False,2.27
CHD7,False,2.27
PIWIL1,False,2.27
ERBB3,True,2.27
OTOGL,False,2.27
CACNA1A,False,2.27
ADGRG4,False,2.27
NEXMIF,False,2.27
CREBBP,True,2.27
LAMA2,False,2.27
COL14A1,False,2.27
KCNT2,False,2.27
FLG2,False,2.27
TPR,False,2.27
MYO18B,False,2.27
MYH8,False,2.27
CEP350,False,2.27
NCOA6,False,2.27
SI,False,2.27
MROH2B,False,2.14
SVIL,False,2.14
HELZ,False,2.14
PEG3,False,2.14
UBR5,False,2.14
PKD1L1,False,2.14
VPS13A,False,2.14
HRNR,False,2.14
FRAS1,False,2.14
PCNT,False,2.14
CPS1,False,2.14
DNAH10,False,2.14
ZDBF2,False,2.14
FLNB,False,2.14
MYO10,False,2.14
UBR4,False,2.14
QSER1,False,2.14
F8,False,2.14
ARID1B,True,2.14
USP9X,False,2.14
LRBA,False,2.14
ANKRD12,False,2.14
LYST,False,2.14
MEGF8,False,2.14
TCHH,False,2.14
ICE1,False,2.14
SDK1,False,2.14
COL6A6,False,2.0
SPHKAP,False,2.0
MGAM,False,2.0
PCDH15,False,2.0
UNC5D,False,2.0
AFDN,False,2.0
HERC1,False,2.0
COL22A1,False,2.0
TEP1,False,2.0
NLRC5,False,2.0
PLCB4,False,2.0
CNOT1,False,2.0
ERBB2,True,2.0
GOLGB1,False,2.0
NRXN2,False,2.0
CNTLN,False,2.0
FREM1,False,2.0
LAMA1,False,2.0
TAF1L,False,2.0
PCDH19,False,2.0
CACNA1F,False,2.0
FAT4,False,2.0
ASXL3,False,2.0
VCAN,False,2.0
TASOR2,False,2.0
MYLK,False,2.0
MYH7B,False,2.0
KDM6A,True,2.0
MYO16,False,2.0
KAT6B,False,2.0
KIAA1210,False,2.0
BSN,False,2.0
LTBP1,False,1.87
LRRK2,False,1.87
ANKHD1-EIF4EBP3,False,1.87
TLN1,False,1.87
NCKAP5,False,1.87
CENPF,False,1.87
THADA,False,1.87
SCN3A,False,1.87
SCN2A,False,1.87
SCN1A,False,1.87
RNF213,False,1.87
GCC2,False,1.87
FER1L6,False,1.87
IRS4,False,1.87
SPATA31D1,False,1.87
SNRNP200,False,1.87
PRDM10,False,1.87
MYH14,False,1.87
ABCC9,False,1.87
TAF1,False,1.87
PLCL2,False,1.87
VWF,False,1.87
ARFGEF1,False,1.87
PLCE1,False,1.87
COL11A1,False,1.87
CHD4,False,1.87
MTOR,True,1.87
BOD1L1,False,1.87
DCHS1,False,1.87
ABCA12,False,1.87
HCFC1,False,1.87
VPS13C,False,1.87
TRPM6,False,1.87
SPTB,False,1.87
TENM3,False,1.87
CDC42BPA,False,1.87
MRC1,False,1.87
ATP10B,False,1.87
PCNX2,False,1.87
FBN1,False,1.87
MORC1,False,1.87
COL6A3,False,1.87
HECTD4,False,1.87
HIVEP1,False,1.87
