Gene,IsJCGA,MutationPercentage
CDH1,True,69.48
PIK3CA,True,44.81
TTN,False,20.13
MUC16,False,12.99
TBX3,True,9.09
MYH9,False,9.09
TP53,True,8.44
RUNX1,True,8.44
PTEN,True,7.79
FOXA1,False,7.79
HMCN1,False,7.79
GATA3,True,7.79
SYNE2,False,7.79
FLG,False,7.14
VPS13C,False,6.49
NF1,True,6.49
MAP3K1,True,6.49
USH2A,False,5.84
TAF1,False,5.84
KMT2C,True,5.84
RYR3,False,5.84
ADGRV1,False,5.19
NEB,False,5.19
RYR2,False,5.19
MDN1,False,5.19
CHD4,False,5.19
UBR4,False,5.19
MUC4,False,5.19
DST,False,4.55
MXRA5,False,4.55
SYNE1,False,4.55
SPEN,True,4.55
CACNA1E,False,4.55
LYST,False,4.55
ERBB2,True,4.55
ARID1A,True,4.55
ANKRD12,False,4.55
FAT2,False,4.55
NCOR1,True,4.55
ZAN,False,3.9
BIRC6,False,3.9
CUBN,False,3.9
CEP170,False,3.9
HERC1,False,3.9
AHNAK,False,3.9
FN1,False,3.9
UNC79,False,3.9
ABCA13,False,3.9
AKAP13,False,3.9
TMPRSS15,False,3.9
KIAA1109,False,3.9
RAPGEF6,False,3.9
FAM47A,False,3.9
SPHKAP,False,3.9
MYO15A,False,3.9
PCDH11X,False,3.9
F8,False,3.9
LRP1B,False,3.9
COL17A1,False,3.9
ASPM,False,3.9
MIA2,False,3.25
SHANK1,False,3.25
HECW1,False,3.25
DCHS1,False,3.25
MKRN3,False,3.25
CCDC144A,False,3.25
HERC2,False,3.25
CLASP2,False,3.25
KIF4A,False,3.25
KMT2E,False,3.25
ST18,False,3.25
PLXNA2,False,3.25
SPTA1,False,3.25
USP9X,False,3.25
PLEKHH2,False,3.25
UBR5,False,3.25
UTRN,False,3.25
PKHD1L1,False,3.25
LRP2,False,3.25
LRRIQ1,False,3.25
CMYA5,False,3.25
PCLO,False,3.25
WDR44,False,3.25
PTCHD4,False,3.25
WNK1,False,3.25
MAP1A,False,3.25
HTT,False,3.25
CBFB,True,3.25
XIRP2,False,3.25
SVEP1,False,3.25
HIVEP1,False,3.25
TNXB,False,3.25
KIF5C,False,3.25
FBN1,False,3.25
ABCA9,False,3.25
PCDHB2,False,3.25
ATP2B1,False,3.25
THSD7A,False,3.25
PCDHA3,False,3.25
SCN2A,False,3.25
MYOM2,False,3.25
DMD,False,3.25
ZMYM3,False,3.25
DMXL1,False,3.25
TLN1,False,3.25
ESPL1,False,3.25
ARHGAP31,False,3.25
FAT3,False,3.25
THSD7B,False,3.25
FREM2,False,3.25
ANKS1B,False,3.25
FAM47C,False,3.25
DYNC1I1,False,3.25
MUC5B,False,3.25
MUC17,False,3.25
FRMPD4,False,3.25
SMARCC1,False,3.25
MYH7,False,3.25
ZMYM2,False,3.25
TCHH,False,3.25
PAPPA2,False,2.6
NFATC1,False,2.6
