Gene,IsJCGA,MutationPercentage
PIK3CA,True,36.96
TTN,False,26.09
KMT2C,True,21.74
KRAS,True,19.57
TP53,True,17.39
TP73,False,13.04
ARID1A,True,13.04
MUC16,False,13.04
ERBB2,True,13.04
ADGRV1,False,13.04
LRP1B,False,13.04
FBXW7,True,13.04
ERBB3,True,10.87
ASPM,False,10.87
PSD,False,10.87
PRUNE2,False,10.87
RNF213,False,10.87
TAF1,False,10.87
SPTA1,False,10.87
DMD,False,10.87
DST,False,10.87
ADGRG4,False,10.87
CADPS,False,8.7
FAM47C,False,8.7
ARHGAP35,False,8.7
BAHCC1,False,8.7
HIVEP2,False,8.7
PCNX2,False,8.7
NOTCH4,False,8.7
DNAH1,False,8.7
PLCB1,False,8.7
POLQ,False,8.7
KIT,True,8.7
DNAH2,False,8.7
MUC17,False,8.7
KMT2D,True,8.7
MUC5B,False,8.7
MYH13,False,8.7
PKHD1,False,8.7
ATRX,True,8.7
PKD2L1,False,8.7
CATSPERB,False,8.7
CHD7,False,8.7
THADA,False,8.7
OBSCN,False,8.7
SYNE2,False,8.7
RYR2,False,8.7
MAP1A,False,8.7
ZFHX3,False,8.7
TG,False,8.7
MSH4,False,8.7
NEB,False,8.7
NAV2,False,8.7
PCDHA7,False,6.52
PKD1,False,6.52
ANKS1B,False,6.52
HRNR,False,6.52
PRPF6,False,6.52
USP43,False,6.52
PTPRD,False,6.52
TANGO6,False,6.52
SPTBN1,False,6.52
KCNA1,False,6.52
THOC2,False,6.52
PROM2,False,6.52
SMAD4,True,6.52
CPSF1,False,6.52
PCDHB15,False,6.52
TET1,False,6.52
BRCA1,True,6.52
LTN1,False,6.52
PLXNA3,False,6.52
BOD1L1,False,6.52
DMXL2,False,6.52
DZIP1,False,6.52
DYSF,False,6.52
DUS3L,False,6.52
BRINP3,False,6.52
USP34,False,6.52
CIT,False,6.52
ARID1B,True,6.52
ENDOD1,False,6.52
CNTLN,False,6.52
MAGEE1,False,6.52
HMCN1,False,6.52
ANAPC2,False,6.52
EP300,True,6.52
CHD6,False,6.52
THSD1,False,6.52
KIF5C,False,6.52
ELF3,False,6.52
ANK2,False,6.52
ALMS1,False,6.52
KIF7,False,6.52
MAGEB10,False,6.52
ANK3,False,6.52
ANKHD1-EIF4EBP3,False,6.52
SPAG17,False,6.52
BSN,False,6.52
NRAP,False,6.52
EIF3A,False,6.52
PAPOLB,False,6.52
TLL2,False,6.52
CSMD3,False,6.52
COL24A1,False,6.52
ZFX,False,6.52
AKAP12,False,6.52
VCAN,False,6.52
MICALL2,False,6.52
APOB,False,6.52
VPS13D,False,6.52
TP53BP1,False,6.52
GRIA1,False,6.52
PDZRN3,False,6.52
LRP6,False,6.52
TTC21B,False,6.52
ROBO2,False,6.52
LAMA2,False,6.52
CELSR1,False,6.52
TSPYL5,False,6.52
MED12,True,6.52
DCHS1,False,6.52
SEMA3C,False,6.52
CENPB,False,6.52
NAA15,False,6.52
KTN1,False,6.52
LRP5,True,6.52
MED13,False,6.52
DHH,False,6.52
IQCN,False,6.52
ZNF804B,False,6.52
MCF2L2,False,6.52
NHS,False,6.52
LCMT2,False,6.52
CDH23,True,6.52
SACS,False,6.52
KALRN,False,6.52
ABCC10,False,6.52
ACAN,False,6.52
NIPBL,False,6.52
GPR179,False,6.52
CDK13,False,6.52
GPRASP1,False,6.52
FRY,False,6.52
ROS1,True,6.52
FLNA,False,6.52
WDR33,False,6.52
SETD2,True,6.52
CACNA1C,False,6.52
MAST3,False,6.52
CACNA1I,False,6.52
FAT4,False,6.52
MDN1,False,6.52
NEURL4,False,6.52
FBN3,False,6.52
SGO2,False,6.52
SRRM2,False,6.52
TUBGCP6,False,6.52
INPP4A,False,6.52
ZSWIM8,False,6.52
GNAS,True,6.52
SEZ6,False,6.52
CUBN,False,6.52
ATP10B,False,6.52
INTS1,False,6.52
RPGR,False,6.52
CEP164,False,6.52
SEPTIN3,False,6.52
MBD5,False,6.52
ADAMTS16,False,6.52
TTLL13P,False,6.52
TRIM9,False,6.52
SEMG2,False,6.52
CYP4F12,False,4.35
ITSN2,False,4.35
PLXNB1,False,4.35
KDM4B,False,4.35
PLXNA4,False,4.35
KIAA0100,False,4.35
PLPPR4,False,4.35
CPSF2,False,4.35
TCIRG1,False,4.35
TCOF1,False,4.35
JADE2,False,4.35
JCAD,False,4.35
SYCP2,False,4.35
TDRD1,False,4.35
