Gene,IsJCGA,MutationPercentage
TTN,False,31.2
PIK3CA,True,26.07
KMT2C,True,17.95
MUC16,False,17.95
KMT2D,True,14.53
FLG,False,14.1
SYNE1,False,13.68
EP300,True,13.25
DMD,False,11.97
FBXW7,True,11.54
USH2A,False,11.54
RYR2,False,11.54
LRP1B,False,11.11
HUWE1,False,11.11
DST,False,9.83
MUC17,False,9.83
ADGRV1,False,9.4
PCLO,False,8.97
NAV3,False,8.97
CREBBP,True,8.55
FAT1,True,8.55
LRP2,False,8.12
HYDIN,False,8.12
PRKDC,False,8.12
NEB,False,8.12
MKI67,False,8.12
PTEN,True,7.69
CSMD1,False,7.69
ABCA12,False,7.69
UBR4,False,7.69
HMCN1,False,7.69
MDN1,False,7.26
NSD1,False,7.26
DNAH2,False,7.26
SYNE2,False,7.26
RYR3,False,7.26
TENM1,False,7.26
CSMD3,False,6.84
NOTCH1,True,6.84
OBSCN,False,6.84
AHNAK,False,6.84
CUBN,False,6.84
AHNAK2,False,6.84
NFE2L2,True,6.84
DNAH8,False,6.84
CDK12,True,6.84
MUC5B,False,6.84
HSPG2,False,6.41
ZFHX4,False,6.41
RB1,True,6.41
GOLGB1,False,6.41
PLEC,False,6.41
VPS13B,False,6.41
FAT2,False,6.41
RYR1,False,5.98
FAT3,False,5.98
MYH8,False,5.98
PKHD1L1,False,5.98
SPEN,True,5.98
MYH15,False,5.98
DYNC1H1,False,5.98
NIPBL,False,5.98
SMG1,False,5.98
WNK3,False,5.56
PTPRF,False,5.56
DOCK11,False,5.56
NHS,False,5.56
SRCAP,False,5.56
FLNA,False,5.56
ANK3,False,5.56
TNIK,False,5.56
VPS13A,False,5.56
ABCA13,False,5.56
CHD7,False,5.56
ANK2,False,5.56
LATS1,True,5.56
DNAH10,False,5.56
BRWD1,False,5.56
CEP162,False,5.13
KIAA1109,False,5.13
FLG2,False,5.13
BSN,False,5.13
ALPK2,False,5.13
MXRA5,False,5.13
CASP8,True,5.13
PARP14,False,5.13
STK11,True,5.13
DCHS1,False,5.13
MROH2B,False,5.13
CHD3,False,5.13
SI,False,5.13
HLA-A,False,5.13
PKD1,False,5.13
ATP10A,False,5.13
PLCH1,False,5.13
DNAH3,False,5.13
DMXL2,False,5.13
IGSF10,False,5.13
XIRP2,False,5.13
KNTC1,False,5.13
DSP,False,5.13
CHD6,False,5.13
ATRX,True,5.13
APOB,False,5.13
FREM2,False,5.13
BPTF,False,5.13
FRAS1,False,5.13
PCNT,False,5.13
ZNF750,False,4.7
COL6A3,False,4.7
CACNA1E,False,4.7
SPAG17,False,4.7
COBLL1,False,4.7
PCDH15,False,4.7
AKAP13,False,4.7
COL19A1,False,4.7
TG,False,4.7
GPRASP1,False,4.7
SPEF2,False,4.7
AFF3,False,4.7
MAGEC1,False,4.7
LRRK2,False,4.7
CNTNAP2,False,4.7
FBN1,False,4.7
EPHA2,False,4.7
FAT4,False,4.7
TCHH,False,4.7
GTF3C1,False,4.7
TP53,True,4.7
EP400,False,4.7
TEX15,False,4.7
CHD4,False,4.7
NF1,True,4.7
BOD1L1,False,4.7
HERC2,False,4.7
MYO15A,False,4.7
DNAH5,False,4.7
DNAH7,False,4.7
UBR5,False,4.7
F8,False,4.7
BRWD3,False,4.7
DNAH9,False,4.7
PTPN13,False,4.7
SVEP1,False,4.7
USP9X,False,4.7
DOP1B,False,4.7
MED12,True,4.7
DCC,False,4.7
MYCBP2,False,4.7
MED1,False,4.7
HLA-B,False,4.7
MGA,False,4.7
BCOR,True,4.7
LAMA1,False,4.7
DNAH11,False,4.7
ADGRG4,False,4.27
ARHGAP4,False,4.27
KMT2B,False,4.27
UTP20,False,4.27
LEPR,False,4.27
LRP5,True,4.27
VCAN,False,4.27
DNAH17,False,4.27
COL7A1,False,4.27
PKHD1,False,4.27
COL12A1,False,4.27
PAPPA2,False,4.27
ATM,True,4.27
VWF,False,4.27
LAMA5,False,4.27
THOC2,False,4.27
SACS,False,4.27
CPSF1,False,4.27
ZNF407,False,4.27
CACNA1H,False,4.27
ALG13,False,4.27
SCN7A,False,4.27
ALMS1,False,4.27
FLNC,False,4.27
TRRAP,False,4.27
FLT1,True,4.27
FMN2,False,4.27
RALGAPA1,False,4.27
MYH2,False,4.27
ZFHX3,False,4.27
NOTCH3,True,4.27
IRS4,False,4.27
MYH7,False,4.27
DGKK,False,4.27
MYH9,False,4.27
ZDBF2,False,4.27
KIAA1210,False,4.27
MDC1,False,4.27
BRCA1,True,4.27
DDX3X,False,4.27
SPATA31D1,False,4.27
KIF1B,True,4.27
SPEG,False,4.27
BIRC6,False,4.27
SPHKAP,False,4.27
KIF7,False,4.27
LRP4,False,4.27
ITPR2,False,4.27
WDFY3,False,4.27
CELSR2,False,4.27
CEP350,False,4.27
CMYA5,False,4.27
CEP192,False,4.27
FBN2,False,4.27
MAP2,False,4.27
CELSR1,False,4.27
PHRF1,False,4.27
ZNF91,False,4.27
HFM1,False,4.27
CIC,True,4.27
MAP1B,False,4.27
PCDHA2,False,4.27
FAM47C,False,4.27
HERC1,False,4.27
HECTD4,False,4.27
MAPK1,True,4.27
PDE3A,False,4.27
CENPF,False,4.27
TENM2,False,4.27
CENPE,False,4.27
FAM135B,False,4.27
ROBO1,False,4.27
MYH6,False,3.85
MEGF8,False,3.85
BRIP1,True,3.85
PLXNA1,False,3.85
TDRD6,False,3.85
MAST4,False,3.85
EZHIP,False,3.85
KLHL4,False,3.85
MACF1,False,3.85
PHKA2,False,3.85
KIF4A,False,3.85
CFAP47,False,3.85
PCDH19,False,3.85
APC,True,3.85
CCNB3,False,3.85
NLRC5,False,3.85
DYNC2H1,False,3.85
SPTA1,False,3.85
SETD2,True,3.85
USF3,False,3.85
CPAMD8,False,3.85
MPDZ,False,3.85
MAN2B1,False,3.85
TULP4,False,3.85
PLXNB2,False,3.85
MIA2,False,3.85
TP53BP1,False,3.85
SCN9A,False,3.85
TCF20,False,3.85
NUP155,False,3.85
MAP7D3,False,3.85
CACNA1F,False,3.85
ZNF236,False,3.85
KALRN,False,3.85
LRPPRC,False,3.85
SMC6,False,3.85
CEP128,False,3.85
SMC4,False,3.85
TRIO,False,3.85
SDK2,False,3.85
MTUS2,False,3.85
LTBP4,False,3.85
ACACB,False,3.85
C2orf16,False,3.85
RANBP2,False,3.85
PML,False,3.85
TCOF1,False,3.85
TSC2,True,3.85
PRUNE2,False,3.85
ANKHD1-EIF4EBP3,False,3.85
PIK3R1,True,3.85
TTLL5,False,3.85
CHD8,False,3.85
SCN3A,False,3.85
USP26,False,3.85
MAGEC3,False,3.85
TAF1,False,3.85
THSD7A,False,3.85
CDH23,True,3.85
COL11A1,False,3.85
ARID1A,True,3.85
TEP1,False,3.85
CNTRL,False,3.85
PTPRD,False,3.85
NBAS,False,3.85
ADAMTSL1,False,3.85
SIPA1L1,False,3.85
RELN,False,3.85
NBEAL1,False,3.85
SVIL,False,3.85
DNAJC13,False,3.85
ZSWIM8,False,3.85
SZT2,False,3.85
RNF17,False,3.85
PDZD2,False,3.85
ADAMTS16,False,3.85
COL22A1,False,3.85
VPS13D,False,3.85
HELZ2,False,3.85
ASTN1,False,3.85
TICRR,False,3.85
TAF1L,False,3.85
DIDO1,False,3.85
DOCK10,False,3.85
DSG3,False,3.85
NCOR1,True,3.85
ASPM,False,3.85
DSCAML1,False,3.85
DSCAM,False,3.85
RIMS1,False,3.85
CDHR2,False,3.85
DOCK4,False,3.85
ADAMTS12,False,3.85
ATAD2,False,3.42
GPR179,False,3.42
POLA1,False,3.42
SMAD4,True,3.42
ATP11B,False,3.42
JMJD1C,False,3.42
PCDHA13,False,3.42
CEP250,False,3.42
SCN8A,False,3.42
DOCK5,False,3.42
NCOR2,False,3.42
MGAM,False,3.42
TRIP12,False,3.42
DOCK6,False,3.42
DOP1A,False,3.42
TRIOBP,False,3.42
CACNA1A,False,3.42
CUL1,False,3.42
ASH1L,False,3.42
PTPRC,False,3.42
ATG2B,False,3.42
PEG3,False,3.42
CAD,False,3.42
LRRC37A3,False,3.42
RGL2,False,3.42
TRO,False,3.42
ASXL3,False,3.42
HSD17B4,False,3.42
POLQ,False,3.42
ATF7IP,False,3.42
NWD1,False,3.42
LRP6,False,3.42
SMARCAD1,False,3.42
GON4L,False,3.42
SLITRK5,False,3.42
MUC4,False,3.42
CFHR5,False,3.42
KIF20B,False,3.42
AP3B1,False,3.42
KIF26B,False,3.42
GANAB,False,3.42
ARHGEF2,False,3.42
UTRN,False,3.42
PXDNL,False,3.42
ZBTB38,False,3.42
SLC26A4,False,3.42
BCORL1,True,3.42
MYO9A,False,3.42
DLG2,False,3.42
TANC2,False,3.42
NLGN4X,False,3.42
PHF8,False,3.42
RNF40,False,3.42
BAIAP3,False,3.42
USP34,False,3.42
FRY,False,3.42
FSIP2,False,3.42
PRG4,False,3.42
PREX1,False,3.42
ZC3H13,False,3.42
KDM5A,True,3.42
ATP13A4,False,3.42
PCDHB11,False,3.42
C1orf112,False,3.42
ARFGEF2,False,3.42
ZGRF1,False,3.42
TACC2,False,3.42
DCAF12L1,False,3.42
MYH10,False,3.42
NBEAL2,False,3.42
ANKRD30A,False,3.42
PUM1,False,3.42
NBEA,False,3.42
BTK,True,3.42
KDM6A,True,3.42
WWC2,False,3.42
HNRNPR,False,3.42
CFAP54,False,3.42
ARID2,True,3.42
CFAP74,False,3.42
HDLBP,False,3.42
GFPT2,False,3.42
ZNF594,False,3.42
ADGRB2,False,3.42
CNTNAP4,False,3.42
COL11A2,False,3.42
TNXB,False,3.42
CELSR3,False,3.42
CDH12,False,3.42
MMEL1,False,3.42
MAP3K4,True,3.42
THSD7B,False,3.42
INTS2,False,3.42
COL18A1,False,3.42
LYST,False,3.42
SBNO1,False,3.42
MAP3K5,False,3.42
COL6A6,False,3.42
ERBB3,True,3.42
CRB1,False,3.42
GRM5,False,3.42
CECR2,False,3.42
PLXNA3,False,3.42
PLXNA4,False,3.42
AFDN,False,3.42
COL4A6,False,3.42
COL4A2,False,3.42
RTTN,False,3.42
AFF2,False,3.42
ZNF521,False,3.42
ADGRB1,False,3.42
PLXNC1,False,3.42
ADAMTS20,False,3.42
SCAPER,False,3.42
CDH10,False,3.42
ZNF536,False,3.42
ICE1,False,3.42
SPTBN5,False,3.42
ADGRL2,False,3.42
LRRIQ1,False,3.42
PXDN,False,2.99
THADA,False,2.99
PCDHB7,False,2.99
KLF5,False,2.99
KDM3A,False,2.99
PIKFYVE,False,2.99
ADCY9,False,2.99
UNC13C,False,2.99
TENM3,False,2.99
DENND4A,False,2.99
MYH11,False,2.99
ZNF808,False,2.99
ARHGAP5,False,2.99
NEXMIF,False,2.99
PTCHD1,False,2.99
MYH3,False,2.99
EEF1AKMT4-ECE2,False,2.99
ABCC4,False,2.99
TUT7,False,2.99
PCNX1,False,2.99
COL3A1,False,2.99
DMXL1,False,2.99
NOTCH2,True,2.99
GRIP1,False,2.99
LIG4,False,2.99
HERC5,False,2.99
EXOC4,False,2.99
UHRF1BP1,False,2.99
WNK1,False,2.99
GOLGA4,False,2.99
ANKFN1,False,2.99
PCDHB2,False,2.99
GOLGA3,False,2.99
WNK2,False,2.99
HTATSF1,False,2.99
FMNL1,False,2.99
PITPNM1,False,2.99
COL27A1,False,2.99
INSR,False,2.99
SGO2,False,2.99
BEND3,False,2.99
MYH1,False,2.99
COL2A1,False,2.99
MYO5A,False,2.99
ZNF638,False,2.99
INO80,False,2.99
MAP3K15,False,2.99
PHLDB2,False,2.99
GSPT2,False,2.99
BMPR2,False,2.99
DMBT1,False,2.99
BRD4,True,2.99
KIAA1549,True,2.99
ABCC9,False,2.99
ARHGAP31,False,2.99
BRCA2,True,2.99
SAFB,False,2.99
FNDC1,False,2.99
ATRNL1,False,2.99
ARHGAP32,False,2.99
NOD2,False,2.99
ATR,True,2.99
ROCK2,False,2.99
PSMD2,False,2.99
FREM1,False,2.99
KIDINS220,False,2.99
LIN9,False,2.99
KIF16B,False,2.99
UHRF2,False,2.99
XDH,False,2.99
CCDC88A,False,2.99
ATP8B2,False,2.99
NF2,True,2.99
NLRP8,False,2.99
IL3RA,False,2.99
ARHGEF9,False,2.99
RAI1,False,2.99
EXPH5,False,2.99
RPGRIP1,False,2.99
TYK2,False,2.99
MCF2L,False,2.99
P3H2,False,2.99
TDRD1,False,2.99
BIVM-ERCC5,False,2.99
LIG1,False,2.99
MYH7B,False,2.99
NLRP9,False,2.99
ADCY5,False,2.99
PCDHGB6,False,2.99
FCGBP,False,2.99
CLK2,False,2.99
TAB3,False,2.99
ABCA4,False,2.99
PPFIA2,False,2.99
BAP1,True,2.99
SON,False,2.99
SORBS1,False,2.99
PKD1L1,False,2.99
ITGA4,False,2.99
GPR149,False,2.99
DOCK7,False,2.99
SPTBN4,False,2.99
CACNA1B,False,2.99
TET1,False,2.99
JPH2,False,2.99
WDR44,False,2.99
TOGARAM2,False,2.99
CSPG4,False,2.99
AHCTF1,False,2.99
MTOR,True,2.99
SMCHD1,False,2.99
CEP152,False,2.99
GUCY2F,False,2.99
PEAK1,False,2.99
SMC1A,False,2.99
DICER1,True,2.99
HMMR,False,2.99
ERBIN,False,2.99
SIN3A,False,2.99
FSCB,False,2.99
JAK2,True,2.99
EIF4G1,False,2.99
CUX2,False,2.99
ZNF711,False,2.99
POGZ,False,2.99
NYNRIN,False,2.99
AKAP4,False,2.99
TPTE,False,2.99
CAMTA1,False,2.99
FAM13A,False,2.99
CAMSAP1,False,2.99
POLE,True,2.99
STAB1,False,2.99
MST1R,True,2.99
RTL9,False,2.99
TP63,True,2.99
RTN3,False,2.99
ACLY,False,2.99
DOCK2,False,2.99
NXF1,False,2.99
ITSN2,False,2.99
FRYL,False,2.99
CARMIL1,False,2.99
POLR1A,False,2.99
CNTN3,False,2.99
CUX1,False,2.99
AQR,False,2.99
CNTLN,False,2.99
SMARCA4,True,2.99
PRRC2B,False,2.99
KCNB2,False,2.99
TRPM3,False,2.99
IQCG,False,2.99
MUC5AC,False,2.99
CLUH,False,2.99
AMOTL2,False,2.99
ACTN3,False,2.99
SETD5,False,2.99
SLIT3,False,2.99
NSD3,True,2.99
NCAPH2,False,2.99
GRIN2A,False,2.99
ATP13A5,False,2.99
CDC42BPA,False,2.99
FANCM,False,2.99
GRIN2B,False,2.99
NRXN3,False,2.99
PRRC2A,False,2.99
PLXND1,False,2.99
CYRIA,False,2.99
UNC79,False,2.99
HTT,False,2.99
DAAM1,False,2.99
SUPT20H,False,2.99
EPG5,False,2.99
MAP4K3,False,2.99
ACACA,False,2.99
AMER1,True,2.99
PCSK5,False,2.99
PCDH11X,False,2.99
MUC2,False,2.99
TNC,False,2.99
CILP,False,2.99
PTPRK,True,2.99
SASH1,False,2.99
RTEL1,False,2.99
ERBB2,True,2.99
BAZ2A,False,2.99
RB1CC1,False,2.99
TRIP11,False,2.99
KCNA6,False,2.99
DIP2B,False,2.99
FLNB,False,2.99
TBL1XR1,False,2.99
EPHA5,False,2.99
ADGRA1,False,2.99
DISP2,False,2.56
DIAPH1,False,2.56
HECW1,False,2.56
CLEC14A,False,2.56
SRGAP1,False,2.56
HECW2,False,2.56
CDKN2A,True,2.56
USP43,False,2.56
KMT2A,True,2.56
GCC2,False,2.56
USP32,False,2.56
USP21,False,2.56
CLEC16A,False,2.56
NYAP2,False,2.56
USP53,False,2.56
STYXL2,False,2.56
ATP10D,False,2.56
DNAJB14,False,2.56
HLCS,False,2.56
CKAP5,False,2.56
COL1A1,True,2.56
DNAJC14,False,2.56
SIPA1L2,False,2.56
PALM2AKAP2,False,2.56
VWA3A,False,2.56
COL15A1,False,2.56
WAC,False,2.56
HIVEP1,False,2.56
DNMT1,True,2.56
COL13A1,False,2.56
ASXL1,True,2.56
KSR1,False,2.56
PARD3,False,2.56
PIWIL3,False,2.56
SIGLEC1,False,2.56
TET3,False,2.56
ASPH,False,2.56
VPS13C,False,2.56
