Gene,IsJCGA,MutationPercentage
PBRM1,True,22.92
BAP1,True,16.67
ARID1A,True,16.67
EPHA2,False,14.58
IDH1,True,12.5
LRP1B,False,10.42
TP53,True,10.42
MUC16,False,10.42
CHD7,False,8.33
CSMD3,False,8.33
KRAS,True,8.33
DNAH8,False,8.33
ELF3,False,8.33
TENM1,False,8.33
DNAH5,False,8.33
NEB,False,8.33
KMT2C,True,8.33
PCLO,False,8.33
FGFR2,True,8.33
ALB,False,6.25
LRP1,False,6.25
PTCH1,True,6.25
SMG1,False,6.25
UBR1,False,6.25
ANK2,False,6.25
LAMA3,False,6.25
PIK3CA,True,6.25
TMEM132D,False,6.25
SRCAP,False,6.25
C3,False,6.25
MPDZ,False,6.25
MUC5B,False,6.25
TOP2A,False,6.25
DCAF4L2,False,6.25
APOB,False,6.25
AHNAK,False,6.25
PKHD1,False,6.25
PHF20L1,False,6.25
CTNNA2,False,6.25
NYAP2,False,6.25
NID1,False,6.25
ADAM30,False,6.25
BIRC6,False,6.25
MAGEC1,False,6.25
RABGAP1,False,6.25
PLXNB2,False,6.25
UNC5D,False,6.25
MAN1A2,False,6.25
PLXNA4,False,6.25
IDH2,True,6.25
MACF1,False,6.25
CADM2,False,4.17
SLC5A1,False,4.17
GRIK2,False,4.17
DISP1,False,4.17
PCDHA9,False,4.17
MAP2K1,True,4.17
CALCR,False,4.17
CAD,False,4.17
LRRC6,False,4.17
SLC9A3,False,4.17
OR5AP2,False,4.17
CAMTA1,False,4.17
HECW2,False,4.17
SLC3A2,False,4.17
DHX9,False,4.17
PCDHGA4,False,4.17
B2M,True,4.17
SPATS2,False,4.17
DYRK4,False,4.17
ATR,True,4.17
DLGAP2,False,4.17
USP9X,False,4.17
TTN,False,4.17
LEO1,False,4.17
BRCA2,True,4.17
PALLD,False,4.17
UBR5,False,4.17
DOCK10,False,4.17
UNC13C,False,4.17
DOCK2,False,4.17
GSDMA,False,4.17
UBE4B,False,4.17
DOCK9,False,4.17
C11orf52,False,4.17
MAGEA1,False,4.17
UBAP2,False,4.17
DNAH17,False,4.17
TYK2,False,4.17
SNCAIP,True,4.17
PXMP4,False,4.17
BCOR,True,4.17
MAGED1,False,4.17
