Gene,IsJCGA,MutationPercentage
TP53,True,30.3
PTEN,True,9.09
TTN,False,6.06
CSF2RB,False,4.55
MUC16,False,4.55
CFAP47,False,4.55
ZAN,False,4.55
ICE1,False,4.55
SPTA1,False,3.03
BPTF,False,3.03
DIDO1,False,3.03
UNC80,False,3.03
BSN,False,3.03
KNL1,False,3.03
DDX50,False,3.03
BIRC6,False,3.03
OR2M2,False,3.03
USP9X,False,3.03
UCP2,False,3.03
SOS2,False,3.03
AXDND1,False,3.03
RB1,True,3.03
VIRMA,False,3.03
KMT2D,True,3.03
DNAH3,False,3.03
ATP10B,False,3.03
ATM,True,3.03
ATG2B,False,3.03
ATG2A,False,3.03
LMTK3,False,3.03
WDR72,False,3.03
ARHGEF2,False,3.03
WNT2B,False,3.03
GALNS,False,3.03
NPHS1,False,3.03
LTN1,False,3.03
YLPM1,False,3.03
UBR5,False,3.03
CDKN1A,True,3.03
SQOR,False,3.03
CSMD1,False,3.03
CLCN2,False,3.03
HSPG2,False,3.03
HUWE1,False,3.03
CHD4,False,3.03
PNPLA7,False,3.03
PIKFYVE,False,3.03
ILKAP,False,3.03
FAM189B,False,3.03
CRACD,False,3.03
PCDHGB5,False,3.03
KALRN,False,3.03
PCDHB9,False,3.03
HCN4,False,3.03
PCDH1,False,3.03
PTPRN2,False,3.03
CSMD2,False,3.03
TRRAP,False,3.03
TSC1,True,3.03
TSC2,True,3.03
TSHZ3,False,3.03
KDELR3,False,3.03
SYNDIG1,False,3.03
KIAA1109,False,3.03
KIAA1755,False,3.03
STXBP5,False,3.03
CACNA1A,False,3.03
GRM3,True,3.03
DYNC2H1,False,3.03
C3orf20,False,3.03
SNX25,False,3.03
MYO1F,False,3.03
ZNF521,False,3.03
EPHA1,False,3.03
RPH3A,False,3.03
AGBL1,False,3.03
MPHOSPH8,False,3.03
AFF3,False,3.03
NFIA,False,3.03
MYO7A,False,3.03
ELOA2,False,3.03
ZNF831,False,3.03
ZNF528,False,3.03
AICDA,False,3.03
SEZ6L,False,3.03
NACC2,False,3.03
ELAPOR1,False,3.03
FAT3,False,3.03
ADAMTSL1,False,3.03
ANKRD17,False,3.03
NCAPH,False,3.03
ADGRB1,False,3.03
ABCE1,False,3.03
NLRP7,False,3.03
MTOR,True,3.03
RNF103,False,3.03
MYO18B,False,3.03
ESPL1,False,3.03
RYR1,False,3.03
NDST4,False,3.03
PPRC1,False,1.52
SBF2,False,1.52
PRDM16,False,1.52
SCAMP1,False,1.52
PPP4R2,False,1.52
PPP6R2,False,1.52
RNASEH2A,False,1.52
SARM1,False,1.52
SARDH,False,1.52
SACS,False,1.52
PRDM2,False,1.52
PRDM8,False,1.52
PRKAG1,False,1.52
S1PR4,False,1.52
S100A4,False,1.52
PRKCB,False,1.52
PRKCG,False,1.52
PRKN,True,1.52
PRNP,False,1.52
PROSER3,False,1.52
PRPF40B,False,1.52
PRKAG3,False,1.52
PPP1R13B,False,1.52
PPP1R9A,False,1.52
PMEPA1,False,1.52
POLE,True,1.52
PNRC1,False,1.52
SCN2A,False,1.52
SCNN1A,False,1.52
PNMA5,False,1.52
PNISR,False,1.52
PMM1,False,1.52
PLXNA2,False,1.52
POLR1A,False,1.52
PLPP7,False,1.52
SCNN1D,False,1.52
PLIN4,False,1.52
PLIN2,False,1.52
PLEKHM1,False,1.52
PLEKHH1,False,1.52
SCRIB,False,1.52
SCGB3A1,False,1.52
POLR2A,False,1.52
PPP1R3B,False,1.52
PPM1B,False,1.52
PPP1R2,False,1.52
PPP1R16B,False,1.52
PPP1CC,False,1.52
PPOX,False,1.52
PPM1K,False,1.52
PPM1G,False,1.52
SCAPER,False,1.52
PPL,False,1.52
POLR3C,False,1.52
PPAT,False,1.52
POU5F2,False,1.52
POU2F2,False,1.52
POTEJ,False,1.52
POR,False,1.52
PON3,False,1.52
SCFD1,False,1.52
PRSS45P,False,1.52
PTPN3,False,1.52
PRSS58,False,1.52
RBM25,False,1.52
RNF167,False,1.52
RBM47,False,1.52
RBM3,False,1.52
RNF208,False,1.52
RBM27,False,1.52
RNF222,False,1.52
ROBO2,False,1.52
ROPN1,False,1.52
RC3H1,False,1.52
RBM15,False,1.52
RBM10,True,1.52
RBL2,False,1.52
RBFOX2,False,1.52
RBCK1,False,1.52
RBBP6,True,1.52
RPL18A,False,1.52
RBX1,False,1.52
RC3H2,False,1.52
PSMC6,False,1.52
RGS16,False,1.52
RNF10,False,1.52
RMDN1,False,1.52
RIMKLB,False,1.52
RHBDL1,False,1.52
RGSL1,False,1.52
RGS3,False,1.52
RNF111,False,1.52
RGS12,False,1.52
RCN1,False,1.52
RFX1,False,1.52
RNF115,False,1.52
REV1,False,1.52
RECQL5,False,1.52
RNF157,False,1.52
RCOR2,False,1.52
RCN3,False,1.52
RASGRP4,False,1.52
RASGRF1,False,1.52
RPL8,False,1.52
PTS,False,1.52
RTCB,False,1.52
PZP,False,1.52
RTL1,False,1.52
RTL9,False,1.52
RTN2,False,1.52
RTRAF,False,1.52
PTTG2,False,1.52
PTPRZ1,False,1.52
RPRD2,False,1.52
RUFY3,False,1.52
PTPRA,False,1.52
RUFY4,False,1.52
RMDN2,False,1.52
PTK2,False,1.52
RUNX2,False,1.52
PSME3IP1,False,1.52
QRICH1,False,1.52
QSER1,False,1.52
R3HCC1,False,1.52
R3HDM2,False,1.52
RASGEF1B,False,1.52
PLEKHA1,False,1.52
RASAL1,False,1.52
RPS6KA5,False,1.52
RASA3,False,1.52
RASA1,False,1.52
RAPGEFL1,False,1.52
RANBP17,False,1.52
RAI14,False,1.52
RAD23B,False,1.52
RPTOR,True,1.52
RABEPK,False,1.52
RAB44,False,1.52
RREB1,False,1.52
RSKR,False,1.52
PLEKHB1,False,1.52
ABCA12,False,1.52
PLCG1,False,1.52
NOTCH1,True,1.52
NR4A1,False,1.52
NR3C1,False,1.52
NPY2R,False,1.52
NPY1R,False,1.52
NPTX2,False,1.52
NOXA1,False,1.52
NOX3,False,1.52
NOTCH3,True,1.52
NOSIP,False,1.52
NRP2,False,1.52
NOP9,False,1.52
NOM1,False,1.52
NOB1,False,1.52
NMT2,False,1.52
NMRK1,False,1.52
NLRP8,False,1.52
NLRP6,False,1.52
NLRP4,False,1.52
NRAS,True,1.52
NSMAF,False,1.52
OR13C2,False,1.52
OASL,False,1.52
OR10Z1,False,1.52
OR10K1,False,1.52
OPRK1,False,1.52
OPRD1,False,1.52
OPN4,False,1.52
OLFM2,False,1.52
OBSL1,False,1.52
OBSCN,False,1.52
OAS1,False,1.52
NT5C1A,False,1.52
NYNRIN,False,1.52
NYAP2,False,1.52
NYAP1,False,1.52
NXPE3,False,1.52
NUP205,False,1.52
NTRK3,True,1.52
NTM,False,1.52
NTF4,False,1.52
NLRP3,False,1.52
NLRP11,False,1.52
NLRP10,False,1.52
MYOM2,False,1.52
NCKAP5L,False,1.52
NCAPG2,False,1.52
NAF1,False,1.52
NACC1,False,1.52
NAA40,False,1.52
MYT1,False,1.52
MYRIP,False,1.52
MYPN,False,1.52
MYO9A,False,1.52
NLRC5,False,1.52
MYO1H,False,1.52
MYO15A,False,1.52
MYH9,False,1.52
MYH1,False,1.52
MYF6,False,1.52
MYBPHL,False,1.52
MYBPC3,False,1.52
MUC6,False,1.52
NDC80,False,1.52
NDE1,False,1.52
NDUFB5,False,1.52
NDUFS1,False,1.52
NLGN4X,False,1.52
NIPSNAP1,False,1.52
NIPBL,False,1.52
NHSL1,False,1.52
NGRN,False,1.52
NFKBIZ,False,1.52
NFIX,False,1.52
NFATC1,False,1.52
NF1,True,1.52
NEUROG1,False,1.52
NEMF,False,1.52
NEK9,False,1.52
NEK10,False,1.52
NEFL,False,1.52
NEDD4L,False,1.52
NECTIN2,False,1.52
NECAB3,False,1.52
OR11H12,False,1.52
OR1Q1,False,1.52
PLCB1,False,1.52
PCSK5,False,1.52
PECR,False,1.52
PDZRN4,False,1.52
PDZD11,False,1.52
PDS5A,False,1.52
PDK2,False,1.52
PDHA2,False,1.52
PDE4DIP,False,1.52
PDCD2L,False,1.52
PCNA,False,1.52
PER3,False,1.52
PCLO,False,1.52
PCGF3,False,1.52
PCGF1,False,1.52
PCDHGB2,False,1.52
PCDHGB1,False,1.52
PCDHA9,False,1.52
PCDHA8,False,1.52
PCDHA11,False,1.52
PEG3,False,1.52
PGBD2,False,1.52
OR1S2,False,1.52
PJA1,False,1.52
PLBD2,False,1.52
PLAA,False,1.52
PLA2G6,False,1.52
