Gene,IsJCGA,MutationPercentage
VHL,True,46.67
PBRM1,True,41.94
TTN,False,17.22
SETD2,True,12.78
BAP1,True,10.83
MUC16,False,7.5
MTOR,True,7.22
KDM5C,True,5.56
DNAH9,False,5.0
CSMD3,False,4.72
HMCN1,False,4.44
DST,False,4.44
ATM,True,4.44
KMT2C,True,4.44
FBN2,False,4.44
USH2A,False,3.89
AHNAK2,False,3.89
ANK3,False,3.89
SPEN,True,3.89
LRP2,False,3.61
PTEN,True,3.61
MUC17,False,3.61
DNAH2,False,3.61
LRP1B,False,3.33
PCLO,False,3.33
PKHD1L1,False,3.33
COL6A3,False,3.06
LRP1,False,3.06
FLG,False,3.06
PKHD1,False,3.06
XIRP2,False,3.06
SYNE1,False,3.06
DNAH3,False,3.06
ARID1A,True,3.06
MYCBP2,False,3.06
ADGRV1,False,2.78
ANK2,False,2.78
ADAMTS12,False,2.78
STAG2,True,2.78
LYST,False,2.78
MACF1,False,2.78
TP53,True,2.78
COL6A6,False,2.78
AKAP9,False,2.78
ABCA13,False,2.78
PCDH15,False,2.5
KIAA1549L,False,2.5
ROS1,True,2.5
THSD7B,False,2.5
BRCA2,True,2.5
TRIOBP,False,2.5
WDFY3,False,2.5
CSMD1,False,2.5
NEB,False,2.5
SYNE2,False,2.5
FREM2,False,2.5
MYH2,False,2.5
NPHP3,False,2.5
MYH4,False,2.5
ATRX,True,2.5
ZFHX4,False,2.5
RALGAPA1,False,2.5
SMARCA4,True,2.5
CENPF,False,2.5
FAT1,True,2.5
CUBN,False,2.22
BIRC6,False,2.22
FAT3,False,2.22
LAMA4,False,2.22
SLITRK6,False,2.22
ZEB2,False,2.22
UBR4,False,2.22
SCAF4,False,2.22
RYR1,False,2.22
PRPF8,False,2.22
EP300,True,2.22
DYNC2H1,False,2.22
DYNC1H1,False,2.22
MED13,False,2.22
RTTN,False,2.22
CNOT1,False,2.22
CELSR1,False,2.22
SPTA1,False,2.22
BAZ2B,False,2.22
RANBP2,False,2.22
FAT4,False,2.22
RYR3,False,2.22
SPHKAP,False,2.22
COL4A5,False,2.22
AHNAK,False,2.22
GRIN2B,False,2.22
VPS13C,False,2.22
RP1,False,1.94
ERBB4,True,1.94
MYO16,False,1.94
NF2,True,1.94
RELN,False,1.94
LAMA2,False,1.94
DNAH7,False,1.94
KAT6A,False,1.94
ESPL1,False,1.94
VWF,False,1.94
DENND4A,False,1.94
KMT2D,True,1.94
DNAH8,False,1.94
HYDIN,False,1.94
AFDN,False,1.94
DIP2C,False,1.94
IGF2R,False,1.94
NAV3,False,1.94
HERC1,False,1.94
THBS1,False,1.94
SVEP1,False,1.94
MAP3K4,True,1.94
NRXN1,False,1.94
CELSR2,False,1.94
FBN1,False,1.94
COL1A2,False,1.94
ABCA1,False,1.94
RYR2,False,1.94
COL5A3,False,1.94
MAST4,False,1.94
NYNRIN,False,1.94
PRKDC,False,1.94
PRUNE2,False,1.94
ROCK1,False,1.94
ABCA7,False,1.94
MTUS2,False,1.94
LAMB1,False,1.94
ALMS1,False,1.94
CHD4,False,1.94
USP34,False,1.94
CHD7,False,1.94
NOTCH2,True,1.94
MUC2,False,1.94
POLR2A,False,1.67
ARHGAP35,False,1.67
NEXMIF,False,1.67
CACNA1S,False,1.67
MKI67,False,1.67
KCNH7,False,1.67
CLTC,False,1.67
EEA1,False,1.67
CHD6,False,1.67
UBR1,False,1.67
ADGRG4,False,1.67
PDZD2,False,1.67
MEGF10,False,1.67
APOB,False,1.67
COL11A1,False,1.67
TLN2,False,1.67
JMJD7-PLA2G4B,False,1.67
SLC12A2,False,1.67
MAX,True,1.67
DCDC1,False,1.67
DOCK2,False,1.67
MRC1,False,1.67
LAMC2,False,1.67
PCDH7,False,1.67
ALPK2,False,1.67
DDX46,False,1.67
PCDH10,False,1.67
