Gene,IsJCGA,MutationPercentage
APC,True,73.22
TP53,True,59.13
TTN,False,44.87
KRAS,True,41.74
SYNE1,False,26.43
MUC16,False,25.04
PIK3CA,True,25.04
FAT4,False,21.04
RYR2,False,17.91
ZFHX4,False,17.04
LRP1B,False,16.87
OBSCN,False,16.7
CSMD3,False,16.0
FBXW7,True,15.83
DNAH5,False,15.65
CSMD1,False,15.3
DNAH11,False,14.78
PCLO,False,13.91
FAT3,False,13.74
USH2A,False,13.57
ABCA13,False,13.57
RYR1,False,13.39
RYR3,False,13.39
NEB,False,13.04
ADGRV1,False,12.87
SOX9,True,12.35
DST,False,12.0
LRP2,False,12.0
SMAD4,True,12.0
ATM,True,11.83
AMER1,True,11.83
FLG,False,11.65
CACNA1E,False,11.65
HYDIN,False,11.65
DMD,False,11.48
CSMD2,False,11.48
SACS,False,11.48
ARID1A,True,11.3
DOCK3,False,11.3
BRAF,True,11.13
KMT2D,True,10.96
HMCN1,False,10.96
SDK1,False,10.96
RNF43,True,10.78
MUC5B,False,10.78
SYNE2,False,10.78
SPTA1,False,10.78
NBEA,False,10.61
MDN1,False,10.61
XIRP2,False,10.61
KIAA1109,False,10.43
UNC13C,False,10.43
ANK2,False,10.26
ANK3,False,10.26
DNAH10,False,10.26
PCDH15,False,10.26
TRPS1,False,10.26
DNAH8,False,9.91
COL12A1,False,9.91
AHNAK2,False,9.91
DNAH7,False,9.74
ROBO2,False,9.74
PCDH17,False,9.74
COL6A3,False,9.57
MACF1,False,9.57
ACVR2A,False,9.39
TENM3,False,9.39
VPS13B,False,9.39
KMT2C,True,9.39
CUBN,False,9.39
MYCBP2,False,9.39
DNAH17,False,9.39
TNXB,False,9.39
ERBB4,True,9.22
MXRA5,False,9.22
HERC2,False,9.22
KMT2B,False,9.22
DSCAM,False,9.22
DNAH2,False,9.22
RIMS1,False,9.04
FREM2,False,9.04
PTPRT,True,9.04
DNAH3,False,9.04
NRXN1,False,9.04
HECW1,False,9.04
NALCN,False,8.87
DYNC2H1,False,8.87
TSHZ3,False,8.87
FAT2,False,8.87
LRP1,False,8.87
LRRK2,False,8.87
TMEM132D,False,8.7
RELN,False,8.7
TENM1,False,8.7
DSCAML1,False,8.7
ZFHX3,False,8.7
PCDH9,False,8.7
TCF7L2,True,8.7
FRY,False,8.7
RNF213,False,8.7
BMPR2,False,8.52
IGF2R,False,8.35
FNDC1,False,8.35
LAMA2,False,8.35
DNAH9,False,8.35
NAV3,False,8.35
PCDH11X,False,8.35
FAT1,True,8.35
HECTD4,False,8.35
AKAP9,False,8.35
COL11A1,False,8.35
ROBO1,False,8.35
RP1,False,8.35
ZNF536,False,8.17
FCGBP,False,8.17
ASH1L,False,8.17
PKHD1,False,8.17
ASPM,False,8.17
PRKDC,False,8.17
GRIK2,False,8.17
SRCAP,False,8.17
ATP10A,False,8.17
LAMA1,False,8.0
FRYL,False,8.0
SCN1A,False,8.0
APOB,False,8.0
VCAN,False,8.0
FBN1,False,7.83
UNC79,False,7.83
BCL9L,False,7.83
FBN3,False,7.83
COL7A1,False,7.83
DYSF,False,7.83
PDZD2,False,7.83
MUC17,False,7.83
ZDBF2,False,7.83
DOCK2,False,7.83
LAMA5,False,7.83
MYO3A,False,7.65
LRRIQ1,False,7.65
PCDH10,False,7.65
AHNAK,False,7.65
GRIN2A,False,7.65
CDH9,False,7.65
TNC,False,7.65
ABCA12,False,7.65
