Gene,IsJCGA,MutationPercentage
TTN,False,72.1
MUC16,False,66.52
BRAF,True,50.21
DNAH5,False,49.36
PCLO,False,44.64
LRP1B,False,38.63
ADGRV1,False,35.41
ANK3,False,33.69
DNAH7,False,33.26
CSMD1,False,33.26
MGAM,False,32.4
PKHD1L1,False,32.19
XIRP2,False,32.19
RP1,False,32.19
HYDIN,False,31.76
FAT4,False,31.55
DSCAM,False,30.9
APOB,False,30.9
FLG,False,30.47
DNAH8,False,30.26
USH2A,False,30.04
CSMD3,False,30.04
THSD7B,False,29.61
MUC17,False,29.61
CSMD2,False,29.4
FAT3,False,29.4
DNAH9,False,29.18
DNAH3,False,27.68
MXRA5,False,27.47
SPHKAP,False,27.25
NRAS,True,27.25
PTPRT,True,26.61
ZFHX4,False,25.97
PCDH15,False,24.89
SYNE1,False,24.89
FAM135B,False,24.68
COL4A4,False,24.46
SCN11A,False,24.46
SPTA1,False,24.03
MYH2,False,24.03
ASXL3,False,23.82
MROH2B,False,23.82
SCN10A,False,23.61
PAPPA2,False,23.61
GRIN2A,False,23.61
RYR1,False,23.18
UNC13C,False,22.96
ERICH3,False,22.96
MYH1,False,22.75
RYR2,False,22.75
DNAH11,False,22.53
DCC,False,22.53
NEB,False,22.1
FLG2,False,22.1
DNAH10,False,21.89
NPAP1,False,21.67
DMBT1,False,21.67
LRP2,False,21.46
CD163,False,21.24
MYH4,False,21.03
TRANK1,False,21.03
SI,False,21.03
CACNA1E,False,21.03
OBSCN,False,21.03
PREX2,False,20.82
TLL1,False,20.6
CNTNAP2,False,20.6
ANKRD30A,False,20.6
TNXB,False,20.39
CMYA5,False,20.17
ADGRG4,False,20.17
MAGEC1,False,20.17
PLCB4,False,20.17
STXBP5L,False,19.96
ZNF831,False,19.96
CNTN5,False,19.96
KCNB2,False,19.74
ZNF804A,False,19.74
C6,False,19.53
ROS1,True,19.53
COL3A1,False,19.31
MECOM,False,19.31
MYO18B,False,19.31
MYH8,False,19.31
TENM3,False,19.1
PTPRB,False,18.88
ARMC4,False,18.67
RELN,False,18.67
SVEP1,False,18.67
SCN5A,False,18.45
STAB2,False,18.45
DSP,False,18.45
NEXMIF,False,18.24
ADAM18,False,18.24
PEG3,False,18.24
COL11A1,False,18.03
ADAMTS20,False,18.03
TENM1,False,18.03
RYR3,False,18.03
ADGRB3,False,17.81
DNAH2,False,17.81
TACC2,False,17.81
TNR,False,17.6
SORL1,False,17.6
FAM83B,False,17.6
CRB1,False,17.6
COL5A1,False,17.6
NLRP8,False,17.6
ABCA12,False,17.38
PCDH18,False,17.38
RP1L1,False,17.38
COL7A1,False,17.38
UNC79,False,17.38
DNAH17,False,17.17
PRUNE2,False,17.17
TPTE,False,17.17
SNCAIP,True,17.17
CD163L1,False,17.17
ZBED9,False,17.17
ZNF536,False,17.17
PTPRD,False,16.95
HMCN1,False,16.95
MORC1,False,16.95
TMEM132B,False,16.95
COL22A1,False,16.95
COL21A1,False,16.95
DSG4,False,16.95
SCN1A,False,16.74
ZDBF2,False,16.74
FCGBP,False,16.74
COL4A5,False,16.74
DPYD,True,16.74
NOS1,False,16.52
ADAMTS18,False,16.52
FRAS1,False,16.52
ABCA13,False,16.52
FLNC,False,16.31
SLIT2,False,16.31
PPP1R3A,False,16.31
KIAA1217,False,16.31
MYOCD,True,16.31
SCN9A,False,16.09
ST18,False,16.09
KALRN,False,16.09
SALL1,False,16.09
ERBB4,True,15.88
ALPK2,False,15.88
LPA,False,15.88
AHNAK2,False,15.88
BRINP3,False,15.88
NLRP5,False,15.67
PAK5,False,15.67
NDST4,False,15.67
SORCS3,False,15.67
FMN2,False,15.67
PXDNL,False,15.45
PAPPA,False,15.45
FER1L6,False,15.45
ASTN1,False,15.45
KCNH5,False,15.24
LAMA2,False,15.24
TP63,True,15.24
PCSK5,False,15.24
ERC2,False,15.24
DSC3,False,15.24
KCNT2,False,15.24
CDH6,False,15.02
ZFPM2,False,15.02
ACAN,False,15.02
COL6A3,False,15.02
ANO4,False,15.02
CFTR,False,15.02
ZAN,False,15.02
COL5A3,False,14.81
NBEA,False,14.81
KCNH7,False,14.81
EPHA6,False,14.81
TRHDE,False,14.81
SPEF2,False,14.81
NWD1,False,14.81
ADAM7,False,14.81
GRIN2B,False,14.81
CPAMD8,False,14.59
FCRL5,False,14.59
C7,False,14.59
CFAP54,False,14.59
TAF1L,False,14.59
VWF,False,14.59
CACNA2D3,False,14.59
MUC5B,False,14.38
GRID2,False,14.38
PLCE1,False,14.38
BSN,False,14.38
PLCH1,False,14.38
NOTCH4,False,14.38
SAMD9L,False,14.38
