Gene,IsJCGA,MutationPercentage
KMT2D,True,27.66
BTG2,True,27.66
B2M,True,23.4
PIM1,True,21.28
IGHG1,False,21.28
CARD11,True,21.28
PCLO,False,19.15
IGHG2,False,19.15
H1-4,False,19.15
P2RY8,True,17.02
FAT4,False,17.02
KLHL6,True,17.02
IGLV3-1,False,17.02
LRP1B,False,14.89
ASXL3,False,14.89
ZFHX4,False,14.89
NFKBIE,False,14.89
SOCS1,True,14.89
IGHV2-70,False,14.89
IGHM,False,14.89
TMSB4X,False,14.89
MUC16,False,14.89
H1-2,False,14.89
ITPKB,False,12.77
STAT3,True,12.77
CSMD1,False,12.77
CSMD3,False,12.77
IGLC3,False,12.77
BTG1,True,12.77
CREBBP,True,12.77
IRF4,True,12.77
DDX3X,False,10.64
ARHGAP21,False,10.64
MAGI2,False,10.64
SGK1,True,10.64
CNTNAP5,False,10.64
TP53,True,10.64
GABRG3,False,10.64
UBR4,False,10.64
USH2A,False,10.64
IGLV4-60,False,10.64
FLNC,False,10.64
ZNF208,False,10.64
CIITA,False,10.64
SYNE1,False,10.64
PLCB1,False,10.64
ARID1A,True,10.64
TNFAIP3,True,10.64
IRF8,False,10.64
PCDH15,False,8.51
IGHG4,False,8.51
SPTBN4,False,8.51
PRDM9,False,8.51
IGHE,False,8.51
IGHA2,False,8.51
NCAM2,False,8.51
NBEA,False,8.51
TENM4,False,8.51
MPDZ,False,8.51
TET2,True,8.51
MPEG1,False,8.51
UACA,False,8.51
DSEL,False,8.51
PAX5,True,8.51
PCDH17,False,8.51
MEF2B,True,8.51
STAT6,False,8.51
FAT1,True,8.51
CSNK2A1,False,8.51
DNAH5,False,8.51
COL11A1,False,8.51
IGKV1-5,False,8.51
COL21A1,False,8.51
IGLC2,False,8.51
TTN,False,8.51
KLF2,False,8.51
LAMA1,False,8.51
KDR,True,8.51
PCSK5,False,8.51
IGLL5,False,8.51
DUSP2,False,8.51
LRP2,False,8.51
TNFRSF14,True,8.51
PDE3A,False,8.51
ADCY2,False,8.51
CD70,True,8.51
ADGRB3,False,8.51
SCN7A,False,8.51
HLA-B,False,8.51
CHRM3,False,8.51
TMEM30A,False,8.51
H1-3,False,8.51
SCN9A,False,8.51
NFKBIA,True,8.51
LRRN3,False,8.51
ACTG1,False,8.51
CD79B,True,8.51
ATG4C,False,6.38
EGR1,False,6.38
XIRP2,False,6.38
MTMR1,False,6.38
CACNA1H,False,6.38
MSLN,False,6.38
INTS3,False,6.38
GRIA2,False,6.38
ASPM,False,6.38
LRRTM1,False,6.38
EFNB1,False,6.38
GRID1,False,6.38
PRKDC,False,6.38
PRDM1,True,6.38
WDR72,False,6.38
PRDM15,False,6.38
ADGRL2,False,6.38
MTUS1,False,6.38
KRAS,True,6.38
TLN2,False,6.38
ZBTB40,False,6.38
MYD88,True,6.38
GOLGA4,False,6.38
IGLV4-69,False,6.38
PCDH7,False,6.38
ERBB4,True,6.38
SLC45A1,False,6.38
CD83,False,6.38
ZNF608,False,6.38
GP2,False,6.38
MUSK,False,6.38
MAST4,False,6.38
EPHA6,False,6.38
LTB,False,6.38
PCDH1,False,6.38
MUC5B,False,6.38
CSK,False,6.38
KLHL14,False,6.38
ROBO1,False,6.38
ATP10B,False,6.38
RIMS2,False,6.38
CXCR4,True,6.38
DYNC2H1,False,6.38
SPEN,True,6.38
SPHKAP,False,6.38
H2AC15,False,6.38
DMBT1,False,6.38
H2AC17,False,6.38
KALRN,False,6.38
DLGAP3,False,6.38
DLGAP2,False,6.38
BIVM-ERCC5,False,6.38
POU2F2,False,6.38
UNC13B,False,6.38
SRSF1,False,6.38
NOTCH2,True,6.38
STAG2,True,6.38
DGKI,False,6.38
H2AC8,False,6.38
POLQ,False,6.38
PABPC1,False,6.38
BRAF,True,6.38
H1-5,False,6.38
DNAH9,False,6.38
PLXNB3,False,6.38
PARD3,False,6.38
NLRP5,False,6.38
MPP7,False,6.38
IGLV4-3,False,6.38
CDH20,False,6.38
DST,False,6.38
ATR,True,6.38
DSG1,False,6.38
REV3L,False,6.38
UBE2A,False,6.38
BCL11B,False,6.38
SWAP70,False,6.38
STYXL2,False,6.38
H2BC21,False,6.38
PPP1R3A,False,6.38
PPP1R36,False,6.38
DOCK5,False,6.38
OSBPL10,False,6.38
VCAN,False,6.38
MYH1,False,6.38
PLCE1,False,6.38
CNTN1,False,6.38
COL3A1,False,6.38
AMOTL1,False,6.38
AGTR2,False,6.38
CCDC88B,False,6.38
TPO,False,6.38
COL22A1,False,6.38
IGKV1D-8,False,6.38
HLA-A,False,6.38
SCN1A,False,6.38
CHD8,False,6.38
NAV3,False,6.38
CHD5,False,6.38
FAS,True,6.38
LYST,False,6.38
LIMD2,False,6.38
ANKHD1-EIF4EBP3,False,6.38
MYO9A,False,6.38
CD58,False,6.38
NOX4,False,6.38
MYO9B,False,6.38
ACTB,False,6.38
AMOT,False,6.38
IGKC,False,6.38
IGHV4-34,False,6.38
IGHV4-31,False,6.38
PTPN6,False,6.38
TRPM3,False,6.38
RAF1,True,6.38
THSD7A,False,6.38
FOXC1,False,6.38
IGLV3-25,False,6.38
IGLV3-16,False,6.38
HMCN1,False,6.38
TBL1XR1,False,6.38
NFKB2,False,6.38
MAGEL2,False,6.38
ZNF454,False,6.38
CHTF18,False,6.38
MAGI1,False,6.38
ADAMTS18,False,6.38
EYS,False,6.38
NEB,False,6.38
IGKV4-1,False,6.38
CILP2,False,6.38
PIWIL1,False,6.38
IGHV1-69,False,6.38
PTPRZ1,False,6.38
CNTRL,False,6.38
SEMA3C,False,6.38
IGKV3-20,False,6.38
LAMA5,False,6.38
DACH2,False,4.26
CMYA5,False,4.26
DACT1,False,4.26
KIF13A,False,4.26
CEP164,False,4.26
TIAM1,False,4.26
PIGW,False,4.26
THRB,False,4.26
DAB1,False,4.26
CNOT3,False,4.26
DCHS1,False,4.26
PLXNB2,False,4.26
CLCA2,False,4.26
POLR2A,False,4.26
PGR,False,4.26
PHF12,False,4.26
ST7L,False,4.26
LMO7,False,4.26
TGFBR3,False,4.26
STAP2,False,4.26
TMEM201,False,4.26
KCNQ3,False,4.26
KCNT1,False,4.26
CEP104,False,4.26
DAZAP1,False,4.26
PHOX2B,True,4.26
LIMS1,False,4.26
PEG3,False,4.26
KCNU1,False,4.26
KCTD20,False,4.26
TENM3,False,4.26
CEP126,False,4.26
TENM1,False,4.26
LIMD1,False,4.26
DCAF8,False,4.26
STXBP3,False,4.26
PKHD1L1,False,4.26
KIF1A,False,4.26
CRYBG1,False,4.26
CHD3,False,4.26
COL24A1,False,4.26
TLR3,False,4.26
TLR2,False,4.26
KRT12,False,4.26
CSNK1A1,False,4.26
COL4A1,False,4.26
TLN1,False,4.26
TLL2,False,4.26
