Gene,IsJCGA,MutationPercentage
PTEN,True,63.73
PIK3CA,True,47.54
ARID1A,True,43.44
TP53,True,37.09
TTN,False,35.25
PIK3R1,True,30.94
KMT2D,True,24.18
CTNNB1,True,23.57
CTCF,True,22.34
MUC16,False,21.31
CSMD3,False,20.29
KMT2B,False,19.67
ZFHX3,False,19.67
RYR2,False,19.26
DST,False,18.03
OBSCN,False,18.03
KRAS,True,17.83
RPL22,False,17.21
CHD4,False,17.21
RNF43,True,17.01
ZFHX4,False,16.8
MUC5B,False,16.8
FAT1,True,16.6
SYNE1,False,16.39
ARHGAP35,False,16.39
TAF1,False,16.39
MACF1,False,16.39
DNAH7,False,16.39
FAT4,False,16.19
FBXW7,True,15.98
PCLO,False,15.57
ATM,True,15.37
DOCK3,False,15.37
USH2A,False,15.16
LRP1B,False,15.16
DMD,False,15.16
DNAH5,False,15.16
CHD3,False,14.96
FAT3,False,14.96
JAK1,True,14.96
RYR1,False,14.96
DNAH10,False,14.75
LRP2,False,14.55
HUWE1,False,14.34
NSD1,False,14.34
RYR3,False,14.34
NEB,False,14.34
ZNF292,False,14.14
MDN1,False,14.14
TENM1,False,13.93
HMCN1,False,13.93
NBEA,False,13.93
FAT2,False,13.93
MED12,True,13.93
MKI67,False,13.73
KMT2C,True,13.73
HERC2,False,13.73
AHNAK,False,13.52
PPP2R1A,True,13.52
FLG,False,13.52
CSMD1,False,13.52
ABCA13,False,13.52
DNAH8,False,13.52
AHNAK2,False,13.32
ADGRV1,False,13.32
CACNA1E,False,13.32
SYNE2,False,13.32
SACS,False,13.32
BCOR,True,13.11
UBR4,False,13.11
ADGRG4,False,12.91
ARID5B,False,12.91
PRKDC,False,12.91
LAMA2,False,12.91
LRP1,False,12.91
INPPL1,False,12.91
APOB,False,12.7
DNAH11,False,12.7
FGFR2,True,12.7
DNAH2,False,12.7
ANK3,False,12.5
NIPBL,False,12.5
ACVR2A,False,12.5
TRRAP,False,12.5
MUC17,False,12.3
POLE,True,12.3
CEP290,False,12.3
USP9X,False,12.3
PKHD1L1,False,12.09
AKAP9,False,12.09
SPTA1,False,12.09
BCORL1,True,12.09
DNAH9,False,12.09
DYNC2H1,False,11.89
CSMD2,False,11.89
TENM3,False,11.89
SYCP2,False,11.89
SZT2,False,11.89
UTRN,False,11.89
ASPM,False,11.89
KIAA1109,False,11.68
TRIO,False,11.68
ABCA12,False,11.68
PCDH15,False,11.68
DYNC1H1,False,11.68
ASH1L,False,11.68
TG,False,11.48
XIRP2,False,11.48
DCHS1,False,11.48
DNAH3,False,11.48
MGA,False,11.48
LRRK2,False,11.48
TTK,False,11.48
FRAS1,False,11.48
FLNA,False,11.48
SI,False,11.48
DOCK11,False,11.27
USP34,False,11.27
MSH6,True,11.27
ESRP1,False,11.27
F8,False,11.07
NCOR2,False,11.07
IGF2R,False,11.07
SEC31A,False,11.07
KANSL1,False,11.07
WDTC1,False,11.07
MYO3A,False,11.07
VPS13A,False,11.07
CEP350,False,11.07
DNAH1,False,10.86
NAV2,False,10.86
HECTD4,False,10.86
CUBN,False,10.86
TTC3,False,10.86
FCGBP,False,10.86
DNAH17,False,10.86
BSN,False,10.86
ATRX,True,10.86
KALRN,False,10.66
CDH23,True,10.66
MIS18BP1,False,10.66
NF1,True,10.66
LYST,False,10.66
BRCA2,True,10.66
FBN3,False,10.66
PKHD1,False,10.66
REV3L,False,10.66
SCAF4,False,10.66
NAV3,False,10.45
MYO10,False,10.45
APC,True,10.45
CHD6,False,10.45
FN1,False,10.45
CACNA1D,False,10.45
ANK2,False,10.45
FBN2,False,10.45
CREBBP,True,10.25
COL11A1,False,10.25
ATR,True,10.25
RANBP2,False,10.25
ITPR1,False,10.25
FAM135B,False,10.25
PLXNA4,False,10.25
BRWD3,False,10.25
VPS13D,False,10.25
SMG1,False,10.25
BIRC6,False,10.25
SETX,False,10.25
UTP20,False,10.25
MAP3K1,True,10.25
KMT2A,True,10.25
DICER1,True,10.04
DCC,False,10.04
LAMA1,False,10.04
SPEG,False,10.04
DMXL2,False,10.04
MYO16,False,10.04
RB1,True,10.04
ITPR2,False,10.04
SVEP1,False,10.04
WDFY3,False,10.04
SVIL,False,10.04
TSHZ3,False,10.04
DSCAM,False,10.04
EP300,True,10.04
SRCAP,False,10.04
FLNB,False,10.04
IRS4,False,10.04
MEGF8,False,10.04
EP400,False,10.04
HERC1,False,9.84
RBM27,False,9.84
FREM1,False,9.84
RNF213,False,9.84
LMAN1,False,9.84
COL6A3,False,9.84
CNTNAP5,False,9.84
CHD7,False,9.84
SDK1,False,9.84
MYCBP2,False,9.84
MYO15A,False,9.84
PDS5B,False,9.63
RELN,False,9.63
TAF1L,False,9.63
NFASC,False,9.63
MXRA5,False,9.63
GREB1,False,9.63
UNC79,False,9.63
CMYA5,False,9.63
DMXL1,False,9.63
GTF3C1,False,9.43
FLNC,False,9.43
PXDN,False,9.43
HTT,False,9.43
FBN1,False,9.43
COL5A1,False,9.43
ALMS1,False,9.43
MYO18B,False,9.43
IGSF9B,False,9.43
NCOR1,True,9.43
CHD8,False,9.43
CELSR1,False,9.43
PPP1R3A,False,9.43
CUX1,False,9.43
ALPK2,False,9.43
SAMD9L,False,9.22
DOCK2,False,9.22
GPR179,False,9.22
ZMYM2,False,9.22
HYDIN,False,9.22
PTPRD,False,9.22
PXDNL,False,9.22
SIPA1L1,False,9.22
ZMYM3,False,9.22
HSPG2,False,9.22
MYO9A,False,9.22
USP35,False,9.22
VPS13B,False,9.22
TRPM3,False,9.22
NAV1,False,9.22
KIAA1217,False,9.02
ARID4B,False,9.02
SCN9A,False,9.02
CFAP47,False,9.02
DOCK10,False,9.02
TEX15,False,9.02
JMJD1C,False,9.02
SPAG17,False,9.02
MYH7,False,9.02
TNRC18,False,9.02
SALL4,True,9.02
PLXNA2,False,9.02
PLEC,False,9.02
UBR5,False,9.02
LAMA3,False,9.02
USF3,False,9.02
CNTN6,False,9.02
PKD1,False,9.02
KIF21A,False,9.02
PCDH19,False,9.02
TNXB,False,9.02
CACNA1F,False,9.02
MED13L,False,9.02
ANKRD11,False,9.02
FRY,False,8.81
CNTNAP2,False,8.81
SCN1A,False,8.81
PKD1L1,False,8.81
ANK1,False,8.81
STAB2,False,8.81
VPS13C,False,8.81
MAP1B,False,8.81
ROCK1,False,8.81
ZAN,False,8.81
SHROOM2,False,8.81
DSP,False,8.81
SPTBN1,False,8.81
SHPRH,False,8.81
DOCK7,False,8.81
NOTCH3,True,8.81
MYH2,False,8.81
SEC16A,False,8.81
ROS1,True,8.81
NALCN,False,8.81
PTPRB,False,8.81
CELSR2,False,8.81
UNC13C,False,8.81
COL7A1,False,8.81
MYO7A,False,8.81
LCT,False,8.81
ZNF462,False,8.81
DIDO1,False,8.81
HIVEP2,False,8.81
ATAD2,False,8.81
USP26,False,8.61
DOCK8,False,8.61
RBBP6,True,8.61
AKAP6,False,8.61
MED12L,False,8.61
NHS,False,8.61
LRBA,False,8.61
NCKAP5,False,8.61
PLXNB2,False,8.61
RIMS2,False,8.61
MBD6,False,8.61
CHL1,False,8.61
GLI3,False,8.61
SPTBN5,False,8.61
PLCE1,False,8.61
SCN11A,False,8.61
FNDC1,False,8.61
SMC6,False,8.61
THOC2,False,8.61
CDH10,False,8.61
MYH1,False,8.61
VWF,False,8.61
FRYL,False,8.61
VCAN,False,8.61
PDZD2,False,8.61
FREM2,False,8.61
KDM3B,False,8.61
ACACB,False,8.61
MGAM,False,8.61
LRRC7,False,8.61
NID2,False,8.4
ANKRD30A,False,8.4
ROBO1,False,8.4
KNTC1,False,8.4
SPOP,True,8.4
SPECC1,False,8.4
IGSF10,False,8.4
DOP1A,False,8.4
MYH3,False,8.4
SCN10A,False,8.4
HECW2,False,8.4
PPFIA2,False,8.4
SPEN,True,8.4
HCFC1,False,8.4
AKAP13,False,8.4
F5,False,8.4
SETD2,True,8.4
TENM4,False,8.4
PCDHA12,False,8.4
TRIP12,False,8.4
LRRIQ1,False,8.4
DSCAML1,False,8.4
CAMTA2,False,8.4
SORL1,False,8.4
BTAF1,False,8.4
KIF26B,False,8.4
MSH3,True,8.4
ATP2A1,False,8.4
CACNA1B,False,8.4
KIAA0100,False,8.2
TCERG1,False,8.2
CACNA1C,False,8.2
ANKHD1-EIF4EBP3,False,8.2
ZNF236,False,8.2
SLITRK3,False,8.2
NRIP1,False,8.2
TRPM6,False,8.2
IQSEC2,False,8.2
ZDBF2,False,8.2
KIAA2026,False,8.2
MYH15,False,8.2
ASCC3,False,8.2
CIT,False,8.2
CUL9,False,8.2
CAD,False,8.2
DOCK1,False,8.2
DGKK,False,8.2
HEATR1,False,8.2
RP1L1,False,8.2
MTOR,True,8.2
ASXL3,False,8.2
SIN3A,False,8.2
NUP210L,False,8.2
PCNT,False,8.2
GPR158,False,8.2
GOLGB1,False,8.2
PCDHA9,False,8.2
C3,False,8.2
HIVEP3,False,8.2
HIVEP1,False,8.2
AFF2,False,7.99
ADNP,False,7.99
ICE1,False,7.99
MUC4,False,7.99
TRANK1,False,7.99
NRK,False,7.99
BRWD1,False,7.99
AHCTF1,False,7.99
MORC4,False,7.99
PRRC2C,False,7.99
PHKA2,False,7.99
ITPR3,False,7.99
SPTAN1,False,7.99
GSE1,False,7.99
KIAA1210,False,7.99
TCF20,False,7.99
MAGEC1,False,7.99
CACNA1A,False,7.99
COL12A1,False,7.99
QSER1,False,7.99
SCN3A,False,7.99
C6,False,7.99
POLQ,False,7.99
SOS1,True,7.99
POLA1,False,7.99
MYOM1,False,7.99
MAGEC3,False,7.99
ZNF536,False,7.99
CAMSAP2,False,7.99
NES,False,7.99
HECW1,False,7.99
RASA1,False,7.99
WWC3,False,7.99
COBLL1,False,7.99
ANKRD26,False,7.99
BIVM-ERCC5,False,7.79
KIDINS220,False,7.79
DYRK1A,False,7.79
TRIOBP,False,7.79
ANKRD17,False,7.79
DYSF,False,7.79
PRUNE2,False,7.79
ALG13,False,7.79
RAI1,False,7.79
ROBO2,False,7.79
DMBT1,False,7.79
DHX9,False,7.79
