Gene,IsJCGA,MutationPercentage
TP53,True,78.41
TTN,False,48.86
SYNE1,False,29.55
MUC16,False,28.41
LRP1B,False,23.86
HMCN1,False,21.59
CSMD3,False,21.59
PCLO,False,19.32
SPTA1,False,18.18
CSMD1,False,18.18
RYR2,False,17.05
LAMA1,False,17.05
FLG,False,15.91
DNAH5,False,15.91
IVL,False,14.77
RIMS1,False,14.77
RYR3,False,14.77
PCDH15,False,14.77
PEG3,False,13.64
UNC13C,False,13.64
USH2A,False,13.64
ARID1A,True,13.64
SACS,False,12.5
SCN5A,False,12.5
DYNC2H1,False,12.5
NBEA,False,12.5
FAT3,False,12.5
LRRK2,False,12.5
PREX2,False,12.5
PCDH9,False,11.36
DNAH11,False,11.36
CDKN2A,True,11.36
DOCK3,False,11.36
ZFHX4,False,11.36
ZNF208,False,11.36
ERBB2,True,11.36
MUC6,False,11.36
ABCA12,False,11.36
DOCK2,False,11.36
SMAD4,True,11.36
PXDN,False,11.36
LRP2,False,11.36
ERBB4,True,11.36
ANKRD30A,False,10.23
PTPRD,False,10.23
CUBN,False,10.23
ZNF804B,False,10.23
DNAH10,False,10.23
ROBO2,False,10.23
XIRP2,False,10.23
COL11A1,False,10.23
ADGRV1,False,10.23
TPTE,False,10.23
HUWE1,False,10.23
NAV3,False,10.23
ASXL3,False,9.09
PKHD1L1,False,9.09
LRRIQ1,False,9.09
TENM1,False,9.09
PROX1,False,9.09
PCDHB3,False,9.09
DNAH9,False,9.09
FAM47C,False,9.09
CNTNAP5,False,9.09
RIMS2,False,9.09
TRHDE,False,9.09
SCN9A,False,9.09
NEB,False,9.09
SORCS3,False,9.09
PTPRT,True,7.95
CDH11,False,7.95
BRINP1,False,7.95
FBN1,False,7.95
TLN2,False,7.95
KCNT2,False,7.95
APC,True,7.95
FBN2,False,7.95
CYLC1,False,7.95
FAT4,False,7.95
APOB,False,7.95
NME8,False,7.95
EPB41L3,False,7.95
SI,False,7.95
ASTN1,False,7.95
FMN2,False,7.95
SCN3A,False,7.95
OR4C16,False,7.95
OBSCN,False,7.95
ABCA13,False,7.95
ADAMTS16,False,7.95
DMD,False,7.95
FOXG1,False,7.95
HSPG2,False,7.95
TMEM132D,False,7.95
PCNX3,False,7.95
PDZD2,False,7.95
SDK1,False,7.95
DCC,False,7.95
TRPS1,False,7.95
KCNMA1,False,7.95
MYO16,False,7.95
FAM135B,False,7.95
HCN1,False,7.95
SLITRK5,False,7.95
ZNF521,False,7.95
ADAMTS19,False,6.82
HEATR5B,False,6.82
MYT1L,False,6.82
DCDC1,False,6.82
AHNAK2,False,6.82
MXRA5,False,6.82
SCN7A,False,6.82
HERC2,False,6.82
ZC3H18,False,6.82
ZFPM2,False,6.82
SEMA6D,False,6.82
PPP1R3A,False,6.82
TG,False,6.82
LRP12,False,6.82
SETBP1,True,6.82
EYS,False,6.82
ADGRL2,False,6.82
THSD7B,False,6.82
OR10Z1,False,6.82
PCDHA12,False,6.82
KCNQ3,False,6.82
SIGLEC1,False,6.82
LRRTM4,False,6.82
WDR17,False,6.82
DSEL,False,6.82
ADAMTS12,False,6.82
NRXN1,False,6.82
CSMD2,False,6.82
TUBA3C,False,6.82
ARHGAP28,False,6.82
GALNT17,False,6.82
PLXNA4,False,6.82
CHRM2,False,6.82
PCDHB8,False,6.82
SALL1,False,6.82
TRPM3,False,6.82
NLGN1,False,6.82
MROH2B,False,6.82
SNTG1,False,6.82
PLCL1,False,6.82
ZSCAN1,False,6.82
TRIM49,False,6.82
CLSTN2,False,6.82
ANK3,False,6.82
CPS1,False,6.82
FLG2,False,6.82
CNTN1,False,6.82
CNTN3,False,6.82
PRAMEF15,False,6.82
COL12A1,False,6.82
FOLH1,False,6.82
FNDC1,False,6.82
KMT2E,False,6.82
TRAM1L1,False,6.82
KMT2C,True,6.82
NETO1,False,6.82
SAMD9L,False,6.82
AFF2,False,6.82
MAGEE2,False,6.82
NRG1,True,6.82
GREB1,False,6.82
USP29,False,6.82
TENM4,False,6.82
TENM3,False,6.82
PXDNL,False,6.82
PCDH11X,False,6.82
ZNF536,False,6.82
UNC5C,False,6.82
NRG3,False,6.82
PCDH10,False,6.82
GRM1,False,6.82
KIAA1755,False,6.82
GRIA1,False,6.82
MRC1,False,6.82
CD1E,False,6.82
FBXW7,True,6.82
PKD1,False,6.82
MUC5B,False,6.82
MAGEE1,False,6.82
LAMA5,False,6.82
CDH9,False,6.82
ANGPT1,False,5.68
DNAH7,False,5.68
TDRD5,False,5.68
SCN2A,False,5.68
ZNF43,False,5.68
ARID1B,True,5.68
DLG2,False,5.68
MUC17,False,5.68
ANK2,False,5.68
OR5D13,False,5.68
PDE10A,False,5.68
RBM27,False,5.68
ANKRD50,False,5.68
OR5L2,False,5.68
IGSF10,False,5.68
SATB2,False,5.68
ZNF292,False,5.68
OR5D14,False,5.68
ARHGAP31,False,5.68
KMT2B,False,5.68
EVC,False,5.68
SLITRK3,False,5.68
TSPOAP1,False,5.68
CHD3,False,5.68
NDST4,False,5.68
SMARCA4,True,5.68
SPEF2,False,5.68
TTK,False,5.68
NCKAP5,False,5.68
CHL1,False,5.68
CDHR3,False,5.68
SLCO1B3,False,5.68
CTNND1,False,5.68
FCGBP,False,5.68
NAV2,False,5.68
MAP2,False,5.68
PLXNB1,False,5.68
SPATA31D1,False,5.68
POLE,True,5.68
CNTN4,False,5.68
NES,False,5.68
COL6A3,False,5.68
COL5A1,False,5.68
COL3A1,False,5.68
CNTNAP4,False,5.68
CNTN5,False,5.68
MDGA2,False,5.68
TRRAP,False,5.68
NID1,False,5.68
CRB1,False,5.68
TRPA1,False,5.68
PLSCR5,False,5.68
GABRA1,False,5.68
SPATA31A1,False,5.68
NAP1L3,False,5.68
USP24,False,5.68
EVC2,False,5.68
BAZ2B,False,5.68
STAB2,False,5.68
BNC1,False,5.68
