Gene,IsJCGA,MutationPercentage
TP53,True,90.53
TTN,False,32.63
KMT2D,True,17.89
NFE2L2,True,16.84
CSMD3,False,16.84
MUC16,False,15.79
NOTCH1,True,14.74
FLG,False,13.68
PIK3CA,True,12.63
DNAH5,False,12.63
ZNF750,False,11.58
NOTCH3,True,10.53
OBSCN,False,9.47
ZNF804B,False,9.47
HYDIN,False,8.42
SYNE2,False,8.42
FAT3,False,8.42
PCLO,False,8.42
DST,False,7.37
FMN2,False,7.37
SACS,False,7.37
RYR2,False,7.37
KALRN,False,7.37
TGFBR2,True,7.37
PTCH1,True,7.37
SYNE1,False,7.37
MUC17,False,7.37
PAPPA2,False,7.37
SMARCA4,True,7.37
TRRAP,False,7.37
COL11A1,False,7.37
CNTNAP5,False,7.37
MACF1,False,7.37
PKHD1L1,False,7.37
KMT2C,True,6.32
KPNB1,False,6.32
MYH2,False,6.32
DIDO1,False,6.32
LRP1B,False,6.32
RUNX1T1,False,6.32
SI,False,6.32
MUC5B,False,6.32
WDFY3,False,6.32
FREM2,False,6.32
DNAH8,False,6.32
PCDHA7,False,6.32
UNC13C,False,6.32
ADGRV1,False,6.32
APOB,False,6.32
CDH10,False,6.32
CEP290,False,6.32
CDH11,False,5.26
RELN,False,5.26
PCDH15,False,5.26
PRKDC,False,5.26
ZNF831,False,5.26
TNXB,False,5.26
FIGN,False,5.26
SHANK2,False,5.26
CNTN6,False,5.26
STXBP5L,False,5.26
DYNC2H1,False,5.26
COBLL1,False,5.26
KMT2A,True,5.26
DPP6,False,5.26
LRFN5,False,5.26
TNN,False,5.26
REV3L,False,5.26
RTN1,False,5.26
KIF20B,False,5.26
ARHGAP5,False,5.26
SCN1A,False,5.26
ZNF496,False,5.26
PLXND1,False,5.26
KIAA1109,False,5.26
ATP10D,False,5.26
ZNF540,False,5.26
ZNF292,False,5.26
ADAM23,False,5.26
TRIP11,False,5.26
DNAH3,False,5.26
HDAC4,False,5.26
NAV3,False,5.26
MYH13,False,5.26
EP300,True,5.26
HTT,False,5.26
ELAPOR2,False,5.26
FAT2,False,5.26
ASXL1,True,5.26
PLEC,False,5.26
NSD1,False,5.26
HMCN1,False,5.26
MRC1,False,5.26
KIF26B,False,5.26
CSMD1,False,4.21
PLXNA2,False,4.21
TBC1D32,False,4.21
MTMR4,False,4.21
CFH,False,4.21
PTPRD,False,4.21
DPP10,False,4.21
NBN,True,4.21
FAT4,False,4.21
LAMA5,False,4.21
VPS13B,False,4.21
MPP5,False,4.21
MED13,False,4.21
RICTOR,True,4.21
CACNA1C,False,4.21
PKD1L1,False,4.21
GABRB1,False,4.21
SMYD1,False,4.21
PDS5B,False,4.21
DSEL,False,4.21
PDZD2,False,4.21
PEAK1,False,4.21
AKAP9,False,4.21
PTPRU,False,4.21
DYSF,False,4.21
MYLK,False,4.21
FCGBP,False,4.21
MYH6,False,4.21
FBXO15,False,4.21
KDM6A,True,4.21
BDP1,False,4.21
RANBP2,False,4.21
CLEC14A,False,4.21
MYCBP2,False,4.21
CRNKL1,False,4.21
SLITRK4,False,4.21
EEF2,False,4.21
BOD1L1,False,4.21
ADGRB3,False,4.21
SLC6A3,False,4.21
MGAM,False,4.21
CREBBP,True,4.21
MTUS2,False,4.21
FBN1,False,4.21
KEAP1,True,4.21
AHNAK,False,4.21
MGA,False,4.21
PTEN,True,4.21
FNDC1,False,4.21
MROH2B,False,4.21
SLCO1C1,False,4.21
ST18,False,4.21
KANSL1,False,4.21
MROH9,False,4.21
USP34,False,4.21
BRCA2,True,4.21
YEATS2,False,4.21
CENPF,False,4.21
DMD,False,4.21
COL12A1,False,4.21
ACACB,False,4.21
NLRP4,False,4.21
ICE1,False,4.21
ZEB2,False,4.21
MATN2,False,4.21
HECTD4,False,4.21
NOC4L,False,4.21
TCHH,False,4.21
PCDH11X,False,4.21
LRBA,False,4.21
XIRP2,False,4.21
XKR4,False,4.21
NOS3,False,4.21
NLRP1,False,4.21
NOTCH2,True,4.21
SPATA31D1,False,4.21
NRXN3,False,4.21
GNAS,True,4.21
HDAC9,False,4.21
RYR3,False,4.21
DLC1,False,4.21
ABCC9,False,4.21
NPHP3,False,4.21
OPA1,False,4.21
GOLGA3,False,4.21
ESPL1,False,4.21
PARD3,False,4.21
