Gene,IsJCGA,MutationPercentage
TTN,False,51.28
TP53,True,45.94
MUC16,False,31.32
ARID1A,True,26.91
LRP1B,False,26.68
CSMD3,False,23.67
SYNE1,False,23.67
FAT4,False,21.35
FLG,False,19.72
PCLO,False,18.79
HMCN1,False,18.56
ACVR2A,False,17.87
ZFHX4,False,17.87
DNAH5,False,17.63
SPTA1,False,17.17
OBSCN,False,17.17
RYR2,False,16.94
FAT3,False,16.47
CSMD1,False,16.47
KMT2D,True,15.78
PIK3CA,True,15.55
SACS,False,15.08
DST,False,14.85
PCDH15,False,14.85
PLEC,False,14.39
DMD,False,14.15
LRRK2,False,13.92
SYNE2,False,13.69
UBR5,False,13.69
CUBN,False,13.46
COL12A1,False,13.46
DNAH7,False,13.46
USH2A,False,13.23
DOCK3,False,13.23
MDN1,False,12.99
NIPBL,False,12.99
ADGRV1,False,12.99
DNAH9,False,12.99
RPL22,False,12.99
FAT2,False,12.99
GLI3,False,12.76
DNAH11,False,12.76
LAMA1,False,12.76
TTK,False,12.76
RNF43,True,12.76
KMT2C,True,12.76
PCDH10,False,12.3
NBEA,False,12.3
AHNAK2,False,12.3
PREX2,False,12.3
RYR1,False,12.3
XIRP2,False,12.3
RYR3,False,12.3
VPS13B,False,12.06
PTPRT,True,11.83
ANK3,False,11.83
RIMS2,False,11.83
RP1,False,11.83
TRRAP,False,11.6
DNAH3,False,11.6
KMT2B,False,11.6
TG,False,11.6
NEB,False,11.37
LRP2,False,11.37
RGS12,False,11.37
MUC17,False,11.14
APC,True,11.14
ZDBF2,False,11.14
ABCA12,False,11.14
PXDN,False,11.14
ERBB4,True,10.9
RNF213,False,10.9
HERC2,False,10.9
PCDH17,False,10.67
KIAA1109,False,10.67
APOB,False,10.67
MUC6,False,10.67
SEC31A,False,10.67
CELSR3,False,10.67
CMYA5,False,10.67
NRXN1,False,10.67
RELN,False,10.67
NAV3,False,10.67
COL11A1,False,10.44
XYLT2,False,10.44
ABCA13,False,10.44
PDZD2,False,10.44
TRIO,False,10.44
CACNA1E,False,10.44
SDK1,False,10.44
ZBTB20,False,10.21
ANK2,False,10.21
AKAP9,False,10.21
MUC5B,False,10.21
FCGBP,False,10.21
NALCN,False,9.98
CNTN6,False,9.98
PLXNA4,False,9.98
DNAH10,False,9.98
MYCBP2,False,9.98
ADGRB3,False,9.98
SRCAP,False,9.98
MACF1,False,9.98
MBD6,False,9.74
DNAH8,False,9.74
SLITRK5,False,9.74
DIDO1,False,9.74
ZFHX3,False,9.74
ATM,True,9.74
ROBO2,False,9.74
TCHH,False,9.51
MYO15A,False,9.51
TENM3,False,9.51
DNAH17,False,9.51
ASPM,False,9.51
TRPS1,False,9.28
REV3L,False,9.28
GRM1,False,9.28
UNC79,False,9.28
DCLK1,False,9.28
CDH23,True,9.28
LRP1,False,9.28
CDH8,False,9.28
ERBB3,True,9.28
KCNB2,False,9.28
KMT2A,True,9.28
DYNC1H1,False,9.28
PRKDC,False,9.28
ESRP1,False,9.05
NRXN3,False,9.05
BSN,False,9.05
BRCA2,True,9.05
KRAS,True,9.05
PEG3,False,9.05
WDFY3,False,9.05
COL7A1,False,9.05
SPEN,True,9.05
ASH1L,False,9.05
CDH1,True,9.05
SCN10A,False,9.05
TNXB,False,9.05
ADCY8,False,9.05
AHNAK,False,9.05
COL6A3,False,9.05
HECTD4,False,9.05
RIMS1,False,9.05
CREBBP,True,8.82
ANKRD11,False,8.82
FBN1,False,8.82
ASCC3,False,8.82
TENM1,False,8.82
TECTA,False,8.82
CNTNAP5,False,8.82
UNC13C,False,8.82
FAT1,True,8.82
CSMD2,False,8.82
CTNND2,False,8.82
ATP10A,False,8.82
GRM5,False,8.82
FHOD3,False,8.82
PKHD1,False,8.82
DOCK2,False,8.58
CHD4,False,8.58
TAF1L,False,8.58
STAB1,False,8.58
CNTNAP2,False,8.58
MYO16,False,8.58
LRP12,False,8.58
EPB41L3,False,8.58
COBLL1,False,8.58
MSH3,True,8.58
DSCAML1,False,8.58
LYST,False,8.35
LAMA2,False,8.35
SETBP1,True,8.35
CDH10,False,8.35
ADAMTS18,False,8.35
MED12L,False,8.35
TTC3,False,8.35
DSCAM,False,8.35
ZNF536,False,8.35
FRAS1,False,8.35
HUWE1,False,8.35
SCN9A,False,8.35
CHD7,False,8.35
VPS13A,False,8.35
DYSF,False,8.35
FBXW7,True,8.35
ITPR3,False,8.35
SLITRK1,False,8.35
TDRD6,False,8.35
SULF1,False,8.35
FBN2,False,8.35
TCERG1,False,8.35
RBM27,False,8.35
ZNF518A,False,8.35
DDX27,False,8.35
ABCC9,False,8.35
BIRC6,False,8.35
TRPA1,False,8.12
DCC,False,8.12
GRIK2,False,8.12
CACNA1C,False,8.12
ALMS1,False,8.12
SCN3A,False,8.12
TACC2,False,8.12
UTRN,False,8.12
GTF3C1,False,8.12
EDNRB,False,8.12
VPS13D,False,8.12
ZNF804B,False,8.12
DNAH2,False,8.12
ADAMTS5,False,8.12
MAP2,False,8.12
JARID2,False,8.12
KCNMA1,False,7.89
ZNF462,False,7.89
SPECC1,False,7.89
MXRA5,False,7.89
SPEG,False,7.89
EPHA5,False,7.89
DNAH1,False,7.89
CELSR2,False,7.89
CELSR1,False,7.89
FLG2,False,7.89
FMN2,False,7.89
VCAN,False,7.89
SIPA1L1,False,7.89
FREM2,False,7.89
ACACB,False,7.89
FRY,False,7.89
PCDHA11,False,7.89
UBR4,False,7.89
MKI67,False,7.89
DYNC2H1,False,7.89
MYH10,False,7.89
HIVEP3,False,7.89
CDH11,False,7.89
IGSF10,False,7.89
COL5A1,False,7.89
MYH7,False,7.89
SYCP2,False,7.89
TIAM1,False,7.66
SI,False,7.66
TMEM132D,False,7.66
ZNF236,False,7.66
CENPF,False,7.66
ARID2,True,7.66
CNTLN,False,7.66
KALRN,False,7.66
RIF1,False,7.66
PXDNL,False,7.66
SCN11A,False,7.66
HECW1,False,7.66
NF1,True,7.66
POLQ,False,7.66
ZNF43,False,7.66
PTEN,True,7.66
SORL1,False,7.66
ZNF292,False,7.66
TENM4,False,7.66
TEAD2,False,7.66
PAPPA2,False,7.66
NFASC,False,7.66
PCDH19,False,7.66
PKHD1L1,False,7.66
MGA,False,7.66
HERC1,False,7.66
ERICH3,False,7.42
DCHS1,False,7.42
SLIT2,False,7.42
CACNA1D,False,7.42
IRS1,False,7.42
SCN5A,False,7.42
FAM135B,False,7.42
HIVEP2,False,7.42
ADAMTS12,False,7.42
ZMYM4,False,7.42
ADAMTS16,False,7.42
NPAP1,False,7.42
ROCK1,False,7.42
PTPRD,False,7.42
ZC3H13,False,7.42
SAMD9L,False,7.42
AFF2,False,7.42
PLXNA1,False,7.42
STAB2,False,7.42
SMAD4,True,7.42
FLNB,False,7.42
FLNC,False,7.42
RANBP2,False,7.42
BCOR,True,7.42
BRWD1,False,7.42
LMAN1,False,7.42
EP400,False,7.42
DLC1,False,7.42
MAGEC1,False,7.42
FER1L6,False,7.42
COL6A6,False,7.19
MINAR1,False,7.19
EPG5,False,7.19
SPEF2,False,7.19
MYH2,False,7.19
NRIP1,False,7.19
IGF2R,False,7.19
LARP4B,False,7.19
ROBO1,False,7.19
FBN3,False,7.19
DSEL,False,7.19
ZNF521,False,7.19
NCKAP5,False,7.19
COL22A1,False,7.19
HDLBP,False,7.19
PKD1,False,7.19
LRRC7,False,7.19
CARD11,True,7.19
LAMA5,False,7.19
COL1A2,False,7.19
SBF1,False,7.19
ZNF831,False,7.19
PTPRM,False,7.19
PCDHA8,False,7.19
UPF3A,False,6.96
F8,False,6.96
BMPR2,False,6.96
BCL9L,False,6.96
CUL9,False,6.96
MYO3A,False,6.96
SCAF4,False,6.96
PZP,False,6.96
ZNF609,False,6.96
BDP1,False,6.96
HSPG2,False,6.96
SIPA1L3,False,6.96
TEP1,False,6.96
GCN1,False,6.96
MYH9,False,6.96
VPS13C,False,6.96
NCOR2,False,6.96
C3,False,6.96
CHD9,False,6.96
CHD6,False,6.96
CCDC178,False,6.96
KCNA4,False,6.73
KIF21A,False,6.73
CPAMD8,False,6.73
SLITRK6,False,6.73
NEXMIF,False,6.73
ARFGEF1,False,6.73
AKAP6,False,6.73
ARFGEF2,False,6.73
SLITRK2,False,6.73
PLEKHA6,False,6.73
KCNH8,False,6.73
AKAP13,False,6.73
MEGF8,False,6.73
TRIOBP,False,6.73
SCN1A,False,6.73
ANK1,False,6.73
NOS1,False,6.73
TPO,False,6.73
PTPRS,False,6.73
TSHZ3,False,6.73
ADNP,False,6.73
TNS1,False,6.73
NAV2,False,6.73
EPHA2,False,6.73
MRC1,False,6.73
ARID1B,True,6.73
ZAN,False,6.73
ASTN2,False,6.73
SIPA1L2,False,6.73
CIC,True,6.73
PCDHA12,False,6.73
CUX1,False,6.73
COL4A1,False,6.73
MTOR,True,6.73
KAT6A,False,6.73
ASXL3,False,6.73
DOP1B,False,6.73
SPTBN4,False,6.73
TEX15,False,6.5
SRRM2,False,6.5
CHRM3,False,6.5
NCOR1,True,6.5
FAM47C,False,6.5
SVIL,False,6.5
ADGRG4,False,6.5
TNS3,False,6.5
NUP214,False,6.5
GRM7,False,6.5
PTPN13,False,6.5
PSME4,False,6.5
DSP,False,6.5
ATR,True,6.5
PRUNE2,False,6.5
PDS5B,False,6.5
HRNR,False,6.5
PCDHA1,False,6.5
VWF,False,6.5
HYDIN,False,6.5
SVEP1,False,6.5
KDM5A,True,6.5
PBRM1,True,6.5
KIAA0100,False,6.5
BCORL1,True,6.5
CCDC73,False,6.5
TRPM3,False,6.5
EIF5B,False,6.5
MDC1,False,6.5
CFH,False,6.5
ZNF208,False,6.5
THSD7B,False,6.5
EPHB1,True,6.5
SALL1,False,6.5
PCDHGA12,False,6.5
EPHA6,False,6.5
NSD1,False,6.5
ITPR2,False,6.5
LAMA4,False,6.5
CNTN3,False,6.5
FSIP2,False,6.5
OCA2,False,6.26
CNOT1,False,6.26
DCDC1,False,6.26
NRXN2,False,6.26
SLC3A2,False,6.26
SLC12A7,False,6.26
MAP2K7,False,6.26
SOGA3,False,6.26
DAPK1,False,6.26
EPHA3,True,6.26
MAP1B,False,6.26
COL14A1,False,6.26
DOCK4,False,6.26
NUMA1,False,6.26
DOCK10,False,6.26
GALNT17,False,6.26
HTT,False,6.26
FLRT2,False,6.26
KIAA1217,False,6.26
ABCB1,True,6.26
GRIN2A,False,6.26
CDH9,False,6.26
ATAD2,False,6.26
CDH12,False,6.26
JMJD1C,False,6.26
KMT2E,False,6.26
ZC3H18,False,6.26
BTBD11,False,6.26
WDTC1,False,6.26
USP34,False,6.26
BPTF,False,6.26
FLNA,False,6.26
TLN2,False,6.26
SCN2A,False,6.26
THSD7A,False,6.26
MYLK,False,6.26
PCDHB2,False,6.26
XRN1,False,6.26
PTCH1,True,6.26
CHD5,False,6.26
PCDHB8,False,6.26
MYO10,False,6.26
MROH2B,False,6.26
NLGN4X,False,6.26
HLA-B,False,6.26
ADD3,False,6.26
POLE,True,6.03
MIDEAS,False,6.03
SLCO5A1,False,6.03
PARP14,False,6.03
PAPPA,False,6.03
SZT2,False,6.03
KIF26B,False,6.03
BOD1L1,False,6.03
BNC2,False,6.03
BLM,True,6.03
ACAN,False,6.03
EVC,False,6.03
PCDH11X,False,6.03
SMARCA4,True,6.03
SPHKAP,False,6.03
PCDHB5,False,6.03
PCDHB6,False,6.03
ASTN1,False,6.03
ABCA2,False,6.03
CTNND1,False,6.03
CTNNB1,True,6.03
PCNT,False,6.03
NUP98,False,6.03
SPAG17,False,6.03
JAK1,True,6.03
ITPR1,False,6.03
SORCS1,False,6.03
ATXN2L,False,6.03
PCDHA13,False,6.03
DISP3,False,6.03
INPPL1,False,6.03
HCN1,False,6.03
UNC5D,False,6.03
LCT,False,6.03
GOLGB1,False,6.03
MSH6,True,6.03
CAMTA1,False,6.03
PTPRZ1,False,6.03
RAI1,False,6.03
CFAP65,False,6.03
NLRC5,False,6.03
MIA3,False,6.03
GOLGA3,False,6.03
LRRN3,False,6.03
LRBA,False,6.03
OTOF,False,6.03
TENM2,False,6.03
GPR179,False,6.03
TRANK1,False,6.03
SORCS3,False,5.8
AL592490.1,False,5.8
ADAMTS9,False,5.8
RP1L1,False,5.8
FRYL,False,5.8
PRRC2A,False,5.8
MUC4,False,5.8
MYH13,False,5.8
PDE3A,False,5.8
CSPG4,False,5.8
ELMO1,False,5.8
IRS4,False,5.8
ARHGAP5,False,5.8
PCDHA3,False,5.8
PCDHA7,False,5.8
SPART,False,5.8
ABCB4,False,5.8
CHD3,False,5.8
MAGI2,False,5.8
NUP210,False,5.8
SHANK2,False,5.8
YLPM1,False,5.8
SEMA5B,False,5.8
TET1,False,5.8
FANCM,False,5.8
XPOT,False,5.8
TLL1,False,5.8
MYH6,False,5.8
ABCA10,False,5.8
CEP290,False,5.8
RXFP3,False,5.8
FIGN,False,5.8
DCAF12L2,False,5.8
RERE,False,5.8
KCNT2,False,5.8
PCDH9,False,5.8
GREB1,False,5.8
NOTCH2,True,5.8
EVC2,False,5.8
KIF2B,False,5.8
CCDC18,False,5.8
ZNF804A,False,5.8
DNA2,False,5.8
PPP1R3A,False,5.8
PAX6,False,5.8
PTPRJ,False,5.8
DMXL1,False,5.8
NBEAL2,False,5.8
NCAM2,False,5.8
HFM1,False,5.8
PIK3CG,True,5.8
CACNA1H,False,5.8
ACIN1,False,5.8
BCL11A,False,5.8
SMARCA2,False,5.8
RBBP8,False,5.8
CACNA1A,False,5.8
NBAS,False,5.8
DPYD,True,5.8
HDAC4,False,5.8
MYOM2,False,5.8
MPDZ,False,5.8
WASF3,False,5.8
PLXNA3,False,5.8
ZEB2,False,5.57
CACNA1B,False,5.57
TIE1,False,5.57
NIN,False,5.57
TRIP12,False,5.57
TUBGCP6,False,5.57
CDK12,True,5.57
TLR4,False,5.57
NFATC2,False,5.57
ARHGAP33,False,5.57
CR2,False,5.57
TNN,False,5.57
WDR55,False,5.57
WDR90,False,5.57
NOTCH4,False,5.57
WNK1,False,5.57
CCDC88A,False,5.57
ZNF106,False,5.57
WNK4,False,5.57
NOTCH1,True,5.57
CTCF,True,5.57
CTNNA2,False,5.57
TNRC6A,False,5.57
NPAT,False,5.57
NCOA2,True,5.57
LRRIQ1,False,5.57
PCDHB11,False,5.57
DHX36,False,5.57
GPR158,False,5.57
LIPT1,False,5.57
ZNF646,False,5.57
PCNX2,False,5.57
RALGAPA1,False,5.57
DLGAP2,False,5.57
FRMD4A,False,5.57
ACACA,False,5.57
PCDH18,False,5.57
KLF3,False,5.57
GNAS,True,5.57
AKAP7,False,5.57
RBM6,False,5.57
SLIT3,False,5.57
SLCO6A1,False,5.57
SLC9C2,False,5.57
DOCK8,False,5.57
MYOF,False,5.57
SLC4A3,False,5.57
LRP5,True,5.57
MYH3,False,5.57
DIP2C,False,5.57
RTTN,False,5.57
PKD1L1,False,5.57
SORBS2,False,5.57
ADCY10,False,5.57
PLXNA2,False,5.57
SBNO1,False,5.57
SEMA5A,False,5.57
FCRL3,False,5.57
FN1,False,5.57
SCN4A,False,5.57
GRM8,False,5.57
OR51E2,False,5.34
ADGRL3,False,5.34
ATRX,True,5.34
CNTN4,False,5.34
MED23,False,5.34
SALL3,False,5.34
PLXNB2,False,5.34
USP26,False,5.34
CD93,False,5.34
CNTNAP1,False,5.34
MYH11,False,5.34
TVP23A,False,5.34
C2CD3,False,5.34
TMEM94,False,5.34
CEP250,False,5.34
IRF2,True,5.34
POGZ,False,5.34
PCDH8,False,5.34
PDZRN4,False,5.34
SFMBT2,False,5.34
IGSF1,False,5.34
F5,False,5.34
MYO5A,False,5.34
IGSF9B,False,5.34
KIAA1549,True,5.34
CAMSAP2,False,5.34
MORC1,False,5.34
BRWD3,False,5.34
PHF3,False,5.34
NRK,False,5.34
FREM1,False,5.34
USF3,False,5.34
UNC5C,False,5.34
TLN1,False,5.34
FSHR,False,5.34
NID1,False,5.34
AHCTF1,False,5.34
GRM3,True,5.34
SALL4,True,5.34
CTNNA3,False,5.34
CASZ1,False,5.34
RASA1,False,5.34
SPATA31A1,False,5.34
CPXM2,False,5.34
SPTBN1,False,5.34
TNC,False,5.34
CACNA1S,False,5.34
MYH8,False,5.34
ZBED9,False,5.34
SOX7,False,5.34
KCND2,False,5.34
MAP3K4,True,5.34
ABCC4,False,5.34
MICAL2,False,5.34
ABCC5,False,5.34
NUP205,False,5.34
SPTB,False,5.34
LAMB2,False,5.34
MIS18BP1,False,5.34
GRM2,False,5.34
DOP1A,False,5.34
TNKS2,False,5.34
LAMA3,False,5.34
GPATCH8,False,5.34
PCDHB7,False,5.34
SP140,False,5.34
TNR,False,5.34
ITIH5,False,5.34
SPAG9,False,5.34
ATP2B3,False,5.34
PTPRU,False,5.34
RTN3,False,5.1
GSE1,False,5.1
GRID2,False,5.1
BTBD7,False,5.1
CEMIP,False,5.1
GRIN2B,False,5.1
FILIP1,False,5.1
RUSC2,False,5.1
TJP1,False,5.1
TSHZ2,False,5.1
ICE1,False,5.1
MYO1F,False,5.1
NCAN,False,5.1
TULP4,False,5.1
CDK5RAP2,False,5.1
PAX1,False,5.1
