Gene,IsJCGA,MutationPercentage
PTEN,True,31.61
TP53,True,31.34
EGFR,True,22.07
TTN,False,19.89
MUC16,False,12.53
NF1,True,10.08
FLG,False,9.26
PIK3R1,True,9.26
ATRX,True,8.99
RB1,True,8.99
PIK3CA,True,8.99
RYR2,False,8.72
LRP2,False,7.9
SPTA1,False,7.08
PCLO,False,6.54
IDH1,True,6.27
MUC17,False,5.45
LRP1,False,5.18
COL6A3,False,5.18
PKHD1,False,5.18
DNAH5,False,5.18
USH2A,False,5.18
HMCN1,False,4.9
OBSCN,False,4.63
RIMS2,False,4.63
SYNE1,False,4.36
KIF2B,False,4.36
CFAP47,False,4.36
DNAH2,False,4.36
DNAH11,False,4.36
DNAH8,False,4.09
AHNAK2,False,4.09
DOCK5,False,3.81
GABRA6,True,3.81
FLG2,False,3.81
PDGFRA,True,3.81
RELN,False,3.54
HYDIN,False,3.54
DSP,False,3.54
RYR3,False,3.54
FRAS1,False,3.54
MAPRE3,False,3.54
SDK1,False,3.54
TAF1L,False,3.54
GLYR1,False,3.54
TCHH,False,3.54
LZTR1,True,3.54
GRIN2A,False,3.54
SCN9A,False,3.27
DNAH3,False,3.27
DMD,False,3.27
STAG2,True,3.27
HCN1,False,3.27
FCGBP,False,3.27
COL1A2,False,3.27
GRM3,True,3.27
ADAM29,False,3.27
PIK3CG,True,3.27
PTPRT,True,3.27
ADGRV1,False,3.0
ABCC9,False,3.0
APOB,False,3.0
ADAMTS16,False,3.0
KEL,True,3.0
MSH6,True,3.0
NAV2,False,3.0
LAMA1,False,3.0
FAT2,False,3.0
FBN2,False,3.0
XIRP2,False,3.0
CDH18,False,2.72
CDH9,False,2.72
FRMPD4,False,2.72
KPRP,False,2.72
PLCG2,False,2.72
TRPV6,False,2.72
DYSF,False,2.72
PRDM9,False,2.72
DNAH9,False,2.72
DYNC1I1,False,2.72
KDR,True,2.72
PIK3C2B,True,2.72
HRNR,False,2.72
TSHZ2,False,2.72
GRIP1,False,2.72
MXRA5,False,2.72
NOS1,False,2.72
SACS,False,2.72
MYH3,False,2.72
TG,False,2.72
RNF17,False,2.45
PCDHA3,False,2.45
SEMG1,False,2.45
NLRP5,False,2.45
DNAH7,False,2.45
SCN10A,False,2.45
NLRP12,False,2.45
RP1,False,2.45
ADAMTS12,False,2.45
DST,False,2.45
DCC,False,2.45
ANK1,False,2.45
TMEM132D,False,2.45
COL14A1,False,2.45
CACNA1S,False,2.45
HSPG2,False,2.45
CSMD3,False,2.45
MACF1,False,2.45
PCDH11Y,False,2.45
OR5D13,False,2.45
F5,False,2.45
KMT2C,True,2.45
SLC9A4,False,2.45
CD163L1,False,2.45
PPP1R3A,False,2.45
GABRB2,False,2.45
CALN1,False,2.45
CALCR,False,2.45
NRXN2,False,2.45
GALNT17,False,2.45
SPAG17,False,2.45
TRPM2,False,2.45
MYH1,False,2.45
LRP1B,False,2.45
SLIT3,False,2.45
ADGRF5,False,2.45
SEMA3C,False,2.45
FAT4,False,2.45
SLC1A6,False,2.18
SYT16,False,2.18
VWF,False,2.18
NPAP1,False,2.18
COL2A1,False,2.18
FAM47A,False,2.18
FGD5,False,2.18
FBN3,False,2.18
NUP210L,False,2.18
SIM1,False,2.18
LRFN5,False,2.18
TENM1,False,2.18
TENM3,False,2.18
DCAF12L2,False,2.18
LRRIQ1,False,2.18
NLRP3,False,2.18
TEX15,False,2.18
NLRP4,False,2.18
ABCB4,False,2.18
ANK2,False,2.18
PCDHA1,False,2.18
KCNB2,False,2.18
FLT3,True,2.18
CARD6,False,2.18
TPTE2,False,2.18
SPEG,False,2.18
TRHDE,False,2.18
TPO,False,2.18
CNTNAP2,False,2.18
ENPEP,False,2.18
MYH2,False,2.18
MYH4,False,2.18
SEMA3E,False,2.18
PKD1L1,False,2.18
KSR2,False,2.18
PAN3,False,2.18
PTPN11,True,2.18
TMPRSS6,False,2.18
DSG4,False,2.18
SAMD9,True,2.18
AHNAK,False,2.18
LAMA2,False,2.18
DRD5,False,2.18
RFX6,False,2.18
KIF4B,False,2.18
L1CAM,False,1.91
SENP7,False,1.91
SCN11A,False,1.91
GRM8,False,1.91
AFM,False,1.91
HECTD4,False,1.91
SCN1A,False,1.91
WNT2,False,1.91
SETD2,True,1.91
AFF2,False,1.91
CENPF,False,1.91
ZAN,False,1.91
PLEKHG4B,False,1.91
ZFP42,False,1.91
CHAT,False,1.91
ZDBF2,False,1.91
CHD3,False,1.91
TUBA3C,False,1.91
PEG3,False,1.91
MROH2B,False,1.91
FRMD7,False,1.91
SPEF2,False,1.91
MYH11,False,1.91
MYH8,False,1.91
EP400,False,1.91
MYO15A,False,1.91
CACNA2D1,False,1.91
ATP10B,False,1.91
CACNA1D,False,1.91
CABIN1,False,1.91
EPHA10,False,1.91
EPHA8,False,1.91
FLNA,False,1.91
ATP8A2,False,1.91
ST18,False,1.91
NCKAP1L,False,1.91
TLR7,False,1.91
AXDND1,False,1.91
NEB,False,1.91
FER1L6,False,1.91
THSD7B,False,1.91
F8,False,1.91
SYNE2,False,1.91
BCOR,True,1.91
NOTCH2,True,1.91
FRYL,False,1.91
TRPA1,False,1.91
GRIN2B,False,1.91
SMC1A,False,1.91
PCDHB7,False,1.91
DOCK2,False,1.91
CD22,True,1.91
UMODL1,False,1.91
CD209,False,1.91
SLC26A3,False,1.91
ANO2,False,1.91
ANO4,False,1.91
CD163,False,1.91
UGT2B4,False,1.91
DPP10,False,1.91
UGGT1,False,1.91
PCDH11X,False,1.91
SLC5A7,False,1.91
CHD9,False,1.91
MED12,True,1.91
MED13,False,1.91
SLC9A2,False,1.91
PALM2AKAP2,False,1.91
SLC9C1,False,1.91
CCDC60,False,1.91
SLCO5A1,False,1.91
SLCO6A1,False,1.91
SLIT2,False,1.91
TRRAP,False,1.91
CHD8,False,1.91
UNC79,False,1.91
ABCB1,True,1.91
CSMD2,False,1.91
SALL4,True,1.91
IGF2R,False,1.91
CIT,False,1.91
CRYBG1,False,1.91
ADCY5,False,1.91
COL11A2,False,1.91
