Gene,IsJCGA,MutationPercentage
TP53,True,70.08
TTN,False,37.01
FAT1,True,21.26
CDKN2A,True,20.28
CSMD3,False,17.91
MUC16,False,17.72
NOTCH1,True,17.52
PIK3CA,True,16.73
SYNE1,False,16.14
LRP1B,False,15.55
KMT2D,True,13.78
PCLO,False,13.58
DNAH5,False,12.8
FLG,False,11.42
USH2A,False,11.42
NSD1,False,11.02
CASP8,True,10.43
RYR2,False,9.84
XIRP2,False,9.45
FAM135B,False,9.25
PKHD1L1,False,9.25
AHNAK,False,8.86
HUWE1,False,8.86
DMD,False,8.86
DST,False,8.46
SI,False,8.46
RELN,False,8.46
PAPPA2,False,8.27
FAT3,False,8.27
COL11A1,False,8.07
PCDH15,False,7.87
APOB,False,7.87
MUC17,False,7.48
EP300,True,7.48
FAT4,False,7.48
PCDH11X,False,7.28
DNAH9,False,7.28
DNAH8,False,7.28
ZFHX4,False,7.28
COL22A1,False,7.28
NAV3,False,7.09
LAMA2,False,6.89
SYNE2,False,6.69
HERC2,False,6.69
PLEC,False,6.69
FBXW7,True,6.69
CUBN,False,6.69
MACF1,False,6.69
LRP2,False,6.69
PEG3,False,6.5
ASXL3,False,6.5
RP1,False,6.5
ADGRV1,False,6.5
MUC5B,False,6.5
KMT2C,True,6.5
PKHD1,False,6.3
VPS13B,False,6.3
HMCN1,False,6.3
ABCA13,False,6.3
PRDM9,False,6.3
OBSCN,False,6.3
UNC13C,False,6.3
FAT2,False,6.1
AHNAK2,False,6.1
DNAH11,False,6.1
FMN2,False,6.1
CTNND2,False,5.91
AJUBA,False,5.91
RYR3,False,5.91
NEB,False,5.71
HRAS,True,5.71
RYR1,False,5.71
TENM1,False,5.71
CREBBP,True,5.71
ANK2,False,5.71
CSMD1,False,5.71
ZNF804B,False,5.71
ASPM,False,5.71
NPAP1,False,5.71
CDH10,False,5.51
SCN1A,False,5.51
AKAP9,False,5.51
NFE2L2,True,5.51
LRP1,False,5.31
ZNF536,False,5.31
DNAH7,False,5.31
MDN1,False,5.31
VPS13D,False,5.31
ADGRB3,False,5.31
SPTA1,False,5.31
RIMS2,False,5.31
RNF213,False,5.12
CTNNA2,False,5.12
NRXN1,False,5.12
DPP10,False,5.12
MYH8,False,5.12
PCDH10,False,5.12
KALRN,False,5.12
ZNF208,False,5.12
VCAN,False,5.12
LRRK2,False,5.12
ROS1,True,5.12
THSD7A,False,5.12
SPEN,True,4.92
MROH2B,False,4.92
LRRC4C,False,4.92
CDH9,False,4.92
VPS13C,False,4.92
SLIT2,False,4.72
CSMD2,False,4.72
PCDH9,False,4.72
MGAM,False,4.72
TMEM132D,False,4.72
ADCY8,False,4.72
COL14A1,False,4.72
HCN1,False,4.72
GRM3,True,4.72
GRM1,False,4.72
BIRC6,False,4.72
PTPRD,False,4.72
ADGRG4,False,4.72
DOP1A,False,4.72
NIPBL,False,4.72
DSP,False,4.72
CACNA1C,False,4.53
PRUNE2,False,4.53
MAGEC1,False,4.53
KIAA1109,False,4.53
SVEP1,False,4.53
FCGBP,False,4.53
MYH9,False,4.53
NBAS,False,4.53
LAMA1,False,4.53
EPHA2,False,4.53
CELSR2,False,4.53
PPFIA2,False,4.53
ZNF804A,False,4.53
PRKDC,False,4.53
MYH13,False,4.33
NALCN,False,4.33
ATRNL1,False,4.33
EPHA5,False,4.33
TGFBR2,True,4.33
FRY,False,4.33
MYCBP2,False,4.33
CRB1,False,4.33
DSCAM,False,4.33
SEMA5A,False,4.33
DCC,False,4.33
SORCS1,False,4.33
KCNT2,False,4.33
USP34,False,4.33
ERICH3,False,4.33
SMARCA4,True,4.33
RUNX1T1,False,4.33
KMT2A,True,4.33
UNC79,False,4.33
JMJD1C,False,4.33
ALMS1,False,4.13
COL6A6,False,4.13
USP9X,False,4.13
MKI67,False,4.13
ITPR2,False,4.13
ATRX,True,4.13
FBN2,False,4.13
HFM1,False,4.13
FAM47A,False,4.13
HERC1,False,4.13
PPP1R9A,False,4.13
TRRAP,False,4.13
POLQ,False,4.13
GRIN2B,False,4.13
GRIN2A,False,4.13
DNAH2,False,4.13
HLA-B,False,4.13
PTPRB,False,4.13
CMYA5,False,4.13
SORCS3,False,4.13
LAMA4,False,4.13
FSTL5,False,4.13
MAP1A,False,4.13
APC,True,4.13
SLC4A4,False,4.13
MYO16,False,4.13
EPB41L3,False,4.13
ADCY2,False,4.13
UTRN,False,3.94
ABCC9,False,3.94
AKAP6,False,3.94
KLHL1,False,3.94
SPHKAP,False,3.94
ZNF750,False,3.94
REV3L,False,3.94
FAM47C,False,3.94
SPATA31D1,False,3.94
ATP10A,False,3.94
COL24A1,False,3.94
LTBP1,False,3.94
PLCB1,False,3.94
ATR,True,3.94
ERBB4,True,3.94
DNAH3,False,3.94
KCNB2,False,3.94
FREM2,False,3.94
EPHA7,False,3.94
ATP13A4,False,3.94
COL6A3,False,3.94
ANK3,False,3.94
POM121L12,False,3.94
PDZD2,False,3.94
VPS13A,False,3.74
ZNF99,False,3.74
PDZRN4,False,3.74
PLXNA1,False,3.74
DYSF,False,3.74
NRG3,False,3.74
MDGA2,False,3.74
CNTNAP5,False,3.74
GREB1,False,3.74
ZNF292,False,3.74
CNTNAP2,False,3.74
TRPM3,False,3.74
GRM8,False,3.74
EYS,False,3.74
MYH1,False,3.74
SACS,False,3.74
TAF1L,False,3.74
NBEA,False,3.74
DYNC1H1,False,3.74
KEAP1,True,3.74
ANKRD17,False,3.74
C6,False,3.74
ANKRD30A,False,3.74
CD163,False,3.74
ADCY1,False,3.74
ITGA8,False,3.74
BRWD3,False,3.74
TNN,False,3.74
TNXB,False,3.74
FLNA,False,3.74
COL19A1,False,3.74
BRCA2,True,3.74
PCNT,False,3.74
HLA-A,False,3.74
ZNF521,False,3.74
MYH2,False,3.74
PLCH1,False,3.54
FRAS1,False,3.54
NOTCH2,True,3.54
UNC5C,False,3.54
GRID1,False,3.54
NLRP8,False,3.54
CACNA2D1,False,3.54
MYO18B,False,3.54
MED12L,False,3.54
PXDNL,False,3.54
MAP2,False,3.54
ADAMTS12,False,3.54
LRRTM1,False,3.54
LRRC7,False,3.54
PTPRT,True,3.54
ANO5,False,3.54
SRCAP,False,3.54
ANKRD11,False,3.54
PTPRM,False,3.54
KIF4B,False,3.54
TG,False,3.54
BRINP3,False,3.54
HYDIN,False,3.54
CHD7,False,3.54
PCNX1,False,3.54
PDE10A,False,3.54
PCDHA13,False,3.54
PLCL1,False,3.54
COL1A2,False,3.54
ABCC8,False,3.54
WDFY3,False,3.54
DOCK2,False,3.54
ZNF835,False,3.54
DNAH10,False,3.54
CPAMD8,False,3.54
CNOT1,False,3.54
DIDO1,False,3.54
ATP10B,False,3.35
SCN3A,False,3.35
CELSR1,False,3.35
PHF3,False,3.35
ARID1A,True,3.35
CEMIP2,False,3.35
CNTN6,False,3.35
TLN1,False,3.35
UBR5,False,3.35
GRIK2,False,3.35
FRYL,False,3.35
TNR,False,3.35
PCDH17,False,3.35
CACNA1E,False,3.35
AFF3,False,3.35
FAM184A,False,3.35
NLRP12,False,3.35
PREX2,False,3.35
MYOCD,True,3.35
NOTCH3,True,3.35
ABCA12,False,3.35
PCDHB6,False,3.35
NRXN3,False,3.35
GRM7,False,3.35
ADGRL3,False,3.35
HECW2,False,3.35
USP29,False,3.35
ZNF479,False,3.35
KLHL4,False,3.35
KMT2B,False,3.35
MAP3K19,False,3.35
KDM6A,True,3.35
F5,False,3.35
LAMA3,False,3.35
ADAMTS3,False,3.35
CUX1,False,3.35
FN1,False,3.35
DSEL,False,3.35
MYH6,False,3.35
SPAG17,False,3.35
MYH10,False,3.35
MAGEB6B,False,3.35
CHD8,False,3.15
NUMA1,False,3.15
MYO15A,False,3.15
KRT5,False,3.15
HDAC9,False,3.15
SULF1,False,3.15
TRHDE,False,3.15
RASA1,False,3.15
OTOGL,False,3.15
SPTAN1,False,3.15
LRFN5,False,3.15
STAB2,False,3.15
SRRM2,False,3.15
EPHA3,True,3.15
HRNR,False,3.15
ICE1,False,3.15
CFH,False,3.15
MME,False,3.15
MYH4,False,3.15
KCNH7,False,3.15
ARID2,True,3.15
CEP350,False,3.15
NEXMIF,False,3.15
MRC1,False,3.15
IMPG2,False,3.15
ZBED9,False,3.15
KIAA1217,False,3.15
DNAH17,False,3.15
SLITRK2,False,3.15
CACNA1G,False,3.15
CDH7,False,3.15
SLITRK5,False,3.15
CACNA1D,False,3.15
MAP1B,False,3.15
NLRP14,False,3.15
