Gene,IsJCGA,MutationPercentage
TP53,True,28.89
CTNNB1,True,26.11
TTN,False,25.0
MUC16,False,15.56
ALB,False,12.78
PCLO,False,10.83
RYR2,False,9.17
APOB,False,8.61
LRP1B,False,8.61
CSMD3,False,8.06
ARID1A,True,7.78
ABCA13,False,7.5
OBSCN,False,7.5
XIRP2,False,7.5
AXIN1,True,7.22
HMCN1,False,7.22
FLG,False,7.22
CACNA1E,False,6.67
SPTA1,False,6.67
USH2A,False,6.39
CUBN,False,6.39
DNAH7,False,6.39
ADGRV1,False,6.39
DOCK2,False,6.39
RYR1,False,6.11
PRKDC,False,5.83
FAT3,False,5.83
CSMD1,False,5.56
COL11A1,False,5.56
RYR3,False,5.56
ARID2,True,5.56
PCDH15,False,5.56
FREM2,False,5.28
HERC2,False,5.28
KMT2D,True,5.28
FASN,False,5.28
DMD,False,5.28
LRP1,False,5.28
SDK1,False,5.28
AHNAK2,False,5.28
PKHD1L1,False,5.0
FAT2,False,5.0
DNAH5,False,5.0
RB1,True,5.0
DNAH8,False,5.0
KIAA1109,False,4.72
DST,False,4.72
MUC5B,False,4.72
FAT4,False,4.72
FBN1,False,4.72
SYNE1,False,4.72
MUC17,False,4.72
BAP1,True,4.72
DNAH9,False,4.72
RPS6KA3,False,4.72
PRUNE2,False,4.72
MYT1L,False,4.44
KMT2B,False,4.44
DCHS1,False,4.44
COL6A6,False,4.44
HTT,False,4.44
FBN2,False,4.44
KEAP1,True,4.44
NBEA,False,4.44
LAMA1,False,4.44
ABCA12,False,4.44
LRP2,False,4.17
PKHD1,False,4.17
PREX2,False,4.17
MYO3A,False,4.17
FRAS1,False,4.17
TG,False,4.17
BIRC6,False,4.17
NEB,False,4.17
SPEG,False,4.17
TPO,False,3.89
DNAH2,False,3.89
LRRIQ1,False,3.89
PXDNL,False,3.89
ANKRD12,False,3.89
APC,True,3.89
POLQ,False,3.89
MUC2,False,3.89
DYNC2H1,False,3.89
PLXNA4,False,3.89
KIF26B,False,3.89
ZFHX4,False,3.89
PCDH7,False,3.89
SPTBN1,False,3.89
SYNE2,False,3.89
FMN2,False,3.89
COL12A1,False,3.89
COL7A1,False,3.89
HYDIN,False,3.89
COL6A3,False,3.89
AHNAK,False,3.61
DNAH17,False,3.61
MYCBP2,False,3.61
RP1,False,3.61
CSMD2,False,3.61
EPHA4,False,3.61
NPAP1,False,3.61
PIK3CA,True,3.61
TDRD5,False,3.61
COL5A1,False,3.61
FN1,False,3.61
DNAH10,False,3.61
THSD7B,False,3.61
HECTD4,False,3.61
NOS1,False,3.61
DNAH1,False,3.61
MYH4,False,3.33
KMT2C,True,3.33
MACF1,False,3.33
COL16A1,False,3.33
STAB1,False,3.33
MYH7,False,3.33
FCGBP,False,3.33
GLI2,False,3.33
LAMA5,False,3.33
KMT2A,True,3.33
OTOGL,False,3.33
SVEP1,False,3.33
ATM,True,3.33
USP34,False,3.33
PCDH11Y,False,3.33
MYO18B,False,3.33
C3,False,3.33
TRPA1,False,3.33
ACVR2A,False,3.33
CDH9,False,3.33
BSN,False,3.33
REV3L,False,3.33
PTPN13,False,3.33
PREX1,False,3.33
TSC2,True,3.33
ADCY2,False,3.33
ABCA4,False,3.06
BPTF,False,3.06
SACS,False,3.06
