Gene,IsJCGA,MutationPercentage
TP53,True,57.14
RB1,True,16.48
ATRX,True,12.09
TTN,False,10.99
MUC16,False,8.79
RYR1,False,6.59
FCGBP,False,6.59
PKHD1L1,False,6.59
USH2A,False,6.59
MUC17,False,5.49
DISP3,False,5.49
UNC13C,False,5.49
PCLO,False,5.49
LRP1B,False,5.49
LRP2,False,5.49
SCN2A,False,5.49
RP1,False,5.49
AHNAK,False,5.49
ACAN,False,4.4
MAP3K9,False,4.4
CHL1,False,4.4
CUBN,False,4.4
EPB41L4A,False,4.4
SMARCAL1,False,4.4
CSMD1,False,4.4
KIAA1549,True,4.4
DNAH8,False,4.4
DNAH7,False,4.4
ARFGEF1,False,4.4
DMD,False,4.4
MDN1,False,4.4
ARAP2,False,4.4
MACF1,False,4.4
FREM2,False,4.4
PTEN,True,4.4
ZNF831,False,4.4
SHANK2,False,4.4
NOS1,False,4.4
ATR,True,4.4
ARHGAP27,False,3.3
PCNX2,False,3.3
KNTC1,False,3.3
SCN9A,False,3.3
PHLDB2,False,3.3
PHKB,False,3.3
CACNA1H,False,3.3
URB2,False,3.3
LAMA5,False,3.3
SPTBN4,False,3.3
AHNAK2,False,3.3
ATM,True,3.3
KNDC1,False,3.3
PCDHB3,False,3.3
SCN1A,False,3.3
GABRR1,False,3.3
SACS,False,3.3
RYR2,False,3.3
CYP4F2,False,3.3
LRRIQ3,False,3.3
ADGRV1,False,3.3
SULF1,False,3.3
DMXL1,False,3.3
ZFPM2,False,3.3
TRIOBP,False,3.3
ARHGAP31,False,3.3
BNC1,False,3.3
BOD1L1,False,3.3
ARHGAP33,False,3.3
HYDIN,False,3.3
APOB,False,3.3
WRAP53,False,3.3
WWC1,False,3.3
BCL9,False,3.3
PTPRS,False,3.3
ELOA,False,3.3
BAHCC1,False,3.3
KCNA1,False,3.3
TMCO6,False,3.3
C14orf39,False,3.3
RAD54L2,False,3.3
DOCK8,False,3.3
DOCK2,False,3.3
PKP4,False,3.3
SEC24D,False,3.3
DNAH9,False,3.3
ASTN1,False,3.3
PIK3CA,True,3.3
DNAH5,False,3.3
BRCA2,True,3.3
ESPL1,False,3.3
PHRF1,False,3.3
NUAK1,False,3.3
OTOGL,False,3.3
NCKAP5L,False,3.3
OR8D1,False,3.3
TENM1,False,3.3
NAV3,False,3.3
ADAMTS17,False,3.3
NRXN1,False,3.3
ADAM30,False,3.3
THOC2,False,3.3
MYH2,False,3.3
MYH7,False,3.3
COL4A1,False,3.3
CFAP74,False,3.3
TIE1,False,3.3
CNR1,False,3.3
CNTNAP5,False,3.3
CEP152,False,3.3
MYH1,False,3.3
TNRC18,False,3.3
MTUS2,False,3.3
THADA,False,3.3
CENPE,False,3.3
ABCA13,False,3.3
CTNNA2,False,3.3
PARP14,False,3.3
NF1,True,3.3
FAM91A1,False,2.2
TICRR,False,2.2
SIK3,False,2.2
F5,False,2.2
CHRD,False,2.2
SLC30A9,False,2.2
SLC12A3,False,2.2
EPC2,False,2.2
EPHA7,False,2.2
CFH,False,2.2
FAM122B,False,2.2
ERICH3,False,2.2
CHD7,False,2.2
F13A1,False,2.2
SLC22A14,False,2.2
EXPH5,False,2.2
SLC2A2,False,2.2
SLC22A8,False,2.2
ERAS,False,2.2
THSD7B,False,2.2
FAT2,False,2.2
ERBB4,True,2.2
SLC24A4,False,2.2
EVPL,False,2.2
ETV5,True,2.2
CHERP,False,2.2
SFSWAP,False,2.2
FAT4,False,2.2
SCN5A,False,2.2
CEP250,False,2.2
FRMD1,False,2.2
CEP192,False,2.2
CEP131,False,2.2
CENPU,False,2.2
FRMPD2,False,2.2
TLN2,False,2.2
CENPH,False,2.2
CFAP206,False,2.2
FRY,False,2.2
TLR2,False,2.2
CELSR3,False,2.2
CELSR1,False,2.2
GAD2,False,2.2
GALNTL6,False,2.2
CEL,False,2.2
