Gene,IsJCGA,MutationPercentage
MUC16,False,13.46
TP53,True,13.46
ATRX,True,13.46
TTN,False,11.54
B4GALNT1,False,9.62
PCLO,False,7.69
ADGRV1,False,5.77
FLG,False,5.77
FLT4,False,5.77
ELL2,False,5.77
XIRP2,False,5.77
SLC9C2,False,5.77
TRHDE,False,5.77
KIAA1217,False,5.77
ERICH3,False,5.77
TRDN,False,5.77
PEG3,False,5.77
PREX2,False,5.77
SYNE1,False,5.77
HYDIN,False,5.77
NAV3,False,5.77
FAM47C,False,5.77
MYH4,False,5.77
BPIFB4,False,3.85
LRP2,False,3.85
TMPRSS3,False,3.85
DNAH9,False,3.85
GOLGA3,False,3.85
ITPR2,False,3.85
PDE6B,False,3.85
HERC2,False,3.85
ATP1A4,False,3.85
ATP1A3,False,3.85
DOCK3,False,3.85
DOCK8,False,3.85
LRP1,False,3.85
PRKDC,False,3.85
HTT,False,3.85
USH2A,False,3.85
TMEM132D,False,3.85
DPY19L2,False,3.85
LRRN3,False,3.85
GEMIN4,False,3.85
ARL13B,False,3.85
DSCAM,False,3.85
RYR3,False,3.85
PHLDB1,False,3.85
CEP290,False,3.85
CEP350,False,3.85
SLC17A6,False,3.85
IVL,False,3.85
SPTBN4,False,3.85
TMC2,False,3.85
KRR1,False,3.85
KIF26A,False,3.85
PCDH11Y,False,3.85
SPATA31D1,False,3.85
GRIP1,False,3.85
CACNA1F,False,3.85
KLHL32,False,3.85
TSPAN19,False,3.85
PCDHA6,False,3.85
FBLN2,False,3.85
FAT3,False,3.85
PWWP3B,False,3.85
SPHKAP,False,3.85
BCAN,False,3.85
FABP7,False,3.85
SLITRK3,False,3.85
GREB1,False,3.85
CWH43,False,3.85
KCNH8,False,3.85
SCN1A,False,3.85
SLC8A3,False,3.85
L1TD1,False,3.85
TOX,False,3.85
FAT1,True,3.85
CCT2,False,3.85
VPS13C,False,3.85
CELSR1,False,3.85
CALN1,False,3.85
OBSCN,False,3.85
SHROOM2,False,3.85
EEF1AKNMT,False,3.85
MGAM,False,3.85
ZBED9,False,3.85
MARCHF9,False,3.85
MBD6,False,3.85
TAF1L,False,3.85
IL12RB2,False,3.85
MPO,False,3.85
FOXI1,False,3.85
MYO5B,False,3.85
FOXD4L4,False,3.85
RPAP3,False,3.85
MROH2B,False,3.85
SYNE2,False,3.85
FLNA,False,3.85
SYT1,False,3.85
SCN4A,False,3.85
ENPP5,False,3.85
NLRP4,False,3.85
PLB1,False,3.85
TAF6L,False,3.85
WNK2,False,3.85
CHAF1A,False,3.85
PIK3CA,True,3.85
FEZF1,False,3.85
CFAP54,False,3.85
PIK3CD,False,3.85
NSUN6,False,3.85
FBXO5,False,3.85
APC,True,3.85
FCHO1,False,3.85
MUC17,False,3.85
FRS2,False,3.85
NRP2,False,3.85
MAGEC1,False,3.85
NUP107,False,3.85
RYR2,False,1.92
PPOX,False,1.92
PSG2,False,1.92
PPARGC1A,False,1.92
PRRC2C,False,1.92
PRUNE2,False,1.92
PPIP5K2,False,1.92
PRTN3,False,1.92
PRTG,False,1.92
PPARA,False,1.92
RTP2,False,1.92
PRRC2B,False,1.92
PPP1R1A,False,1.92
PRICKLE2,False,1.92
PRR5L,False,1.92
PPP2R2C,False,1.92
PREX1,False,1.92
PREP,False,1.92
PRKAA1,False,1.92
PSMD1,False,1.92
PRKACA,False,1.92
PRKCG,False,1.92
PRDM9,False,1.92
PRDM2,False,1.92
RUNX3,False,1.92
PRB4,False,1.92
PRB3,False,1.92
PRLR,False,1.92
PRMT2,False,1.92
PRB2,False,1.92
PROM1,False,1.92
PROS1,False,1.92
PRAMEF4,False,1.92
PROZ,False,1.92
PRPF40B,False,1.92
PPP2R5C,False,1.92
PRPF8,False,1.92
RYR1,False,1.92
RSPH6A,False,1.92
PSMD3,False,1.92
RFTN2,False,1.92
RTL1,False,1.92
RIN2,False,1.92
RIMS1,False,1.92
RIC8A,False,1.92
RIC1,False,1.92
RGR,False,1.92
RFX3,False,1.92
REV3L,False,1.92
PSMD9,False,1.92
RERE,False,1.92
RER1,False,1.92
REN,False,1.92
RELB,False,1.92
REEP3,False,1.92
RDH16,False,1.92
RD3,False,1.92
RLN1,False,1.92
RNASE10,False,1.92
RNF111,False,1.92
RNF113A,False,1.92
RSPRY1,False,1.92
RSAD1,False,1.92
RPL9,False,1.92
RPL41,False,1.92
RPL36A,False,1.92
RPF2,False,1.92
RPA1,False,1.92
RP1L1,False,1.92
RP1,False,1.92
RORB,False,1.92
RNF38,False,1.92
RNF31,False,1.92
RNF220,False,1.92
RNF216,False,1.92
RNF213,False,1.92
RCOR1,False,1.92
RCN1,False,1.92
RCL1,False,1.92
RAB6A,False,1.92
RAB3IP,False,1.92
RAB3GAP1,False,1.92
RAB17,False,1.92
RAB11FIP5,False,1.92
R3HDM1,False,1.92
PXDNL,False,1.92
PTPRU,False,1.92
PTPRO,True,1.92
PTPRN,False,1.92
PTPRF,False,1.92
PTPRC,False,1.92
PTPRB,False,1.92
PTEN,True,1.92
PTCH1,True,1.92
PSRC1,False,1.92
RSBN1,False,1.92
RAD23B,False,1.92
RC3H1,False,1.92
RAD50,True,1.92
RBP2,False,1.92
RBMXL2,False,1.92
RBAK,False,1.92
RB1,True,1.92
RAVER2,False,1.92
RASGRF1,False,1.92
RASGEF1C,False,1.92
RTN4,False,1.92
RASAL2,False,1.92
RARS1,False,1.92
RARB,False,1.92
RANBP17,False,1.92
RAMP2,False,1.92
RALGPS1,False,1.92
RAG2,False,1.92
POT1,False,1.92
A2ML1,False,1.92
POLQ,False,1.92
NPAS3,False,1.92
OLFML2B,False,1.92
OLFM2,False,1.92
OBI1,False,1.92
NYAP2,False,1.92
NWD1,False,1.92
NUP188,False,1.92
NUDT21,False,1.92
NTSR1,False,1.92
NRXN3,False,1.92
NRXN1,False,1.92
NRSN1,False,1.92
NRIP3,False,1.92
NRDC,False,1.92
NR2E1,False,1.92
NR2C1,False,1.92
NR1H4,False,1.92
NPTXR,False,1.92
OOEP,False,1.92
OPHN1,False,1.92
OPRM1,False,1.92
OR1S1,False,1.92
OR4A15,False,1.92
OR2V2,False,1.92
OR2T8,False,1.92
OR2T12,False,1.92
OR2M4,False,1.92
OR2H1,False,1.92
OR2F1,False,1.92
OR1J2,False,1.92
OR10A7,False,1.92
OR1D2,False,1.92
OR1C1,False,1.92
OR13A1,False,1.92
OR11H12,False,1.92
OR11H1,False,1.92
OR10T2,False,1.92
OR10H1,False,1.92
NPM2,False,1.92
NOTCH3,True,1.92
OR4F6,False,1.92
NOS3,False,1.92
NABP2,False,1.92
MYT1L,False,1.92
MYORG,False,1.92
MYO7B,False,1.92
MYO5C,False,1.92
MYO1H,False,1.92
MYO1F,False,1.92
MYO1A,False,1.92
MYO16,False,1.92
MYO15A,False,1.92
MYLK3,False,1.92
MYH7,False,1.92
MYH6,False,1.92
MYH3,False,1.92
MYH14,False,1.92
MYH1,False,1.92
MYF5,False,1.92
NAV1,False,1.92
NCKAP5,False,1.92
NCKIPSD,False,1.92
NLRP14,False,1.92
NOS1,False,1.92
NOP14,False,1.92
NOL6,False,1.92
NOL10,False,1.92
NOB1,False,1.92
NLRP8,False,1.92
NLRP5,False,1.92
NLRP1,False,1.92
NDN,False,1.92
NKAIN3,False,1.92
NGB,False,1.92
NF1,True,1.92
NEXMIF,False,1.92
NEUROG1,False,1.92
NEUROD4,False,1.92
NDUFA7,False,1.92
OR4C46,False,1.92
