Gene,IsJCGA,MutationPercentage
TP53,True,50.32
TTN,False,43.97
MUC16,False,39.32
CSMD3,False,38.69
RYR2,False,34.67
LRP1B,False,32.35
USH2A,False,30.87
ZFHX4,False,30.87
KRAS,True,27.27
XIRP2,False,23.26
FLG,False,22.83
SPTA1,False,21.56
COL11A1,False,20.51
ZNF536,False,20.3
NAV3,False,20.3
FAT3,False,18.82
ANK2,False,18.6
CSMD1,False,18.39
APOB,False,17.76
PCDH15,False,17.76
KEAP1,True,17.55
ADAMTS12,False,17.34
TNR,False,16.91
PCLO,False,16.7
DNAH9,False,16.7
RP1L1,False,16.28
PAPPA2,False,16.28
CDH10,False,16.28
MUC17,False,16.07
ERICH3,False,15.86
RYR3,False,15.86
ADGRG4,False,15.64
NPAP1,False,15.43
RYR1,False,15.22
FBN2,False,15.22
RIMS2,False,15.01
ZNF804A,False,14.8
HMCN1,False,14.8
PTPRD,False,14.8
PCDH11X,False,14.59
SI,False,14.38
EGFR,True,14.38
LRRC7,False,14.38
DMD,False,14.38
MXRA5,False,14.16
ASTN1,False,13.95
NALCN,False,13.74
RELN,False,13.53
CACNA1E,False,13.53
PXDNL,False,13.53
VCAN,False,13.53
FAT4,False,13.53
ABCA13,False,13.32
PEG3,False,13.32
DST,False,13.32
CSMD2,False,13.32
NRXN1,False,13.11
FLG2,False,13.11
AHNAK2,False,13.11
ASPM,False,12.9
FAM135B,False,12.9
ASXL3,False,12.68
STK11,True,12.68
CNTNAP5,False,12.47
TNN,False,12.26
TSHZ3,False,12.26
OBSCN,False,12.26
SORCS1,False,12.26
LRP2,False,12.05
CNTNAP2,False,12.05
PKHD1L1,False,11.84
CPS1,False,11.84
PKHD1,False,11.84
SYNE2,False,11.84
PCDH10,False,11.84
BRINP3,False,11.63
PRUNE2,False,11.63
DNAH5,False,11.63
COL6A3,False,11.63
MYH2,False,11.63
TLR4,False,11.63
PRDM9,False,11.42
COL12A1,False,11.42
CDH12,False,11.42
ANKRD30A,False,11.21
EPHA5,False,11.21
MRC1,False,11.21
AFF2,False,11.21
ADGRL3,False,11.21
HERC2,False,11.21
NF1,True,10.99
LAMA2,False,10.99
NLRP3,False,10.99
SYNE1,False,10.99
TENM1,False,10.99
NCKAP5,False,10.78
ZNF831,False,10.78
CTNNA2,False,10.78
FMN2,False,10.78
AHNAK,False,10.78
MYH8,False,10.78
MYH1,False,10.57
SNTG1,False,10.57
ADGRB3,False,10.57
DNAH8,False,10.36
PLPPR4,False,10.36
HRNR,False,10.36
UNC79,False,10.36
PTPRT,True,10.36
CRB1,False,10.36
CUBN,False,10.36
LAMA1,False,10.15
GRIN2B,False,10.15
MYH7,False,10.15
ZNF521,False,10.15
SVEP1,False,10.15
TIAM1,False,10.15
ADAMTS20,False,10.15
FAM47C,False,10.15
DNAH7,False,9.94
CDH9,False,9.94
COL3A1,False,9.94
SPHKAP,False,9.94
SETBP1,True,9.73
ZFPM2,False,9.73
TAF1L,False,9.73
SLITRK2,False,9.73
TRPS1,False,9.73
DOCK2,False,9.51
SPATA31D1,False,9.51
COL5A2,False,9.3
CTNND2,False,9.3
HCN1,False,9.3
