Gene,IsJCGA,MutationPercentage
TP53,True,83.26
TTN,False,69.21
CSMD3,False,41.94
MUC16,False,38.43
RYR2,False,36.57
LRP1B,False,32.64
USH2A,False,31.61
SYNE1,False,29.96
ZFHX4,False,29.13
FAM135B,False,23.14
KMT2D,True,20.87
NAV3,False,20.04
XIRP2,False,19.42
RYR3,False,19.01
SPTA1,False,18.8
CDH10,False,18.8
PCDH15,False,18.8
PKHD1,False,18.6
PAPPA2,False,17.77
DNAH5,False,17.15
DNAH8,False,16.94
PCLO,False,16.94
PKHD1L1,False,16.74
HCN1,False,16.12
MUC17,False,16.12
ADAMTS12,False,16.12
SI,False,15.91
FLG,False,15.7
ERICH3,False,15.7
RELN,False,15.7
COL11A1,False,15.5
COL22A1,False,15.5
DNAH9,False,15.08
ADGRB3,False,14.88
CSMD1,False,14.88
FAT3,False,14.88
APOB,False,14.67
LRP2,False,14.67
DNAH7,False,14.67
RYR1,False,14.67
PCDH11X,False,14.46
CDKN2A,True,14.46
ZNF804A,False,14.26
NFE2L2,True,14.26
CNTNAP5,False,14.05
TNR,False,13.84
SPHKAP,False,13.84
FMN2,False,13.64
BRINP3,False,13.64
CUBN,False,13.64
ADGRV1,False,13.43
CSMD2,False,13.43
ZNF804B,False,13.43
NEB,False,12.81
ANK2,False,12.81
ZNF536,False,12.6
FAT1,True,12.4
PLXNA4,False,12.4
PRDM9,False,12.19
CDH18,False,12.19
DNAH11,False,12.19
LRRK2,False,11.98
CNTNAP2,False,11.98
LRRC7,False,11.98
SCN2A,False,11.98
CTNNA2,False,11.78
LAMA2,False,11.57
PEG3,False,11.57
THSD7B,False,11.57
SCN1A,False,11.57
HERC2,False,11.57
DMD,False,11.36
TPTE,False,11.36
MROH2B,False,11.36
HMCN1,False,11.36
FAT4,False,11.36
MYH2,False,11.36
MRC1,False,11.36
ABCA13,False,11.16
NF1,True,10.95
COL12A1,False,10.95
TNN,False,10.95
KEAP1,True,10.74
ANKRD30A,False,10.74
PTEN,True,10.74
MYH1,False,10.74
FCGBP,False,10.74
DST,False,10.74
PIK3CA,True,10.74
KMT2C,True,10.74
TMEM132D,False,10.54
UNC13C,False,10.54
TENM1,False,10.54
CPS1,False,10.54
AHNAK,False,10.54
MUC5B,False,10.54
COL6A3,False,10.54
SORCS1,False,10.33
CRB1,False,10.12
KALRN,False,10.12
LCT,False,10.12
SLITRK3,False,10.12
MMP16,False,10.12
DYSF,False,10.12
RP1,False,10.12
PLCH1,False,9.92
OBSCN,False,9.92
NRXN1,False,9.92
PXDNL,False,9.92
ADAMTS20,False,9.92
CDH9,False,9.71
CTNND2,False,9.71
MYH4,False,9.71
BIRC6,False,9.5
MACF1,False,9.5
TNXB,False,9.5
RIMS2,False,9.5
CACNA1E,False,9.5
ALMS1,False,9.3
EPB41L3,False,9.3
KIAA1109,False,9.3
MYT1L,False,9.3
AHNAK2,False,9.3
PCDH10,False,9.3
GRM8,False,9.3
MYH8,False,9.09
CNTNAP4,False,9.09
HYDIN,False,9.09
LRFN5,False,9.09
FAM47C,False,9.09
TAF1L,False,9.09
GRIN2A,False,9.09
DCC,False,9.09
DCDC1,False,8.88
PREX2,False,8.88
ZNF208,False,8.88
TRHDE,False,8.88
TENM3,False,8.88
ASPM,False,8.88
ADAMTS16,False,8.88
ATP10A,False,8.88
CDH12,False,8.88
NCAM2,False,8.88
MYO16,False,8.68
EPHA5,False,8.68
RIMS1,False,8.68
ZDBF2,False,8.68
ADGRG4,False,8.68
THSD7A,False,8.68
FSCB,False,8.68
ASTN1,False,8.68
C6,False,8.68
GPR158,False,8.68
VPS13B,False,8.68
MYH15,False,8.47
GRIN2B,False,8.47
DCAF4L2,False,8.47
COL6A6,False,8.47
PTPRB,False,8.47
STAB2,False,8.47
FLNC,False,8.47
KCNH7,False,8.47
ADGRL3,False,8.47
UNC5D,False,8.47
FSHR,False,8.47
FBN2,False,8.26
NLRP12,False,8.26
UTRN,False,8.26
DNAH3,False,8.26
LAMA1,False,8.26
UNC79,False,8.26
PDZD2,False,8.26
SYNE2,False,8.26
MDGA2,False,8.26
OTOGL,False,8.06
CDH8,False,8.06
DOCK2,False,8.06
MAGEC1,False,8.06
PLEC,False,8.06
WDR17,False,8.06
SACS,False,8.06
NLRP13,False,8.06
TG,False,7.85
GRID2,False,7.85
ANKS1B,False,7.85
NRXN3,False,7.85
MDN1,False,7.85
ERBB4,True,7.85
MYH7,False,7.85
BRWD3,False,7.85
TRPS1,False,7.64
EPHA3,True,7.64
ZEB2,False,7.64
SPAG17,False,7.64
SLC8A1,False,7.64
ADCY8,False,7.64
COL19A1,False,7.64
NALCN,False,7.64
CHD7,False,7.64
VCAN,False,7.64
ZBBX,False,7.64
ZNF99,False,7.64
KLHL1,False,7.64
ZNF831,False,7.64
KIF2B,False,7.64
PPFIA2,False,7.64
USP34,False,7.44
POLQ,False,7.44
ZFHX3,False,7.44
TRPA1,False,7.44
DGKI,False,7.44
FLG2,False,7.44
ZIC1,False,7.44
ZNF479,False,7.44
NLRP14,False,7.44
KLHL4,False,7.44
OR4C12,False,7.44
PIK3CG,True,7.44
ACACB,False,7.44
COL24A1,False,7.44
MYH13,False,7.44
GRM1,False,7.44
TPR,False,7.44
SCN10A,False,7.44
HUWE1,False,7.44
NPAP1,False,7.44
DLC1,False,7.23
CMYA5,False,7.23
COL1A2,False,7.23
DNAH10,False,7.23
CACNA1A,False,7.23
TLN2,False,7.23
NLRP3,False,7.23
ZNF521,False,7.23
FAM47A,False,7.23
SPEF2,False,7.23
GALNT17,False,7.23
SORCS3,False,7.23
SPATA31D1,False,7.23
NOS1,False,7.23
CFAP47,False,7.23
EPHA6,False,7.02
ASXL3,False,7.02
DPP10,False,7.02
HERC1,False,7.02
RB1,True,7.02
TLR4,False,7.02
CFAP61,False,7.02
ZAN,False,7.02
EYS,False,7.02
SPATA31E1,False,7.02
GALNT13,False,7.02
MGAM,False,7.02
PRUNE2,False,7.02
RUNX1T1,False,7.02
NLRP8,False,7.02
NEXMIF,False,7.02
NLRP5,False,7.02
ROS1,True,7.02
NRAP,False,7.02
SALL1,False,7.02
CTNNA3,False,7.02
ACAN,False,6.82
NOTCH1,True,6.82
ITPRID1,False,6.82
SCN7A,False,6.82
FBN3,False,6.82
VPS13D,False,6.82
WDFY3,False,6.82
DYNC1H1,False,6.82
PTPRO,True,6.82
VPS13C,False,6.82
NDST4,False,6.82
DSCAM,False,6.82
RP1L1,False,6.82
LRRC4C,False,6.82
COL3A1,False,6.82
GOLGB1,False,6.82
CACNA1C,False,6.82
KDR,True,6.82
FRY,False,6.82
ZNF423,False,6.82
MYO18B,False,6.82
SLCO1B1,False,6.61
TMPRSS15,False,6.61
MORC1,False,6.61
NBAS,False,6.61
HGF,True,6.61
CNTN5,False,6.61
DOCK10,False,6.61
BRCA2,True,6.61
ABCB1,True,6.61
ANK3,False,6.61
CNGB3,False,6.61
OTOF,False,6.61
MYCBP2,False,6.61
POTEE,False,6.61
SLIT2,False,6.61
TKTL2,False,6.61
F5,False,6.61
LRRTM4,False,6.4
GRM5,False,6.4
PTPRT,True,6.4
LRRIQ1,False,6.4
SVEP1,False,6.4
ANO5,False,6.4
ABCB5,False,6.4
ABCA9,False,6.4
CENPE,False,6.4
CREBBP,True,6.4
ALPK2,False,6.4
COL4A4,False,6.4
STYXL2,False,6.4
RASA1,False,6.4
FRAS1,False,6.4
NELL1,False,6.4
HEPH,False,6.4
RNF213,False,6.4
ADAMTSL3,False,6.4
MYO3A,False,6.4
ROBO4,False,6.4
PTPRC,False,6.4
GRID1,False,6.4
RTTN,False,6.4
MXRA5,False,6.4
ARID1A,True,6.4
MKI67,False,6.4
LPA,False,6.2
HECW1,False,6.2
KCNA4,False,6.2
OR5D18,False,6.2
SCN5A,False,6.2
TENM4,False,6.2
GPC5,False,6.2
DPP6,False,6.2
MYH6,False,6.2
PTPRD,False,6.2
TRIM58,False,6.2
OR4M1,False,6.2
FSTL5,False,6.2
USP29,False,6.2
FBN1,False,6.2
F13B,False,6.2
PDE3A,False,6.2
MAGEL2,False,6.2
OR2T4,False,6.2
FREM2,False,6.2
TECTA,False,6.2
LYST,False,6.2
ITGA8,False,6.2
SLC39A12,False,6.2
NLRP4,False,5.99
COL15A1,False,5.99
LEPR,False,5.99
RGS7,False,5.99
OR4C6,False,5.99
PPP1R3A,False,5.99
ASCC3,False,5.99
RANBP2,False,5.99
ZEB1,False,5.99
MAP2,False,5.99
TDRD5,False,5.99
TMEM132B,False,5.99
ADAMTS18,False,5.99
NCKAP5,False,5.99
GABRA2,False,5.99
