Gene,IsJCGA,MutationPercentage
IDH1,True,82.95
TP53,True,54.26
ATRX,True,46.51
CIC,True,17.83
TTN,False,10.85
FUBP1,True,6.98
MUC16,False,6.98
NF1,True,5.43
PIK3CA,True,4.65
EGFR,True,4.65
SPAG17,False,4.65
BCOR,True,4.65
NOTCH1,True,4.65
ADGRV1,False,3.88
PKHD1,False,3.88
SMARCA4,True,3.88
IDH2,True,3.88
RYR2,False,3.88
ARID1A,True,3.88
USH2A,False,3.88
AFF2,False,3.88
NIPBL,False,3.1
PTEN,True,3.1
SLIT1,False,3.1
HMCN1,False,3.1
THSD7B,False,2.33
EIF4A1,False,2.33
SLC24A3,False,2.33
PCLO,False,2.33
OR52M1,False,2.33
ZNF292,False,2.33
ZBTB20,False,2.33
OR4P4,False,2.33
CFAP65,False,2.33
ATP10B,False,2.33
ATN1,False,2.33
KCNMA1,False,2.33
TCF12,False,2.33
KLHL28,False,2.33
ITIH6,False,2.33
MAP3K12,False,2.33
PIK3R1,True,2.33
HTR3A,False,2.33
MED16,False,2.33
OGT,False,2.33
SYNE2,False,2.33
SYNE1,False,2.33
PLCG1,False,2.33
PHF3,False,2.33
STK31,False,2.33
PASD1,False,2.33
FAM83G,False,2.33
MYT1,False,2.33
NGEF,False,2.33
RTL5,False,2.33
FLNB,False,2.33
ABCA13,False,2.33
MYH8,False,2.33
FGD5,False,2.33
FCGBP,False,2.33
ADAMTS15,False,2.33
LILRB2,False,2.33
NEO1,False,2.33
F5,False,2.33
F8,False,2.33
MYO18A,False,2.33
FLG,False,2.33
CAPRIN2,False,1.55
TNRC6A,False,1.55
LATS1,True,1.55
CNOT1,False,1.55
CLMN,False,1.55
COL1A2,False,1.55
SZT2,False,1.55
CASKIN1,False,1.55
KANK2,False,1.55
TAZ,False,1.55
SYNJ2,False,1.55
PAH,False,1.55
SVEP1,False,1.55
CPO,False,1.55
CPEB4,False,1.55
STYXL2,False,1.55
PLCG2,False,1.55
COP1,False,1.55
INPPL1,False,1.55
PKHD1L1,False,1.55
SVIL,False,1.55
COL22A1,False,1.55
SYCP2L,False,1.55
LILRA1,False,1.55
TRANK1,False,1.55
CACNA1F,False,1.55
CACNA1G,False,1.55
TPR,False,1.55
PAPPA,False,1.55
PHKA2,False,1.55
PCDH19,False,1.55
TBC1D9,False,1.55
