Gene,IsJCGA,MutationPercentage
IDH1,True,82.7
CIC,True,45.41
TP53,True,23.78
FUBP1,True,18.38
ATRX,True,17.84
NOTCH1,True,14.05
PIK3CA,True,11.89
IDH2,True,8.11
PIK3R1,True,6.49
NIPBL,False,5.95
TTN,False,5.95
ZBTB20,False,5.41
SMARCA4,True,5.41
MUC16,False,4.86
ARID1A,True,3.78
ZNF292,False,3.78
KAT6B,False,3.24
EGFR,True,3.24
DNAH9,False,2.7
LAMA3,False,2.7
RYR2,False,2.7
FAT2,False,2.7
NEB,False,2.7
FRAS1,False,2.7
DST,False,2.7
CLUH,False,2.7
ARID1B,True,2.7
TCF12,False,2.7
ANKRD30A,False,2.7
LRP2,False,2.7
PTPRZ1,False,2.16
NAV3,False,2.16
OBSCN,False,2.16
NPAP1,False,2.16
HEATR5B,False,2.16
RANBP2,False,2.16
FLNC,False,2.16
MROH2B,False,2.16
SLCO4C1,False,2.16
SPATA31E1,False,2.16
USP11,False,2.16
MYH2,False,2.16
FER1L6,False,2.16
EPHA3,True,2.16
TENM2,False,2.16
ZNF148,False,2.16
SI,False,2.16
ANKRD11,False,2.16
COL12A1,False,2.16
MYO15A,False,2.16
BCOR,True,2.16
MYH4,False,2.16
CUBN,False,2.16
NF1,True,2.16
CFH,False,2.16
SYNE1,False,2.16
DCHS1,False,2.16
KIAA1217,False,2.16
ITPR3,False,2.16
PCLO,False,2.16
DNAH5,False,2.16
MUC2,False,1.62
TAF1L,False,1.62
PTEN,True,1.62
EVC2,False,1.62
MUC17,False,1.62
MUC5B,False,1.62
COL4A5,False,1.62
WNK3,False,1.62
E4F1,False,1.62
SPTBN5,False,1.62
WIPI2,False,1.62
COL19A1,False,1.62
ZNF91,False,1.62
ERICH5,False,1.62
MGAT4C,False,1.62
DUSP5,False,1.62
TG,False,1.62
MYH11,False,1.62
MYH15,False,1.62
NLRP13,False,1.62
MYH3,False,1.62
MYH6,False,1.62
KIAA1549,True,1.62
AKAP4,False,1.62
PTCHD1,False,1.62
TENM1,False,1.62
LRP1B,False,1.62
GRIA3,False,1.62
EGF,False,1.62
TPTE,False,1.62
PROKR1,False,1.62
SMC1A,False,1.62
SMC4,False,1.62
SLIT2,False,1.62
OR4A16,False,1.62
KDM5B,False,1.62
IL1RL1,False,1.62
CDCP1,False,1.62
APOB,False,1.62
CPEB4,False,1.62
CPAMD8,False,1.62
PIKFYVE,False,1.62
RLF,False,1.62
OR52B6,False,1.62
MTOR,True,1.62
CDH16,False,1.62
ARID2,True,1.62
GLIS3,False,1.62
RP1,False,1.62
KEL,True,1.62
CDH23,True,1.62
FAM47A,False,1.62
TAF1,False,1.62
PRKDC,False,1.62
PDGFRA,True,1.62
HERC1,False,1.62
CLIP1,False,1.62
NRAS,True,1.62
CLEC9A,False,1.62
ADAMTS9,False,1.62
FERMT3,False,1.62
ACACB,False,1.62
RBPJ,False,1.62
CLIP2,False,1.62
DNMT3A,True,1.62
ADGRL2,False,1.62
HDX,False,1.62
SEMA6D,False,1.62
PCSK2,False,1.62
ADGRA3,False,1.62
LATS2,True,1.62
ITIH6,False,1.62
MYO3A,False,1.62
ADAMTS20,False,1.62
ZMYM6,False,1.62
DNAH8,False,1.62
KRTAP10-7,False,1.62
TXNDC11,False,1.62
BCORL1,True,1.62
RBBP6,True,1.62
NBEA,False,1.62
FSTL5,False,1.62
SIN3A,False,1.62
SCN11A,False,1.62
CHD8,False,1.62
TIAM1,False,1.62
PAGE1,False,1.62
CLSTN3,False,1.62
FAT4,False,1.62
BCLAF3,False,1.62
CSF2RA,False,1.08
KIF16B,False,1.08
CSMD3,False,1.08
KIR2DL1,False,1.08
PKP3,False,1.08
PLCB1,False,1.08
SYNRG,False,1.08
PLD1,False,1.08
TACR3,False,1.08
KIF20B,False,1.08
PLEKHA8,False,1.08
CTSG,False,1.08
KERA,False,1.08
D2HGDH,False,1.08
SVEP1,False,1.08
DAB2,False,1.08
CTNNB1,True,1.08
DACH2,False,1.08
KIF4B,False,1.08
SVIL,False,1.08
KIAA0319,False,1.08
KIF6,False,1.08
KDM6B,False,1.08
SYCP1,False,1.08
CUL4B,False,1.08
CYP26B1,False,1.08
PLCG2,False,1.08
KIF2B,False,1.08
TANGO6,False,1.08
SUPT20HL1,False,1.08
KIAA1109,False,1.08
KIF26B,False,1.08
SZT2,False,1.08
TANC2,False,1.08
TFRC,False,1.08
CRYBA1,False,1.08
PKHD1L1,False,1.08
PCNX2,False,1.08
TMPRSS15,False,1.08
PCNX3,False,1.08
PCSK6,False,1.08
TMEM45B,False,1.08
PDE2A,False,1.08
CFHR3,False,1.08
PDE6C,False,1.08
PDE8A,False,1.08
LCT,False,1.08
CHD4,False,1.08
PDGFD,False,1.08
TMEM132B,False,1.08
CHRDL1,False,1.08
TMCO3,False,1.08
LIMCH1,False,1.08
PCDHGC5,False,1.08
CEP68,False,1.08
CDKN2C,True,1.08
LRRC3,False,1.08
CDC73,True,1.08
CDH12,False,1.08
CDH17,False,1.08
CDH18,False,1.08
LRP1,False,1.08
TNXB,False,1.08
CEP350,False,1.08
PCDHAC1,False,1.08
TNN,False,1.08
CELSR1,False,1.08
CEMIP2,False,1.08
CENPE,False,1.08
PCDHB5,False,1.08
LAMP2,False,1.08
CHST15,False,1.08
TMC3,False,1.08
KMT2A,True,1.08
KRT20,False,1.08
TET2,True,1.08
KRI1,False,1.08
TENM3,False,1.08
KMT2D,True,1.08
KMT2C,True,1.08
TDRD6,False,1.08
KRT36,False,1.08
KLHL38,False,1.08
PIMREG,False,1.08
TCN1,False,1.08
TCHH,False,1.08
CREB3,False,1.08
TCF7L2,True,1.08
TFAP2B,False,1.08
COL14A1,False,1.08
CIT,False,1.08
PHF10,False,1.08
TLR7,False,1.08
LAMA2,False,1.08
L1CAM,False,1.08
CLEC4M,False,1.08
TIMD4,False,1.08
CNGB1,False,1.08
THEG,False,1.08
KRT5,False,1.08
CNTN3,False,1.08
CNTN6,False,1.08
KRT73,False,1.08
KRT6C,False,1.08
PHLPP2,False,1.08
DCAF12L2,False,1.08
DBR1,False,1.08
PRAMEF1,False,1.08
DCAF8L1,False,1.08
FLG2,False,1.08
HIVEP1,False,1.08
SGO2,False,1.08
FHL5,False,1.08
FHOD1,False,1.08
RAD21,True,1.08
SETD2,True,1.08
FLG,False,1.08
SERPINB7,False,1.08
FCRL5,False,1.08
RASAL2,False,1.08
FOXI1,False,1.08
FOXK1,False,1.08
RASGRF1,False,1.08
SELE,False,1.08
HDAC2,True,1.08
RASGRP1,False,1.08
SH3KBP1,False,1.08
HMCN1,False,1.08
F13A1,False,1.08
FAM83B,False,1.08
PTPRB,False,1.08
HTR3A,False,1.08
PUM3,False,1.08
FAM47B,False,1.08
HS6ST2,False,1.08
FAM76B,False,1.08
HS3ST6,False,1.08
HROB,False,1.08
SHROOM2,False,1.08
HRNR,False,1.08
PYGL,False,1.08
SIM1,False,1.08
FAT3,False,1.08
FBLN1,False,1.08
FBN2,False,1.08
HNF1B,False,1.08
HAUS1,False,1.08
HASPIN,False,1.08
FRY,False,1.08
GLB1L,False,1.08
RTF1,False,1.08
RFX7,False,1.08
GFPT1,False,1.08
GHR,False,1.08
RHAG,False,1.08
GIGYF2,False,1.08
RREB1,False,1.08
RIPK4,False,1.08
SCYL3,False,1.08
GPR50,False,1.08
RORB,False,1.08
GLUD1,False,1.08
GNAI1,False,1.08
GPR149,False,1.08
RNF103,False,1.08
GOLGA4,False,1.08
RFX1,False,1.08
RTTN,False,1.08
REV1,False,1.08
GCNA,False,1.08
FUBP3,False,1.08
FUS,True,1.08
FUT5,False,1.08
RBFOX1,False,1.08
SCN7A,False,1.08
SCN2A,False,1.08
SCD5,False,1.08
RELN,False,1.08
SAMD9L,False,1.08
RENBP,False,1.08
SAGE1,False,1.08
GRPR,False,1.08
RYR3,False,1.08
RYR1,False,1.08
RXFP2,False,1.08
F5,False,1.08
PTPN21,False,1.08
SUGCT,False,1.08
SP3,False,1.08
ITGAL,False,1.08
SPECC1L,False,1.08
SPDYE1,False,1.08
ITGA4,False,1.08
DOCK5,False,1.08
PPP1R26,False,1.08
SPANXD,False,1.08
DRC7,False,1.08
SPRY4,False,1.08
PPP2R2A,True,1.08
PPP2R3A,False,1.08
DSG1,False,1.08
DSP,False,1.08
SOX17,False,1.08
TRANK1,False,1.08
SOWAHB,False,1.08
PPL,False,1.08
DNAH7,False,1.08
PTPN11,True,1.08
DHX30,False,1.08
PLEKHM3,False,1.08
STX11,False,1.08
KCNT2,False,1.08
KCNN2,False,1.08
DEAF1,False,1.08
POF1B,False,1.08
ST3GAL3,False,1.08
POLR3A,False,1.08
SPTLC3,False,1.08
POSTN,False,1.08
DLG5,False,1.08
SRSF11,False,1.08
SRRM4,False,1.08
JARID2,False,1.08
DMXL1,False,1.08
DMXL2,False,1.08
SON,False,1.08
PRDM8,False,1.08
PRG4,False,1.08
SLC6A19,False,1.08
ENPP3,False,1.08
PRSS35,False,1.08
EPB41L2,False,1.08
EPB41L3,False,1.08
SLC6A6,False,1.08
EPHA4,False,1.08
SLC6A3,False,1.08
EPPK1,False,1.08
ECT2L,False,1.08
ERICH3,False,1.08
SLC35F1,False,1.08
EVPL,False,1.08
IFT140,False,1.08
SLC26A4,False,1.08
EXPH5,False,1.08
EXTL1,False,1.08
SLC7A13,False,1.08
PRSS16,False,1.08
SLC7A9,False,1.08
SLCO1B1,False,1.08
SNRNP200,False,1.08
EDAR,False,1.08
INTS3,False,1.08
PRKCA,False,1.08
SMG1,False,1.08
INPP4B,True,1.08
SMARCD2,False,1.08
PRMT5,False,1.08
EHMT2,False,1.08
PRPF40B,False,1.08
SLITRK2,False,1.08
EIF4A1,False,1.08
PRPF8,False,1.08
SLFN12,False,1.08
IL1RL2,False,1.08
TRAF5,False,1.08
GPANK1,False,1.08
BOD1L1,False,1.08
MX2,False,1.08
NAP1L2,False,1.08
MATN2,False,1.08
UBR5,False,1.08
ZNF425,False,1.08
MAX,True,1.08
UCK1,False,1.08
OR5H14,False,1.08
UGGT2,False,1.08
ZNF407,False,1.08
OR2G6,False,1.08
MBL2,False,1.08
NAGLU,False,1.08
ALMS1,False,1.08
UGT2B11,False,1.08
OR5AS1,False,1.08
BRWD1,False,1.08
UHRF1BP1L,False,1.08
ZDHHC14,False,1.08
NAE1,False,1.08
BRD3,False,1.08
UNC13A,False,1.08
ADGRF4,False,1.08
