Gene,IsJCGA,MutationPercentage
TP53,True,90.5
TTN,False,24.0
CSMD3,False,9.0
NF1,True,7.5
USH2A,False,7.5
MUC16,False,6.5
HMCN1,False,6.5
RYR2,False,6.5
FAT3,False,5.75
FLG2,False,5.5
MACF1,False,5.25
SI,False,5.25
MUC17,False,5.25
AHNAK,False,5.0
LRP1B,False,5.0
DNAH3,False,4.75
BRCA1,True,4.75
CDK12,True,4.75
APOB,False,4.75
FLG,False,4.75
DNAH5,False,4.5
TG,False,4.5
COL6A3,False,4.5
DST,False,4.5
SYNE2,False,4.5
SYNE1,False,4.5
MDN1,False,4.25
FCGBP,False,4.25
DNAH8,False,4.25
RB1,True,4.25
LRP1,False,4.25
DNAH10,False,4.0
MYH4,False,4.0
HUWE1,False,4.0
KMT2C,True,4.0
RELN,False,4.0
DYNC1H1,False,3.75
ADGRV1,False,3.75
TENM1,False,3.75
RYR1,False,3.5
ZFHX4,False,3.5
LRRK2,False,3.5
NEB,False,3.5
PKHD1,False,3.5
VPS13B,False,3.5
KMT2A,True,3.5
CSMD1,False,3.5
MYH1,False,3.5
TACC2,False,3.5
AHNAK2,False,3.25
LRP2,False,3.25
SPTA1,False,3.25
CSMD2,False,3.25
DNAH11,False,3.25
KIAA1109,False,3.25
GOLGB1,False,3.25
IGSF10,False,3.25
RNF213,False,3.25
PCLO,False,3.25
PTPRZ1,False,3.25
PKHD1L1,False,3.25
COL11A1,False,3.25
TOP2A,False,3.25
PRUNE2,False,3.25
DMD,False,3.25
HSPG2,False,3.25
COL5A3,False,3.25
NOTCH4,False,3.0
MRC1,False,3.0
PCDH15,False,3.0
CNTNAP5,False,3.0
FAT1,True,3.0
MAP2,False,3.0
DYSF,False,3.0
TENM2,False,2.75
SPTAN1,False,2.75
MED12L,False,2.75
IQGAP2,False,2.75
FRMPD3,False,2.75
LAMA2,False,2.75
CACNA1C,False,2.75
SZT2,False,2.75
NIPBL,False,2.75
MXRA5,False,2.75
UNC79,False,2.75
CD163L1,False,2.75
KDR,True,2.75
DNAH9,False,2.75
F8,False,2.75
F5,False,2.75
FAT4,False,2.75
MAST2,False,2.75
MYO3A,False,2.75
ZNF236,False,2.75
DNAH17,False,2.75
PPP1R3A,False,2.75
COL22A1,False,2.75
ADGRG4,False,2.75
XIRP2,False,2.5
CCDC80,False,2.5
AKAP9,False,2.5
MYH15,False,2.5
ANK2,False,2.5
DOCK2,False,2.5
MYH2,False,2.5
SVIL,False,2.5
FRAS1,False,2.5
WDR6,False,2.5
LAMA3,False,2.5
DSCAML1,False,2.5
COL4A4,False,2.5
PLCH1,False,2.5
BRCA2,True,2.5
ZNF536,False,2.5
RIF1,False,2.5
ATRX,True,2.5
CUL9,False,2.5
CHD7,False,2.5
LAMC3,False,2.5
SALL1,False,2.5
ABCB4,False,2.5
BCORL1,True,2.5
ALMS1,False,2.5
DCC,False,2.5
NLRP3,False,2.5
ACACB,False,2.5
MAP3K19,False,2.5
ADCY2,False,2.5
SPTB,False,2.5
CREBBP,True,2.5
DNAH7,False,2.5
ANKRD35,False,2.5
UBR5,False,2.5
WDFY3,False,2.5
ABCA13,False,2.5
CENPF,False,2.25
SPEN,True,2.25
CHD4,False,2.25
USP34,False,2.25
ADGRB3,False,2.25
VWF,False,2.25
TAF1,False,2.25
LCT,False,2.25
AKAP6,False,2.25
PLB1,False,2.25
CD163,False,2.25
APC,True,2.25
CNTNAP2,False,2.25
AHCTF1,False,2.25
VPS13C,False,2.25
SIK3,False,2.25
ARHGAP35,False,2.25
LPA,False,2.25
LRRC7,False,2.25
VCAN,False,2.25
PODN,False,2.25
COL6A6,False,2.25
PKD1L1,False,2.25
FAM47C,False,2.25
SCN1A,False,2.25
CACNA1S,False,2.25
ZFHX3,False,2.25
NALCN,False,2.25
DOCK4,False,2.25
DCHS1,False,2.25
OBSCN,False,2.25
NCOA3,True,2.25
LAMA1,False,2.25
DNAH1,False,2.25
ASPM,False,2.25
TRRAP,False,2.25
TNIK,False,2.25
MTCL1,False,2.25
ABCA12,False,2.25
MYO7A,False,2.25
RESF1,False,2.25
KCNH7,False,2.25
CAMTA1,False,2.25
KCNH1,False,2.25
DGKK,False,2.25
TNRC6A,False,2.25
ROBO2,False,2.0
MYCBP2,False,2.0
FAM135B,False,2.0
BSN,False,2.0
NOL4,False,2.0
SOX5,False,2.0
LYST,False,2.0
FBXO38,False,2.0
ADCY8,False,2.0
IRS4,False,2.0
CDH10,False,2.0
AP1G2,False,2.0
ROBO1,False,2.0
HEPH,False,2.0
KIAA0100,False,2.0
COL15A1,False,2.0
PRDM9,False,2.0
HECW1,False,2.0
ALK,True,2.0
TMPRSS15,False,2.0
PIK3CB,True,2.0
SNRNP200,False,2.0
ADGRG7,False,2.0
ADGRL3,False,2.0
COL4A6,False,2.0
PHKA1,False,2.0
CHD2,False,2.0
GRIN2A,False,2.0
BRINP3,False,2.0
KIF21A,False,2.0
DMXL1,False,2.0
ZNF133,False,2.0
DMXL2,False,2.0
ANK3,False,2.0
MYH11,False,2.0
ATRNL1,False,2.0
ANKHD1-EIF4EBP3,False,2.0
PEG3,False,2.0
ZNF804B,False,2.0
COL3A1,False,2.0
IGSF3,False,2.0
ENPP2,False,2.0
ZNF804A,False,2.0
MYH8,False,2.0
DNAH2,False,2.0
CPAMD8,False,2.0
BPTF,False,2.0
KIAA1755,False,2.0
BIRC6,False,2.0
KIAA1217,False,2.0
IL21R,False,2.0
ATM,True,2.0
TLN2,False,2.0
MED13L,False,2.0
DOCK5,False,2.0
ARHGAP21,False,2.0
STYXL2,False,2.0
PLEKHG1,False,2.0
USP7,False,2.0
ZSWIM8,False,2.0
LRRK1,False,2.0
MKI67,False,2.0
MYOCD,True,2.0
SAMD9L,False,2.0
ZFPM2,False,2.0
CUBN,False,2.0
LAMB1,False,2.0
CAD,False,2.0
LAMC1,False,2.0
TECTA,False,2.0
CUX1,False,2.0
UNC13C,False,2.0
RYR3,False,2.0
TCF20,False,2.0
PLXNA4,False,2.0
