Gene,IsJCGA,MutationPercentage
KRAS,True,66.67
TP53,True,61.64
SMAD4,True,22.01
CDKN2A,True,18.24
TTN,False,14.47
MUC16,False,6.29
RNF43,True,6.29
KDM6A,True,4.4
TGFBR2,True,4.4
RYR1,False,4.4
ARID1A,True,4.4
HECW2,False,4.4
TNXB,False,4.4
RNF213,False,3.77
GLI3,False,3.77
GNAS,True,3.77
FAT2,False,3.77
TPO,False,3.77
CACNA1B,False,3.77
PCDH15,False,3.77
COL6A2,False,3.14
KCNB2,False,3.14
RREB1,False,3.14
COL5A1,False,3.14
MYO18B,False,3.14
KMT2C,True,3.14
MYO16,False,3.14
ADAMTS12,False,3.14
CSMD2,False,3.14
ADAMTS16,False,3.14
FLG,False,3.14
FBN3,False,3.14
RIMS2,False,3.14
PCDHB7,False,3.14
ATM,True,3.14
PCDH9,False,3.14
OBSCN,False,3.14
LRP1B,False,3.14
ZAN,False,2.52
ADGRL4,False,2.52
ADGRL2,False,2.52
FLT4,False,2.52
MED12L,False,2.52
FAM135B,False,2.52
ADGRG4,False,2.52
USH2A,False,2.52
SPTA1,False,2.52
HMCN1,False,2.52
PREX1,False,2.52
APOB,False,2.52
IGSF10,False,2.52
APBA2,False,2.52
DCHS1,False,2.52
MUC17,False,2.52
SCN5A,False,2.52
IRS1,False,2.52
AKAP6,False,2.52
FLNC,False,2.52
POM121L12,False,2.52
FAT3,False,2.52
MYH15,False,2.52
DNAH11,False,2.52
DNAH10,False,2.52
PIK3CA,True,2.52
NTF3,False,2.52
PMEPA1,False,2.52
FBXW7,True,2.52
DISP3,False,2.52
FCGBP,False,2.52
KCNA4,False,2.52
KCNA5,False,2.52
KCNA6,False,2.52
HYDIN,False,2.52
PSG7,False,2.52
DST,False,2.52
FLNA,False,2.52
BTBD11,False,2.52
SCN9A,False,2.52
GRM8,False,2.52
GREB1,False,2.52
NOS1,False,2.52
KMT2D,True,2.52
MAP3K21,False,2.52
RYR3,False,2.52
ABCA13,False,2.52
COL11A1,False,2.52
PAPPA2,False,2.52
CSMD3,False,2.52
ADAMTS19,False,2.52
TRIM42,False,2.52
CR2,False,2.52
NLGN3,False,2.52
TENM3,False,2.52
TCF4,False,2.52
RBM10,True,2.52
CELSR3,False,2.52
PDZRN3,False,2.52
DNMT3A,True,1.89
ASTN1,False,1.89
DNAH9,False,1.89
CHML,False,1.89
WDR17,False,1.89
DSCAML1,False,1.89
WNT3A,False,1.89
PCDHGB7,False,1.89
PCLO,False,1.89
ITPR1,False,1.89
DOCK3,False,1.89
ATP12A,False,1.89
LCT,False,1.89
ATP10A,False,1.89
CHD6,False,1.89
ASB15,False,1.89
CTNNB1,True,1.89
PCDHB3,False,1.89
XIRP2,False,1.89
ZFPM2,False,1.89
ZFHX4,False,1.89
CDH8,False,1.89
ZFHX3,False,1.89
APC,True,1.89
LRP1,False,1.89
APCDD1,False,1.89
EP300,True,1.89
PRAMEF19,False,1.89
EFTUD2,False,1.89
ARHGAP36,False,1.89
PCDHA4,False,1.89
EEF2,False,1.89
ECT2,False,1.89
SLCO1B3,False,1.89
CENPJ,False,1.89
PCDHA7,False,1.89
XYLT1,False,1.89
DYSF,False,1.89
PDE3A,False,1.89
MRC1,False,1.89
PBRM1,True,1.89
DMBT1,False,1.89
KSR2,False,1.89
CLSTN2,False,1.89
KMT2A,True,1.89
CACNA1C,False,1.89
DDX31,False,1.89
PLD5,False,1.89
BIRC6,False,1.89
KCNQ3,False,1.89
CPXM2,False,1.89
PLCE1,False,1.89
PKHD1,False,1.89
