Gene,IsJCGA,MutationPercentage
TTN,False,14.39
MUC16,False,7.91
MET,True,7.19
KMT2C,True,6.47
SETD2,True,5.4
PKHD1,False,5.4
KIAA1109,False,5.4
CUBN,False,5.04
FAT1,True,5.04
BAP1,True,4.68
USH2A,False,4.68
KMT2D,True,4.68
SYNE1,False,4.68
HERC2,False,4.32
DNAH8,False,4.32
WDFY3,False,4.32
PBRM1,True,3.96
PCF11,False,3.96
ARID1A,True,3.96
LRP2,False,3.96
SYNE2,False,3.96
OBSCN,False,3.96
CUL3,True,3.6
MACF1,False,3.6
KDM6A,True,3.6
SRRM2,False,3.6
UBR4,False,3.24
ADGRV1,False,3.24
ANK3,False,3.24
HERC1,False,3.24
NF2,True,3.24
PCLO,False,3.24
BIRC6,False,3.24
DNAH1,False,2.88
SMARCA4,True,2.88
CEP250,False,2.88
HMCN1,False,2.88
NEB,False,2.88
GBF1,False,2.88
DST,False,2.88
CENPF,False,2.88
STAG2,True,2.88
MDN1,False,2.88
CREBBP,True,2.88
NIPBL,False,2.88
LRBA,False,2.88
TLN1,False,2.52
DNAH5,False,2.52
SPATA31D1,False,2.52
TET1,False,2.52
ATP1B1,False,2.52
CNOT1,False,2.52
PTEN,True,2.52
PARD6B,False,2.52
CNTNAP5,False,2.52
EP300,True,2.52
MUC17,False,2.52
SRCAP,False,2.52
JMJD1C,False,2.52
HELZ2,False,2.52
ANK2,False,2.52
RYR1,False,2.52
F12,False,2.52
GOLGA4,False,2.52
SAV1,False,2.52
IGF2R,False,2.52
PRRC2C,False,2.52
TG,False,2.52
SLC5A12,False,2.52
RERE,False,2.52
KIF1B,True,2.52
RANBP2,False,2.52
CENPE,False,2.52
DYNC2H1,False,2.52
ARHGEF28,False,2.52
BOD1L1,False,2.16
MYT1,False,2.16
DYNC1H1,False,2.16
MYOM2,False,2.16
RYR3,False,2.16
DMXL2,False,2.16
RYR2,False,2.16
GRAMD1A,False,2.16
NUP214,False,2.16
ATXN2,False,2.16
PLEKHA6,False,2.16
DIP2C,False,2.16
GOLGB1,False,2.16
MYH4,False,2.16
SMG1,False,2.16
DSCAM,False,2.16
SSH2,False,2.16
KAT6A,False,2.16
TSC2,True,2.16
FREM2,False,2.16
TP53,True,2.16
COL18A1,False,2.16
NFE2L2,True,2.16
PRAG1,False,2.16
TEP1,False,2.16
TENM3,False,2.16
SHANK3,False,2.16
DDX5,False,2.16
KNL1,False,2.16
FLG,False,2.16
LRIG3,False,2.16
SZT2,False,2.16
LRP1B,False,2.16
TNRC18,False,2.16
TNRC6A,False,2.16
POLR1A,False,2.16
CSMD3,False,2.16
EML5,False,2.16
LRP6,False,2.16
NBEA,False,2.16
ZZEF1,False,2.16
AHNAK,False,2.16
SF3B1,True,2.16
BRCA2,True,2.16
ZAN,False,2.16
CLTC,False,2.16
MON2,False,2.16
XRN1,False,2.16
VPS13C,False,2.16
ARHGAP32,False,2.16
SMARCB1,True,2.16
FANCM,False,2.16
AHCTF1,False,2.16
VCAN,False,2.16
UNC13A,False,2.16
SPEN,True,2.16
XIRP2,False,2.16
CHD8,False,2.16
CLUH,False,2.16
WDR81,False,2.16
MEGF8,False,2.16
SMC6,False,2.16
DNMT3A,True,2.16
ACSF2,False,2.16
CACNA1S,False,2.16
UBR3,False,2.16
SETDB1,False,1.8
SMCHD1,False,1.8
SCRN2,False,1.8
ARID2,True,1.8
GREB1,False,1.8
PPRC1,False,1.8
NR2F2,False,1.8
GTF3C1,False,1.8
GLG1,False,1.8
CASP8AP2,False,1.8
ATG2B,False,1.8
PHF20L1,False,1.8
ARFGEF2,False,1.8
TASOR,False,1.8
PIK3C2A,False,1.8
PHLDB1,False,1.8
PCK1,False,1.8
ARHGEF17,False,1.8
SLC4A4,False,1.8
PLXNB2,False,1.8
DOT1L,True,1.8
SPTA1,False,1.8
ARHGAP24,False,1.8
SRGAP1,False,1.8
DMXL1,False,1.8
HEATR5B,False,1.8
DMTF1,False,1.8
HECTD4,False,1.8
STAB1,False,1.8
HECW1,False,1.8
DSP,False,1.8
HELZ,False,1.8
DLEC1,False,1.8
ASAP2,False,1.8
SPEG,False,1.8
SPAG5,False,1.8
NUP210L,False,1.8
DHX9,False,1.8
SEL1L3,False,1.8
EPG5,False,1.8
DNAH2,False,1.8
PLEKHG1,False,1.8
ATP10A,False,1.8
HUWE1,False,1.8
DOCK2,False,1.8
DNTTIP2,False,1.8
SVEP1,False,1.8
HECTD1,False,1.8
SEC16A,False,1.8
DSCAML1,False,1.8
SIPA1L2,False,1.8
THBS1,False,1.8
ZNF423,False,1.8
USP34,False,1.8
KDM3B,False,1.8
CEP135,False,1.8
BRWD1,False,1.8
ACE,False,1.8
MPRIP,False,1.8
ANKRD35,False,1.8
PTPRD,False,1.8
GAPVD1,False,1.8
RRP12,False,1.8
RTL9,False,1.8
FAM91A1,False,1.8
MTRR,True,1.8
FRYL,False,1.8
KMT2E,False,1.8
ACSM2A,False,1.8
TXNIP,False,1.8
ATXN7L2,False,1.8
ACTB,False,1.8
