Gene,IsJCGA,MutationPercentage
HRAS,True,10.11
NF1,True,9.55
EPAS1,True,4.49
MUC16,False,3.93
RET,True,2.81
ATRX,True,2.81
ABCA13,False,2.81
CSDE1,False,2.25
TTN,False,2.25
VHL,True,1.69
KCNH5,False,1.69
UNC79,False,1.69
HUWE1,False,1.69
RYR1,False,1.69
TNPO2,False,1.12
ITGA10,False,1.12
CACNA1D,False,1.12
IRX6,False,1.12
PCDHB12,False,1.12
PLCH1,False,1.12
CACNA1H,False,1.12
PCDHB4,False,1.12
C2CD3,False,1.12
TFAP2D,False,1.12
CDC42BPA,False,1.12
A2M,False,1.12
BIRC6,False,1.12
P4HTM,False,1.12
JADE2,False,1.12
TRIO,False,1.12
BOD1L1,False,1.12
CMYA5,False,1.12
KDM6B,False,1.12
BCAR1,False,1.12
KIF13B,False,1.12
KLHL7,False,1.12
ATP6V1G3,False,1.12
USP15,False,1.12
USP34,False,1.12
ARNT,False,1.12
VIT,False,1.12
PLEKHA7,False,1.12
COLGALT2,False,1.12
POLR1A,False,1.12
SUN1,False,1.12
RAI1,False,1.12
RANBP2,False,1.12
RNF149,False,1.12
FGFR1,True,1.12
FGD6,False,1.12
SETD2,True,1.12
FEZ1,False,1.12
SETBP1,True,1.12
SEMA6D,False,1.12
ELOA,False,1.12
RP1L1,False,1.12
RPGR,False,1.12
FAT1,True,1.12
SACS,False,1.12
RSRC2,False,1.12
DNAH8,False,1.12
GAD1,False,1.12
GBA,False,1.12
SPHKAP,False,1.12
COG7,False,1.12
VWA3B,False,1.12
STAG2,True,1.12
CSTF1,False,1.12
CSTL1,False,1.12
SPTA1,False,1.12
GPATCH8,False,1.12
DMBT1,False,1.12
PRPF8,False,1.12
SORBS1,False,1.12
PRUNE2,False,1.12
SLFN11,False,1.12
DENND4A,False,1.12
PTPN14,False,1.12
LCT,False,1.12
F13A1,False,1.12
ALMS1,False,1.12
AHCTF1,False,1.12
ADAM20,False,1.12
LTBP2,False,1.12
MUC5B,False,1.12
ANAPC7,False,1.12
ADGRG7,False,1.12
ZFC3H1,False,1.12
XDH,False,1.12
MLLT6,False,1.12
ABCA12,False,1.12
WDR11,False,1.12
ANO3,False,1.12
AHNAK,False,1.12
PRKD2,False,0.56
PRMT1,False,0.56
PRMT9,False,0.56
MYH15,False,0.56
PRPH2,False,0.56
MYH14,False,0.56
PRR12,False,0.56
PRRC2C,False,0.56
PRKAR1A,True,0.56
PRTG,False,0.56
NSUN2,False,0.56
MXRA5,False,0.56
PSAT1,False,0.56
PSD3,False,0.56
PSD4,False,0.56
PRKACB,False,0.56
PSG2,False,0.56
PSG8,False,0.56
PSMA7,False,0.56
PSMD1,False,0.56
PTCRA,False,0.56
PTGS1,False,0.56
PTPN13,False,0.56
MUC5AC,False,0.56
PTPN5,False,0.56
MYH3,False,0.56
MYO18B,False,0.56
MYH9,False,0.56
PRICKLE2,False,0.56
POLR1B,False,0.56
MYPN,False,0.56
POLR2A,False,0.56
POLR3A,False,0.56
POLR3B,False,0.56
POPDC3,False,0.56
POU6F2,False,0.56
PPARGC1A,False,0.56
MYOM3,False,0.56
PPEF2,False,0.56
PPIG,False,0.56
PPP1R10,False,0.56
PPP1R13L,False,0.56
MYOM2,False,0.56
PPP1R17,False,0.56
PPP1R3F,False,0.56
PPP6C,True,0.56
PPRC1,False,0.56
PQBP1,False,0.56
MYO5C,False,0.56
PRAMEF18,False,0.56
PREB,False,0.56
PRELP,False,0.56
MYO5B,False,0.56
MYO5A,False,0.56
PREX2,False,0.56
PRG2,False,0.56
PUM2,False,0.56
PRG4,False,0.56
PTPRD,False,0.56
PYGB,False,0.56
MTREX,False,0.56
MTR,False,0.56
MORC3,False,0.56
RNF20,False,0.56
RNF213,False,0.56
RNLS,False,0.56
RNPEPL1,False,0.56
ROBO1,False,0.56
MMP8,False,0.56
MMP27,False,0.56
ROBO2,False,0.56
ROBO3,False,0.56
ROBO4,False,0.56
ROCK2,False,0.56
MMP2,False,0.56
RORC,False,0.56
MMP15,False,0.56
RPAP1,False,0.56
MMP14,False,0.56
RPL27A,False,0.56
MLXIP,False,0.56
RPRD2,False,0.56
RPS27A,False,0.56
RPS6KA5,False,0.56
RPS6KC1,False,0.56
RRAS2,True,0.56
RRBP1,False,0.56
RSBN1L,False,0.56
MLLT1,False,0.56
RTL1,False,0.56
RTN4,False,0.56
MORN4,False,0.56
MRGPRX3,False,0.56
MRPL38,False,0.56
MTFR1,False,0.56
PVALB,False,0.56
POLE,True,0.56
R3HDML,False,0.56
RAB35,False,0.56
RAB3GAP2,False,0.56
MTOR,True,0.56
RAB40A,False,0.56
MTMR10,False,0.56
RAB4B,False,0.56
RABEPK,False,0.56
RAD51AP1,False,0.56
RAD54B,False,0.56
RALGAPB,False,0.56
RBBP5,False,0.56
RNF19A,False,0.56
RBL2,False,0.56
RBM12B,False,0.56
RBP2,False,0.56
RBP4,False,0.56
RC3H1,False,0.56
REM2,False,0.56
MSN,False,0.56
RMDN1,False,0.56
RNASEK,False,0.56
RNF10,False,0.56
MSANTD4,False,0.56
RNF168,False,0.56
MRPL46,False,0.56
