Gene,IsJCGA,MutationPercentage
BAP1,True,28.21
NF2,True,24.36
TP53,True,14.1
LATS2,True,10.26
TTN,False,10.26
SETD2,True,10.26
FAT4,False,5.13
PTCH1,True,5.13
NCOR1,True,3.85
NDST2,False,3.85
SETDB1,False,3.85
WWP2,False,3.85
CRACD,False,3.85
MROH2B,False,3.85
ALPK3,False,3.85
PHRF1,False,3.85
SRGAP3,False,3.85
NLRP9,False,3.85
NEXMIF,False,3.85
SHROOM1,False,3.85
SDK1,False,3.85
OGDHL,False,3.85
PBRM1,True,3.85
RYR2,False,3.85
FLG,False,3.85
SPTA1,False,2.56
NRP1,False,2.56
DACH1,False,2.56
PCDHGB1,False,2.56
AVPR2,False,2.56
OR5F1,False,2.56
LATS1,True,2.56
NRAP,False,2.56
CR1,False,2.56
PCLO,False,2.56
RELN,False,2.56
SLC13A4,False,2.56
GPRC5C,False,2.56
VWA3B,False,2.56
VWF,False,2.56
DNAH10,False,2.56
HEATR3,False,2.56
PHKA1,False,2.56
EML5,False,2.56
RGL2,False,2.56
DBX1,False,2.56
SPATA31D1,False,2.56
SIGLEC10,False,2.56
CCDC63,False,2.56
DNMT3A,True,2.56
DOCK2,False,2.56
LDB1,False,2.56
ITGBL1,False,2.56
PDZD2,False,2.56
SPECC1,False,2.56
TMEM132A,False,2.56
USH2A,False,2.56
CCDC185,False,2.56
ATP13A1,False,2.56
DTWD1,False,2.56
OBSCN,False,2.56
CSMD3,False,2.56
RALGAPA1,False,2.56
ASXL3,False,2.56
CSMD1,False,2.56
LAMA5,False,2.56
LRFN5,False,2.56
NUGGC,False,2.56
ASCC3,False,2.56
USP9X,False,2.56
UTP20,False,2.56
LRP1,False,2.56
GLI1,False,2.56
PDIA4,False,2.56
ARIH1,False,2.56
MAN1C1,False,2.56
ARID2,True,2.56
LMO4,False,2.56
LRP2,False,2.56
LRP4,False,2.56
TM9SF2,False,2.56
CRYBG1,False,2.56
VEPH1,False,2.56
ARID5B,False,2.56
HDLBP,False,2.56
MGA,False,2.56
MMP20,False,2.56
FANCA,True,2.56
RSPH4A,False,2.56
ZNF536,False,2.56
CLINT1,False,2.56
STKLD1,False,2.56
SNX19,False,2.56
TAS1R2,False,2.56
OTUD7B,False,2.56
NCKAP1L,False,2.56
KLC1,False,2.56
CAPN3,False,2.56
POLR2A,False,2.56
FRMD1,False,2.56
FRMD4A,False,2.56
SEC24B,False,2.56
SNRNP200,False,2.56
FARP1,False,2.56
KIF26A,False,2.56
RTN3,False,2.56
ACAP1,False,2.56
PAX5,True,2.56
COBL,False,2.56
ABLIM3,False,2.56
RYR3,False,2.56
SCN11A,False,2.56
SYNE1,False,2.56
PAPPA2,False,2.56
HTT,False,2.56
MYBL1,False,2.56
ABCC8,False,2.56
CNTNAP2,False,2.56
EPHA5,False,2.56
ANKRD30A,False,2.56
ROCK1,False,2.56
MCF2,False,2.56
EPHB4,True,2.56
NLRP4,False,2.56
CARD6,False,2.56
TDRD6,False,2.56
SGSH,False,2.56
ANK2,False,2.56
GAL3ST3,False,2.56
SLIT1,False,2.56
GAA,False,2.56
PIPOX,False,2.56
TCHH,False,2.56
ALS2,False,2.56
NEB,False,2.56
MATN4,False,2.56
INPPL1,False,2.56
DCLRE1B,False,2.56
AKAP6,False,2.56
ZFHX4,False,2.56
MEGF8,False,2.56
POLR2G,False,2.56
AGRN,False,2.56
PKHD1,False,2.56
FRY,False,2.56
PROSER1,False,1.28
PRKCA,False,1.28
PRKACG,False,1.28
