Gene,IsJCGA,MutationPercentage
TP53,True,11.07
SPOP,True,11.07
TTN,False,9.84
FOXA1,False,5.94
KMT2D,True,5.74
MUC16,False,5.33
SYNE1,False,4.51
KMT2C,True,4.3
SPTA1,False,4.1
LRP1B,False,4.1
ATM,True,3.69
RYR2,False,3.48
CSMD3,False,3.48
PTEN,True,3.28
KDM6A,True,3.07
CACNA1E,False,2.87
HMCN1,False,2.87
MUC17,False,2.87
USH2A,False,2.66
RP1,False,2.66
RYR1,False,2.46
MYO15A,False,2.46
FAT3,False,2.46
ADGRB3,False,2.25
OBSCN,False,2.25
ZMYM3,False,2.25
APC,True,2.25
MACF1,False,2.25
CNTNAP5,False,2.25
EPB41L3,False,2.05
FBN3,False,2.05
ZFHX3,False,2.05
PIK3CA,True,2.05
GRIA1,False,2.05
CSMD1,False,2.05
RYR3,False,2.05
COL11A1,False,2.05
CDK12,True,2.05
ABCA13,False,2.05
CUBN,False,1.84
NALCN,False,1.84
PCLO,False,1.84
SALL1,False,1.84
FBN1,False,1.84
MXRA5,False,1.84
GRIN2A,False,1.84
CACNA1A,False,1.84
UNC79,False,1.64
GRM1,False,1.64
DNAH17,False,1.64
SORCS1,False,1.64
BRCA2,True,1.64
RAG1,False,1.64
MYO9A,False,1.64
BSN,False,1.64
PCDH15,False,1.64
ANK2,False,1.64
SMARCA1,False,1.64
CFH,False,1.64
CDH23,True,1.64
ADGRV1,False,1.64
STAB2,False,1.64
TNXB,False,1.64
PLCB4,False,1.64
ARID2,True,1.64
SACS,False,1.64
CSMD2,False,1.64
AKAP9,False,1.64
CTNNB1,True,1.64
MECOM,False,1.43
ITPR2,False,1.43
COL7A1,False,1.43
HSPA8,False,1.43
RNF213,False,1.43
GPR158,False,1.43
DCC,False,1.43
PTPRC,False,1.43
AHNAK2,False,1.43
PKHD1L1,False,1.43
PKHD1,False,1.43
VPS13D,False,1.43
CHD3,False,1.43
PCDHB7,False,1.43
MED13,False,1.43
TRANK1,False,1.43
IGSF10,False,1.43
PKD1,False,1.43
ANK3,False,1.43
COL5A1,False,1.43
DNAH9,False,1.43
KIF1A,False,1.43
DNAH3,False,1.43
SETD2,True,1.43
ADGRL3,False,1.43
SPEN,True,1.43
ANO4,False,1.43
FREM2,False,1.43
GAD2,False,1.43
MYCBP2,False,1.43
NRXN3,False,1.43
NDST4,False,1.43
XIRP2,False,1.43
SPHKAP,False,1.43
BRAF,True,1.43
MYH4,False,1.43
MUC5B,False,1.43
TAF1L,False,1.43
FAT4,False,1.43
FAT2,False,1.43
FLG,False,1.43
CHD4,False,1.23
LAMB1,False,1.23
ZAN,False,1.23
NEB,False,1.23
CHD5,False,1.23
TRPM6,False,1.23
CFAP65,False,1.23
LAMA3,False,1.23
APOB,False,1.23
DAPK1,False,1.23
ROBO2,False,1.23
CHD6,False,1.23
RNF31,False,1.23
CDKN1B,True,1.23
LINGO2,False,1.23
ACAN,False,1.23
SIGLEC1,False,1.23
CDH12,False,1.23
ERF,False,1.23
ANK1,False,1.23
XIRP1,False,1.23
TIAM2,False,1.23
ADAM29,False,1.23
SPATA31A1,False,1.23
CTNNAL1,False,1.23
CTTNBP2,False,1.23
TRIO,False,1.23
OTOF,False,1.23
TP53BP1,False,1.23
ZFHX4,False,1.23
SCN10A,False,1.23
NLRP4,False,1.23
SCN1A,False,1.23
AHNAK,False,1.23
ASH1L,False,1.23
FCGBP,False,1.23
FAM47B,False,1.23
PEAK1,False,1.23
FAM214A,False,1.23
ASTN1,False,1.23
ZC3H13,False,1.23
KIAA1549L,False,1.23
KIF13A,False,1.23
FILIP1,False,1.23
FLG2,False,1.23
PIWIL1,False,1.23
ABCB1,True,1.23
SRCAP,False,1.23
PRKDC,False,1.23
KMT2A,True,1.23
PCDH10,False,1.23
FRAS1,False,1.23
DGKI,False,1.23
NAV2,False,1.23
COL12A1,False,1.23
TG,False,1.23
MYO3A,False,1.23
EP300,True,1.23
DNAH5,False,1.23
EIF4G3,False,1.23
GRIN2B,False,1.23
PCDHA12,False,1.23
HECTD4,False,1.23
VPS13B,False,1.23
DST,False,1.23
NTM,False,1.23
CASZ1,False,1.23
DNAH10,False,1.23
PCDHGA2,False,1.23
MED12,True,1.23
TACC2,False,1.23
MYH6,False,1.23
A1CF,False,1.23
DNHD1,False,1.23
PCDH11X,False,1.23
VRTN,False,1.23
VWF,False,1.23
MYH10,False,1.23
BRPF1,False,1.23
HCN1,False,1.23
MUC5AC,False,1.23
LYST,False,1.23
ZNF208,False,1.23
PTCHD4,False,1.23
MYH11,False,1.02
UTP20,False,1.02
KIF16B,False,1.02
ATF7IP,False,1.02
PLEKHH2,False,1.02
NYNRIN,False,1.02
NIPBL,False,1.02
ZNF276,False,1.02
UTRN,False,1.02
NID2,False,1.02
NWD1,False,1.02
VILL,False,1.02
ARID1A,True,1.02
ZNF536,False,1.02
PTPRU,False,1.02
PPRC1,False,1.02
WDR17,False,1.02
MUC2,False,1.02
WDFY3,False,1.02
TP53BP2,False,1.02
ARID4B,False,1.02
PTPRD,False,1.02
CNTN6,False,1.02
