Gene,IsJCGA,MutationPercentage
KIT,True,15.32
KRAS,True,10.48
NRAS,True,4.03
SRCAP,False,4.03
TTN,False,4.03
ZFHX4,False,3.23
BIRC6,False,3.23
PCLO,False,3.23
RPL5,False,2.42
DMD,False,2.42
PIK3CA,True,2.42
EMID1,False,2.42
MUC5B,False,2.42
NISCH,False,2.42
ANKRD50,False,2.42
MACF1,False,2.42
KNTC1,False,2.42
KDM2A,False,2.42
SACS,False,2.42
ZZEF1,False,2.42
TET1,False,2.42
TRIP12,False,2.42
VPS13B,False,2.42
HECTD4,False,1.61
FAT4,False,1.61
CAPN7,False,1.61
CACNA1C,False,1.61
FCGBP,False,1.61
FLG,False,1.61
FOXA1,False,1.61
GRB10,False,1.61
CPSF1,False,1.61
FANCM,False,1.61
HIVEP1,False,1.61
HUWE1,False,1.61
IGHV3-53,False,1.61
ITGA7,False,1.61
C2orf16,False,1.61
B3GNT8,False,1.61
ITPR1,False,1.61
ITPR3,False,1.61
ATP8A2,False,1.61
FAT3,False,1.61
CARD10,False,1.61
EPS8L3,False,1.61
DGKI,False,1.61
COG1,False,1.61
CSRNP3,False,1.61
CTNND1,False,1.61
CUL4A,True,1.61
CYP1A1,False,1.61
COBL,False,1.61
DDX54,False,1.61
CNTN5,False,1.61
KDM3B,False,1.61
CREBBP,True,1.61
DNAH6,False,1.61
CNOT3,False,1.61
DST,False,1.61
CEP128,False,1.61
EIF4G3,False,1.61
EPC2,False,1.61
CASD1,False,1.61
EPHB4,True,1.61
DNAH17,False,1.61
LRBA,False,1.61
KLC4,False,1.61
TDRD6,False,1.61
RPLP0,False,1.61
SALL4,True,1.61
SELENOI,False,1.61
SPHKAP,False,1.61
SPTBN5,False,1.61
STAB1,False,1.61
SYNE1,False,1.61
SYNJ2,False,1.61
TACC2,False,1.61
TRAM1L1,False,1.61
PPP1R3A,False,1.61
TREX1,False,1.61
TTC28,False,1.61
UBN1,False,1.61
USP13,False,1.61
UTRN,False,1.61
ZBTB10,False,1.61
ZFC3H1,False,1.61
ZNF217,True,1.61
ZNF277,False,1.61
RAC1,True,1.61
PLXNC1,False,1.61
KMT2B,False,1.61
MTF2,False,1.61
KMT2C,True,1.61
LAMA5,False,1.61
LONP1,False,1.61
ATCAY,False,1.61
LRP1B,False,1.61
LYST,False,1.61
MAG,False,1.61
MAGEB10,False,1.61
MDN1,False,1.61
MUC16,False,1.61
PKHD1L1,False,1.61
NEB,False,1.61
NEK10,False,1.61
NF1,True,1.61
NIPBL,False,1.61
NOTCH3,True,1.61
OBSCN,False,1.61
PCDH15,False,1.61
PCDH7,False,1.61
PDS5A,False,1.61
ATG2B,False,1.61
LRRK2,False,1.61
ANKRD30A,False,1.61
ABCF2,False,1.61
APOB,False,1.61
ANO7,False,1.61
ADAMTSL1,False,1.61
ABCA13,False,1.61
ACOT9,False,1.61
ARSG,False,1.61
ADSS2,False,1.61
PTBP2,False,0.81
PTBP1,False,0.81
PSME4,False,0.81
PSIP1,False,0.81
PRSS57,False,0.81
PRRG1,False,0.81
PRR4,False,0.81
PRRC2B,False,0.81
PRRC1,False,0.81
PRR35,False,0.81
PRR32,False,0.81
PRR14L,False,0.81
PRPF38B,False,0.81
PROX1,False,0.81
PRMT8,False,0.81
PRLR,False,0.81
PTCD3,False,0.81
ASXL2,False,0.81
PTGER3,False,0.81
PTGR1,False,0.81
RAD21,True,0.81
RACGAP1,False,0.81
ADAM21,False,0.81
RAB42,False,0.81
RAB3GAP1,False,0.81
RAB12,False,0.81
QSER1,False,0.81
QRICH2,False,0.81
QRICH1,False,0.81
QPCT,False,0.81
PXDNL,False,0.81
PVRIG,False,0.81
PVR,False,0.81
PUS1,False,0.81
PTPRO,True,0.81
PTPN23,False,0.81
PTPN20,False,0.81
PRKDC,False,0.81
PRICKLE2,False,0.81
PRKAA2,False,0.81
PNPLA6,False,0.81
POPDC3,False,0.81
POPDC2,False,0.81
POLR3B,False,0.81
POLR1A,False,0.81
POLK,False,0.81
POLE4,False,0.81
POLDIP2,False,0.81
POLA1,False,0.81
PNN,False,0.81
RAI14,False,0.81
PNMA8B,False,0.81
PNMA6A,False,0.81
PLXND1,False,0.81
ADAM23,False,0.81
PLXNB2,False,0.81
PLPPR5,False,0.81
PLIN5,False,0.81
PLIN2,False,0.81
PORCN,False,0.81
POTEA,False,0.81
POU4F2,False,0.81
POU4F3,False,0.81
PRG4,False,0.81
PREX1,False,0.81
PRDM9,False,0.81
PRDM7,False,0.81
PRAMEF15,False,0.81
PPWD1,False,0.81
PPP6R1,False,0.81
ADAM22,False,0.81
PPP1R36,False,0.81
PPP1R18,False,0.81
PPP1R17,False,0.81
PPM1H,False,0.81
PPM1D,False,0.81
PPL,False,0.81
PPFIA2,False,0.81
PPFIA1,False,0.81
PPEF1,False,0.81
RAD23A,False,0.81
RANBP10,False,0.81
RALGAPA1,False,0.81
RTKN2,False,0.81
SAE1,False,0.81
ACTR8,False,0.81
S1PR5,False,0.81
RYR3,False,0.81
RYR1,False,0.81
RTL9,False,0.81
RTL6,False,0.81
RTL1,False,0.81
RSPO2,True,0.81
SAGE1,False,0.81
RSF1,False,0.81
RRAS2,True,0.81
RRAGD,False,0.81
RRAGA,False,0.81
RPS6KA5,False,0.81
RPS5,False,0.81
RPRD2,False,0.81
ACVR2B,False,0.81
SAFB,False,0.81
ACTA2,False,0.81
RAN,False,0.81
SCIN,False,0.81
SECISBP2,False,0.81
SEC63,False,0.81
SEC16A,False,0.81
SCRN1,False,0.81
SCN9A,False,0.81
SCN7A,False,0.81
SCN10A,False,0.81
SCML2,False,0.81
SCCPDH,False,0.81
SART1,False,0.81
SCARB2,False,0.81
SCAPER,False,0.81
SCAMP2,False,0.81
SCAF1,False,0.81
SBNO1,False,0.81
SATB1,False,0.81
SASH3,False,0.81
SART3,False,0.81
ADAM17,False,0.81
RPL26,False,0.81
RPH3AL,False,0.81
RBBP6,True,0.81
RCN1,False,0.81
RC3H2,False,0.81
RBP1,False,0.81
RBM39,False,0.81
RBM23,False,0.81
RBM17,False,0.81
RBM15B,False,0.81
RBBP8NL,False,0.81
RBBP5,False,0.81
RPGRIP1,False,0.81
RASSF2,False,0.81
RASAL2,False,0.81
RARS2,False,0.81
RAPGEF6,False,0.81
RAPGEF1,False,0.81
RAP1B,False,0.81
RANBP2,False,0.81
PLEKHA3,False,0.81
RDH10,False,0.81
RDH13,False,0.81
REEP6,False,0.81
RESF1,False,0.81
RPAP1,False,0.81
RPAIN,False,0.81
RP1L1,False,0.81
ROCK2,False,0.81
ROBO3,False,0.81
RNPC3,False,0.81
RNF8,False,0.81
RNF31,False,0.81
RNF213,False,0.81
RNF182,False,0.81
RNASEH2C,False,0.81
RING1,False,0.81
RIMS1,False,0.81
RIF1,False,0.81
RGS12,False,0.81
RGPD4,False,0.81
REXO1,False,0.81
PLEKHH1,False,0.81
PLCL1,False,0.81
PLEC,False,0.81
ADGRL1,False,0.81
NIBAN1,False,0.81
NFXL1,False,0.81
NFX1,False,0.81
NFKB2,False,0.81
