Gene,IsJCGA,MutationPercentage
GTF2I,True,55.45
HRAS,True,9.09
MUC16,False,3.64
TTN,False,3.64
SACS,False,2.73
L3MBTL3,False,2.73
BCOR,True,2.73
CSMD2,False,2.73
CLTC,False,2.73
OTUD4,False,1.82
PCNT,False,1.82
PCLO,False,1.82
PCDHA9,False,1.82
KCNV2,False,1.82
OTOGL,False,1.82
TP53,True,1.82
TP53BP2,False,1.82
CCDC22,False,1.82
BDP1,False,1.82
TRPM5,False,1.82
NRXN1,False,1.82
ARHGEF28,False,1.82
NRAS,True,1.82
IQCA1,False,1.82
PLXNB2,False,1.82
IGSF1,False,1.82
UTRN,False,1.82
EIF1AX,False,1.82
RYR2,False,1.82
EXT1,True,1.82
DNAJC27,False,1.82
DNAH8,False,1.82
DNAH3,False,1.82
DMBT1,False,1.82
RAB3GAP2,False,1.82
GRAMD1C,False,1.82
COL6A6,False,1.82
PREX1,False,1.82
PPP4R4,False,1.82
HDAC4,False,1.82
CLIP2,False,1.82
POLR3B,False,1.82
AP1M1,False,1.82
PI15,False,1.82
RNF213,False,1.82
NEXMIF,False,1.82
ACACB,False,1.82
NDST4,False,1.82
MYH14,False,1.82
ZBTB10,False,1.82
NLRC5,False,1.82
MYO15A,False,1.82
ABCA7,False,1.82
AGAP1,False,1.82
PSMC2,False,0.91
PROX1,False,0.91
PUS1,False,0.91
PRPF3,False,0.91
PRR13,False,0.91
PSEN1,False,0.91
PSMA5,False,0.91
PTPRN,False,0.91
PTPRM,False,0.91
MYO7B,False,0.91
PTCH1,True,0.91
PROS1,False,0.91
PTDSS2,False,0.91
PTPRA,False,0.91
PTPRD,False,0.91
PTPRS,False,0.91
PTPRE,False,0.91
PSMD9,False,0.91
PRKAR2B,False,0.91
MYO9B,False,0.91
PPFIBP1,False,0.91
NBEAL2,False,0.91
NALCN,False,0.91
POSTN,False,0.91
NAF1,False,0.91
NAA16,False,0.91
POTEE,False,0.91
PPARGC1A,False,0.91
PPFIA2,False,0.91
PPFIA3,False,0.91
PPM1E,False,0.91
PWWP3A,False,0.91
PPP1R12B,False,0.91
PPP1R42,False,0.91
PPP2R1A,True,0.91
NAA10,False,0.91
N4BP1,False,0.91
PPT1,False,0.91
PPWD1,False,0.91
PRDM1,True,0.91
MYOF,False,0.91
PVRIG,False,0.91
RAB29,False,0.91
PYGM,False,0.91
RECQL,False,0.91
REV3L,False,0.91
MYH9,False,0.91
RFC3,False,0.91
MYBPC1,False,0.91
RFX6,False,0.91
RFXAP,False,0.91
RGR,False,0.91
MUC5B,False,0.91
RHOBTB1,False,0.91
RHPN1,False,0.91
RIMBP2,False,0.91
MTOR,True,0.91
RIMBP3,False,0.91
RIPOR1,False,0.91
RLIM,False,0.91
RLN3,False,0.91
RNF112,False,0.91
RNF146,False,0.91
RNF169,False,0.91
REV1,False,0.91
RDH5,False,0.91
R3HDM1,False,0.91
RC3H2,False,0.91
POGLUT1,False,0.91
RAB32,False,0.91
MYO1E,False,0.91
RAB3IP,False,0.91
RAD54L,True,0.91
RAI1,False,0.91
RALA,False,0.91
RAPGEF4,False,0.91
RASA1,False,0.91
RASAL2,False,0.91
RB1CC1,False,0.91
RBAK-RBAKDN,False,0.91
RBBP6,True,0.91
RBBP8,False,0.91
RBM19,False,0.91
RBM23,False,0.91
RBM39,False,0.91
RBM42,False,0.91
RBMS3,False,0.91
POLE3,False,0.91
NPLOC4,False,0.91
PNISR,False,0.91
OR6M1,False,0.91
OR14A16,False,0.91
OR14I1,False,0.91
OR1I1,False,0.91
NLGN4X,False,0.91
OR2D2,False,0.91
NKX2-3,False,0.91
OR2T1,False,0.91
NISCH,False,0.91
NIPBL,False,0.91
OR8B12,False,0.91
PADI3,False,0.91
OR8B4,False,0.91
OR8G2P,False,0.91
NHS,False,0.91
OTUD3,False,0.91
NFATC4,False,0.91
NF1,True,0.91
OVCH1,False,0.91
OVGP1,False,0.91
P4HB,False,0.91
OPRL1,False,0.91
OPRD1,False,0.91
OPLAH,False,0.91
OPALIN,False,0.91
NPR3,False,0.91
NOTCH4,False,0.91
NR0B1,False,0.91
NR1H2,False,0.91
NR2C2,False,0.91
NR2F2,False,0.91
NR3C2,False,0.91
NRAP,False,0.91
NOL6,False,0.91
NRG1,True,0.91
NLRP5,False,0.91
NRK,False,0.91
NSD1,False,0.91
NUAK1,False,0.91
OBSCN,False,0.91
OGFRL1,False,0.91
OLFM4,False,0.91
ONECUT3,False,0.91
NLRC4,False,0.91
PABPC5,False,0.91
PARP15,False,0.91
PMEPA1,False,0.91
PLCE1,False,0.91
PIK3C3,False,0.91
PIK3R1,True,0.91
PJA1,False,0.91
PKLR,False,0.91
PKNOX1,False,0.91
PKP4,False,0.91
PLAG1,True,0.91
PLCB1,False,0.91
PLCD3,False,0.91
PLCG1,False,0.91
PAX5,True,0.91
NDN,False,0.91
PLCXD2,False,0.91
PLEKHB1,False,0.91
PLEKHG4B,False,0.91
PLK4,False,0.91
PLPP3,False,0.91
PLPPR4,False,0.91
PLXNA3,False,0.91
NOVA1,False,0.91
PIK3C2B,True,0.91
PI16,False,0.91
RNF26,False,0.91
PHOX2B,True,0.91
PAX7,False,0.91
PCDHA12,False,0.91
PCDHA4,False,0.91
NES,False,0.91
NEFM,False,0.91
PCSK5,False,0.91
PCSK6,False,0.91
PCSK7,False,0.91
PCYT1B,False,0.91
PDE4D,False,0.91
NEDD4,False,0.91
PDGFB,True,0.91
PEX10,False,0.91
PEX11B,False,0.91
PEX5,False,0.91
NEB,False,0.91
PHEX,False,0.91
PHKA2,False,0.91
PHLDA1,False,0.91
NCOA2,True,0.91
AAR2,False,0.91
RNF6,False,0.91
TNIP2,False,0.91
TNN,False,0.91
TNPO3,False,0.91
TONSL,False,0.91
TOPORS,False,0.91
TP73,False,0.91
TPM3,True,0.91
TPST2,False,0.91
TPTE2,False,0.91
TRH,False,0.91
TRIM3,False,0.91
TRIM9,False,0.91
TRIO,False,0.91
TRO,False,0.91
TRPT1,False,0.91
TRPV4,False,0.91
TSHZ1,False,0.91
TSN,False,0.91
TSPEAR,False,0.91
TSSK1B,False,0.91
TTC8,False,0.91
TUBE1,False,0.91
TULP3,False,0.91
TXLNA,False,0.91
TNKS1BP1,False,0.91
TNFRSF11B,False,0.91
RNF8,False,0.91
TNFAIP8L1,False,0.91
TBC1D8B,False,0.91
TBK1,False,0.91
TBL3,False,0.91
TBX3,True,0.91
TCF20,False,0.91
TDO2,False,0.91
TDRD9,False,0.91
TEAD4,False,0.91
TECTA,False,0.91
TENM2,False,0.91
TENM3,False,0.91
TFAP2E,False,0.91
TICAM1,False,0.91
TLDC2,False,0.91
TLR2,False,0.91
TM2D1,False,0.91
TMCO3,False,0.91
TMEM102,False,0.91
TMEM139,False,0.91
TMEM185A,False,0.91
TMEM223,False,0.91
TMEM59L,False,0.91
TMEM63B,False,0.91
U2SURP,False,0.91
UBA6,False,0.91
UBE3B,False,0.91
UBLCP1,False,0.91
ZIM3,False,0.91
ZMYM3,False,0.91
ZNF318,False,0.91
ZNF341,False,0.91
ZNF431,False,0.91
ZNF438,False,0.91
ZNF451,False,0.91
ZNF462,False,0.91
ZNF492,False,0.91
ZNF519,False,0.91
ZNF559-ZNF177,False,0.91
ZNF574,False,0.91
ZNF608,False,0.91
ZNF622,False,0.91
ZNF638,False,0.91
ZNF649,False,0.91
ZNF653,False,0.91
ZNF676,False,0.91
ZNF713,False,0.91
ZNF764,False,0.91
ZNF776,False,0.91
ZNF790,False,0.91
ZNF791,False,0.91
ZDBF2,False,0.91
ZC3H4,False,0.91
ZBED9,False,0.91
VARS1,False,0.91
UBQLN2,False,0.91
UBR4,False,0.91
UHMK1,False,0.91
UHRF2,False,0.91
UNC13B,False,0.91
UPRT,False,0.91
URI1,False,0.91
USP6,False,0.91
USP9X,False,0.91
UTP20,False,0.91
VPS13C,False,0.91
ZAN,False,0.91
VPS16,False,0.91
VPS35L,False,0.91
WDR18,False,0.91
WDR72,False,0.91
WEE2,False,0.91
WIF1,False,0.91
XAB2,False,0.91
XKR4,False,0.91
XPO4,False,0.91
YME1L1,False,0.91
TBC1D2B,False,0.91
TAS2R1,False,0.91
TAP1,False,0.91
SLC25A46,False,0.91
SETMAR,False,0.91
SF3B1,True,0.91
SFT2D2,False,0.91
SH3YL1,False,0.91
SHANK2,False,0.91
SHC4,False,0.91
SHPRH,False,0.91
SIGLEC8,False,0.91
SIK3,False,0.91
SKA1,False,0.91
SLA,False,0.91
SLC12A1,False,0.91
SLC12A3,False,0.91
SLC12A4,False,0.91
SLC13A1,False,0.91
SLC16A3,False,0.91
SLC22A17,False,0.91
SLC22A25,False,0.91
SLC22A6,False,0.91
SLC22A9,False,0.91
SLC24A1,False,0.91
SLC24A4,False,0.91
SLC25A11,False,0.91
SETD1A,False,0.91
SERPINE2,False,0.91
SEMA3F,False,0.91
SCAF8,False,0.91
RPAP1,False,0.91
RPGR,False,0.91
RPL11,False,0.91
RPRD2,False,0.91
RPS6KA6,False,0.91
RTL5,False,0.91
RYR1,False,0.91
S100PBP,False,0.91
MTERF3,False,0.91
SARDH,False,0.91
SCARB1,False,0.91
SELENOV,False,0.91
SCARB2,False,0.91
SCGB2B2,False,0.91
SCN1A,False,0.91
SCN4A,False,0.91
SCN5A,False,0.91
SCNN1D,False,0.91
SCYL2,False,0.91
SDAD1,False,0.91
SEC23A,False,0.91
SEL1L3,False,0.91
SLC25A25,False,0.91
SLC27A3,False,0.91
TAF1L,False,0.91
SLC29A1,False,0.91
SPHKAP,False,0.91
SPIRE2,False,0.91
SPTA1,False,0.91
SPTAN1,False,0.91
SPTBN5,False,0.91
SPTY2D1,False,0.91
SRPX2,False,0.91
SRRM2,False,0.91
SSTR3,False,0.91
STAG2,True,0.91
STAT6,False,0.91
STIL,False,0.91
STK33,False,0.91
STRADB,False,0.91
STRIP2,False,0.91
SURF4,False,0.91
SV2C,False,0.91
SVEP1,False,0.91
SWAP70,False,0.91
SYK,True,0.91
SYNE1,False,0.91
SYT7,False,0.91
TACC1,False,0.91
SPG7,False,0.91
SPEG,False,0.91
SOX5,False,0.91
SLITRK1,False,0.91
SLC38A5,False,0.91
SLC38A7,False,0.91
SLC39A13,False,0.91
SLC44A1,False,0.91
SLC47A1,False,0.91
SLC66A1,False,0.91
SLC66A2,False,0.91
SLC6A19,False,0.91
SLC9A5,False,0.91
SLF2,False,0.91
SLITRK4,False,0.91
SOX10,False,0.91
SLMAP,False,0.91
SMAP2,False,0.91
SMG6,False,0.91
SNRPD2,False,0.91
SNTG1,False,0.91
SNX14,False,0.91
SOBP,False,0.91
SOHLH1,False,0.91
SORCS1,False,0.91
SORL1,False,0.91
MTHFD1,False,0.91
MIB1,False,0.91
MTAP,True,0.91
CPD,False,0.91
CLCN2,False,0.91
CLDN5,False,0.91
CLDND2,False,0.91
CLIP1,False,0.91
CLIP3,False,0.91
CLPTM1,False,0.91
CMSS1,False,0.91
CNKSR1,False,0.91
CNKSR3,False,0.91
CNTN2,False,0.91
CNTNAP2,False,0.91
CNTNAP4,False,0.91
CNTRL,False,0.91
COBL,False,0.91
COG5,False,0.91
COL11A1,False,0.91
COL12A1,False,0.91
COL14A1,False,0.91
COL25A1,False,0.91
COL4A1,False,0.91
COL5A2,False,0.91
COQ8B,False,0.91
COX18,False,0.91
CLASP1,False,0.91
CHRNA7,False,0.91
CHRM3,False,0.91
CDHR1,False,0.91
CCK,False,0.91
CCNA2,False,0.91
CCNL1,False,0.91
CD200R1,False,0.91
CD226,False,0.91
CD276,False,0.91
CD3E,False,0.91
CD46,False,0.91
CDC34,False,0.91
CDH20,False,0.91
CELF5,False,0.91
CHGA,False,0.91
CELSR1,False,0.91
CENPI,False,0.91
CEP120,False,0.91
CEP250,False,0.91
CERKL,False,0.91
CFAP47,False,0.91
CFAP54,False,0.91
CGNL1,False,0.91
CHD2,False,0.91
CHD9,False,0.91
CPA6,False,0.91
CRHR1,False,0.91
CCDC43,False,0.91
CRYM,False,0.91
DDX58,False,0.91
DEFB112,False,0.91
DEUP1,False,0.91
DGKI,False,0.91
DHX16,False,0.91
DHX30,False,0.91
DHX40,False,0.91
DIAPH3,False,0.91
DIP2B,False,0.91
DIP2C,False,0.91
DLG5,False,0.91
DMD,False,0.91
DMXL1,False,0.91
DNAH11,False,0.91
DNAH17,False,0.91
DNAH9,False,0.91
DNM3,False,0.91
DNMT3B,False,0.91
DOCK2,False,0.91
DOCK6,False,0.91
DSG2,False,0.91
DYRK2,False,0.91
DYRK4,False,0.91
DDX5,False,0.91
DDX4,False,0.91
DDX10,False,0.91
CTSC,False,0.91
CSF1R,True,0.91
CSF2RB,False,0.91
CSF3R,True,0.91
CSMD1,False,0.91
CSRNP1,False,0.91
CTCF,True,0.91
CTNNB1,True,0.91
CTNND2,False,0.91
CTPS2,False,0.91
CTRL,False,0.91
CTSG,False,0.91
DCST1,False,0.91
CUBN,False,0.91
CXorf58,False,0.91
CYB5RL,False,0.91
CYP1A2,True,0.91
CYP4Z1,False,0.91
DAAM1,False,0.91
DAGLA,False,0.91
DBX1,False,0.91
DCAF12L2,False,0.91
DCAF6,False,0.91
CCDC61,False,0.91
CCDC3,False,0.91
EBI3,False,0.91
ARHGEF40,False,0.91
AIFM1,False,0.91
AK6,False,0.91
AKT1,True,0.91
AL133500.1,False,0.91
ALDH16A1,False,0.91
ALG9,False,0.91
ALMS1,False,0.91
ALOX5,False,0.91
ALPP,False,0.91
AMDHD2,False,0.91
AMER1,True,0.91
AMH,False,0.91
ANGPTL1,False,0.91
ANKMY1,False,0.91
ANKRD17,False,0.91
ANO6,False,0.91
APCDD1,False,0.91
APOA5,False,0.91
APOB,False,0.91
APOL5,False,0.91
ARAP3,False,0.91
ARHGAP21,False,0.91
ARHGAP5,False,0.91
AHCYL2,False,0.91
AGPS,False,0.91
ADORA1,False,0.91
ACSL1,False,0.91
ABCC1,False,0.91
ABCC2,False,0.91
ABCC4,False,0.91
ABCD4,False,0.91
ABCG8,False,0.91
ABHD17B,False,0.91
ABTB2,False,0.91
AC004997.1,False,0.91
AC011455.2,False,0.91
AC131160.1,False,0.91
ACTR2,False,0.91
ADGRG7,False,0.91
ACY3,False,0.91
ADAM18,False,0.91
ADAM23,False,0.91
ADAM29,False,0.91
ADAM30,False,0.91
ADAMTS9,False,0.91
ADAR,False,0.91
ADGRE3,False,0.91
ADGRF3,False,0.91
ADGRG4,False,0.91
ARHGEF12,False,0.91
ARID3B,False,0.91
CCDC144A,False,0.91
ARID4A,False,0.91
BTBD7,False,0.91
BUB1,False,0.91
BVES,False,0.91
C12orf50,False,0.91
C1QTNF5,False,0.91
CA5B,False,0.91
CACNA1E,False,0.91
CACNA1H,False,0.91
CADPS2,False,0.91
CALD1,False,0.91
CAMSAP3,False,0.91
CAPN6,False,0.91
CAPRIN1,False,0.91
CARMIL1,False,0.91
CATIP,False,0.91
CATSPER1,False,0.91
CATSPERB,False,0.91
CBLL2,False,0.91
CBWD5,False,0.91
CBX8,False,0.91
