Gene,IsJCGA,MutationPercentage
BRAF,True,59.42
NRAS,True,8.07
TG,False,3.52
TTN,False,3.31
HRAS,True,3.11
SPTA1,False,1.45
EIF1AX,False,1.45
KMT2A,True,1.45
BDP1,False,1.24
ZFHX3,False,1.24
MUC16,False,1.24
USP9X,False,1.24
ATM,True,1.04
PDZD2,False,1.04
RYR1,False,1.04
PTPRZ1,False,1.04
AKT1,True,1.04
BPTF,False,0.83
GRIN2B,False,0.83
MYH13,False,0.83
PIK3R5,False,0.83
KMT2C,True,0.83
CHEK2,True,0.83
PLEC,False,0.83
KDM2A,False,0.83
MACF1,False,0.83
HMCN1,False,0.83
JMJD1C,False,0.83
MAP3K3,False,0.83
ITPR2,False,0.83
ARFGEF2,False,0.83
PPM1D,False,0.83
ARID2,True,0.83
WNK2,False,0.83
KRAS,True,0.83
PKHD1,False,0.83
PCDH11X,False,0.83
GBF1,False,0.83
ABCB11,False,0.83
NAV3,False,0.83
DNAH3,False,0.62
DNAH8,False,0.62
DNAH9,False,0.62
TCF7L1,False,0.62
DNASE2,False,0.62
DNMT3A,True,0.62
DOCK7,False,0.62
NUP93,False,0.62
CASZ1,False,0.62
TENM1,False,0.62
DYNC1H1,False,0.62
COL6A2,False,0.62
HECTD1,False,0.62
USH2A,False,0.62
FLNC,False,0.62
UNC79,False,0.62
NSD1,False,0.62
SLC34A2,True,0.62
MSI1,False,0.62
ZNF777,False,0.62
EPG5,False,0.62
LTBP1,False,0.62
UGGT2,False,0.62
COL5A3,False,0.62
CACNA1B,False,0.62
LSAMP,False,0.62
AOC1,False,0.62
CUX1,False,0.62
CTNND2,False,0.62
MDN1,False,0.62
CAND1,False,0.62
IL7R,True,0.62
SVIL,False,0.62
IGSF9B,False,0.62
STAB2,False,0.62
ARHGAP4,False,0.62
CSMD3,False,0.62
CSMD2,False,0.62
PRDM9,False,0.62
SYNE1,False,0.62
CRYBG1,False,0.62
PRKDC,False,0.62
ITGAL,False,0.62
TACC2,False,0.62
CACNA1E,False,0.62
PRRC2A,False,0.62
CPT1A,False,0.62
DICER1,True,0.62
AP3B1,False,0.62
IARS1,False,0.62
MTMR12,False,0.62
SLCO2B1,False,0.62
PIK3CA,True,0.62
BNC2,False,0.62
C11orf87,False,0.62
C2CD3,False,0.62
LRRK2,False,0.62
ADGRB3,False,0.62
GPRIN2,False,0.62
LAMA4,False,0.62
GNPAT,False,0.62
BSN,False,0.62
FBN1,False,0.62
EVPL,False,0.62
NIPBL,False,0.62
CEP192,False,0.62
KIF4B,False,0.62
PC,False,0.62
MYH1,False,0.62
MYLK,False,0.62
CDH8,False,0.62
LRP10,False,0.62
CELSR1,False,0.62
GRM6,False,0.62
TP53,True,0.62
TAF2,False,0.41
POM121L12,False,0.41
KMT2E,False,0.41
POLR1B,False,0.41
TAF1L,False,0.41
TP73,False,0.41
KMT2D,True,0.41
TMSB15A,False,0.41
TMPRSS15,False,0.41
ITPRID1,False,0.41
TACR3,False,0.41
JAKMIP1,False,0.41
TRIP11,False,0.41
TPBG,False,0.41
TBC1D7,False,0.41
COL6A6,False,0.41
COL6A3,False,0.41
PDZRN4,False,0.41
LETM1,False,0.41
CRISPLD2,False,0.41
CDH7,False,0.41
TNR,False,0.41
CD163,False,0.41
STXBP5L,False,0.41
PPP1R13L,False,0.41
PCGF2,False,0.41
KRTAP4-12,False,0.41
SUOX,False,0.41
TRPM4,False,0.41
PPL,False,0.41
CD38,False,0.41
PPEF1,False,0.41
PELO,False,0.41
KRBA2,False,0.41
ITGB1,False,0.41
CSMD1,False,0.41
PPAN-P2RY11,False,0.41
ITGA10,False,0.41
TRPC7,False,0.41
CDH23,True,0.41
SYNPO2,False,0.41
TBL2,False,0.41
ITGA7,False,0.41
SYTL3,False,0.41
TNC,False,0.41
SZT2,False,0.41
TMEM67,False,0.41
COL11A2,False,0.41
TBX18,False,0.41
THSD7B,False,0.41
TEX15,False,0.41
TFE3,False,0.41
TRIM46,False,0.41
PLA2R1,False,0.41
THBS2,False,0.41
THEMIS,False,0.41
PIBF1,False,0.41
TMCC1,False,0.41
KDM2B,False,0.41
TRHDE,False,0.41
THOC5,False,0.41
PPP2R1A,True,0.41
CCDC136,False,0.41
KAT6B,False,0.41
TM9SF4,False,0.41
LAMC3,False,0.41
PITX2,False,0.41
FZD8,False,0.41
CHD3,False,0.41
CHD2,False,0.41
TK1,False,0.41
PIH1D2,False,0.41
KIAA1109,False,0.41
CFAP46,False,0.41
TLN2,False,0.41
CCDC180,False,0.41
TET1,False,0.41
LDHA,False,0.41
CCNT1,False,0.41
TERT,True,0.41
CEMIP2,False,0.41
PIK3R1,True,0.41
TMEM26,False,0.41
TCN2,False,0.41
PLK2,False,0.41
CEP128,False,0.41
PCNX2,False,0.41
TCTN2,False,0.41
TDRD7,False,0.41
PHKA2,False,0.41
PLEKHG1,False,0.41
CNR2,False,0.41
CNR1,False,0.41
TRIO,False,0.41
TECPR2,False,0.41
KCNC3,False,0.41
PLEKHA5,False,0.41
CATSPER4,False,0.41
CNOT1,False,0.41
PCSK1,False,0.41
KSR2,False,0.41
TENM2,False,0.41
