Gene,IsJCGA,MutationPercentage
TP53,True,43.48
ATRX,True,28.26
MUC16,False,17.39
TTN,False,13.04
DNAH5,False,13.04
MUC17,False,10.87
MACF1,False,10.87
AHNAK,False,8.7
CDH12,False,8.7
RYR1,False,8.7
USH2A,False,8.7
DNAH9,False,8.7
TMEM132B,False,8.7
KALRN,False,8.7
PHKA1,False,8.7
RB1,True,8.7
ASTN2,False,8.7
DNAH8,False,8.7
RYR2,False,8.7
MUC5B,False,8.7
PCLO,False,8.7
FLG,False,8.7
COL5A3,False,8.7
SPATA31D1,False,6.52
ZBED9,False,6.52
F5,False,6.52
ZAP70,False,6.52
FBN1,False,6.52
VPS13B,False,6.52
MAP7D1,False,6.52
GRIK3,False,6.52
HERC2,False,6.52
FRAS1,False,6.52
KIF1A,False,6.52
SPHKAP,False,6.52
ADAMTS20,False,6.52
TNXB,False,6.52
KEL,True,6.52
FASN,False,6.52
GLIS1,False,6.52
DCC,False,6.52
CARMIL3,False,6.52
APOB,False,6.52
NOTCH1,True,6.52
RIMS2,False,6.52
DAPK1,False,6.52
DST,False,6.52
CFAP299,False,6.52
SCN2A,False,6.52
CECR2,False,6.52
KIAA1109,False,6.52
LAMA3,False,6.52
SFMBT2,False,6.52
DNAH10,False,6.52
KIAA1549,True,6.52
PEG3,False,6.52
PSMF1,False,6.52
MYOCD,True,6.52
ZNF831,False,6.52
PPFIA2,False,6.52
MYH9,False,6.52
CSMD1,False,6.52
CR1,False,6.52
AXL,True,6.52
MYT1L,False,6.52
TBX5,False,6.52
NBEA,False,6.52
UNC93B1,False,6.52
DOCK6,False,6.52
TXNRD1,False,6.52
RNF213,False,6.52
TUBGCP5,False,6.52
FCER2,False,6.52
CAND1,False,4.35
RAD54L2,False,4.35
LRRC37A3,False,4.35
CADPS2,False,4.35
PASD1,False,4.35
CALCR,False,4.35
RAD23A,False,4.35
CAMK2B,False,4.35
LRRC30,False,4.35
SLC7A2,False,4.35
PAX6,False,4.35
TPH2,False,4.35
CAPN7,False,4.35
LRRTM4,False,4.35
CARNS1,False,4.35
TOR1A,False,4.35
CCDC18,False,4.35
DEUP1,False,4.35
KLHL1,False,4.35
TNK2,True,4.35
PCDHB15,False,4.35
SLC9A4,False,4.35
TNR,False,4.35
LTBP1,False,4.35
CCDC103,False,4.35
DSPP,False,4.35
PTEN,True,4.35
PCDHAC2,False,4.35
SLC8A3,False,4.35
OR4A47,False,4.35
PCDHA3,False,4.35
PCDH15,False,4.35
GTF3C5,False,4.35
RAI1,False,4.35
DROSHA,False,4.35
SLC4A7,False,4.35
DOCK2,False,4.35
PAPPA2,False,4.35
DNAH7,False,4.35
LCT,False,4.35
DPYD,True,4.35
DPP10,False,4.35
PSMC2,False,4.35
C19orf57,False,4.35
GPR37,False,4.35
LONRF2,False,4.35
DNAJC13,False,4.35
GPRC6A,False,4.35
SLC22A25,False,4.35
GRIK2,False,4.35
C14orf39,False,4.35
TSHZ2,False,4.35
TSPOAP1,False,4.35
LMO7,False,4.35
OR6C76,False,4.35
TTBK1,False,4.35
LINGO2,False,4.35
OR5V1,False,4.35
BIRC6,False,4.35
TUBB2B,False,4.35
OR51B6,False,4.35
TRPC3,False,4.35
PAPPA,False,4.35
DOCK3,False,4.35
GSX1,False,4.35
BFAR,False,4.35
DLEC1,False,4.35
DLGAP2,False,4.35
OR51D1,False,4.35
CACNA1C,False,4.35
LRP1B,False,4.35
LAMB2,False,4.35
GRM8,False,4.35
C6orf89,False,4.35
OR51F1,False,4.35
DNAH11,False,4.35
GRM5,False,4.35
BICRA,False,4.35
LRP1,False,4.35
DNAH3,False,4.35
TRPA1,False,4.35
CACNA1I,False,4.35
CD300LG,False,4.35
PCDHGA4,False,4.35
PKD1L1,False,4.35
IRAG1,False,4.35
CLIP2,False,4.35
HUWE1,False,4.35
IRS4,False,4.35
CTNNA3,False,4.35
CTNND1,False,4.35
ITGA1,False,4.35
PKHD1L1,False,4.35
PKD2L1,False,4.35
PPP6R3,False,4.35
TCF7L2,True,4.35
PRAG1,False,4.35
PSG1,False,4.35
CHTOP,False,4.35
SPEF2,False,4.35
PIK3CG,True,4.35
PIK3CA,True,4.35
ITIH5,False,4.35
TENM1,False,4.35
PIK3C2G,True,4.35
TENM3,False,4.35
PRAMEF14,False,4.35
CHL1,False,4.35
TERT,True,4.35
CSMD3,False,4.35
CLSTN2,False,4.35
TAOK1,False,4.35
PPP1R3A,False,4.35
COL6A6,False,4.35
POF1B,False,4.35
COL4A4,False,4.35
COL4A1,False,4.35
CPNE4,False,4.35
ST18,False,4.35
COL19A1,False,4.35
IGF2BP1,False,4.35
PLEKHM2,False,4.35
IL2RB,False,4.35
SVEP1,False,4.35
IL32,False,4.35
SRRM2,False,4.35
CNTRL,False,4.35
PLEKHA7,False,4.35
SYNE1,False,4.35
IFT172,False,4.35
CREBBP,True,4.35
TAF1,False,4.35
CNKSR2,False,4.35
TAF1L,False,4.35
SRBD1,False,4.35
PLCB4,False,4.35
PI4KA,False,4.35
TET3,False,4.35
CHD6,False,4.35
PRR27,False,4.35
CDH9,False,4.35
CDH7,False,4.35
CDH4,False,4.35
CDH26,False,4.35
DCAF4L2,False,4.35
PRRC2A,False,4.35
PDE4A,False,4.35
PDE3B,False,4.35
PDE1C,False,4.35
DCLK2,False,4.35
PRSS16,False,4.35
PCSK5,False,4.35
CCT5,False,4.35
HECTD4,False,4.35
KIF17,False,4.35
KIF19,False,4.35
PRUNE2,False,4.35
CCKBR,False,4.35
TMPRSS15,False,4.35
TMPRSS6,False,4.35
CCDC88C,False,4.35
KIF21B,False,4.35
CCDC60,False,4.35
CDHR1,False,4.35
PRPF8,False,4.35
HRNR,False,4.35
KCNV1,False,4.35
CFAP74,False,4.35
CFAP58,False,4.35
PRDM9,False,4.35
CFAP47,False,4.35
KATNIP,False,4.35
CFAP45,False,4.35
CFAP206,False,4.35
CYP2F1,False,4.35
CYP2J2,False,4.35
PRG4,False,4.35
CEP78,False,4.35
THSD7A,False,4.35
THSD7B,False,4.35
KCNH5,False,4.35
TIGD7,False,4.35
PRKCB,False,4.35
PEX5L,False,4.35
HK2,False,4.35
CEACAM20,False,4.35
PER1,False,4.35
HIPK3,False,4.35
KCNQ5,False,4.35
TM4SF1,False,4.35
UGT2B17,False,4.35
TTLL1,False,4.35
RALYL,False,4.35
GBE1,False,4.35
NPAS3,False,4.35
SCUBE1,False,4.35
ZFAT,False,4.35
ALOXE3,False,4.35
ZFHX3,False,4.35
RIMBP2,False,4.35
NOTCH4,False,4.35
NOTCH3,True,4.35
FAM169A,False,4.35
SCNN1G,False,4.35
SCN9A,False,4.35
SCN5A,False,4.35
ZMYM3,False,4.35
MPDZ,False,4.35
MPP2,False,4.35
MRC1,False,4.35
ZNF221,False,4.35
ZNF225,False,4.35
FAM47C,False,4.35
AK9,False,4.35
AHNAK2,False,4.35
ZNF257,False,4.35
AHCTF1,False,4.35
MROH1,False,4.35
MROH2B,False,4.35
SCUBE3,False,4.35
SEC14L5,False,4.35
ZBTB22,False,4.35
XIRP2,False,4.35
NUP54,False,4.35
GALNTL6,False,4.35
WNK2,False,4.35
MECOM,False,4.35
APLNR,False,4.35
EPPK1,False,4.35
APBA2,False,4.35
APBA1,False,4.35
MED12L,False,4.35
EPX,False,4.35
AOX1,False,4.35
MEFV,False,4.35
NPTX2,False,4.35
ANO7,False,4.35
NSD2,True,4.35
ANO2,False,4.35
MGAM,False,4.35
YTHDC2,False,4.35
SEL1L2,False,4.35
ZAN,False,4.35
RHOBTB1,False,4.35
DUOX1,False,4.35
NR0B1,False,4.35
NPTXR,False,4.35
FRMPD4,False,4.35
FAM83G,False,4.35
FANCB,False,4.35
ACCS,False,4.35
MYH14,False,4.35
MYH15,False,4.35
ACSM4,False,4.35
ACSL6,False,4.35
NEB,False,4.35
MYH7B,False,4.35
ACO1,False,4.35
NDST4,False,4.35
MYLK,False,4.35
MYO15A,False,4.35
ZNF768,False,4.35
ZNF790,False,4.35
ZNF615,False,4.35
FER1L6,False,4.35
MYO1F,False,4.35
RXFP2,False,4.35
MYO3B,False,4.35
MYO5C,False,4.35
ZNF99,False,4.35
FLT1,True,4.35
FLNC,False,4.35
ABCC3,False,4.35
ABCB5,False,4.35
ABCA13,False,4.35
MYH11,False,4.35
ACTR5,False,4.35
FRMD3,False,4.35
FREM2,False,4.35
MS4A14,False,4.35
MS4A2,False,4.35
NLRP12,False,4.35
FAT1,True,4.35
SBNO1,False,4.35
ADGRV1,False,4.35
NKTR,False,4.35
ADGRG4,False,4.35
FBN2,False,4.35
FBN3,False,4.35
ADGRF4,False,4.35
ZNF474,False,4.35
FOXD4L4,False,4.35
ADGRE1,False,4.35
SASH1,False,4.35
ADGRA3,False,4.35
ZNF488,False,4.35
NF1,True,4.35
ZNF521,False,4.35
ADAMTS3,False,4.35
FBXO42,False,4.35
MUC5AC,False,4.35
ADAMDEC1,False,4.35
ADAM28,False,4.35
NUP85,False,4.35
FZR1,False,4.35
COPB2,False,4.35
OR2G6,False,4.35
DYNC1H1,False,4.35
EP300,True,4.35
DYNC1I1,False,4.35
MAP3K19,False,4.35
MAGEB18,False,4.35
VPS13A,False,4.35
OR2B11,False,4.35
USH1G,False,4.35
ATG13,False,4.35
ATP2A3,False,4.35
DYNC2H1,False,4.35
MAGI2,False,4.35
ARHGAP45,False,4.35
OR1A2,False,4.35
RAP1GAP2,False,4.35
GDF2,False,4.35
MAP2,False,4.35
SHANK3,False,4.35
MARK1,False,4.35
SHANK1,False,4.35
RBFOX1,False,4.35
ATP11A,False,4.35
GGT5,False,4.35
MAPK8IP3,False,4.35
GHSR,False,4.35
ARHGAP30,False,4.35
VWA3B,False,4.35
SHROOM3,False,4.35
VAV1,False,4.35
USP6,False,4.35
MAP1A,False,4.35
MAP2K6,False,4.35
SHROOM2,False,4.35
OR2L8,False,4.35
WDR49,False,4.35
UVRAG,False,4.35
AXDND1,False,4.35
DUOX2,False,4.35
RASGRF2,False,4.35
OBSCN,False,4.35
NALCN,False,4.35
DVL1,False,4.35
PRDM14,False,2.17
RAB8A,False,2.17
PRDM15,False,2.17
RASEF,False,2.17
RNASE2,False,2.17
PPRC1,False,2.17
RAB5IF,False,2.17
PRDM2,False,2.17
RARB,False,2.17
RNF150,False,2.17
PRAMEF18,False,2.17
PRAM1,False,2.17
