Gene,IsJCGA,MutationPercentage
TP53,True,85.71
FBXW7,True,39.29
PIK3CA,True,35.71
PPP2R1A,True,28.57
PTEN,True,19.64
CHD4,False,17.86
PIK3R1,True,16.07
ARID1A,True,12.5
KRAS,True,12.5
TTN,False,12.5
SYNE1,False,10.71
LRP2,False,10.71
ARHGAP35,False,10.71
FLNA,False,10.71
ZBTB7B,False,10.71
KMT2D,True,10.71
MGAM,False,10.71
AHNAK,False,10.71
RB1,True,8.93
MUC16,False,8.93
MUC17,False,8.93
DOP1A,False,8.93
VPS13B,False,8.93
FER1L6,False,8.93
GRIA3,False,7.14
SPOP,True,7.14
LRP1B,False,7.14
EPG5,False,7.14
FLG,False,7.14
DNAH2,False,7.14
ADAMTSL1,False,7.14
DPP10,False,7.14
MAP3K4,True,7.14
MAGEC2,False,7.14
LRP1,False,7.14
EPHA5,False,7.14
ERBB3,True,7.14
HUWE1,False,7.14
TPTE,False,7.14
CUBN,False,7.14
KMT2C,True,7.14
FAM135B,False,7.14
ABCA12,False,7.14
TRPM2,False,7.14
MED12,True,7.14
KIAA1217,False,7.14
SI,False,7.14
RYR2,False,7.14
GPRASP1,False,7.14
BRWD1,False,7.14
RNF43,True,7.14
PDGFRB,True,7.14
PLEC,False,7.14
PXDNL,False,7.14
FMN2,False,7.14
PTPRT,True,5.36
PIK3C3,False,5.36
ANK3,False,5.36
ANKAR,False,5.36
DHX57,False,5.36
HMCN1,False,5.36
CIBAR2,False,5.36
HCFC2,False,5.36
HCRTR2,False,5.36
LYST,False,5.36
C2orf16,False,5.36
CHD5,False,5.36
SLC20A2,False,5.36
ESF1,False,5.36
MTBP,False,5.36
MAD1L1,False,5.36
HEPHL1,False,5.36
ALCAM,False,5.36
NSD1,False,5.36
EPPK1,False,5.36
HERC2,False,5.36
MSH6,True,5.36
EPB41L2,False,5.36
NRAP,False,5.36
USP10,False,5.36
HIP1,False,5.36
HIVEP3,False,5.36
NRXN1,False,5.36
NRXN2,False,5.36
PTPRM,False,5.36
PKHD1L1,False,5.36
THSD7A,False,5.36
DMD,False,5.36
