Gene,IsJCGA,MutationPercentage
GNAQ,True,48.1
GNA11,True,44.3
SF3B1,True,21.52
BAP1,True,20.25
EIF1AX,False,12.66
TTN,False,5.06
PKHD1L1,False,3.8
CYSLTR2,False,3.8
MACF1,False,3.8
COL14A1,False,3.8
MUC16,False,3.8
MYOF,False,3.8
SRSF2,False,3.8
TKFC,False,2.53
SETX,False,2.53
GNB1,False,2.53
SELE,False,2.53
LRP1B,False,2.53
PCDHB7,False,2.53
HUWE1,False,2.53
CACNA1D,False,2.53
APC,True,2.53
ARHGEF17,False,2.53
DNAH17,False,2.53
GMEB2,False,2.53
TMEM39A,False,2.53
LAMA1,False,2.53
GLIS3,False,2.53
CFAP52,False,2.53
TNS3,False,2.53
C3,False,2.53
DGKK,False,2.53
DEPDC5,False,2.53
TPCN1,False,2.53
KIR2DL4,False,2.53
TYRP1,False,2.53
SPAG5,False,2.53
DSCAML1,False,2.53
MAP3K19,False,2.53
CSMD3,False,2.53
CEP131,False,2.53
EVC,False,2.53
CENPE,False,2.53
HDAC5,False,2.53
MC2R,False,2.53
HHAT,False,2.53
MUC4,False,2.53
CDH4,False,2.53
EIF1B,False,2.53
MYBPC2,False,2.53
KCNH5,False,2.53
PRKCB,False,2.53
SPTA1,False,2.53
RYR2,False,2.53
MYO15A,False,2.53
PLCB2,False,2.53
TBX6,False,2.53
SPHKAP,False,2.53
PPL,False,2.53
SPEG,False,2.53
PLCB4,False,2.53
CCN4,False,2.53
PPP1R15A,False,1.27
PPFIA1,False,1.27
PPFIBP2,False,1.27
PPP1R12C,False,1.27
POLK,False,1.27
POLR1B,False,1.27
PPARA,False,1.27
PPM1L,False,1.27
AADACL4,False,1.27
PNLIP,False,1.27
PLCD4,False,1.27
PHLDB1,False,1.27
PI4K2A,False,1.27
PIP4K2A,False,1.27
PLA2G6,False,1.27
PLA2G7,False,1.27
PLAAT5,False,1.27
PLD2,False,1.27
PMPCA,False,1.27
PLD5,False,1.27
PLEC,False,1.27
PLEKHG2,False,1.27
PPP2R1A,True,1.27
PLEKHM3,False,1.27
PLXNA4,False,1.27
PPP1R3A,False,1.27
PRDM8,False,1.27
PPP2R2A,True,1.27
PPP2R5D,False,1.27
PTGER2,False,1.27
PTPN21,False,1.27
PTPRD,False,1.27
PTPRG,False,1.27
PTPRU,False,1.27
PUM1,False,1.27
PYCR2,False,1.27
QKI,True,1.27
RAB2B,False,1.27
RAB33A,False,1.27
RAB38,False,1.27
RABL6,False,1.27
RAC2,True,1.27
RAC3,False,1.27
RAD23B,False,1.27
RADIL,False,1.27
RAI14,False,1.27
RASA2,False,1.27
RASGRF2,False,1.27
RASL12,False,1.27
RBL1,False,1.27
RBM12,False,1.27
RBM22,False,1.27
REC8,False,1.27
RECQL5,False,1.27
PTCH2,False,1.27
PTBP2,False,1.27
PSMF1,False,1.27
PRKG1,False,1.27
PPP4R1,False,1.27
PPP6R2,False,1.27
PRAG1,False,1.27
PRAMEF17,False,1.27
PRAMEF18,False,1.27
PRAMEF20,False,1.27
PRAMEF5,False,1.27
PRDM11,False,1.27
PRDM9,False,1.27
PREX2,False,1.27
PRKD1,False,1.27
PRLHR,False,1.27
PSME4,False,1.27
PROSER1,False,1.27
PRPF8,False,1.27
PRR14,False,1.27
PRR19,False,1.27
PRRC2A,False,1.27
PRRC2B,False,1.27
PRSS16,False,1.27
PSAP,False,1.27
PSD4,False,1.27
PSG1,False,1.27
PSG4,False,1.27
PHKA2,False,1.27
PDE4D,False,1.27
PGBD1,False,1.27
OBSL1,False,1.27
NDUFAF6,False,1.27
NEB,False,1.27
NECAP1,False,1.27
NEDD4,False,1.27
NFE2L2,True,1.27
NFX1,False,1.27
NGFR,False,1.27
NHS,False,1.27
NIN,False,1.27
NLRP11,False,1.27
NLRP3,False,1.27
NME7,False,1.27
NOC4L,False,1.27
NOD2,False,1.27
NOP10,False,1.27
NOP14,False,1.27
NOS1AP,False,1.27
NPAS1,False,1.27
NPHP3,False,1.27
NR3C1,False,1.27
NRCAM,False,1.27
NREP,False,1.27
NRXN1,False,1.27
NSD1,False,1.27
NUP210,False,1.27
NDN,False,1.27
NCR3,False,1.27
NCOA2,True,1.27
MUCL3,False,1.27
MORC2,False,1.27
MORC3,False,1.27
MPP3,False,1.27
MROH1,False,1.27
MROH2B,False,1.27
MRPL4,False,1.27
MSS51,False,1.27
MTOR,True,1.27
MUC17,False,1.27
MUC2,False,1.27
MUC5AC,False,1.27
MYCBPAP,False,1.27
NCKAP5L,False,1.27
MYH11,False,1.27
MYH2,False,1.27
MYH4,False,1.27
MYH6,False,1.27
MYO1F,False,1.27
MYO7B,False,1.27
N4BP2,False,1.27
NACA2,False,1.27
NBEAL2,False,1.27
NBN,True,1.27
NCAM1,False,1.27
OBSCN,False,1.27
OCLN,False,1.27
PGAM4,False,1.27
ODC1,False,1.27
PAPPA2,False,1.27
PARD3,False,1.27
PARPBP,False,1.27
PAX7,False,1.27
PAXBP1,False,1.27
PCDH19,False,1.27
PCDHA9,False,1.27
PCDHB4,False,1.27
PCDHGA2,False,1.27
PCDHGB1,False,1.27
PCDHGB4,False,1.27
PCGF6,False,1.27
PCK2,False,1.27
PCLO,False,1.27
PCSK7,False,1.27
RERE,False,1.27
PDE4DIP,False,1.27
PDE6B,False,1.27
PDE8B,False,1.27
PDGFRA,True,1.27
PDIA5,False,1.27
PDS5B,False,1.27
PDXDC1,False,1.27
PDZD2,False,1.27
PER1,False,1.27
PAPPA,False,1.27
PANK4,False,1.27
PAGR1,False,1.27
OR51L1,False,1.27
OGN,False,1.27
OR10G4,False,1.27
OR11H1,False,1.27
OR2A14,False,1.27
OR2B2,False,1.27
OR2B3,False,1.27
OR2D3,False,1.27
OR2L2,False,1.27
OR4E2,False,1.27
OR4K1,False,1.27
OR51B6,False,1.27
OR5B21,False,1.27
PAG1,False,1.27
OR5C1,False,1.27
OR5L2,False,1.27
OR6C65,False,1.27
OR7D4,False,1.27
OSBPL2,False,1.27
OSM,False,1.27
OTUD4,False,1.27
OVCH1,False,1.27
OXLD1,False,1.27
P2RY2,False,1.27
PADI2,False,1.27
RENBP,False,1.27
RSPH14,False,1.27
RET,True,1.27
UNC5CL,False,1.27
TTC37,False,1.27
TTC8,False,1.27
TTF1,False,1.27
TTLL13P,False,1.27
TTLL4,False,1.27
TWF2,False,1.27
TXN2,False,1.27
UBE2J2,False,1.27
UGT2B17,False,1.27
UMOD,False,1.27
UMODL1,False,1.27
UNC79,False,1.27
TRPM7,False,1.27
UPK1A,False,1.27
USP13,False,1.27
USP15,False,1.27
USP34,False,1.27
USP35,False,1.27
UTP14C,False,1.27
UTRN,False,1.27
VASH2,False,1.27
VAV3,False,1.27
VPREB3,False,1.27
VWA2,False,1.27
TRPV2,False,1.27
TRPM6,False,1.27
VWA7,False,1.27
TNFRSF8,False,1.27
TGM4,False,1.27
THBS1,False,1.27
THBS2,False,1.27
THBS3,False,1.27
THSD1,False,1.27
THSD4,False,1.27
THSD7B,False,1.27
TLN2,False,1.27
TMC2,False,1.27
TMEM35A,False,1.27
TMEM54,False,1.27
TNFSF14,False,1.27
TRIO,False,1.27
TNIP1,False,1.27
TNS4,False,1.27
TOX3,False,1.27
TPPP2,False,1.27
TRAM1,False,1.27
TRERF1,False,1.27
TRIM4,False,1.27
TRIM56,False,1.27
TRIM63,False,1.27
TRIM67,False,1.27
TRIM68,False,1.27
VWA5A,False,1.27
VWF,False,1.27
TFAP2B,False,1.27
ZNF518B,False,1.27
ZNF324,False,1.27
ZNF367,False,1.27
ZNF423,False,1.27
ZNF425,False,1.27
ZNF446,False,1.27
ZNF462,False,1.27
ZNF473,False,1.27
ZNF474,False,1.27
ZNF484,False,1.27
ZNF503,False,1.27
ZNF511,False,1.27
ZNF521,False,1.27
ZNF20,False,1.27
ZNF527,False,1.27
ZNF546,False,1.27
ZNF555,False,1.27
ZNF560,False,1.27
ZNF599,False,1.27
ZNF658,False,1.27
ZNF680,False,1.27
ZNF764,False,1.27
ZSCAN1,False,1.27
ZSCAN16,False,1.27
ZSCAN20,False,1.27
ZNF281,False,1.27
ZNF197,False,1.27
WASHC5,False,1.27
ZBTB7A,False,1.27
WDHD1,False,1.27
WDR27,False,1.27
WDR41,False,1.27
WDR90,False,1.27
XAB2,False,1.27
XKR4,False,1.27
XPO7,False,1.27
XRCC3,False,1.27
YAP1,False,1.27
YPEL1,False,1.27
ZAN,False,1.27
ZBTB7B,False,1.27
ZNF195,False,1.27
ZBTB8A,False,1.27
ZC3H13,False,1.27
ZC3H7A,False,1.27
ZDHHC23,False,1.27
ZFC3H1,False,1.27
ZFP1,False,1.27
ZHX3,False,1.27
ZMAT1,False,1.27
ZMAT5,False,1.27
ZNF157,False,1.27
ZNF180,False,1.27
TFDP3,False,1.27
TF,False,1.27
REXO1,False,1.27
SHROOM2,False,1.27
SEMA4A,False,1.27
SEPTIN6,False,1.27
SERPINA3,False,1.27
SERPINA9,False,1.27
SERPIND1,False,1.27
SETD2,True,1.27
SF3A2,False,1.27
SGSM1,False,1.27
