Gene,IsJCGA,MutationPercentage
TP53,True,37.13
TTN,False,28.35
MUC16,False,18.2
PIK3CA,True,12.71
CSMD3,False,12.38
LRP1B,False,11.62
RYR2,False,11.47
SYNE1,False,10.91
USH2A,False,10.06
PCLO,False,9.83
FLG,False,9.43
ZFHX4,False,9.27
DNAH5,False,9.02
KMT2D,True,8.48
FAT4,False,8.12
PTEN,True,8.04
FAT3,False,7.91
SPTA1,False,7.89
XIRP2,False,7.87
ARID1A,True,7.78
CSMD1,False,7.78
HMCN1,False,7.76
MUC17,False,7.58
APC,True,7.55
KRAS,True,7.4
BRAF,True,7.4
OBSCN,False,7.38
ADGRV1,False,7.3
APOB,False,7.2
RYR1,False,7.07
KMT2C,True,7.04
PCDH15,False,6.98
RYR3,False,6.94
LRP2,False,6.9
DNAH8,False,6.76
DNAH9,False,6.76
PKHD1L1,False,6.67
DST,False,6.66
DNAH7,False,6.64
NEB,False,6.6
DMD,False,6.32
DNAH11,False,6.22
ABCA13,False,6.13
CSMD2,False,6.09
COL11A1,False,6.04
FAT1,True,6.02
MACF1,False,5.96
RELN,False,5.83
NAV3,False,5.8
PKHD1,False,5.76
AHNAK2,False,5.71
ATRX,True,5.7
ANK2,False,5.7
FAM135B,False,5.67
SYNE2,False,5.65
CUBN,False,5.65
ANK3,False,5.63
DNAH3,False,5.6
CACNA1E,False,5.55
PAPPA2,False,5.53
NF1,True,5.5
AHNAK,False,5.49
MUC5B,False,5.48
HYDIN,False,5.44
SI,False,5.37
RP1,False,5.32
HERC2,False,5.31
TENM1,False,5.25
SACS,False,5.14
IDH1,True,5.11
KIAA1109,False,5.09
MXRA5,False,5.06
DNAH10,False,5.03
ADGRG4,False,5.01
ZNF536,False,4.99
COL6A3,False,4.98
FCGBP,False,4.88
UNC13C,False,4.87
LAMA2,False,4.83
DSCAM,False,4.81
HUWE1,False,4.81
MDN1,False,4.81
TG,False,4.78
SPHKAP,False,4.78
ERICH3,False,4.77
LRP1,False,4.73
VPS13B,False,4.72
ATM,True,4.71
FAT2,False,4.7
MYH2,False,4.68
PEG3,False,4.66
PTPRT,True,4.64
COL22A1,False,4.63
THSD7B,False,4.63
LAMA1,False,4.62
FBN2,False,4.61
DNAH2,False,4.6
FMN2,False,4.59
RIMS2,False,4.59
CNTNAP5,False,4.58
TENM3,False,4.52
VCAN,False,4.5
CDH10,False,4.5
FLG2,False,4.48
CNTNAP2,False,4.47
FRAS1,False,4.47
LRRK2,False,4.47
COL12A1,False,4.46
ADGRB3,False,4.46
NRXN1,False,4.45
DCC,False,4.44
BIRC6,False,4.44
ASXL3,False,4.42
UNC79,False,4.4
SVEP1,False,4.4
ZFHX3,False,4.39
ASPM,False,4.38
PTPRD,False,4.37
TNXB,False,4.37
GRIN2A,False,4.35
CMYA5,False,4.35
DNAH17,False,4.35
MROH2B,False,4.34
NBEA,False,4.32
MYH1,False,4.3
ZNF804A,False,4.28
PXDNL,False,4.27
PRKDC,False,4.27
NPAP1,False,4.26
TNR,False,4.24
SCN1A,False,4.23
MGAM,False,4.23
ABCA12,False,4.21
MYCBP2,False,4.2
PCDH11X,False,4.2
PLEC,False,4.19
AKAP9,False,4.19
TAF1L,False,4.18
ADAMTS12,False,4.18
KALRN,False,4.17
FREM2,False,4.17
FBXW7,True,4.16
LRRC7,False,4.16
PLXNA4,False,4.16
PRUNE2,False,4.13
TRRAP,False,4.11
UBR4,False,4.1
MYH8,False,4.09
KMT2A,True,4.08
NALCN,False,4.07
FLNC,False,4.07
ZNF831,False,4.06
ANKRD30A,False,4.05
DOCK2,False,4.05
MAGEC1,False,4.01
PREX2,False,4.0
MYH4,False,3.99
ALMS1,False,3.99
ZDBF2,False,3.98
RB1,True,3.98
RP1L1,False,3.98
CREBBP,True,3.97
SCN10A,False,3.97
MKI67,False,3.94
MYO18B,False,3.92
SDK1,False,3.92
COL6A6,False,3.91
ERBB4,True,3.9
MYH7,False,3.89
DYNC1H1,False,3.89
WDFY3,False,3.88
KMT2B,False,3.85
SRCAP,False,3.83
RNF213,False,3.83
PRDM9,False,3.82
NIPBL,False,3.82
PBRM1,True,3.81
ADAMTS20,False,3.8
CTNNB1,True,3.8
SCN11A,False,3.8
COL7A1,False,3.79
BSN,False,3.79
BRINP3,False,3.79
DYSF,False,3.77
HCN1,False,3.76
ZNF804B,False,3.76
PDZD2,False,3.76
FBN3,False,3.75
ROS1,True,3.75
TMEM132D,False,3.74
ROBO2,False,3.74
BRCA2,True,3.74
DOCK3,False,3.73
STAB2,False,3.72
CDKN2A,True,3.72
ASTN1,False,3.72
FBN1,False,3.71
SCN2A,False,3.69
VPS13D,False,3.68
LYST,False,3.68
ZAN,False,3.68
DYNC2H1,False,3.67
HERC1,False,3.67
MRC1,False,3.67
SPAG17,False,3.67
FAM47C,False,3.65
CRB1,False,3.64
COL5A1,False,3.63
CHD7,False,3.62
VPS13C,False,3.62
KCNB2,False,3.62
EP300,True,3.61
HECTD4,False,3.61
DSP,False,3.6
F8,False,3.59
MYO15A,False,3.57
UTRN,False,3.57
SPEN,True,3.57
MYO3A,False,3.56
HECW1,False,3.56
TPTE,False,3.56
SCN9A,False,3.54
CDH9,False,3.54
CTNNA2,False,3.53
PTPRB,False,3.53
ZNF208,False,3.53
USP34,False,3.53
NOTCH1,True,3.52
PIK3R1,True,3.52
SLIT2,False,3.52
NCKAP5,False,3.51
CTNND2,False,3.5
TEX15,False,3.5
PKD1L1,False,3.49
SCN3A,False,3.49
VWF,False,3.48
SPEF2,False,3.48
TNN,False,3.48
CDH23,True,3.48
SETD2,True,3.47
ASH1L,False,3.47
NSD1,False,3.47
PCDH10,False,3.47
UBR5,False,3.47
MYO16,False,3.46
ADCY8,False,3.46
SPEG,False,3.46
ARID2,True,3.45
TENM2,False,3.44
PPP1R3A,False,3.44
OTOGL,False,3.43
CACNA1C,False,3.42
NEXMIF,False,3.42
FRY,False,3.42
SCN5A,False,3.41
HRNR,False,3.41
LAMA3,False,3.41
IGSF10,False,3.4
CHD4,False,3.38
EGFR,True,3.38
GRIN2B,False,3.38
DIDO1,False,3.37
COL14A1,False,3.37
SORCS1,False,3.37
RIMS1,False,3.37
DSCAML1,False,3.37
LCT,False,3.36
FER1L6,False,3.36
KCNT2,False,3.35
MGA,False,3.34
POLQ,False,3.34
CHD6,False,3.34
DNAH1,False,3.34
NOS1,False,3.34
EPHA5,False,3.33
AFF2,False,3.33
AKAP6,False,3.33
LRRIQ1,False,3.33
ADAMTS16,False,3.32
DCHS1,False,3.32
CACNA1A,False,3.32
PTPRZ1,False,3.31
LPA,False,3.3
SALL1,False,3.29
TRIO,False,3.29
CDH18,False,3.29
RANBP2,False,3.28
SORCS3,False,3.28
THSD7A,False,3.28
CDH8,False,3.26
ADGRL3,False,3.26
COL4A4,False,3.26
COL3A1,False,3.26
HSPG2,False,3.25
PCDH17,False,3.25
ANK1,False,3.25
F5,False,3.25
CFAP47,False,3.24
TACC2,False,3.24
DMBT1,False,3.23
DCDC1,False,3.23
MYT1L,False,3.23
GPR158,False,3.22
MED12,True,3.22
MED12L,False,3.22
SMARCA4,True,3.22
ZNF292,False,3.21
MYH15,False,3.2
TRPS1,False,3.2
ITPR2,False,3.2
NCOR1,True,3.19
ALPK2,False,3.19
MAP2,False,3.19
MYH6,False,3.19
GRM8,False,3.15
TRPM6,False,3.15
MYH13,False,3.14
TECTA,False,3.14
TSHZ3,False,3.14
NRXN3,False,3.12
VPS13A,False,3.12
ACAN,False,3.11
TENM4,False,3.11
CDH12,False,3.11
CNTNAP4,False,3.11
EPHA3,True,3.1
COL19A1,False,3.1
DMXL2,False,3.1
FREM1,False,3.09
GOLGB1,False,3.09
CPS1,False,3.08
FAM47A,False,3.08
SZT2,False,3.08
FLNA,False,3.08
PLCH1,False,3.07
GLI3,False,3.07
TRANK1,False,3.06
TCHH,False,3.05
FN1,False,3.05
CIC,True,3.05
USP9X,False,3.04
C6,False,3.03
TRHDE,False,3.02
CENPF,False,3.01
CFH,False,3.01
SRRM2,False,3.01
ABCB1,True,3.01
SPATA31D1,False,3.01
REV3L,False,3.01
ABCB5,False,3.01
IGF2R,False,3.01
PCNT,False,3.01
COL1A2,False,3.0
CNTN5,False,2.99
ZFPM2,False,2.99
KCNH7,False,2.98
KDM6A,True,2.98
ABCC9,False,2.98
GRM1,False,2.98
CD163L1,False,2.97
ACACB,False,2.97
EP400,False,2.97
GRID2,False,2.97
ATR,True,2.97
CELSR1,False,2.97
SAMD9L,False,2.97
BOD1L1,False,2.96
COL5A2,False,2.96
MTOR,True,2.96
GTF3C1,False,2.95
CD163,False,2.95
LAMA5,False,2.95
CNTN6,False,2.94
GRIK2,False,2.93
NLRP3,False,2.92
SCN7A,False,2.92
BRWD3,False,2.92
KDR,True,2.91
MEGF8,False,2.91
PXDN,False,2.91
PPFIA2,False,2.91
ADGRL2,False,2.91
SORL1,False,2.91
TMEM132B,False,2.91
LTBP1,False,2.9
CPAMD8,False,2.9
LRBA,False,2.9
ARHGAP35,False,2.9
PLCB4,False,2.89
ADAMTS18,False,2.89
KIAA1217,False,2.89
ZNF521,False,2.88
CACNA1S,False,2.88
HECW2,False,2.88
NAV2,False,2.88
ROBO1,False,2.87
ATP10A,False,2.87
PTPRC,False,2.87
PCDH9,False,2.87
MUC4,False,2.87
FNDC1,False,2.87
PAPPA,False,2.86
DMXL1,False,2.86
ANKRD11,False,2.86
PCDHB8,False,2.85
ASTN2,False,2.85
NBAS,False,2.85
TRIOBP,False,2.85
EPHA6,False,2.85
COL4A5,False,2.84
PLCE1,False,2.84
COL5A3,False,2.84
TAF1,False,2.84
FRYL,False,2.84
ST18,False,2.84
HIVEP3,False,2.83
TIAM1,False,2.83
BCORL1,True,2.82
MORC1,False,2.82
NLRP5,False,2.81
CARD11,True,2.81
TRPA1,False,2.8
CENPE,False,2.8
CELSR3,False,2.8
IGSF1,False,2.8
MTUS2,False,2.79
CNOT1,False,2.78
TLL1,False,2.78
MAP1A,False,2.78
ITPR1,False,2.77
EPB41L3,False,2.77
FSTL5,False,2.77
GRM3,True,2.77
SLITRK3,False,2.77
C3,False,2.77
NRAS,True,2.76
DOCK10,False,2.76
FLNB,False,2.76
HTT,False,2.76
STAB1,False,2.76
SVIL,False,2.76
NOTCH4,False,2.76
SETBP1,True,2.76
TNC,False,2.75
ZBED9,False,2.75
TPO,False,2.75
TLN2,False,2.75
GALNT17,False,2.74
ICE1,False,2.74
PCDHB7,False,2.74
RNF43,True,2.74
LAMB4,False,2.73
CACNA1B,False,2.73
PLCB1,False,2.73
GRM7,False,2.73
DOCK11,False,2.73
OTOF,False,2.73
CEP350,False,2.73
POLE,True,2.72
MYO9A,False,2.72
CELSR2,False,2.71
NLRP8,False,2.71
MYOM2,False,2.71
FSIP2,False,2.71
LRFN5,False,2.71
ABCA4,False,2.71
ADAMTSL3,False,2.7
STXBP5L,False,2.7
CHD5,False,2.69
SETX,False,2.69
SLITRK1,False,2.69
AKAP13,False,2.69
NDST4,False,2.69
BCOR,True,2.68
MAP1B,False,2.68
ARID1B,True,2.68
BPTF,False,2.68
CDH1,True,2.68
GPR179,False,2.68
SAMD9,True,2.68
HIVEP1,False,2.68
TRPM3,False,2.68
CHD8,False,2.68
NLRP4,False,2.68
SPTB,False,2.68
SPTBN4,False,2.67
CACNA1D,False,2.67
NCOR2,False,2.67
MYH11,False,2.67
PKD1,False,2.67
SLIT3,False,2.66
MAGI2,False,2.66
JMJD1C,False,2.66
MYLK,False,2.66
UTP20,False,2.66
GRIA1,False,2.66
MECOM,False,2.66
COL4A1,False,2.65
DOCK4,False,2.65
TEP1,False,2.65
PCNX2,False,2.65
TET1,False,2.65
ACACA,False,2.65
LAMA4,False,2.65
GRM5,False,2.64
HIVEP2,False,2.64
TLR4,False,2.64
CHL1,False,2.64
SIPA1L1,False,2.64
RUNX1T1,False,2.64
NFASC,False,2.63
SPTAN1,False,2.63
PCDH18,False,2.63
MYH9,False,2.63
DPP10,False,2.63
NUP210L,False,2.62
DLC1,False,2.62
SIPA1L2,False,2.62
ANO4,False,2.62
SLC8A1,False,2.61
USF3,False,2.61
PDE3A,False,2.61
RIMBP2,False,2.61
ANKHD1-EIF4EBP3,False,2.6
TSHZ2,False,2.6
KIF2B,False,2.6
ZNF99,False,2.6
ZEB2,False,2.6
NRK,False,2.6
COL24A1,False,2.6
ACVR2A,False,2.6
GCN1,False,2.59
ZNF423,False,2.59
PCDHA2,False,2.59
DISP3,False,2.59
GREB1,False,2.58
KCNH5,False,2.58
BAZ2B,False,2.58
ATRNL1,False,2.58
CHD3,False,2.58
ZNF462,False,2.58
NOTCH3,True,2.58
TDRD6,False,2.57
STYXL2,False,2.57
UNC5D,False,2.57
CHD9,False,2.57
MYH3,False,2.56
CAMTA1,False,2.56
HEPH,False,2.56
AMER1,True,2.56
CFAP65,False,2.56
PCDHA8,False,2.55
SMG1,False,2.55
CACNA2D1,False,2.55
ATP10B,False,2.55
ITPR3,False,2.55
CUL9,False,2.54
EPG5,False,2.54
CACNA1H,False,2.54
BRWD1,False,2.53
NLRP13,False,2.53
CACNA1G,False,2.53
ADAMTS9,False,2.53
EPHB1,True,2.53
PIK3CG,True,2.52
ADCY2,False,2.52
KIF21B,False,2.52
FRMPD4,False,2.51
PCDHA12,False,2.51
NOTCH2,True,2.51
RIF1,False,2.51
KIF26B,False,2.5
TRPC4,False,2.5
KIAA1210,False,2.5
IRS4,False,2.5
ITGA8,False,2.49
SYCP2,False,2.49
PLXNB2,False,2.49
