Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr1,False,92.22
Metazoa_SRP,chr1,False,81.11
U3,chr1,False,67.78
SNORA70,chr12,False,65.56
U8,chr2,False,64.44
U6,chr15,False,62.22
U4,chr1,False,53.33
SNORA63,chr5,False,48.89
AC140125.1,chr5,False,45.56
AC091874.1,chr5,False,45.56
AC091874.2,chr5,False,45.56
DBN1,chr5,False,44.44
PRR7,chr5,False,44.44
PRR7-AS1,chr5,False,44.44
ARPP19P1,chr5,False,44.44
THOC3-AS1,chr5,False,44.44
AC011407.1,chr5,False,43.33
AC008413.2,chr5,False,43.33
CYSTM1,chr5,False,43.33
HRH2,chr5,False,43.33
AC011410.1,chr5,False,43.33
THOC3,chr5,False,43.33
PRMT1P1,chr5,False,43.33
AC008438.1,chr5,False,43.33
AC008413.1,chr5,False,43.33
PRELID1,chr5,False,43.33
ERGIC1,chr5,False,43.33
PURA,chr5,False,43.33
IGIP,chr5,False,43.33
ARL2BPP6,chr5,False,43.33
AC011399.1,chr5,False,43.33
AC010608.1,chr5,False,43.33
AC008663.1,chr5,False,43.33
AC008663.2,chr5,False,43.33
AC008663.3,chr5,False,43.33
RPL7AP33,chr5,False,43.33
DOK3,chr5,False,43.33
AC008632.1,chr5,False,43.33
SUMO2P6,chr5,False,43.33
CPLX2,chr5,False,43.33
GAPDHP71,chr5,False,43.33
SRA1,chr5,False,43.33
CPEB4,chr5,False,43.33
RNA5SP200,chr5,False,43.33
AC022217.1,chr5,False,43.33
AC022217.3,chr5,False,43.33
STC2,chr5,False,43.33
AC022217.4,chr5,False,43.33
RNU6-226P,chr5,False,43.33
FBXW11,chr5,False,43.33
RNU6-500P,chr5,False,43.33
FAM193B,chr5,False,43.33
AC022440.1,chr5,False,43.33
ANKHD1,chr5,False,43.33
SMIM23,chr5,False,43.33
ANKHD1-EIF4EBP3,chr5,False,43.33
AC024561.1,chr5,False,43.33
AC138965.1,chr5,False,43.33
AC138965.2,chr5,False,43.33
APBB3,chr5,False,43.33
AC016573.1,chr5,False,43.33
AC010307.4,chr5,False,43.33
AC010307.3,chr5,False,43.33
RN7SKP148,chr5,False,43.33
RGS14,chr5,False,43.33
HBEGF,chr5,False,43.33
HIGD1AP3,chr5,False,43.33
RAB24,chr5,False,43.33
AC008438.2,chr5,False,43.33
FSTL4,chr5,False,43.33
PDLIM7,chr5,False,43.33
KLF3P1,chr5,False,43.33
SLC4A9,chr5,False,43.33
AC145098.2,chr5,False,43.33
AC146507.1,chr5,False,43.33
AC011379.2,chr5,False,43.33
SLC34A1,chr5,False,43.33
AC011379.1,chr5,False,43.33
MSX2,chr5,False,43.33
LINC01484,chr5,False,43.33
C5orf47,chr5,False,43.33
LINC01485,chr5,False,43.33
AC146507.2,chr5,False,43.33
LINC01863,chr5,False,43.33
LINC01942,chr5,False,43.33
LINC01944,chr5,False,43.33
MIR8056,chr5,False,43.33
AC146507.3,chr5,False,43.33
LINC01951,chr5,False,43.33
BOD1,chr5,False,43.33
AC108112.1,chr5,False,43.33
MIR5003,chr5,False,43.33
MIR4634,chr5,False,43.33
SFXN1,chr5,False,43.33
DUSP1,chr5,False,43.33
SH3PXD2B,chr5,False,43.33
LMAN2,chr5,False,43.33
MIR1289-2,chr5,False,43.33
AC091393.1,chr5,False,43.33
AC091393.2,chr5,False,43.33
DRD1,chr5,False,43.33
MALINC1,chr5,False,43.33
AC145098.1,chr5,False,43.33
AC011388.1,chr5,False,43.33
AC110011.1,chr5,False,43.33
NEURL1B,chr5,False,43.33
AC113346.2,chr5,False,43.33
AC113346.1,chr5,False,43.33
RPS14,chr5,False,43.33
AC010608.3,chr5,False,43.33
