Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr5,False,55.94
AL049634.3,chr20,False,34.81
KRTAP9-11P,chr17,False,33.2
Metazoa_SRP,chr8,False,31.39
ARPP19P1,chr5,False,31.19
AC091874.2,chr5,False,30.38
AC091874.1,chr5,False,30.38
AC000032.1,chr1,False,30.18
ADAM3A,chr8,False,29.38
BTNL3,chr5,False,29.18
HLA-DRB5,chr6,False,28.57
AC123767.1,chr8,False,28.17
AC147055.2,chr4,False,27.16
AC147055.4,chr4,False,26.96
UGT2B17,chr4,False,26.76
LCE3C,chr1,False,24.95
LGALS9C,chr17,False,24.75
NOS2P2,chr17,False,24.75
TNPO1P2,chr17,False,23.74
AC140125.1,chr5,False,23.54
OR7E84P,chr4,False,23.54
FAM242D,chr9,False,23.34
AL935212.3,chr9,False,22.94
RHD,chr1,False,22.54
UGT2B29P,chr4,False,22.33
HLA-DRB6,chr6,False,22.33
RNU1-61P,chr6,False,22.33
U6,chr15,False,21.73
ALG1L2,chr3,False,21.33
HLA-DRB1,chr6,False,21.13
SDHDP6,chr1,False,20.52
OR51A2,chr11,False,20.32
OR4C6,chr11,False,20.32
OR4S2,chr11,False,20.32
USP32P2,chr17,False,20.12
FAM106A,chr17,False,20.12
OR4P4,chr11,False,19.92
SRP68P2,chr17,False,19.32
U8,chr8,False,19.11
CCDC144B,chr17,False,18.91
OR4V1P,chr11,False,18.11
AC092821.2,chr12,False,17.91
LCE3B,chr1,False,17.71
OR11J6P,chr15,False,17.71
AC134980.1,chr15,False,17.71
BCAR1P2,chr15,False,17.3
FAM30C,chr15,False,17.1
AC037471.1,chr15,False,17.1
IGHD1OR15-1B,chr15,False,16.9
IGHD2OR15-2B,chr15,False,16.9
IGHD3OR15-3B,chr15,False,16.9
IGHD5OR15-5B,chr15,False,16.9
IGHD4OR15-4B,chr15,False,16.9
OR4K1,chr14,False,16.7
OR4K4P,chr14,False,16.5
OR11K2P,chr14,False,16.5
OR4K6P,chr14,False,16.5
OR4K5,chr14,False,16.5
OR4Q3,chr14,False,16.5
OR4K3,chr14,False,16.5
OR2A7,chr7,False,16.5
OR4K2,chr14,False,16.5
AL391156.1,chr14,False,16.5
OR4H12P,chr14,False,16.3
HCP5B,chr6,False,16.3
AC025884.1,chr15,False,16.3
OR2A1-AS1,chr7,False,16.3
OR4N1P,chr14,False,16.1
U3,chr8,False,16.1
AC025884.2,chr15,False,16.1
OR4M1,chr14,False,16.1
SNORA70,chr9,False,15.9
IGHV3-30-2,chr14,False,15.49
IGHVII-30-1,chr14,False,15.49
BRD9P2,chr5,False,15.29
RN7SL400P,chr15,False,15.29
AC126335.2,chr15,False,15.29
BMS1P16,chr15,False,15.29
AC026740.2,chr5,False,15.29
NBEAP4,chr15,False,15.29
AC126335.1,chr15,False,15.29
CTAGE8,chr7,False,15.09
OR2A20P,chr7,False,15.09
OR2A9P,chr7,False,15.09
ARHGEF34P,chr7,False,15.09
AC074386.1,chr7,False,15.09
AC147055.3,chr4,False,14.89
AC243829.2,chr17,False,14.69
OR2A42,chr7,False,14.49
AMYP1,chr1,False,14.49
AC005225.2,chr14,False,14.29
OR4P1P,chr11,False,14.29
AP006437.1,chr11,False,14.29
MIR1268A,chr15,False,14.08
IGHV1OR15-3,chr15,False,14.08
IGHV1OR15-1,chr15,False,14.08
OR4H6P,chr15,False,14.08
IGHV1OR15-4,chr15,False,14.08
RPS8P10,chr15,False,14.08
OR4M2,chr15,False,14.08
OR11K1P,chr15,False,14.08
OR4N3P,chr15,False,14.08
OR4N4,chr15,False,14.08
OR11H3P,chr15,False,14.08
OR4Q1P,chr15,False,14.08
NBEAP1,chr15,False,14.08
AC025884.3,chr15,False,14.08
AC131280.1,chr15,False,14.08
AC134980.2,chr15,False,14.08
AC010760.1,chr15,False,14.08
AC083906.4,chr3,False,14.08
IGHV4OR15-8,chr15,False,14.08
LONRF2P4,chr15,False,13.88
MRGPRX1,chr11,False,13.88
MIR3118-3,chr15,False,13.88
AC068446.2,chr15,False,13.88
