Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr5,False,89.31
Metazoa_SRP,chr5,False,69.47
U3,chr5,False,62.6
U6,chr3,False,57.25
SNORA70,chr3,False,47.33
PSG9,chr19,False,44.27
CEACAMP10,chr19,False,44.27
SNORA62,chr11,False,41.98
SIGLEC14,chr19,False,41.98
AC018755.4,chr19,False,40.46
ZNF132,chr19,False,38.93
LILRA6,chr19,False,37.4
AC245052.3,chr19,False,37.4
AC000032.1,chr1,False,37.4
CCDC106,chr19,False,36.64
ZNF784,chr19,False,36.64
AC008749.1,chr19,False,36.64
EPN1,chr19,False,36.64
FIZ1,chr19,False,36.64
KIR2DS4,chr19,False,36.64
AC008735.3,chr19,False,36.64
ZNF628,chr19,False,36.64
AC008735.4,chr19,False,36.64
ZNF579,chr19,False,36.64
ZNF865,chr19,False,36.64
ZNF580,chr19,False,36.64
SBK3,chr19,False,36.64
ZNF581,chr19,False,36.64
SBK2,chr19,False,36.64
AC008735.1,chr19,False,36.64
AC008735.2,chr19,False,36.64
PSG7,chr19,False,36.64
NLRP9,chr19,False,36.64
RFPL4A,chr19,False,36.64
NLRP11,chr19,False,36.64
AC010525.2,chr19,False,36.64
RN7SKP109,chr19,False,36.64
AC010525.1,chr19,False,36.64
SSC5D,chr19,False,36.64
ZNF524,chr19,False,36.64
NAT14,chr19,False,36.64
U2AF2,chr19,False,36.64
HSPBP1,chr19,False,35.88
KIR3DL1,chr19,False,35.88
MIR6805,chr19,False,35.88
IL11,chr19,False,35.88
AC010327.6,chr19,False,35.88
RFPL4AP1,chr19,False,35.88
AC245128.3,chr19,False,35.88
RDH13,chr19,False,35.88
AC020922.2,chr19,False,35.88
SYT5,chr19,False,35.88
AC010327.7,chr19,False,35.88
UBE2S,chr19,False,35.88
AC020922.1,chr19,False,35.88
LINC01864,chr19,False,35.88
NLRP7,chr19,False,35.88
C19orf85,chr19,False,35.88
AC010327.8,chr19,False,35.88
AC022137.1,chr19,False,35.88
DNAAF3,chr19,False,35.88
NCR1,chr19,False,35.88
PTPRH,chr19,False,35.88
PPP1R12C,chr19,False,35.88
FAM71E2,chr19,False,35.88
CEACAMP7,chr19,False,35.88
PSG11,chr19,False,35.88
COX6B2,chr19,False,35.88
ZNF444,chr19,False,35.88
GALP,chr19,False,35.88
CEACAMP8,chr19,False,35.88
PSG6,chr19,False,35.88
TMEM86B,chr19,False,35.88
TPM3P6,chr19,False,35.88
ISOC2,chr19,False,35.88
NLRP13,chr19,False,35.88
NLRP2,chr19,False,35.88
MIR6802,chr19,False,35.88
RPL28,chr19,False,35.88
PPP6R1,chr19,False,35.88
NLRP4,chr19,False,35.88
MIR6803,chr19,False,35.88
NLRP5,chr19,False,35.88
AC011506.1,chr19,False,35.88
MIR6804,chr19,False,35.88
MIR7975,chr19,False,35.88
PSG1,chr19,False,35.88
AC004784.1,chr19,False,35.88
AC024580.2,chr19,False,35.88
ZNF813,chr19,False,35.88
EPS8L1,chr19,False,35.88
AC011476.2,chr19,False,35.88
AC011476.1,chr19,False,35.88
TMEM190,chr19,False,35.88
ZSCAN5C,chr19,False,35.88
AC010327.5,chr19,False,35.88
ZSCAN5B,chr19,False,35.88
AC010327.4,chr19,False,35.88
ZSCAN5A,chr19,False,35.88
AC010327.3,chr19,False,35.88
AC024580.1,chr19,False,35.88
GP6,chr19,False,35.88
SHISA7,chr19,False,35.88
TMEM238,chr19,False,35.88
AC010327.2,chr19,False,35.88
AC020922.4,chr19,False,35.88
AC008735.5,chr19,False,35.88
AC010327.1,chr19,False,35.88
KMT5C,chr19,False,35.88
BRSK1,chr19,False,35.88
TMEM150B,chr19,False,35.88
AC020922.3,chr19,False,35.88
ZNF787,chr19,False,35.88
TNNT1,chr19,False,35.88
ZSCAN5DP,chr19,False,35.88
AC011476.8,chr19,False,35.88
AC011476.3,chr19,False,35.88
TNNI3,chr19,False,35.88
LILRB2,chr19,False,35.11
KIR2DL3,chr19,False,35.11
ZIM2,chr19,False,35.11
LILRB1-AS1,chr19,False,35.11
RPS9,chr19,False,35.11
