Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr10,False,54.5
AC000032.1,chr1,False,46.5
KRTAP9-11P,chr17,False,42.0
AL049634.3,chr20,False,39.0
ADAM3A,chr8,False,38.5
RHD,chr1,False,36.5
AC123767.1,chr8,False,31.5
SDHDP6,chr1,False,31.5
AC091874.2,chr5,False,30.0
AC091874.1,chr5,False,30.0
ALG1L2,chr3,False,29.5
LGALS9C,chr17,False,29.0
HLA-DRB5,chr6,False,28.5
ARPP19P1,chr5,False,28.5
NOS2P2,chr17,False,28.5
Metazoa_SRP,chr8,False,28.0
BTNL3,chr5,False,26.5
OR7E84P,chr4,False,26.5
LCE3C,chr1,False,26.5
U6,chr15,False,25.5
LCE3B,chr1,False,25.0
FAM106A,chr17,False,25.0
USP32P2,chr17,False,25.0
OR51A2,chr11,False,24.5
AC140125.1,chr5,False,24.0
TNPO1P2,chr17,False,23.5
SRP68P2,chr17,False,23.5
CCDC144B,chr17,False,23.5
AC147055.2,chr4,False,21.5
AC147055.4,chr4,False,21.0
AC083906.4,chr3,False,20.0
SNORA70,chr9,False,19.5
AC023078.1,chr11,False,19.0
AL935212.3,chr9,False,18.5
NSFP1,chr17,False,18.0
MRGPRX1,chr11,False,18.0
BRD9P2,chr5,False,17.5
AC026740.2,chr5,False,17.5
UGT2B17,chr4,False,17.0
OR4K4P,chr14,False,17.0
AL031432.2,chr1,False,17.0
FAM242D,chr9,False,17.0
OR11J6P,chr15,False,17.0
AL391156.1,chr14,False,17.0
OR4K3,chr14,False,17.0
OR4K2,chr14,False,17.0
AC134980.1,chr15,False,17.0
OR4K5,chr14,False,16.5
AMY1B,chr1,False,16.5
AC025884.2,chr15,False,16.5
OR4K1,chr14,False,16.5
AMY1A,chr1,False,16.5
AC105272.1,chr1,False,16.5
AC005225.2,chr14,False,16.5
OR4K6P,chr14,False,16.0
OR4N1P,chr14,False,16.0
OR4H12P,chr14,False,15.5
BX284668.4,chr1,False,15.5
AC025884.1,chr15,False,15.5
BX284668.2,chr1,False,15.5
OR4M1,chr14,False,15.5
OR4Q3,chr14,False,15.5
