Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr15,False,75.5
LCE3C,chr1,False,42.0
AC092821.2,chr12,False,36.5
HCP5B,chr6,False,33.5
OR52N1,chr11,False,33.0
OR52N5,chr11,False,33.0
CFHR3,chr1,False,33.0
OR4C6,chr11,False,33.0
OR4S2,chr11,False,32.5
Metazoa_SRP,chr11,False,31.5
OR4P4,chr11,False,31.5
OR4V1P,chr11,False,31.0
CFHR1,chr1,False,30.5
HOMER2P1,chr14,False,29.0
IGHV3-41,chr14,False,29.0
IGHVII-40-1,chr14,False,29.0
PFN1P12,chr1,False,28.5
DDX39BP1,chr6,False,28.5
AC098483.2,chr1,False,28.0
U6,chr15,False,27.5
OR2T11,chr1,False,27.5
OR2T10,chr1,False,27.0
LCE3B,chr1,False,26.5
AC244452.1,chr14,False,26.5
RNU1-114P,chr1,False,26.5
NBPF17P,chr1,False,26.5
RNVU1-17,chr1,False,26.0
RNU1-61P,chr6,False,26.0
FSCN1P1,chr15,False,25.5
U8,chr15,False,25.0
AL049634.3,chr20,False,25.0
AL645929.1,chr6,False,24.5
HLA-T,chr6,False,24.5
HLA-H,chr6,False,24.5
AC000032.1,chr1,False,24.0
AC114786.3,chr4,False,24.0
KRTAP9-11P,chr17,False,24.0
AC091874.2,chr5,False,23.5
AC091874.1,chr5,False,23.5
HNRNPLP2,chr15,False,23.5
AC114786.2,chr4,False,23.5
AC239800.1,chr1,False,23.0
AC239800.2,chr1,False,23.0
SDHDP6,chr1,False,22.5
AC005609.2,chr5,False,22.5
IGHV1OR15-6,chr15,False,22.5
AC026495.1,chr15,False,22.5
AC023310.2,chr15,False,22.5
PCDHA9,chr5,False,22.5
LONRF2P3,chr15,False,22.0
GRAMD4P5,chr15,False,22.0
AC012414.2,chr15,False,22.0
OR4P1P,chr11,False,22.0
ARPP19P1,chr5,False,22.0
AC012414.6,chr15,False,22.0
AP006437.1,chr11,False,22.0
OR11J5P,chr15,False,22.0
AC023310.4,chr15,False,22.0
RNU6-498P,chr15,False,22.0
RNU6-749P,chr15,False,22.0
AC012414.1,chr15,False,22.0
ZNF519P2,chr15,False,22.0
RNVU1-23,chr1,False,22.0
RNVU1-18,chr1,False,22.0
POTEB2,chr15,False,22.0
AC012414.3,chr15,False,22.0
MIR5701-1,chr15,False,22.0
OR11J2P,chr15,False,22.0
AC012414.5,chr15,False,22.0
NF1P1,chr15,False,22.0
