Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr7,False,59.09
UGT2B17,chr4,False,45.45
AC147055.4,chr4,False,45.45
OR4K4P,chr14,False,43.94
AL391156.1,chr14,False,43.94
OR4K5,chr14,False,43.94
OR4K1,chr14,False,43.94
OR4K3,chr14,False,43.94
AC147055.2,chr4,False,43.94
OR4K2,chr14,False,43.94
OR4K6P,chr14,False,42.42
OR4M1,chr14,False,42.42
OR4H12P,chr14,False,42.42
OR4Q3,chr14,False,42.42
OR11K2P,chr14,False,42.42
OR4N1P,chr14,False,42.42
AL049634.3,chr20,False,40.91
U6,chr15,False,39.39
UGT2B29P,chr4,False,37.88
ADAM3A,chr8,False,36.36
OR11J6P,chr15,False,34.85
AC134980.1,chr15,False,34.85
AL512310.7,chr14,False,33.33
AL512310.9,chr14,False,33.33
AL512310.8,chr14,False,33.33
AL512310.4,chr14,False,33.33
OR11H2,chr14,False,33.33
ARHGAP42P4,chr14,False,33.33
AL512310.5,chr14,False,33.33
AL512310.6,chr14,False,33.33
OR4N2,chr14,False,33.33
AL512310.1,chr14,False,33.33
AC123767.1,chr8,False,33.33
AL512310.2,chr14,False,33.33
MIR5701-2,chr15,False,31.82
AC135068.9,chr15,False,31.82
AC135068.10,chr15,False,31.82
AC135068.11,chr15,False,31.82
AC135068.12,chr15,False,31.82
AC068446.2,chr15,False,31.82
AC135068.2,chr15,False,31.82
MIR3118-3,chr15,False,31.82
RNU6-1235P,chr15,False,31.82
MIR3118-4,chr15,False,31.82
POTEB3,chr15,False,31.82
POTEB,chr15,False,31.82
AC135068.3,chr15,False,31.82
AC135068.8,chr15,False,31.82
AC135068.7,chr15,False,31.82
AC135068.4,chr15,False,31.82
AC135068.6,chr15,False,31.82
AC135068.5,chr15,False,31.82
AC183088.1,chr15,False,31.82
AC135068.1,chr15,False,31.82
MIR5701-3,chr15,False,31.82
AC183088.2,chr15,False,31.82
AC183088.3,chr15,False,31.82
LINC02203,chr15,False,31.82
LONRF2P4,chr15,False,31.82
AC060814.1,chr15,False,31.82
AC060814.2,chr15,False,31.82
AC060814.3,chr15,False,31.82
AC060814.4,chr15,False,31.82
CXADRP2,chr15,False,31.82
RNU6-631P,chr15,False,31.82
ZNF519P3,chr15,False,31.82
GRAMD4P6,chr15,False,31.82
OR11J7P,chr15,False,31.82
AC000032.1,chr1,False,31.82
NF1P9,chr15,False,31.82
NF1P2,chr15,False,31.82
AC134981.1,chr15,False,31.82
AC183088.4,chr15,False,31.82
AC068446.1,chr15,False,31.82
AC126335.2,chr15,False,30.3
AC126335.1,chr15,False,30.3
Metazoa_SRP,chr5,False,30.3
IGHD5OR15-5B,chr15,False,30.3
BCAR1P2,chr15,False,30.3
IGHD1OR15-1B,chr15,False,30.3
IGHD4OR15-4B,chr15,False,30.3
LCE3C,chr1,False,30.3
RN7SL400P,chr15,False,30.3
BMS1P16,chr15,False,30.3
IGHD3OR15-3B,chr15,False,30.3
NBEAP4,chr15,False,30.3
IGHD2OR15-2B,chr15,False,30.3
AC037471.1,chr15,False,28.79
FAM30C,chr15,False,28.79
KRTAP9-11P,chr17,False,27.27
AL512310.10,chr14,False,27.27
AC023310.1,chr15,False,27.27
FAM242D,chr9,False,27.27
GOLGA6L6,chr15,False,27.27
OR11H3P,chr15,False,25.76
AC025884.3,chr15,False,25.76
AC025884.2,chr15,False,25.76
AC025884.1,chr15,False,25.76
AL935212.3,chr9,False,25.76
OR11K1P,chr15,False,25.76
MIR1268A,chr15,False,25.76
OR4Q1P,chr15,False,25.76
OR4H6P,chr15,False,25.76
OR4N3P,chr15,False,25.76
IGHV1OR15-3,chr15,False,25.76
OR4M2,chr15,False,25.76
IGHV4OR15-8,chr15,False,25.76
OR4N4,chr15,False,25.76
IGHV1OR15-1,chr15,False,25.76
AC134980.2,chr15,False,25.76
IGHV1OR15-4,chr15,False,25.76
AC010760.1,chr15,False,25.76
RPS8P10,chr15,False,25.76
AC023310.4,chr15,False,24.24
AC012414.4,chr15,False,24.24
NBEAP1,chr15,False,24.24
AC005225.2,chr14,False,24.24
LONRF2P3,chr15,False,24.24
AC012414.6,chr15,False,24.24
AC023078.1,chr11,False,24.24
LINC01193,chr15,False,24.24
NF1P1,chr15,False,24.24
AC012414.5,chr15,False,24.24
LCE3B,chr1,False,24.24
SPATA31E2P,chr15,False,24.24
MIR5701-1,chr15,False,24.24
AC012414.3,chr15,False,24.24
MIR3118-2,chr15,False,24.24
AC012414.1,chr15,False,24.24
MED15P6,chr14,False,24.24
IGHV1OR15-6,chr15,False,24.24
AC023310.2,chr15,False,24.24
NF1P11,chr14,False,24.24
OR11J5P,chr15,False,24.24
OR11J2P,chr15,False,24.24
NF1P4,chr14,False,24.24
AC023310.3,chr15,False,24.24
AC012414.2,chr15,False,24.24
AL512624.2,chr14,False,24.24
AL512310.3,chr14,False,24.24
AC037471.2,chr15,False,24.24
RN7SL759P,chr15,False,24.24
AC131280.1,chr15,False,24.24
GRAMD4P5,chr15,False,24.24
ZNF519P2,chr15,False,24.24
RNU6-749P,chr15,False,24.24
POTEB2,chr15,False,24.24
GOLGA8CP,chr15,False,24.24
POTEG,chr14,False,24.24
AL512310.11,chr14,False,24.24
RNU6-1268P,chr14,False,24.24
AL512624.1,chr14,False,24.24
RNU6-498P,chr15,False,24.24
SNORA70,chr9,False,22.73
MRGPRX1,chr11,False,22.73
OR51A2,chr11,False,22.73
GRAMD4P3,chr14,False,22.73
OR4V1P,chr11,False,22.73
OR4S2,chr11,False,22.73
OR4C6,chr11,False,22.73
OR4P4,chr11,False,22.73
AC092821.2,chr12,False,21.21
C2orf69P4,chr16,False,21.21
BRD9P2,chr5,False,21.21
BMS1P17,chr14,False,21.21
FRG2GP,chr16,False,21.21
AC147055.3,chr4,False,21.21
FRG2IP,chr16,False,21.21
AL929602.1,chr14,False,21.21
AC026740.2,chr5,False,21.21
AGGF1P9,chr16,False,21.21
RARRES2P7,chr16,False,21.21
RARRES2P9,chr16,False,21.21
LINC01566,chr16,False,21.21
AGGF1P4,chr16,False,21.21
LINC01297,chr14,False,21.21
U3,chr5,False,19.7
DUXAP10,chr14,False,19.7
AP006437.1,chr11,False,19.7
AGGF1P5,chr16,False,19.7
TOMM40P1,chr14,False,19.7
OR2A1-AS1,chr7,False,19.7
HLA-DRB6,chr6,False,19.7
AC114786.3,chr4,False,19.7
HLA-DRB1,chr6,False,19.7
NBEAP6,chr14,False,19.7
RNU1-61P,chr6,False,19.7
AL589743.4,chr14,False,19.7
OR4P1P,chr11,False,19.7
AL589743.2,chr14,False,19.7
FRG2HP,chr16,False,19.7
AL589743.1,chr14,False,19.7
CDRT15P13,chr14,False,19.7
AC018558.4,chr16,False,18.18
AC018558.1,chr16,False,18.18
AC018558.6,chr16,False,18.18
FGFR3P5,chr16,False,18.18
AC018558.7,chr16,False,18.18
AGGF1P8,chr16,False,18.18
AC018558.3,chr16,False,18.18
AGGF1P6,chr16,False,18.18
FRG2DP,chr16,False,18.18
ZNF971P,chr16,False,18.18
MT2P1,chr4,False,18.18
FRG2JP,chr16,False,18.18
