Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr1,False,90.98
Metazoa_SRP,chr2,False,81.71
U3,chr5,False,62.2
U8,chr5,False,52.44
U6,chr15,False,46.59
SNORA70,chr8,False,39.02
AL049634.3,chr20,False,36.34
SNORA63,chr5,False,36.34
U4,chr8,False,35.37
KRTAP9-11P,chr17,False,34.63
SNORA72,chr8,False,32.44
LCE3C,chr1,False,31.95
ADAM3A,chr8,False,31.71
AC123767.1,chr8,False,30.24
HLA-DRB5,chr6,False,27.56
AP001330.1,chr8,False,27.56
RNU7-67P,chr8,False,27.56
AP001330.5,chr8,False,27.32
LINC02844,chr8,False,27.32
AP001330.3,chr8,False,27.32
ZNNT1,chr8,False,27.07
ZNF706,chr8,False,27.07
RN7SL563P,chr8,False,27.07
DUXAP2,chr8,False,27.07
AC000032.1,chr1,False,26.83
AP001208.1,chr8,False,26.83
AP000424.2,chr8,False,26.83
GRHL2,chr8,False,26.83
AP000424.1,chr8,False,26.83
NACA4P,chr8,False,26.83
AC027373.1,chr8,False,26.83
LINC02845,chr8,False,26.83
AP001207.2,chr8,False,26.83
AC026740.2,chr5,False,26.83
RPS26P6,chr8,False,26.83
ANKRD46,chr8,False,26.83
AP001330.2,chr8,False,26.83
AP001330.4,chr8,False,26.83
BRD9P2,chr5,False,26.83
AP003472.1,chr8,False,26.59
RN7SKP249,chr8,False,26.59
AP001574.1,chr8,False,26.59
AP003469.1,chr8,False,26.59
AP003469.2,chr8,False,26.59
AP003469.3,chr8,False,26.59
RN7SL685P,chr8,False,26.59
RNU4-83P,chr8,False,26.59
MIR4471,chr8,False,26.59
AP001207.1,chr8,False,26.59
AP003472.2,chr8,False,26.59
GAPDHP62,chr8,False,26.59
FLJ42969,chr8,False,26.59
AP001207.3,chr8,False,26.59
YWHAZ,chr8,False,26.59
AP001205.1,chr8,False,26.34
SNX31,chr8,False,26.34
RNF19A,chr8,False,26.34
PABPC1,chr8,False,26.1
AP000426.1,chr8,False,26.1
NCALD,chr8,False,26.1
RNU6-1092P,chr8,False,26.1
RNU6ATAC41P,chr8,False,26.1
MIR7705,chr8,False,25.85
RPS20P23,chr8,False,25.85
AC025647.1,chr8,False,25.61
POLR2K,chr8,False,25.61
SPAG1,chr8,False,25.61
RNU1-61P,chr6,False,25.61
AC021590.1,chr8,False,25.61
SNORD77B,chr8,False,25.37
RGS22,chr8,False,25.37
FBXO43,chr8,False,25.37
PDCL3P2,chr8,False,25.12
AP001329.1,chr8,False,25.12
HLA-DRB6,chr6,False,24.88
5S_rRNA,chr16,False,24.88
AC018442.3,chr8,False,24.63
U2,chr8,False,24.63
AC105328.1,chr8,False,24.63
AC018442.2,chr8,False,24.63
7SK,chr3,False,24.39
COX6C,chr8,False,24.39
AC147055.4,chr4,False,24.39
RRM2B,chr8,False,23.9
AP001328.1,chr8,False,23.9
AC018442.1,chr8,False,23.9
AC147055.2,chr4,False,23.9
MIR875,chr8,False,23.66
SUMO2P19,chr8,False,23.66
DEDD,chr1,False,23.66
MIR599,chr8,False,23.66
NECTIN4-AS1,chr1,False,23.66
AP002907.1,chr8,False,23.66
HLA-DRB1,chr6,False,23.66
UBR5,chr8,False,23.66
UBR5-AS1,chr8,False,23.66
MIR5680,chr8,False,23.66
ARHGAP30,chr1,False,23.41
NECTIN4,chr1,False,23.41
RN7SL350P,chr8,False,23.41
NIT1,chr1,False,23.41
UGT2B17,chr4,False,23.41
TSTD1,chr1,False,23.17
AC140125.1,chr5,False,23.17
PFDN2,chr1,False,23.17
KLHDC9,chr1,False,23.17
GLRX5P2,chr1,False,23.17
USF1,chr1,False,23.17
AP002981.1,chr8,False,22.93
AP004289.2,chr8,False,22.93
AP002852.1,chr8,False,22.93
RNU6-1224P,chr8,False,22.93
F11R,chr1,False,22.93
AC092821.2,chr12,False,22.93
GASAL1,chr8,False,22.93
AL591806.1,chr1,False,22.93
AL591806.2,chr1,False,22.93
AP004289.1,chr8,False,22.93
AP004290.1,chr8,False,22.93
HSPE1P14,chr8,False,22.93
ODF1,chr8,False,22.93
NDUFS2,chr1,False,22.68
POU5F1P2,chr8,False,22.68
RPS12P15,chr8,False,22.68
RN7SKP85,chr8,False,22.68
VPS13B-DT,chr8,False,22.68
PPOX,chr1,False,22.68
AC104986.1,chr8,False,22.68
ADI1P2,chr8,False,22.68
UFC1,chr1,False,22.68
AZIN1,chr8,False,22.68
RNU6ATAC8P,chr8,False,22.68
AC016877.2,chr8,False,22.68
AC016877.3,chr8,False,22.68
SNORD81,chr5,False,22.68
MRPL57P7,chr8,False,22.68
B4GALT3,chr1,False,22.68
OSR2,chr8,False,22.68
AL590714.1,chr1,False,22.68
AC107909.2,chr8,False,22.68
USP21,chr1,False,22.68
AC107909.1,chr8,False,22.68
ADAMTS4,chr1,False,22.68
GOLPH3,chr5,False,22.44
TOMM40L,chr1,False,22.44
FCER1G,chr1,False,22.44
VPS13B,chr8,False,22.44
APOA2,chr1,False,22.44
AP002851.1,chr8,False,22.44
NR1I3,chr1,False,22.44
KLF10,chr8,False,22.44
MIR5187,chr1,False,22.44
MTND1P5,chr8,False,22.44
MTCO2P4,chr8,False,22.44
MTCO1P4,chr8,False,22.44
AC016877.1,chr8,False,22.44
RPL5P24,chr8,False,22.2
PCP4L1,chr1,False,22.2
AP003550.1,chr8,False,22.2
ATP6V1C1,chr8,False,22.2
NPM1P52,chr8,False,22.2
AP003354.1,chr8,False,22.2
U7,chr16,False,22.2
AP003696.1,chr8,False,22.2
ZDHHC11B,chr5,False,22.2
MIR3151,chr8,False,21.95
BAALC-AS1,chr8,False,21.95
LINC01181,chr8,False,21.95
BAALC-AS2,chr8,False,21.95
MAILR,chr8,False,21.95
MPZ,chr1,False,21.95
LCE3B,chr1,False,21.95
SDHC,chr1,True,21.95
AC025370.1,chr8,False,21.95
AL354714.3,chr1,False,21.71
RPL19P14,chr8,False,21.71
RNU6-914P,chr8,False,21.71
ITLN2,chr1,False,21.71
BAALC,chr8,False,21.71
NIPAL2,chr8,False,21.71
AL354714.4,chr1,False,21.71
AL354714.1,chr1,False,21.71
RNU6-748P,chr8,False,21.46
ITLN1,chr1,False,21.46
POP1,chr8,False,21.46
AL354714.2,chr1,False,21.46
AP003467.2,chr8,False,21.46
FZD6,chr8,False,21.46
AP003467.1,chr8,False,21.46
ZDHHC11,chr5,False,21.46
