Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr1,False,92.31
Metazoa_SRP,chr1,False,86.54
U6,chr1,False,60.58
U3,chr1,False,57.69
SNORA70,chr1,False,50.0
U8,chr6,False,48.08
LCE3C,chr1,False,43.27
KRTAP9-11P,chr17,False,40.38
ADAM3A,chr8,False,39.42
TNPO1P2,chr17,False,35.58
LGALS9C,chr17,False,35.58
AC123767.1,chr8,False,35.58
NOS2P2,chr17,False,35.58
LCE3B,chr1,False,32.69
CCDC144B,chr17,False,32.69
SNORA63,chr1,False,32.69
SRP68P2,chr17,False,32.69
AL049634.3,chr20,False,32.69
SNORA74,chr12,False,31.73
AC098850.4,chr17,False,30.77
USP32P1,chr17,False,30.77
FAM106A,chr17,False,30.77
FAM106C,chr17,False,30.77
SRP68P1,chr17,False,30.77
AC098850.1,chr17,False,30.77
USP32P2,chr17,False,30.77
LINC02094,chr17,False,29.81
AC025627.1,chr17,False,29.81
MIR6778,chr17,False,29.81
AC026271.1,chr17,False,29.81
TOP3A,chr17,False,29.81
GRAPL,chr17,False,29.81
MAPK7,chr17,False,29.81
AL353997.5,chr17,False,29.81
SNORA59B,chr17,False,29.81
AL353997.3,chr17,False,29.81
AL353997.2,chr17,False,29.81
AC004448.5,chr17,False,29.81
AC004448.4,chr17,False,29.81
AC004448.3,chr17,False,29.81
MTCO1P39,chr17,False,29.81
AC025627.2,chr17,False,29.81
AC026271.3,chr17,False,29.81
AC025627.3,chr17,False,29.81
AC025627.4,chr17,False,29.81
RPL21P121,chr17,False,29.81
ALKBH5,chr17,False,29.81
SNORD3D,chr17,False,29.81
SNORD3C,chr17,False,29.81
TBC1D3P4,chr17,False,29.81
TBC1D28,chr17,False,29.81
AC127537.1,chr17,False,29.81
ARHGAP44,chr17,False,29.81
AC007952.1,chr17,False,29.81
SNORD3A,chr17,False,29.81
AC007952.4,chr17,False,29.81
AC007952.5,chr17,False,29.81
AC007952.6,chr17,False,29.81
AC007952.8,chr17,False,29.81
AC007952.9,chr17,False,29.81
B9D1,chr17,False,29.81
AC026271.4,chr17,False,29.81
AC004448.2,chr17,False,29.81
AC026271.2,chr17,False,29.81
LINC02076,chr17,False,29.81
AC087164.1,chr17,False,29.81
AC087164.2,chr17,False,29.81
RNF112,chr17,False,29.81
TRIM16L,chr17,False,29.81
RPL17P43,chr17,False,29.81
AC004448.1,chr17,False,29.81
AC005358.1,chr17,False,29.81
MIR1180,chr17,False,29.81
FBXW10,chr17,False,29.81
OR4C6,chr11,False,29.81
MYO15A,chr17,False,29.81
KYNUP1,chr17,False,29.81
MIR1269B,chr17,False,29.81
MYOCD-AS1,chr17,False,29.81
MIEF2,chr17,False,29.81
MFAP4,chr17,False,29.81
LLGL1,chr17,False,29.81
RPL7AP65,chr17,False,29.81
UBE2SP2,chr17,False,29.81
EVPLL,chr17,False,29.81
DRG2,chr17,False,29.81
AC106017.2,chr17,False,29.81
AC106017.1,chr17,False,29.81
EPN2-AS1,chr17,False,29.81
EPN2,chr17,False,29.81
RPS2P46,chr17,False,29.81
NMTRQ-TTG12-1,chr17,False,29.81
SMCR8,chr17,False,29.81
MYOCD,chr17,True,29.81
MTND1P14,chr17,False,29.81
AC124066.1,chr17,False,29.81
FOXO3B,chr17,False,29.81
ZNF286B,chr17,False,29.81
SLC47A1,chr17,False,29.81
MTND2P12,chr17,False,29.81
SHMT1,chr17,False,29.81
FLII,chr17,False,29.81
KYNUP3,chr17,False,29.81
OR4S2,chr11,False,29.81
OR4P4,chr11,False,29.81
SLC47A1P1,chr17,False,29.81
AC005703.2,chr17,False,28.85
AC068442.1,chr17,False,28.85
AC005703.5,chr17,False,28.85
AC005703.3,chr17,False,28.85
TEKT3,chr17,False,28.85
AC115989.1,chr17,False,28.85
RN7SL627P,chr17,False,28.85
AC005274.1,chr17,False,28.85
AC084167.1,chr17,False,28.85
ALDH3A2,chr17,False,28.85
AL353997.1,chr17,False,28.85
AC005703.4,chr17,False,28.85
AC090286.3,chr17,False,28.85
AC005277.2,chr17,False,28.85
AC005703.6,chr17,False,28.85
AC005722.1,chr17,False,28.85
AC090286.4,chr17,False,28.85
AC005722.2,chr17,False,28.85
AL353997.4,chr17,False,28.85
AC005722.3,chr17,False,28.85
AC087163.1,chr17,False,28.85
AC005722.4,chr17,False,28.85
AC087163.2,chr17,False,28.85
AC090286.1,chr17,False,28.85
AC090286.2,chr17,False,28.85
RNU6-799P,chr17,False,28.85
AC005277.1,chr17,False,28.85
ALDH3A1,chr17,False,28.85
SLC47A2,chr17,False,28.85
FAM83G,chr17,False,28.85
AC233702.6,chr17,False,28.85
AC015726.3,chr17,False,28.85
LINC00670,chr17,False,28.85
AC015726.2,chr17,False,28.85
SLC5A10,chr17,False,28.85
TVP23B,chr17,False,28.85
GRAP,chr17,False,28.85
BRI3P3,chr17,False,28.85
AC233702.3,chr17,False,28.85
AC107982.1,chr17,False,28.85
U7,chr1,False,28.85
AC107982.2,chr17,False,28.85
AC107982.3,chr17,False,28.85
AC107983.1,chr17,False,28.85
ATPAF2,chr17,False,28.85
PRPSAP2,chr17,False,28.85
ADORA2B,chr17,False,28.85
AC147055.4,chr4,False,28.85
AC003957.1,chr17,False,28.85
DRC3,chr17,False,28.85
UGT2B17,chr4,False,28.85
NDUFB4P3,chr17,False,28.85
ULK2,chr17,False,28.85
AC147055.2,chr4,False,28.85
OR4V1P,chr11,False,28.85
SLC47A1P2,chr17,False,28.85
ELAC2,chr17,False,28.85
GID4,chr17,True,28.85
KYNUP2,chr17,False,27.88
RPL21P120,chr17,False,27.88
AC005303.1,chr17,False,27.88
AC005324.4,chr17,False,27.88
RNU6-468P,chr17,False,27.88
SMCR2,chr17,False,27.88
AC098850.3,chr17,False,27.88
LINC01563,chr17,False,27.88
AC127540.2,chr17,False,27.88
RNU6-405P,chr17,False,27.88
SPECC1,chr17,False,27.88
AC233702.7,chr17,False,27.88
SMCR5,chr17,False,27.88
AC093484.4,chr17,False,27.88
SNORD3B-1,chr17,False,27.88
AC093484.1,chr17,False,27.88
SNORD49A,chr17,False,27.88
SNORD49B,chr17,False,27.88
RPL13P12,chr17,False,27.88
AC093484.2,chr17,False,27.88
AC093484.3,chr17,False,27.88
AKAP10,chr17,False,27.88
SNORD65,chr17,False,27.88
SPECC1P1,chr17,False,27.88
AC233702.5,chr17,False,27.88
ACTG1P24,chr17,False,27.88
AC005244.2,chr17,False,27.88
RNU6-767P,chr17,False,27.88
LRRC75A,chr17,False,27.88
ZNF624,chr17,False,27.88
SNHG29,chr17,False,27.88
AC004702.1,chr17,False,27.88
AC233702.8,chr17,False,27.88
SNORD3B-2,chr17,False,27.88
MED9,chr17,False,27.88
MIR33B,chr17,False,27.88
SPECC1P2,chr17,False,27.88
PDLIM1P2,chr17,False,27.88
FTLP12,chr17,False,27.88
AC020558.1,chr17,False,27.88
AC020558.2,chr17,False,27.88
AC020558.3,chr17,False,27.88
AC020558.4,chr17,False,27.88
AC020558.5,chr17,False,27.88
AC020558.6,chr17,False,27.88
CENPV,chr17,False,27.88
PEMT,chr17,False,27.88
TNFRSF13B,chr17,False,27.88
MPRIP-AS1,chr17,False,27.88
MPRIP,chr17,False,27.88
CCDC144A,chr17,False,27.88
AC022596.1,chr17,False,27.88
AC022596.2,chr17,False,27.88
PLD6,chr17,False,27.88
PMP22,chr17,False,27.88
TOM1L2,chr17,False,27.88
TRPV2,chr17,False,27.88
TSEN15P1,chr17,False,27.88
COPS3,chr17,False,27.88
COTL1P1,chr17,False,27.88
UPF3AP1,chr17,False,27.88
NEK4P2,chr17,False,27.88
NOS2P4,chr17,False,27.88
USP22,chr17,False,27.88
NT5M,chr17,False,27.88
DHRS7B,chr17,False,27.88
UBB,chr17,False,27.88
U4,chr1,False,27.88
AC015726.1,chr17,False,27.88
OR4K1,chr14,False,27.88
OR4K2,chr14,False,27.88
OR4K3,chr14,False,27.88
OR4K4P,chr14,False,27.88
OR4K5,chr14,False,27.88
OR4K6P,chr14,False,27.88
OR4N1P,chr14,False,27.88
FLCN,chr17,True,27.88
MIR6777,chr17,False,27.88
AC007952.7,chr17,False,27.88
RNU6-258P,chr17,False,27.88
RNU6-1057P,chr17,False,27.88
AC087393.3,chr17,False,27.88
AC087499.5,chr17,False,27.88
AC087499.7,chr17,False,27.88
KCNJ12,chr17,False,27.88
AL353996.1,chr17,False,27.88
KCTD9P1,chr17,False,27.88
ZNF287,chr17,False,27.88
SRSF6P2,chr17,False,27.88
RNU6-1178P,chr17,False,27.88
AC007952.3,chr17,False,27.88
SREBF1,chr17,False,27.88
AC005838.1,chr17,False,27.88
AC090774.1,chr17,False,27.88
AC005730.3,chr17,False,27.88
AC005730.2,chr17,False,27.88
AC005730.1,chr17,False,27.88
AC005703.1,chr17,False,27.88
KRT16P6,chr17,False,27.88
