Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,94.55
Metazoa_SRP,chr8,False,92.73
SNORA70,chr8,False,78.18
U3,chr3,False,65.45
U6,chr11,False,65.45
5S_rRNA,chr2,False,61.82
SNORA62,chr8,False,61.82
U8,chr9,False,61.82
TJP3,chr19,False,54.55
SHC2,chr19,False,54.55
ODF3L2,chr19,False,54.55
SMIM24,chr19,False,54.55
MIER2,chr19,False,54.55
PRSS57,chr19,False,54.55
CDC34,chr19,False,54.55
PALM,chr19,False,54.55
FZR1,chr19,False,54.55
MFSD12,chr19,False,54.55
AC005787.1,chr19,False,54.55
AC005551.1,chr19,False,54.55
PLPP2,chr19,False,54.55
AC005559.1,chr19,False,54.55
AC005786.4,chr19,False,54.55
RNF126,chr19,False,54.55
AC005786.3,chr19,False,54.55
AC005786.2,chr19,False,54.55
TBXA2R,chr19,False,54.55
MADCAM1,chr19,False,54.55
AC005786.1,chr19,False,54.55
AC004637.1,chr19,False,54.55
GZMM,chr19,False,54.55
AC004156.1,chr19,False,54.55
AC005775.1,chr19,False,54.55
GIPC3,chr19,False,54.55
TPGS1,chr19,False,54.55
HMG20B,chr19,False,54.55
CACTIN,chr19,False,54.55
CACTIN-AS1,chr19,False,54.55
PIP5K1C,chr19,False,54.55
C2CD4C,chr19,False,54.55
AC004449.1,chr19,False,54.55
HCN2,chr19,False,54.55
AC016588.1,chr19,False,54.55
THEG,chr19,False,54.55
FGF22,chr19,False,54.55
AC009005.1,chr19,False,54.55
AC010641.1,chr19,False,54.55
AC010641.2,chr19,False,54.55
RPS2P52,chr19,False,54.55
FSTL3,chr19,False,54.55
BSG,chr19,False,54.55
RNA5SP462,chr19,False,54.55
POLRMT,chr19,False,54.55
DOHH,chr19,False,54.55
C19orf71,chr19,False,54.55
MRPL54,chr19,False,52.73
AC005777.1,chr19,False,52.73
AC016588.2,chr19,False,52.73
AC012615.1,chr19,False,52.73
CREB3L3,chr19,False,52.73
SHD,chr19,False,52.73
SEPTIN14P19,chr19,False,52.73
RNU6-1076P,chr19,False,52.73
ABHD17A,chr19,False,52.73
AC012615.3,chr19,False,52.73
MIR637,chr19,False,52.73
AC016586.1,chr19,False,52.73
MISP,chr19,False,52.73
NMRK2,chr19,False,52.73
AC005954.1,chr19,False,52.73
CSNK1G2-AS1,chr19,False,52.73
AC012615.6,chr19,False,52.73
AC012615.4,chr19,False,52.73
AC092192.1,chr19,False,52.73
RAX2,chr19,False,52.73
KLF16,chr19,False,52.73
STAP2,chr19,False,52.73
AC005954.2,chr19,False,52.73
AC010507.1,chr19,False,52.73
AC007792.1,chr19,False,52.73
AC092299.1,chr19,False,52.73
ZFR2,chr19,False,52.73
CSNK1G2,chr19,False,52.73
RN7SL202P,chr19,False,52.73
LINC01836,chr19,False,52.73
SIRT6,chr19,False,52.73
NFIC,chr19,False,52.73
APBA3,chr19,False,52.73
EBI3,chr19,False,52.73
AC012615.5,chr19,False,52.73
AC010507.2,chr19,False,52.73
ADAT3,chr19,False,52.73
LINC01002,chr19,False,52.73
SCAMP4,chr19,False,52.73
MIR4745,chr19,False,52.73
ATCAY,chr19,False,52.73
SNORD37,chr19,False,52.73
OR4G3P,chr19,False,52.73
AC005578.1,chr19,False,52.73
DAPK3,chr19,False,52.73
OR4G1P,chr19,False,52.73
MATK,chr19,False,52.73
MAP2K2,chr19,True,52.73
AC006273.1,chr19,False,52.73
CICP19,chr19,False,52.73
FTLP5,chr19,False,52.73
WBP1LP11,chr19,False,52.73
YJU2,chr19,False,52.73
AC005514.1,chr19,False,52.73
TMIGD2,chr19,False,52.73
ANKRD24,chr19,False,52.73
PTBP1,chr19,False,52.73
PIAS4,chr19,False,52.73
OR4F17,chr19,False,52.73
FSD1,chr19,False,52.73
ZBTB7A,chr19,False,52.73
OR4F8P,chr19,False,52.73
MIR7108,chr19,False,50.91
AC092068.1,chr19,False,50.91
AP3D1,chr19,False,50.91
GRIN3B,chr19,False,50.91
AC119403.2,chr19,False,50.91
RNU6-9,chr19,False,50.91
MIR4321,chr19,False,50.91
AC119403.1,chr19,False,50.91
MIR7850,chr19,False,50.91
AC005379.1,chr19,False,50.91
AC011558.1,chr19,False,50.91
MIR3187,chr19,False,50.91
THOP1,chr19,False,50.91
PRTN3,chr19,False,50.91
AC005256.1,chr19,False,50.91
AC005262.2,chr19,False,50.91
AC005264.1,chr19,False,50.91
TLE6,chr19,False,50.91
TLE5,chr19,False,50.91
TLE2,chr19,False,50.91
DOT1L,chr19,True,50.91
MPND,chr19,False,50.91
TIMM13,chr19,False,50.91
AC005306.1,chr19,False,50.91
AC005944.1,chr19,False,50.91
AC005943.2,chr19,False,50.91
AC005943.1,chr19,False,50.91
UQCR11,chr19,False,50.91
MOB3A,chr19,False,50.91
MKNK2,chr19,False,50.91
CHAF1A,chr19,False,50.91
CFD,chr19,False,50.91
REXO1,chr19,False,50.91
AC092068.2,chr19,False,50.91
CELF5,chr19,False,50.91
LMNB2,chr19,False,50.91
AC092068.3,chr19,False,50.91
GPX4,chr19,False,50.91
ONECUT3,chr19,False,50.91
AC004678.2,chr19,False,50.91
AC004678.1,chr19,False,50.91
ELOCP28,chr19,False,50.91
SBNO2,chr19,False,50.91
RN7SL477P,chr19,False,50.91
AC004528.2,chr19,False,50.91
PLEKHJ1,chr19,False,50.91
GNG7,chr19,False,50.91
AC004528.1,chr19,False,50.91
GNA15,chr19,False,50.91
EIF1P6,chr19,False,50.91
GNA11,chr19,True,50.91
AC004490.1,chr19,False,50.91
ELANE,chr19,False,50.91
ZNF554,chr19,False,50.91
AC104521.1,chr19,False,50.91
S1PR4,chr19,False,50.91
MBD3,chr19,False,50.91
TCF3,chr19,False,50.91
CNN2,chr19,False,50.91
LINC01775,chr19,False,50.91
AC005391.1,chr19,False,50.91
MIR1909,chr19,False,50.91
RNU6-993P,chr19,False,50.91
WDR18,chr19,False,50.91
TMEM259,chr19,False,50.91
MIR1227,chr19,False,50.91
POLR2E,chr19,False,50.91
MED16,chr19,False,50.91
RN7SL121P,chr19,False,50.91
SH3GL1,chr19,False,50.91
MIR6789,chr19,False,50.91
EEF2,chr19,False,50.91
PLPPR3,chr19,False,50.91
GADD45B,chr19,False,50.91
SF3A2,chr19,False,50.91
RNU6-2,chr19,False,50.91
AMH,chr19,False,50.91
ZNF555,chr19,False,50.91
ZNF57,chr19,False,50.91
AC007292.3,chr19,False,50.91
AC007292.2,chr19,False,50.91
AC007292.1,chr19,False,50.91
ARID3A,chr19,False,50.91
AC010649.1,chr19,False,50.91
KISS1R,chr19,False,50.91
AC007136.1,chr19,False,50.91
KF456478.1,chr19,False,50.91
AC012615.2,chr19,False,50.91
AC006130.1,chr19,False,50.91
AC006130.2,chr19,False,50.91
AC006130.3,chr19,False,50.91
JSRP1,chr19,False,50.91
IZUMO4,chr19,False,50.91
ZNF77,chr19,False,50.91
RNU6-1223P,chr19,False,50.91
ABCA7,chr19,False,50.91
U7,chr16,False,50.91
AZU1,chr19,False,50.91
ATP8B3,chr19,False,50.91
AC006277.1,chr19,False,50.91
NCLN,chr19,False,50.91
R3HDM4,chr19,False,50.91
ARHGAP45,chr19,False,50.91
AC005262.1,chr19,False,50.91
BTBD2,chr19,False,50.91
ZNF556,chr19,False,50.91
AC011498.1,chr19,False,49.09
AC005329.3,chr19,False,49.09
EFNA2,chr19,False,49.09
AC005330.1,chr19,False,49.09
AC011498.7,chr19,False,49.09
CIRBP,chr19,False,49.09
AC004221.1,chr19,False,49.09
AC011498.6,chr19,False,49.09
ATP5F1D,chr19,False,49.09
CIRBP-AS1,chr19,False,49.09
SEMA6B,chr19,False,49.09
AC023310.4,chr15,False,49.09
AC005258.1,chr19,False,49.09
AC023310.3,chr15,False,49.09
AC005329.2,chr19,False,49.09
LINGO3,chr19,False,49.09
AC104530.1,chr19,False,49.09
PLIN4,chr19,False,49.09
GOLGA6L6,chr15,False,49.09
AC011498.4,chr19,False,49.09
PLIN5,chr19,False,49.09
SPPL2B,chr19,False,49.09
GOLGA8CP,chr15,False,49.09
SGTA,chr19,False,49.09
SPATA31E2P,chr15,False,49.09
OAZ1,chr19,False,49.09
UBXN6,chr19,False,49.09
DIRAS1,chr19,False,49.09
STK11,chr19,True,49.09
AC011498.2,chr19,False,49.09
HDGFL2,chr19,False,49.09
AC005329.1,chr19,False,49.09
HMGB2P1,chr19,False,49.09
LRG1,chr19,False,49.09
RPS15P9,chr19,False,49.09
PWWP3A,chr19,False,49.09
MIDN,chr19,False,49.09
RN7SL759P,chr15,False,49.09
MIR4746,chr19,False,49.09
SLC39A3,chr19,False,49.09
GAMT,chr19,False,49.09
TMPRSS9,chr19,False,49.09
AC006538.1,chr19,False,49.09
AC023310.2,chr15,False,49.09
AC006538.2,chr19,False,49.09
PEAK3,chr19,False,49.09
AC011498.3,chr19,False,49.09
AC006538.3,chr19,False,49.09
AC006538.4,chr19,False,49.09
AC004623.1,chr19,False,49.09
LSM7,chr19,False,49.09
AC005258.2,chr19,False,49.09
FAM174C,chr19,False,49.09
CBARP,chr19,False,49.09
IGHV1OR15-6,chr15,False,49.09
NDUFS7,chr19,False,49.09
RPS15,chr19,False,47.27
ADAMTSL5,chr19,False,47.27
C19orf25,chr19,False,47.27
AC131280.1,chr15,False,47.27
AC023310.1,chr15,False,47.27
DAZAP1,chr19,False,47.27
AC005594.1,chr19,False,47.27
MEX3D,chr19,False,47.27
PCSK4,chr19,False,47.27
AC005339.1,chr19,False,47.27
PLK5,chr19,False,47.27
TNFAIP8L1,chr19,False,47.27
MYDGF,chr19,False,47.27
AC027307.3,chr19,False,47.27
DPP9,chr19,False,47.27
NBEAP1,chr15,False,47.27
AC027307.2,chr19,False,47.27
APC2,chr19,False,47.27
DPP9-AS1,chr19,False,47.27
REEP6,chr19,False,47.27
AC027307.1,chr19,False,47.27
AC011498.5,chr19,False,47.27
GRAMD4P5,chr15,False,45.45
RNU6-498P,chr15,False,45.45
IGHD2OR15-2B,chr15,False,45.45
MIR5701-1,chr15,False,45.45
RNU6-749P,chr15,False,45.45
AC037471.2,chr15,False,45.45
AC012414.6,chr15,False,45.45
IGHD1OR15-1B,chr15,False,45.45
MIR7-3HG,chr19,False,45.45
IGHD5OR15-5B,chr15,False,45.45
LONRF2P3,chr15,False,45.45
IGHD3OR15-3B,chr15,False,45.45
OR11J5P,chr15,False,45.45
LINC01193,chr15,False,45.45
AC012414.1,chr15,False,45.45
AC012414.2,chr15,False,45.45
AC012414.3,chr15,False,45.45
OR11J2P,chr15,False,45.45
AC012414.5,chr15,False,45.45
ZNF519P2,chr15,False,45.45
NF1P1,chr15,False,45.45
AC012414.4,chr15,False,45.45
IGHD4OR15-4B,chr15,False,45.45
POTEB2,chr15,False,45.45
MIR3118-2,chr15,False,45.45
MIR7-3,chr19,False,45.45
FAM30C,chr15,False,43.64
AC037471.1,chr15,False,43.64
AC026495.1,chr15,False,43.64
AC026495.2,chr15,False,43.64
AL117329.2,chr22,False,43.64
AC005523.1,chr19,False,43.64
USP17L7,chr8,False,43.64
AL078622.1,chr22,False,43.64
RNU6-17P,chr15,False,43.64
NUP50-DT,chr22,False,43.64
AL079301.1,chr22,False,43.64
TNFSF14,chr19,False,41.82
CLPP,chr19,False,41.82
CLEC4M,chr19,False,41.82
AC024592.1,chr19,False,41.82
HSD11B1L,chr19,False,41.82
Z82202.2,chr22,False,41.82
MIRLET7BHG,chr22,False,41.82
MAP2K7,chr19,False,41.82
FSCN1P1,chr15,False,41.82
ATXN10,chr22,False,41.82
Z82243.1,chr22,False,41.82
RANBP3,chr19,False,41.82
AC087203.2,chr8,False,41.82
MLLT1,chr19,False,41.82
PRR22,chr19,False,41.82
MBD3L2,chr19,False,41.82
MBD3L2B,chr19,False,41.82
MBD3L3,chr19,False,41.82
MBD3L4,chr19,False,41.82
AC011471.4,chr19,False,41.82
Z82249.1,chr22,False,41.82
MBD3L5,chr19,False,41.82
Z83836.1,chr22,False,41.82
TRIM16,chr17,False,41.82
TNFSF9,chr19,False,41.82
FUT6,chr19,False,41.82
AC136777.1,chr8,False,41.82
AC010336.4,chr19,False,41.82
NDUFA11,chr19,False,41.82
USP17L2,chr8,False,41.82
AC011491.2,chr19,False,41.82
MIR3940,chr19,False,41.82
CLIC4P2,chr19,False,41.82
DEFA1,chr8,False,41.82
AC027319.1,chr19,False,41.82
CDRT15,chr17,False,41.82
SNORA74,chr17,False,41.82
AC011491.1,chr19,False,41.82
DUS3L,chr19,False,41.82
FAM118A,chr22,False,41.82
DEFB108E,chr8,False,41.82
RPL7P50,chr19,False,41.82
PEX11G,chr19,False,41.82
FP325331.1,chr22,False,41.82
HNRNPLP2,chr15,False,41.82
PRR36,chr19,False,41.82
RNA5SP254,chr8,False,41.82
CDPF1,chr22,False,41.82
LYPLA2P2,chr19,False,41.82
LINC00899,chr22,False,41.82
AC008878.1,chr19,False,41.82
AC024592.2,chr19,False,41.82
EVI5L,chr19,False,41.82
FP325330.2,chr22,False,41.82
AC011471.1,chr19,False,41.82
Z72006.1,chr22,False,41.82
MIR1249,chr22,False,41.82
PRR34,chr22,False,41.82
RPL22P21,chr17,False,41.82
AC010503.4,chr19,False,41.82
AC005523.2,chr19,False,41.82
FUT3,chr19,False,41.82
FUT5,chr19,False,41.82
MICOS13,chr19,False,41.82
CD70,chr19,True,41.82
CLEC4GP1,chr19,False,41.82
TEX45,chr19,False,41.82
FP325330.3,chr22,False,41.82
BX324167.2,chr22,False,41.82
AC010503.3,chr19,False,41.82
BX324167.1,chr22,False,41.82
Z84478.1,chr22,False,41.82
Z84468.1,chr22,False,41.82
Z84468.2,chr22,False,41.82
EXOSC3P2,chr19,False,41.82
AC087203.1,chr8,False,41.82
MIR4535,chr22,False,41.82
AC011471.3,chr19,False,41.82
AC011444.2,chr19,False,41.82
LINC01310,chr22,False,41.82
AC024592.3,chr19,False,41.82
PRR34-AS1,chr22,False,41.82
GTF2F1,chr19,False,41.82
INSR,chr19,False,41.82
AC008878.4,chr19,False,41.82
TGFBR3L,chr19,False,41.82
AC011444.1,chr19,False,41.82
MIR4762,chr22,False,41.82
ZNF557,chr19,False,41.82
MIR4747,chr19,False,41.82
FP325330.1,chr22,False,41.82
AC011444.3,chr19,False,41.82
AC011444.4,chr19,False,41.82
BX537318.2,chr22,False,41.82
Z95331.1,chr22,False,41.82
CD209,chr19,False,41.82
AC011471.2,chr19,False,41.82
BX537318.1,chr22,False,41.82
FEM1A,chr19,False,41.82
CLEC4G,chr19,False,41.82
RPL21P129,chr19,False,41.82
AC010336.3,chr19,False,41.82
AC010503.2,chr19,False,41.82
LINC00898,chr22,False,41.82
AC119396.2,chr19,False,41.82
SH2D3A,chr19,False,41.82
PSPN,chr19,False,41.82
TTC38,chr22,False,41.82
GOLGA8B,chr15,False,41.82
KIAA0930,chr22,False,41.82
KHSRP,chr19,False,41.82
LCE3C,chr1,False,41.82
ALKBH7,chr19,False,41.82
PLIN3,chr19,False,41.82
KDM4B,chr19,False,41.82
UPK3A,chr22,False,41.82
HERC2P7,chr15,False,41.82
MIR3201,chr22,False,41.82
RNU6-862P,chr17,False,41.82
AL121672.1,chr22,False,41.82
CRB3,chr19,False,41.82
LRRC8E,chr19,False,41.82
AL121672.2,chr22,False,41.82
AC008760.1,chr19,False,41.82
ARRDC5,chr19,False,41.82
AC008760.2,chr19,False,41.82
SLC25A23,chr19,False,41.82
AC025884.2,chr15,False,41.82
AL121672.3,chr22,False,41.82
WNT7B,chr22,False,41.82
TICAM1,chr19,False,41.82
AL117329.1,chr22,False,41.82
AL021391.1,chr22,False,41.82
GTSE1,chr22,False,41.82
RIBC2,chr22,False,41.82
GTSE1-DT,chr22,False,41.82
PPARA,chr22,False,41.82
NUP50,chr22,False,41.82
AL008720.2,chr22,False,41.82
AL008720.1,chr22,False,41.82
MIR6885,chr19,False,41.82
AL008718.3,chr22,False,41.82
AL008718.2,chr22,False,41.82
GPR108,chr19,False,41.82
AL008718.1,chr22,False,41.82
FBLN1,chr22,False,41.82
BX284656.2,chr22,False,41.82
ARHGEF18,chr19,False,41.82
MIR6791,chr19,False,41.82
BX284656.1,chr22,False,41.82
SMC1B,chr22,False,41.82
LINC01644,chr22,False,41.82
LINC01589,chr22,False,41.82
VAV1,chr19,False,41.82
MIR6790,chr19,False,41.82
C3,chr19,False,41.82
AC025884.1,chr15,False,41.82
AC119396.1,chr19,False,41.82
RNU6-1161P,chr22,False,41.82
NRTN,chr19,False,41.82
AC104532.1,chr19,False,41.82
TUBB4A,chr19,False,41.82
OR52N5,chr11,False,41.82
