Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,89.95
Metazoa_SRP,chr1,False,76.19
U3,chr1,False,71.43
U6,chr1,False,70.37
SNORA70,chr1,False,69.31
SIGLEC14,chr19,False,67.2
AC018755.4,chr19,False,66.67
CEACAMP10,chr19,False,64.02
PSG9,chr19,False,64.02
ZNF132,chr19,False,62.96
KIR3DL2,chr19,False,61.9
SNORA62,chr1,False,61.9
AC024580.1,chr19,False,61.38
PEG3,chr19,False,61.38
CCDC106,chr19,False,61.38
AC044792.1,chr19,False,61.38
ZNF470,chr19,False,61.38
ZNF471,chr19,False,61.38
ZNF582-AS1,chr19,False,61.38
TTYH1,chr19,False,61.38
RNU6-1337P,chr19,False,61.38
RNU6-1307P,chr19,False,61.38
EPN1,chr19,False,61.38
U2AF2,chr19,False,61.38
SBK2,chr19,False,61.38
SBK3,chr19,False,61.38
EDDM13,chr19,False,61.38
AC006115.1,chr19,False,61.38
RN7SL693P,chr19,False,61.38
AC006115.2,chr19,False,61.38
AC024580.2,chr19,False,61.38
DUXA,chr19,False,61.38
KIR3DX1,chr19,False,61.38
MIMT1,chr19,False,61.38
AC004696.1,chr19,False,61.38
AC005498.2,chr19,False,61.38
AC005498.3,chr19,False,61.38
ZNF542P,chr19,False,61.38
ZNF415,chr19,False,61.38
AC008735.2,chr19,False,61.38
AC008735.1,chr19,False,61.38
ZNF71,chr19,False,61.38
TRAPPC2B,chr19,False,61.38
SLC27A5,chr19,False,61.38
ZNF460,chr19,False,61.38
MIR4752,chr19,False,61.38
AC012313.7,chr19,False,61.38
AC012313.8,chr19,False,61.38
OR5AH1P,chr19,False,61.38
SLC25A36P1,chr19,False,61.38
ZNF667-AS1,chr19,False,61.38
ZNF667,chr19,False,61.38
ZNF446,chr19,False,61.38
AURKC,chr19,False,61.38
AC006116.1,chr19,False,61.38
AC006116.4,chr19,False,61.38
AC006116.2,chr19,False,61.38
LILRA4,chr19,False,61.38
LILRP1,chr19,False,61.38
VN1R107P,chr19,False,61.38
VN1R105P,chr19,False,61.38
VN1R104P,chr19,False,61.38
LILRB4,chr19,False,61.38
LILRB2,chr19,False,61.38
SMIM17,chr19,False,61.38
LILRB1-AS1,chr19,False,61.38
LILRB1,chr19,False,61.38
LILRA5,chr19,False,61.38
LILRA2,chr19,False,61.38
LILRP2,chr19,False,61.38
LILRA1,chr19,False,61.38
FIZ1,chr19,False,61.38
VN1R1,chr19,False,61.38
LENG8,chr19,False,61.38
AC004076.1,chr19,False,61.38
AC004076.2,chr19,False,61.38
ZNF548,chr19,False,61.38
ZNF547,chr19,False,61.38
LENG9,chr19,False,61.38
LENG8-AS1,chr19,False,61.38
SIGLEC31P,chr19,False,61.38
USP29,chr19,False,61.38
AC006116.3,chr19,False,61.38
AC006116.9,chr19,False,61.38
AC005498.1,chr19,False,61.38
AC006116.5,chr19,False,61.38
AC006116.6,chr19,False,61.38
ZNF583,chr19,False,61.38
AC006116.7,chr19,False,61.38
AC006116.8,chr19,False,61.38
ZNF582,chr19,False,61.38
ZNF581,chr19,False,61.38
ZNF580,chr19,False,61.38
ZNF579,chr19,False,61.38
MIR8061,chr19,False,61.38
AC025588.1,chr19,False,61.38
LAIR1,chr19,False,61.38
AC003002.1,chr19,False,61.38
AC003002.2,chr19,False,61.38
AC003002.3,chr19,False,61.38
ZNF524,chr19,False,61.38
LAIR2,chr19,False,61.38
AC025588.4,chr19,False,61.38
VN2R17P,chr19,False,61.38
AC025588.3,chr19,False,61.38
AC025588.2,chr19,False,61.38
AC004696.2,chr19,False,61.38
ZNF749,chr19,False,61.38
ZNF772,chr19,False,61.38
AC245884.8,chr19,False,61.38
AC005261.2,chr19,False,61.38
AC005261.3,chr19,False,61.38
CDC42EP5,chr19,False,61.38
AC005261.4,chr19,False,61.38
AC005261.5,chr19,False,61.38
ZNF865,chr19,False,61.38
LINC01864,chr19,False,61.38
AC245884.9,chr19,False,61.38
AC245884.7,chr19,False,61.38
AC005261.1,chr19,False,61.38
AC245884.6,chr19,False,61.38
RN7SKP109,chr19,False,61.38
AC245884.4,chr19,False,61.38
AC245884.3,chr19,False,61.38
AC245884.2,chr19,False,61.38
AC245884.12,chr19,False,61.38
AC245884.11,chr19,False,61.38
AC245884.10,chr19,False,61.38
ZNF324,chr19,False,61.38
ZNF304,chr19,False,61.38
AC245884.1,chr19,False,61.38
NLRP5,chr19,False,61.38
AC010525.2,chr19,False,61.38
NLRP11,chr19,False,61.38
NLRP13,chr19,False,61.38
NLRP4,chr19,False,61.38
ZSCAN5DP,chr19,False,61.38
ZSCAN5C,chr19,False,61.38
ZSCAN5B,chr19,False,61.38
ZSCAN5A,chr19,False,61.38
NLRP8,chr19,False,61.38
RPL7AP69,chr19,False,61.38
ZNF17,chr19,False,61.38
ZNF264,chr19,False,61.38
AC010327.7,chr19,False,61.38
RFPL4A,chr19,False,61.38
GALP,chr19,False,61.38
ZIM3,chr19,False,61.38
ZIM2-AS1,chr19,False,61.38
ZIM2,chr19,False,61.38
ZNF835,chr19,False,61.38
AC245884.5,chr19,False,61.38
ZNF543,chr19,False,61.38
AC245128.2,chr19,False,61.38
AC245036.5,chr19,False,61.38
AC011506.1,chr19,False,61.38
ZNF347,chr19,False,61.38
AC245036.3,chr19,False,61.38
AC004792.1,chr19,False,61.38
AC245052.5,chr19,False,61.38
AC245036.1,chr19,False,61.38
ZNF805,chr19,False,61.38
ZNF787,chr19,False,61.38
AC243962.1,chr19,False,61.38
ZFP28,chr19,False,61.38
ZNF324B,chr19,False,61.38
ZNF784,chr19,False,61.38
AC245036.4,chr19,False,61.38
ZNF160,chr19,False,60.85
RFPL4AP1,chr19,False,60.85
MIR522,chr19,False,60.85
MIR527,chr19,False,60.85
MIR521-2,chr19,False,60.85
ZNF154,chr19,False,60.85
MIR523,chr19,False,60.85
VN1R2,chr19,False,60.85
VN1R4,chr19,False,60.85
MIR521-1,chr19,False,60.85
ZBTB45,chr19,False,60.85
MIR1283-1,chr19,False,60.85
ZNF134,chr19,False,60.85
MIR524,chr19,False,60.85
MIR1283-2,chr19,False,60.85
MIR525,chr19,False,60.85
ZNF211,chr19,False,60.85
PTPRH,chr19,False,60.85
MIR518C,chr19,False,60.85
LENG1,chr19,False,60.85
MIR518B,chr19,False,60.85
MIR526A1,chr19,False,60.85
MIR518A2,chr19,False,60.85
MIR518A1,chr19,False,60.85
MIR517C,chr19,False,60.85
MIR526A2,chr19,False,60.85
ZNF135,chr19,False,60.85
BRSK1,chr19,False,60.85
VN1R6P,chr19,False,60.85
KIR3DL3,chr19,False,60.85
MIR519D,chr19,False,60.85
KMT5C,chr19,False,60.85
MIR519C,chr19,False,60.85
MIR520A,chr19,False,60.85
EPS8L1,chr19,False,60.85
MIR520B,chr19,False,60.85
MIR520C,chr19,False,60.85
MIR520D,chr19,False,60.85
MIR520E,chr19,False,60.85
MIR526B,chr19,False,60.85
MIR520F,chr19,False,60.85
MIR520G,chr19,False,60.85
MIR520H,chr19,False,60.85
MIR518E,chr19,False,60.85
MIR519B,chr19,False,60.85
KIR2DS4,chr19,False,60.85
KIR2DL3,chr19,False,60.85
MIR519A2,chr19,False,60.85
MIR519A1,chr19,False,60.85
ZIK1,chr19,False,60.85
MIR1323,chr19,False,60.85
MIR519E,chr19,False,60.85
COX6B2,chr19,False,60.85
ISOC2,chr19,False,60.85
RDH13,chr19,False,60.85
MIR518F,chr19,False,60.85
VN2R19P,chr19,False,60.85
MIR516B2,chr19,False,60.85
LETM1P2,chr19,False,60.85
TMEM150B,chr19,False,60.85
RNU6-980P,chr19,False,60.85
AC011453.2,chr19,False,60.85
DPRX,chr19,False,60.85
TMEM190,chr19,False,60.85
TMEM238,chr19,False,60.85
AC011476.1,chr19,False,60.85
AC011476.2,chr19,False,60.85
AC011476.3,chr19,False,60.85
AC011476.8,chr19,False,60.85
RNU6-803P,chr19,False,60.85
CACNG6,chr19,False,60.85
CACNG7,chr19,False,60.85
CACNG8,chr19,False,60.85
AC245128.3,chr19,False,60.85
AC011487.2,chr19,False,60.85
AC245128.1,chr19,False,60.85
RNU6-751P,chr19,False,60.85
TMEM86B,chr19,False,60.85
AC245052.2,chr19,False,60.85
AC245052.1,chr19,False,60.85
AC245036.2,chr19,False,60.85
RNU6-698P,chr19,False,60.85
AC008969.2,chr19,False,60.85
AC008969.1,chr19,False,60.85
TNNI3,chr19,False,60.85
TNNT1,chr19,False,60.85
RPS15AP36,chr19,False,60.85
AC011453.1,chr19,False,60.85
SYT5,chr19,False,60.85
TPRG1LP1,chr19,False,60.85
TMC4,chr19,False,60.85
AC010525.1,chr19,False,60.85
AC010522.1,chr19,False,60.85
AC010642.1,chr19,False,60.85
NLRP12,chr19,False,60.85
NLRP2,chr19,False,60.85
AC010642.2,chr19,False,60.85
NLRP7,chr19,False,60.85
NLRP9,chr19,False,60.85
RPL39P36,chr19,False,60.85
AC010327.8,chr19,False,60.85
AC010327.6,chr19,False,60.85
AC010327.5,chr19,False,60.85
AC010327.4,chr19,False,60.85
AC010327.3,chr19,False,60.85
AC010327.2,chr19,False,60.85
AC010327.1,chr19,False,60.85
AC010326.4,chr19,False,60.85
AC010326.3,chr19,False,60.85
AC010326.2,chr19,False,60.85
AC010326.1,chr19,False,60.85
TFPT,chr19,False,60.85
NDUFV2P1,chr19,False,60.85
NDUFA3,chr19,False,60.85
FAM71E2,chr19,False,60.85
NCR1,chr19,False,60.85
LINC02560,chr19,False,60.85
NAT14,chr19,False,60.85
TPM3P9,chr19,False,60.85
AC008753.3,chr19,False,60.85
PRKCG,chr19,False,60.85
FCAR,chr19,False,60.85
C19orf18,chr19,False,60.85
DNAAF3,chr19,False,60.85
UBE2M,chr19,False,60.85
UBE2S,chr19,False,60.85
AC125388.1,chr19,False,60.85
RNU6-1041P,chr19,False,60.85
PPP1R12C,chr19,False,60.85
AC092070.1,chr19,False,60.85
AC092070.2,chr19,False,60.85
AC092070.3,chr19,False,60.85
AC092070.4,chr19,False,60.85
MIR517A,chr19,False,60.85
ERVK3-1,chr19,False,60.85
MIR935,chr19,False,60.85
MIR7975,chr19,False,60.85
AC016629.3,chr19,False,60.85
HSPBP1,chr19,False,60.85
PPP6R1,chr19,False,60.85
PRAMEF2,chr1,False,60.85
SHISA7,chr19,False,60.85
MIR6807,chr19,False,60.85
MBOAT7,chr19,False,60.85
MIR6805,chr19,False,60.85
MIR6804,chr19,False,60.85
MIR6803,chr19,False,60.85
MIR6802,chr19,False,60.85
FKBP1AP1,chr19,False,60.85
BIRC8,chr19,False,60.85
SSC5D,chr19,False,60.85
AC008753.2,chr19,False,60.85
C19orf85,chr19,False,60.85
AC008753.1,chr19,False,60.85
AC008751.3,chr19,False,60.85
AC008751.2,chr19,False,60.85
AC008751.1,chr19,False,60.85
AC008749.1,chr19,False,60.85
FAM90A27P,chr19,False,60.85
AC008735.5,chr19,False,60.85
AC008735.4,chr19,False,60.85
AC008735.3,chr19,False,60.85
