Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr4,False,80.46
CDKN2B-AS1,chr9,False,50.57
AL449423.1,chr9,False,50.57
UBA52P6,chr9,False,49.43
CDKN2B,chr9,True,49.43
CDKN2A-DT,chr9,False,48.28
CDKN2A,chr9,True,48.28
Metazoa_SRP,chr4,False,48.28
ERVFRD-3,chr9,False,45.98
U6,chr4,False,43.68
SNORA70,chr9,False,42.53
LCE3C,chr1,False,42.53
AL359922.3,chr9,False,42.53
AL354709.1,chr9,False,42.53
AL359922.2,chr9,False,40.23
U8,chr15,False,40.23
AL157937.1,chr9,False,37.93
TUBB8P1,chr9,False,37.93
AL354709.2,chr9,False,37.93
KRTAP9-11P,chr17,False,37.93
OR52N1,chr11,False,37.93
U3,chr3,False,37.93
OR52N5,chr11,False,36.78
SNORD39,chr9,False,34.48
DMRTA1,chr9,False,34.48
Z82202.2,chr22,False,34.48
U62317.1,chr22,False,33.33
KLHDC7B-DT,chr22,False,33.33
CHKB-DT,chr22,False,33.33
Z97192.2,chr22,False,33.33
Z98885.1,chr22,False,33.33
MIOX,chr22,False,33.33
Z98885.2,chr22,False,33.33
Z98885.3,chr22,False,33.33
SYCE3,chr22,False,33.33
Z97192.1,chr22,False,33.33
SHANK3,chr22,False,33.33
KLHDC7B,chr22,False,33.33
RPL5P35,chr22,False,33.33
Z97192.3,chr22,False,33.33
NCAPH2,chr22,False,33.33
AL031593.1,chr22,False,33.33
PPP6R2,chr22,False,33.33
LINC01239,chr9,False,33.33
U62317.3,chr22,False,33.33
U62317.2,chr22,False,33.33
MOV10L1,chr22,False,33.33
PANX2,chr22,False,33.33
LINC01310,chr22,False,33.33
Z97192.4,chr22,False,33.33
AL034546.1,chr22,False,33.33
DENND6B,chr22,False,33.33
CHKB-CPT1B,chr22,False,33.33
CHKB,chr22,False,33.33
IL17REL,chr22,False,33.33
AL023802.1,chr22,False,33.33
C22orf34,chr22,False,33.33
AL078622.1,chr22,False,33.33
MTAP,chr9,True,33.33
ARSA,chr22,False,33.33
AL022328.4,chr22,False,33.33
BRD1,chr22,False,33.33
AL022328.3,chr22,False,33.33
AL022328.2,chr22,False,33.33
AL022328.1,chr22,False,33.33
AC207130.1,chr22,False,33.33
KHSRPP1,chr9,False,33.33
AC000050.2,chr22,False,33.33
RNU6-409P,chr22,False,33.33
AC000036.1,chr22,False,33.33
MIR6821,chr22,False,33.33
AC002056.2,chr22,False,33.33
TYMP,chr22,False,33.33
AL359922.1,chr9,False,33.33
PLXNB2,chr22,False,33.33
CR559946.2,chr22,False,33.33
AL117328.1,chr22,False,33.33
SELENOO,chr22,False,33.33
AL117328.2,chr22,False,33.33
AL671710.1,chr22,False,33.33
BX539320.1,chr22,False,33.33
CRELD2,chr22,False,33.33
SCO2,chr22,False,33.33
RN7SL151P,chr9,False,33.33
TTLL8,chr22,False,33.33
HDAC10,chr22,False,33.33
ACR,chr22,False,33.33
MLC1,chr22,False,33.33
Z82202.1,chr22,False,33.33
MIR3667,chr22,False,33.33
LMF2,chr22,False,33.33
ALG12,chr22,False,33.33
TUBGCP6,chr22,False,33.33
AL008636.1,chr22,False,33.33
PIM3,chr22,False,33.33
MAPK12,chr22,False,33.33
CR559946.1,chr22,False,33.33
RN7SKP252,chr22,False,33.33
ADM2,chr22,False,33.33
ZBED4,chr22,False,33.33
TRABD,chr22,False,33.33
H3P30,chr9,False,33.33
CPT1B,chr22,False,33.33
SBF1,chr22,False,33.33
MAPK11,chr22,False,33.33
