Gene,chromosome,IsJCGA,AmplificationPercentage
KRTAP9-11P,chr17,False,47.79
Y_RNA,chr17,False,45.13
AC000032.1,chr1,False,44.25
ADAM3A,chr8,False,40.71
AC123767.1,chr8,False,39.82
AL049634.3,chr20,False,37.17
AC147055.4,chr4,False,34.51
AC147055.2,chr4,False,34.51
UGT2B17,chr4,False,34.51
HLA-DRB6,chr6,False,30.97
RNU1-61P,chr6,False,30.97
UGT2B29P,chr4,False,30.09
HLA-DRB5,chr6,False,30.09
AC140125.1,chr5,False,30.09
HLA-DRB1,chr6,False,28.32
OR4H12P,chr14,False,26.55
OR4N1P,chr14,False,26.55
OR4M1,chr14,False,26.55
OR4K6P,chr14,False,26.55
NOS2P2,chr17,False,26.55
OR4K5,chr14,False,26.55
OR4K1,chr14,False,26.55
OR4K2,chr14,False,26.55
OR4K3,chr14,False,26.55
OR4Q3,chr14,False,26.55
OR4K4P,chr14,False,26.55
AL391156.1,chr14,False,26.55
LGALS9C,chr17,False,26.55
TNPO1P2,chr17,False,25.66
TAS2R64P,chr12,False,24.78
USP32P2,chr17,False,24.78
OR11K2P,chr14,False,24.78
FAM106A,chr17,False,24.78
AC092821.2,chr12,False,24.78
BTNL3,chr5,False,23.89
AC091874.1,chr5,False,23.89
SRP68P2,chr17,False,23.89
ARPP19P1,chr5,False,23.89
AC091874.2,chr5,False,23.89
OR7E84P,chr4,False,23.89
CCDC144B,chr17,False,23.89
OR52N1,chr11,False,23.01
Metazoa_SRP,chr15,False,22.12
OR52N5,chr11,False,22.12
AC026740.2,chr5,False,21.24
BRD9P2,chr5,False,21.24
AL935212.3,chr9,False,21.24
FAM242D,chr9,False,20.35
CFHR3,chr1,False,20.35
AC005225.2,chr14,False,20.35
AL512310.10,chr14,False,19.47
IGHV3-30-2,chr14,False,19.47
IGHVII-30-1,chr14,False,19.47
AL512310.4,chr14,False,19.47
AL512310.8,chr14,False,19.47
NF1P11,chr14,False,18.58
AL512310.6,chr14,False,18.58
ALG1L2,chr3,False,18.58
NF1P4,chr14,False,18.58
AC134980.1,chr15,False,18.58
AL512624.1,chr14,False,18.58
OR11H2,chr14,False,18.58
MED15P6,chr14,False,18.58
AL512310.5,chr14,False,18.58
OR11J6P,chr15,False,18.58
AL512310.3,chr14,False,18.58
AL512310.11,chr14,False,18.58
AL512310.1,chr14,False,18.58
