Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr9,False,75.62
Metazoa_SRP,chr17,False,43.18
LCE3C,chr1,False,37.6
AC092821.2,chr12,False,35.74
SNORA70,chr6,False,31.2
U8,chr6,False,30.99
U6,chr20,False,30.79
KRTAP9-11P,chr17,False,27.69
AC000032.1,chr1,False,27.27
U3,chr6,False,26.86
LGALS9C,chr17,False,25.0
ADAM3A,chr8,False,24.79
NOS2P2,chr17,False,24.79
TNPO1P2,chr17,False,24.79
AC123767.1,chr8,False,23.76
HCP5B,chr6,False,23.76
IGHD4OR15-4B,chr15,False,23.55
IGHD3OR15-3B,chr15,False,23.55
OR52N1,chr11,False,23.55
IGHD2OR15-2B,chr15,False,23.55
IGHD5OR15-5B,chr15,False,23.55
IGHD1OR15-1B,chr15,False,23.55
AC037471.1,chr15,False,23.35
FAM30C,chr15,False,23.35
OR52N5,chr11,False,23.14
AL049634.3,chr20,False,22.52
FAM242D,chr9,False,22.31
AC025884.1,chr15,False,22.31
AL935212.3,chr9,False,22.11
SRP68P2,chr17,False,21.9
AC025884.2,chr15,False,21.9
FAM106A,chr17,False,21.69
USP32P2,chr17,False,21.69
CCDC144B,chr17,False,21.69
RHD,chr1,False,21.69
SDHDP6,chr1,False,21.69
AC023310.2,chr15,False,20.87
AC023310.4,chr15,False,20.87
AC131280.1,chr15,False,20.87
IGHV1OR15-6,chr15,False,20.87
BMS1P16,chr15,False,20.66
AC023310.3,chr15,False,20.66
RN7SL759P,chr15,False,20.66
SPATA31E2P,chr15,False,20.66
NBEAP1,chr15,False,20.66
AC126335.2,chr15,False,20.66
RN7SL400P,chr15,False,20.66
NBEAP4,chr15,False,20.66
GOLGA8CP,chr15,False,20.66
AC126335.1,chr15,False,20.66
LONRF2P3,chr15,False,20.45
RNU6-498P,chr15,False,20.45
AC012414.5,chr15,False,20.45
GRAMD4P5,chr15,False,20.45
AC012414.4,chr15,False,20.45
AC012414.3,chr15,False,20.45
BCAR1P2,chr15,False,20.45
SIGLEC14,chr19,False,20.45
AC012414.2,chr15,False,20.45
AC037471.2,chr15,False,20.45
RNU6-749P,chr15,False,20.45
OR11J2P,chr15,False,20.45
OR11J5P,chr15,False,20.45
AC012414.1,chr15,False,20.45
AC012414.6,chr15,False,20.45
LINC01193,chr15,False,20.45
MIR3118-2,chr15,False,20.45
MIR5701-1,chr15,False,20.45
NF1P1,chr15,False,20.45
POTEB2,chr15,False,20.45
ZNF519P2,chr15,False,20.45
AC087203.1,chr8,False,20.25
FAM66A,chr8,False,20.25
AC023310.1,chr15,False,20.25
LCE3B,chr1,False,20.04
GOLGA6L6,chr15,False,20.04
IGHVII-40-1,chr14,False,20.04
CXADRP2,chr15,False,19.83
AC060814.1,chr15,False,19.83
IGHV3-41,chr14,False,19.83
CHEK2P2,chr15,False,19.83
AC060814.2,chr15,False,19.83
