Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr9,False,58.96
LCE3C,chr1,False,38.05
AC092821.2,chr12,False,32.07
KRTAP9-11P,chr17,False,30.08
OR52N1,chr11,False,29.08
OR52N5,chr11,False,28.49
AC000032.1,chr1,False,28.29
HCP5B,chr6,False,25.5
Metazoa_SRP,chr8,False,24.1
RNVU1-17,chr1,False,21.91
NBPF17P,chr1,False,21.91
PFN1P12,chr1,False,21.91
RNU1-114P,chr1,False,21.91
SIGLEC14,chr19,False,21.71
OR2T10,chr1,False,21.31
AC098483.2,chr1,False,21.31
OR2T11,chr1,False,21.31
AC018755.4,chr19,False,21.12
TNPO1P2,chr17,False,20.92
HLA-K,chr6,False,20.92
HCG4B,chr6,False,20.92
AL049634.3,chr20,False,20.72
NOS2P2,chr17,False,20.72
LGALS9C,chr17,False,20.52
DDX39BP1,chr6,False,20.12
LCE3B,chr1,False,20.12
CEACAMP10,chr19,False,19.72
PSG9,chr19,False,19.72
CCDC144B,chr17,False,19.72
FAM106A,chr17,False,19.52
USP32P2,chr17,False,19.52
SRP68P2,chr17,False,19.32
U6,chr15,False,19.32
RNVU1-23,chr1,False,19.12
RNVU1-18,chr1,False,19.12
AC239800.1,chr1,False,19.12
AC239800.2,chr1,False,19.12
AL935212.3,chr9,False,18.53
SDHDP6,chr1,False,18.53
RHD,chr1,False,18.53
AC147055.4,chr4,False,18.33
AC147055.2,chr4,False,18.33
AC114786.3,chr4,False,18.33
UGT2B17,chr4,False,18.33
FAM242D,chr9,False,18.13
AC114786.2,chr4,False,18.13
FSCN1P1,chr15,False,17.93
IGHD1OR15-1B,chr15,False,17.93
IGHD2OR15-2B,chr15,False,17.93
IGHD4OR15-4B,chr15,False,17.93
IGHD5OR15-5B,chr15,False,17.93
IGHD3OR15-3B,chr15,False,17.93
HNRNPLP2,chr15,False,17.93
AC037471.1,chr15,False,17.73
MCCD1P1,chr6,False,17.73
FAM30C,chr15,False,17.73
HOMER2P1,chr14,False,17.53
LINC02591,chr1,False,17.53
RNU1-143P,chr1,False,17.53
FAM91A3P,chr1,False,17.53
AC239800.3,chr1,False,17.53
UGT2B28,chr4,False,17.53
OR4C6,chr11,False,17.53
OR4S2,chr11,False,17.33
CFHR3,chr1,False,17.33
OR4P4,chr11,False,17.13
IGHV3-41,chr14,False,16.93
IGHVII-40-1,chr14,False,16.93
AC025884.2,chr15,False,16.73
AC244452.1,chr14,False,16.73
TAS2R64P,chr12,False,16.53
BCAR1P2,chr15,False,16.53
AC025884.1,chr15,False,16.33
UGT2B29P,chr4,False,16.14
U8,chr15,False,15.94
AC091874.2,chr5,False,15.94
AC091874.1,chr5,False,15.94
AC239798.1,chr1,False,15.94
OR7E84P,chr4,False,15.74
CFHR1,chr1,False,15.54
GPR42,chr19,False,15.54
DNM1P5,chr15,False,15.34
H2BP2,chr1,False,15.34
FCGR1CP,chr1,False,15.34
AC239798.2,chr1,False,15.34
AC002525.1,chr13,False,15.34
ARPP19P1,chr5,False,15.14
OR4V1P,chr11,False,15.14
ADAM3A,chr8,False,15.14
RNU6-17P,chr15,False,14.94
AC126335.1,chr15,False,14.74
BMS1P16,chr15,False,14.74
RN7SL400P,chr15,False,14.74
AC123767.1,chr8,False,14.74
AC126335.2,chr15,False,14.74
NBEAP4,chr15,False,14.74
H3-2,chr1,False,14.54
AC246680.1,chr1,False,14.54
ALG1L2,chr3,False,14.54
HLA-DQA1,chr6,False,14.54
AC012414.4,chr15,False,14.34
NF1P1,chr15,False,14.34
AC010760.1,chr15,False,14.34
OR4Q1P,chr15,False,14.34
AC012414.6,chr15,False,14.34
OR4H6P,chr15,False,14.34
GRAMD4P5,chr15,False,14.34
MIR5701-1,chr15,False,14.34
AC012414.5,chr15,False,14.34
AC012414.2,chr15,False,14.34
AC012414.3,chr15,False,14.34
IGHV4OR15-8,chr15,False,14.34
ZNF519P2,chr15,False,14.34
OR11K1P,chr15,False,14.34
LINC01193,chr15,False,14.34
OR11J5P,chr15,False,14.34
OR11J2P,chr15,False,14.34
OR11H3P,chr15,False,14.34
IGHVII-30-1,chr14,False,14.34
