Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr11,False,84.79
Metazoa_SRP,chr11,False,65.52
SNORA70,chr6,False,52.39
U6,chr11,False,52.15
U8,chr11,False,44.17
U3,chr8,False,41.47
SNORA62,chr8,False,41.47
LCE3C,chr1,False,32.52
AC092821.2,chr12,False,30.55
AC136777.1,chr8,False,30.06
DEFB108C,chr8,False,29.94
FAM87A,chr8,False,29.82
AC004908.3,chr8,False,29.82
AC004908.1,chr8,False,29.82
ZNF596,chr8,False,29.69
AC004908.2,chr8,False,29.69
AC000032.1,chr1,False,29.69
AC136777.2,chr8,False,29.57
FBXO25,chr8,False,29.57
AC026950.2,chr8,False,29.45
AC083964.1,chr8,False,29.45
RNA5SP251,chr8,False,29.45
AC100797.1,chr8,False,29.33
AC100797.4,chr8,False,29.33
TDRP,chr8,False,29.33
AC083964.2,chr8,False,29.33
DLGAP2,chr8,False,29.33
AC026991.1,chr8,False,29.08
RPL23AP53,chr8,False,29.08
ERICH1,chr8,False,29.08
AC129915.3,chr8,False,29.08
AC026991.2,chr8,False,28.96
AC245123.1,chr8,False,28.96
AC100810.3,chr8,False,28.83
AC100810.2,chr8,False,28.83
AC100810.1,chr8,False,28.83
AC100810.6,chr8,False,28.83
MIR3674,chr8,False,28.83
AC100810.7,chr8,False,28.83
AC019257.9,chr8,False,28.83
AC246817.2,chr8,False,28.83
AC019257.8,chr8,False,28.83
AC019257.2,chr8,False,28.83
AC019257.1,chr8,False,28.83
KBTBD11-OT1,chr8,False,28.83
KBTBD11,chr8,False,28.83
DEFA1,chr8,False,28.83
CLN8,chr8,False,28.83
ARHGEF10,chr8,False,28.83
MIR596,chr8,False,28.83
AF067845.4,chr8,False,28.71
AC246817.1,chr8,False,28.71
AC023296.1,chr8,False,28.71
CSMD1,chr8,False,28.71
AC027251.1,chr8,False,28.71
AC110288.1,chr8,False,28.71
DEFA1B,chr8,False,28.71
DEFT1P,chr8,False,28.71
AF067845.1,chr8,False,28.71
AF067845.5,chr8,False,28.71
AC115485.1,chr8,False,28.59
MIR7160,chr8,False,28.59
AC245164.1,chr8,False,28.59
DLGAP2-AS1,chr8,False,28.59
AC245187.1,chr8,False,28.59
MYOM2,chr8,False,28.59
AC245187.2,chr8,False,28.59
AC245519.1,chr8,False,28.59
AC245519.2,chr8,False,28.59
DEFA3,chr8,False,28.47
LINC00681,chr8,False,28.47
LINC00208,chr8,False,28.47
AC245164.2,chr8,False,28.47
DEFT1P2,chr8,False,28.47
PAICSP4,chr8,False,28.47
AC010941.1,chr8,False,28.47
AC022068.1,chr8,False,28.34
NEIL2,chr8,False,28.34
AF067845.2,chr8,False,28.34
AC007718.1,chr8,False,28.34
C8orf49,chr8,False,28.34
RN7SL318P,chr8,False,28.22
AC022239.2,chr8,False,28.22
SUB1P1,chr8,False,28.22
DEFB1,chr8,False,28.22
XKR5,chr8,False,28.22
GS1-24F4.2,chr8,False,28.22
AC019176.2,chr8,False,28.22
RPL23AP96,chr8,False,28.22
AC019176.1,chr8,False,28.22
GATA4,chr8,True,28.22
AF233439.2,chr8,False,28.1
AC087369.1,chr8,False,28.1
CTSB,chr8,False,28.1
AGPAT5,chr8,False,28.1
EGR3,chr8,False,28.1
AC084768.1,chr8,False,28.1
DEFA4,chr8,False,28.1
DEFA8P,chr8,False,28.1
RN7SKP159,chr8,False,28.1
OR7E161P,chr8,False,28.1
AC022239.1,chr8,False,28.1
AC105046.1,chr8,False,28.1
AC069185.1,chr8,False,28.1
AC009435.1,chr8,False,28.1
AC107959.2,chr8,False,28.1
AC107959.3,chr8,False,28.1
AC107959.4,chr8,False,28.1
AC107959.5,chr8,False,28.1
AC105046.2,chr8,False,28.1
TNFRSF10C,chr8,False,28.1
FDFT1,chr8,False,28.1
AC055854.1,chr8,False,28.1
AC018398.2,chr8,False,27.98
AF131216.5,chr8,False,27.98
PEBP4,chr8,False,27.98
AF233439.1,chr8,False,27.98
AC091193.1,chr8,False,27.98
AC037459.1,chr8,False,27.98
AF287957.1,chr8,False,27.98
CCAR2,chr8,False,27.98
RPL23AP54,chr8,False,27.98
AC087369.2,chr8,False,27.98
DEFA5,chr8,False,27.98
BIN3,chr8,False,27.98
TNFRSF10D,chr8,False,27.98
MIR4659B,chr8,False,27.98
MIR4659A,chr8,False,27.98
AC004944.1,chr8,False,27.98
MCPH1-AS1,chr8,False,27.98
TNFRSF10A-AS1,chr8,False,27.98
TNFRSF10A,chr8,False,27.98
BLK,chr8,False,27.98
PDLIM2,chr8,False,27.98
DEFA6,chr8,False,27.98
MIR8055,chr8,False,27.98
C8orf58,chr8,False,27.98
AC084768.2,chr8,False,27.98
DEFA7P,chr8,False,27.98
DEFA9P,chr8,False,27.98
SOX7,chr8,False,27.85
RP1L1,chr8,False,27.85
AC105001.1,chr8,False,27.85
TNFRSF10B,chr8,False,27.85
AF131215.2,chr8,False,27.85
AF131215.1,chr8,False,27.85
AC037459.4,chr8,False,27.85
AC037459.3,chr8,False,27.85
ANGPT2,chr8,False,27.85
SORBS3,chr8,False,27.85
AC021355.1,chr8,False,27.85
RPL23AP55,chr8,False,27.85
AC105001.2,chr8,False,27.85
AC037459.2,chr8,False,27.85
AC107918.5,chr8,False,27.85
FAM167A,chr8,False,27.85
RNA5SP252,chr8,False,27.85
DEFA10P,chr8,False,27.85
DEFA11P,chr8,False,27.85
OR7E158P,chr8,False,27.85
AC016065.2,chr8,False,27.85
AC079054.1,chr8,False,27.85
AF131215.4,chr8,False,27.73
PRSS51,chr8,False,27.73
AC018541.1,chr8,False,27.73
C8orf74,chr8,False,27.73
AF131215.3,chr8,False,27.73
AF131215.6,chr8,False,27.73
AF131215.5,chr8,False,27.73
PRSS55,chr8,False,27.73
AF131215.7,chr8,False,27.73
AF131216.2,chr8,False,27.73
AF131216.4,chr8,False,27.73
RN7SL303P,chr8,False,27.73
PRSS52P,chr8,False,27.73
MIR4286,chr8,False,27.73
PPP3CC,chr8,False,27.73
RNU6-729P,chr8,False,27.73
MIR598,chr8,False,27.73
CHMP7,chr8,False,27.73
AC025857.1,chr8,False,27.73
AC107959.1,chr8,False,27.73
BTF3P3,chr8,False,27.73
R3HCC1,chr8,False,27.73
LINC00529,chr8,False,27.73
MIR1322,chr8,False,27.73
RNU6-1084P,chr8,False,27.73
AC100861.1,chr8,False,27.73
AC100861.2,chr8,False,27.73
RPL19P13,chr8,False,27.73
RN7SL293P,chr8,False,27.73
AC087854.1,chr8,False,27.73
AC104964.3,chr8,False,27.73
MTMR9,chr8,False,27.73
AC037441.2,chr8,False,27.73
AC037441.1,chr8,False,27.73
RNU6-336P,chr8,False,27.73
LINCR-0001,chr8,False,27.73
AC104964.1,chr8,False,27.73
PINX1,chr8,False,27.73
RHOBTB2,chr8,False,27.73
AC021613.3,chr8,False,27.73
FAM167A-AS1,chr8,False,27.73
AC087269.1,chr8,False,27.61
RPL10P19,chr8,False,27.61
DMTN,chr8,False,27.61
MCPH1,chr8,False,27.61
PRAG1,chr8,False,27.61
AC022559.1,chr8,False,27.61
AC104964.2,chr8,False,27.61
PIWIL2,chr8,False,27.61
AC105206.2,chr8,False,27.61
AC090197.1,chr8,False,27.61
AC016065.1,chr8,False,27.61
ENTPD4,chr8,False,27.61
LINC02153,chr8,False,27.61
AC107918.6,chr8,False,27.61
FGF17,chr8,False,27.61
POLR3D,chr8,False,27.61
AC011008.2,chr8,False,27.61
TMEM97P2,chr8,False,27.61
RNU4-71P,chr8,False,27.61
DEFB136,chr8,False,27.61
XKR6,chr8,False,27.61
AF131216.3,chr8,False,27.61
AF131216.1,chr8,False,27.61
AC015468.1,chr8,False,27.61
NKX3-1,chr8,False,27.61
LOXL2,chr8,False,27.61
AC104561.3,chr8,False,27.61
AC104561.1,chr8,False,27.61
SINHCAFP3,chr8,False,27.61
AC021613.2,chr8,False,27.61
AC021613.1,chr8,False,27.61
AC015468.2,chr8,False,27.61
FAM160B2,chr8,False,27.61
MIR320A,chr8,False,27.61
AC015468.3,chr8,False,27.61
SLC35G5,chr8,False,27.61
TDH,chr8,False,27.61
AC011008.1,chr8,False,27.48
BMP1,chr8,False,27.48
AC114550.1,chr8,False,27.48
RN7SL178P,chr8,False,27.48
AC103957.2,chr8,False,27.48
AC114550.2,chr8,False,27.48
AC103957.1,chr8,False,27.48
NUDT18,chr8,False,27.48
AC114550.3,chr8,False,27.48
AC103719.1,chr8,False,27.48
AC022880.1,chr8,False,27.48
SLC39A14,chr8,False,27.48
HR,chr8,False,27.48
AC022784.3,chr8,False,27.48
AC022784.4,chr8,False,27.48
SLC25A37,chr8,False,27.48
MFHAS1,chr8,False,27.48
NPM2,chr8,False,27.48
REEP4,chr8,False,27.48
NKX2-6,chr8,False,27.48
AC104561.4,chr8,False,27.48
AC104561.2,chr8,False,27.48
RNU6-526P,chr8,False,27.48
AC105206.3,chr8,False,27.48
AC012574.2,chr8,False,27.48
AC012574.1,chr8,False,27.48
AC105910.1,chr8,False,27.48
AC021242.1,chr8,False,27.48
AC100802.1,chr8,False,27.48
DEFB135,chr8,False,27.48
SFTPC,chr8,False,27.48
PHYHIP,chr8,False,27.48
ERI1,chr8,False,27.48
AC105206.1,chr8,False,27.48
AC087269.2,chr8,False,27.48
LGI3,chr8,False,27.48
RNU6-682P,chr8,False,27.36
AC087269.3,chr8,False,27.36
AC103834.1,chr8,False,27.36
AC021736.1,chr8,False,27.36
RNU6-1151P,chr8,False,27.36
XPO7,chr8,False,27.36
CLDN23,chr8,False,27.36
AC087763.1,chr8,False,27.36
RNU6-892P,chr8,False,27.36
AC021242.2,chr8,False,27.36
AC112673.1,chr8,False,27.36
RPL30P9,chr8,False,27.36
ATP6V1B2,chr8,False,27.36
MIR597,chr8,False,27.36
SLC18A1,chr8,False,27.36
GFRA2,chr8,False,27.36
LZTS1-AS1,chr8,False,27.36
LZTS1,chr8,False,27.36
RNA5SP257,chr8,False,27.24
AC023403.1,chr8,False,27.24
TNKS,chr8,False,27.24
DOK2,chr8,False,27.24
AC079200.1,chr8,False,27.24
RNU7-55P,chr8,False,27.24
AC021242.3,chr8,False,27.24
MIR4660,chr8,False,27.24
USP17L7,chr8,False,27.24
AC022784.2,chr8,False,27.12
AC034111.2,chr8,False,27.12
AC022784.5,chr8,False,27.12
AC012119.2,chr8,False,27.12
AC012119.1,chr8,False,27.12
AC022784.6,chr8,False,27.12
PPP1R3B,chr8,False,27.12
AC022784.1,chr8,False,27.12
LGALS9C,chr17,False,27.12
MIR124-1,chr8,False,27.12
STC1,chr8,False,27.12
MIR124-1HG,chr8,False,27.12
DEFB109B,chr8,False,26.99
FAM66B,chr8,False,26.99
OR6R2P,chr8,False,26.99
MIR6876,chr8,False,26.99
KCTD9,chr8,False,26.99
MSRA,chr8,False,26.99
TNPO1P2,chr17,False,26.99
AC034111.1,chr8,False,26.99
INTS10,chr8,False,26.99
AC091185.1,chr8,False,26.99
CDCA2,chr8,False,26.99
NOS2P2,chr17,False,26.99
LPL,chr8,False,26.99
GNRH1,chr8,False,26.99
AC023385.1,chr8,False,26.87
EBF2,chr8,False,26.87
AC009623.1,chr8,False,26.87
AC090103.1,chr8,False,26.87
RNA5SP258,chr8,False,26.87
AC009623.3,chr8,False,26.87
AC009623.2,chr8,False,26.87
AC123777.1,chr8,False,26.75
AC023202.1,chr8,False,26.75
AC090541.1,chr8,False,26.75
MSR1,chr8,False,26.75
AC022880.2,chr8,False,26.75
AC019270.1,chr8,False,26.75
AC084838.1,chr8,False,26.75
AC091185.2,chr8,False,26.75
RNU1-148P,chr8,False,26.75
SGCZ,chr8,False,26.63
DLC1,chr8,False,26.63
CSGALNACT1,chr8,False,26.63
PPP2R2A,chr8,True,26.63
ADAMDEC1,chr8,False,26.63
ADAM7,chr8,False,26.63
AC068880.4,chr8,False,26.63
RNU6-842P,chr8,False,26.63
MTND4P7,chr8,False,26.63
AC106845.1,chr8,False,26.63
TRMT9B,chr8,False,26.63
AC073581.1,chr8,False,26.63
MIR383,chr8,False,26.63
AC022832.2,chr8,False,26.63
PSME2P5,chr8,False,26.63
AC103851.1,chr8,False,26.63
AC024958.1,chr8,False,26.5
NEFM,chr8,False,26.5
AC067904.3,chr8,False,26.5
AC107373.1,chr8,False,26.5
AC107373.2,chr8,False,26.5
PNMA2,chr8,False,26.5
AC107373.3,chr8,False,26.5
AC040926.1,chr8,False,26.5
AC067904.1,chr8,False,26.5
FAM66A,chr8,False,26.5
NEFL,chr8,False,26.5
AC011726.2,chr8,False,26.5
AC041005.1,chr8,False,26.5
AF106564.1,chr8,False,26.5
AC011726.1,chr8,False,26.5
AC090150.2,chr8,False,26.5
AC135352.1,chr8,False,26.5
AC087203.1,chr8,False,26.5
AC091675.1,chr8,False,26.5
DPYSL2,chr8,False,26.5
DNAJB6P2,chr8,False,26.5
COX6B1P4,chr8,False,26.5
ADRA1A,chr8,False,26.5
MIR6841,chr8,False,26.5
ADAM28,chr8,False,26.5
AC079097.1,chr8,False,26.5
AC120193.1,chr8,False,26.5
AC068880.2,chr8,False,26.5
SH2D4A,chr8,False,26.5
DOCK5,chr8,False,26.5
ALG1L13P,chr8,False,26.38
DEFB134,chr8,False,26.38
RNA5SP255,chr8,False,26.38
AC018437.3,chr8,False,26.38
AC022832.1,chr8,False,26.38
AC100849.1,chr8,False,26.38
TUSC3,chr8,False,26.38
TRIM35,chr8,False,26.38
STMN4,chr8,False,26.38
AC087821.2,chr8,False,26.38
SDAD1P1,chr8,False,26.38
AC068880.3,chr8,False,26.38
AC087821.1,chr8,False,26.38
AC090150.1,chr8,False,26.38
AC067904.2,chr8,False,26.38
USP17L2,chr8,False,26.38
MIR548H4,chr8,False,26.38
AC068880.5,chr8,False,26.38
BNIP3L,chr8,False,26.38
AC009884.1,chr8,False,26.38
AC068880.1,chr8,False,26.38
PPM1AP1,chr8,False,26.38
AC130360.1,chr8,False,26.26
EIF4EP5,chr8,False,26.26
AC107918.3,chr8,False,26.26
CCT3P1,chr8,False,26.26
AC022690.2,chr8,False,26.26
RPL35P6,chr8,False,26.26
PSD3,chr8,False,26.26
USP17L4,chr8,False,26.26
AC025062.1,chr8,False,26.26
AC009884.2,chr8,False,26.26
PTK2B,chr8,False,26.26
ZNF705G,chr8,False,26.26
NATP,chr8,False,26.26
C8orf48,chr8,False,26.26
DEFB103B,chr8,False,26.26
RNU7-153P,chr8,False,26.26
AC100850.1,chr8,False,26.26
AC100849.2,chr8,False,26.26
MIR3926-2,chr8,False,26.13
MIR5692A2,chr8,False,26.13
MIR3926-1,chr8,False,26.13
MTND4LP26,chr8,False,26.13
RNU6-397P,chr8,False,26.13
NAT2,chr8,True,26.13
LONRF1,chr8,False,26.13
AC018437.1,chr8,False,26.13
AC025062.2,chr8,False,26.13
LCE3B,chr1,False,26.13
AC022039.1,chr8,False,26.13
AC100800.1,chr8,False,26.13
AC022690.1,chr8,False,26.13
AC025062.3,chr8,False,26.13
AF238378.1,chr8,False,26.13
SNORD39,chr11,False,26.13
MRPL49P2,chr8,False,26.13
AC018437.2,chr8,False,26.13
AC069113.2,chr8,False,26.01
HSPD1P3,chr8,False,26.01
AC023538.1,chr8,False,26.01
AC069113.3,chr8,False,26.01
DEFB4B,chr8,False,26.01
AC069113.1,chr8,False,26.01
AC079193.2,chr8,False,26.01
CLU,chr8,False,25.89
AF228730.2,chr8,False,25.89
NAT1,chr8,False,25.89
HMBOX1,chr8,False,25.89
SCARA5,chr8,False,25.89
HMBOX1-IT1,chr8,False,25.89
ASAH1,chr8,False,25.89
AC079193.1,chr8,False,25.89
AC108449.2,chr8,False,25.89
MIR6843,chr8,False,25.89
ZDHHC2,chr8,False,25.89
USP17L1,chr8,False,25.89
RNA5SP260,chr8,False,25.89
CHRNA2,chr8,False,25.89
SCARA3,chr8,False,25.89
MIR4287,chr8,False,25.89
GULOP,chr8,False,25.89
RPS3AP30,chr8,False,25.89
AC040975.1,chr8,False,25.77
AC124242.3,chr8,False,25.77
AC124242.2,chr8,False,25.77
AP006248.5,chr8,False,25.77
VPS37A,chr8,False,25.77
CCDC25,chr8,False,25.77
PCM1,chr8,False,25.77
AC011586.2,chr8,False,25.77
MIR6842,chr8,False,25.77
