Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr10,False,77.61
Metazoa_SRP,chr10,False,43.28
U8,chr11,False,38.81
LCE3C,chr1,False,37.31
U6,chr11,False,35.07
OR4S2,chr11,False,33.58
OR4C6,chr11,False,33.58
OR4P4,chr11,False,32.84
AC092821.2,chr12,False,32.09
AC091874.2,chr5,False,29.85
AC091874.1,chr5,False,29.85
LINC02714,chr11,False,29.85
AP003062.2,chr11,False,29.1
LINC02717,chr11,False,29.1
OR52N1,chr11,False,29.1
LINC02697,chr11,False,29.1
LINC02684,chr11,False,29.1
AP003062.1,chr11,False,29.1
AP001999.1,chr11,False,28.36
LINC02706,chr11,False,28.36
AP004550.1,chr11,False,28.36
AP001999.3,chr11,False,28.36
AP001999.2,chr11,False,28.36
OR52N5,chr11,False,27.61
ARPP19P1,chr5,False,27.61
B3GAT1,chr11,False,27.61
B3GAT1-DT,chr11,False,27.61
AL049634.3,chr20,False,26.87
AC000032.1,chr1,False,26.87
BTNL3,chr5,False,26.87
OR4V1P,chr11,False,26.12
AL935212.3,chr9,False,26.12
FAM242D,chr9,False,25.37
AC114786.3,chr4,False,25.37
LINC02731,chr11,False,25.37
AP000911.1,chr11,False,25.37
LINC02730,chr11,False,25.37
AP000859.1,chr11,False,24.63
IGHVII-40-1,chr14,False,24.63
AC114786.2,chr4,False,24.63
AP003972.1,chr11,False,24.63
IGHV3-41,chr14,False,24.63
GLB1L2,chr11,False,24.63
KCNJ1,chr11,False,23.88
KCNJ5,chr11,False,23.88
HOMER2P1,chr14,False,23.88
ACAD8,chr11,False,23.88
PTP4A2P2,chr11,False,23.88
AC244452.1,chr14,False,23.88
GLB1L3,chr11,False,23.88
LINC02873,chr11,False,23.88
FLI1,chr11,False,23.88
ETS1,chr11,False,23.88
JAM3,chr11,False,23.88
THYN1,chr11,False,23.88
LINC02725,chr11,False,23.88
ETS1-AS1,chr11,False,23.88
VPS26B,chr11,False,23.88
LINC02098,chr11,False,23.88
LCE3B,chr1,False,23.88
AP004782.1,chr11,False,23.88
AP003784.1,chr11,False,23.88
OPCML-IT2,chr11,False,23.88
AP001775.2,chr11,False,23.88
SENCR,chr11,False,23.88
AP001122.1,chr11,False,23.88
OPCML-IT1,chr11,False,23.88
C11orf45,chr11,False,23.88
AP000920.1,chr11,False,23.88
MIR8052,chr11,False,23.88
ARHGAP32,chr11,False,23.88
MIR6090,chr11,False,23.88
U4,chr11,False,23.88
NCAPD3,chr11,False,23.88
AP001775.1,chr11,False,23.88
TP53AIP1,chr11,False,23.88
SNX19,chr11,False,23.13
HYLS1,chr11,False,23.13
KIRREL3-AS2,chr11,False,23.13
AP000844.1,chr11,False,23.13
VSIG10L2,chr11,False,23.13
AP003532.1,chr11,False,23.13
SPATA19,chr11,False,23.13
BARX2,chr11,False,23.13
KIRREL3-AS1,chr11,False,23.13
AP000842.3,chr11,False,23.13
KIRREL3-AS3,chr11,False,23.13
AP000842.2,chr11,False,23.13
AP001993.1,chr11,False,23.13
AP003500.1,chr11,False,23.13
KRT18P59,chr11,False,23.13
AP001979.1,chr11,False,23.13
BAK1P2,chr11,False,23.13
AP001318.3,chr11,False,23.13
PRDM10,chr11,False,23.13
AP001318.2,chr11,False,23.13
AP004371.1,chr11,False,23.13
AP004372.1,chr11,False,23.13
TMEM218,chr11,False,23.13
AP000844.2,chr11,False,23.13
IGSF9B,chr11,False,23.13
AP004606.1,chr11,False,23.13
AP003486.2,chr11,False,23.13
AP003486.1,chr11,False,23.13
SRPRA,chr11,False,23.13
PUS3,chr11,False,23.13
AP000842.1,chr11,False,23.13
APLP2,chr11,False,23.13
PPP1R10P1,chr11,False,23.13
KIRREL3,chr11,False,23.13
AP001318.1,chr11,False,23.13
AP001783.1,chr11,False,23.13
RN7SKP121,chr11,False,23.13
AP000821.2,chr11,False,23.13
AP000821.1,chr11,False,23.13
EI24,chr11,False,23.13
RPL35AP26,chr11,False,23.13
AP001007.1,chr11,False,23.13
RPL34P21,chr11,False,23.13
RNU6-1156P,chr11,False,23.13
AP001007.3,chr11,False,23.13
DNAJB6P1,chr11,False,23.13
UGT2B28,chr4,False,23.13
AP000708.1,chr11,False,23.13
RNU6-321P,chr11,False,23.13
DDX25,chr11,False,23.13
CDON,chr11,False,23.13
DDX18P5,chr11,False,23.13
CHEK1,chr11,True,23.13
DCPS,chr11,False,23.13
AP003121.1,chr11,False,23.13
RNU6-874P,chr11,False,23.13
RNU6-876P,chr11,False,23.13
RNU6ATAC12P,chr11,False,23.13
RNU4-86P,chr11,False,23.13
ELOBP2,chr11,False,23.13
RNU2-35P,chr11,False,23.13
RN7SL778P,chr11,False,23.13
GSEC,chr11,False,23.13
RN7SKP279,chr11,False,23.13
ST14,chr11,False,23.13
RN7SL167P,chr11,False,23.13
RN7SL351P,chr11,False,23.13
TIRAP,chr11,False,23.13
FOXRED1,chr11,False,23.13
ST3GAL4,chr11,False,23.13
FEZ1,chr11,False,23.13
AP001893.1,chr11,False,23.13
RPUSD4,chr11,False,23.13
FAM118B,chr11,False,23.13
RPS27P20,chr11,False,23.13
AP003327.2,chr11,False,23.13
AP001893.3,chr11,False,23.13
AP003327.1,chr11,False,23.13
STT3A,chr11,False,23.13
AP001893.2,chr11,False,23.13
AP001007.2,chr11,False,23.13
AP000843.1,chr11,False,23.13
AP002856.1,chr11,False,23.13
NTM-AS1,chr11,False,23.13
AP003041.1,chr11,False,23.13
