Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr5,False,88.83
Metazoa_SRP,chr5,False,77.11
SNORA70,chr6,False,69.21
SNORA62,chr8,False,62.4
U3,chr6,False,59.4
U6,chr11,False,53.95
STC1,chr8,False,51.77
AC012574.1,chr8,False,51.77
AC012574.2,chr8,False,51.77
RNU4-71P,chr8,False,51.77
NKX2-6,chr8,False,51.77
AC012119.2,chr8,False,51.77
AC012119.1,chr8,False,51.77
NKX3-1,chr8,False,51.77
SINHCAFP3,chr8,False,51.77
TNFRSF10A,chr8,False,51.5
AC107959.4,chr8,False,51.5
TNFRSF10A-AS1,chr8,False,51.5
CHMP7,chr8,False,51.5
AC100861.2,chr8,False,51.5
SLC25A37,chr8,False,51.5
AC107959.5,chr8,False,51.5
AC107959.3,chr8,False,51.5
TNFRSF10C,chr8,False,51.5
ENTPD4,chr8,False,51.5
R3HCC1,chr8,False,51.5
AC100861.1,chr8,False,51.5
AC104561.3,chr8,False,51.5
AC104561.1,chr8,False,51.5
AC104561.4,chr8,False,51.5
RPL23AP55,chr8,False,51.5
AC107959.2,chr8,False,51.5
AC104561.2,chr8,False,51.5
TNFRSF10D,chr8,False,51.5
AC090197.1,chr8,False,51.5
RN7SL303P,chr8,False,51.23
RNU1-148P,chr8,False,51.23
AC105046.1,chr8,False,51.23
LOXL2,chr8,False,51.23
RHOBTB2,chr8,False,51.23
AC105046.2,chr8,False,51.23
EGR3,chr8,False,51.23
ADAM28,chr8,False,51.23
PPP3CC,chr8,False,51.23
TNFRSF10B,chr8,False,51.23
PEBP4,chr8,False,51.23
AC107959.1,chr8,False,51.23
AC037441.1,chr8,False,51.23
AC055854.1,chr8,False,51.23
BIN3,chr8,False,51.23
AC037459.2,chr8,False,51.23
RNU6-336P,chr8,False,51.23
AC037441.2,chr8,False,51.23
AC120193.1,chr8,False,51.23
AC023202.1,chr8,False,51.23
GFRA2,chr8,False,51.23
LZTS1-AS1,chr8,False,50.95
AC023403.1,chr8,False,50.95
PDLIM2,chr8,False,50.95
