Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr17,False,42.83
AC000032.1,chr1,False,38.65
AL049634.3,chr20,False,35.46
ADAM3A,chr8,False,32.67
AC123767.1,chr8,False,31.27
KRTAP9-11P,chr17,False,30.08
LCE3C,chr1,False,28.88
HLA-DRB5,chr6,False,27.09
UGT2B17,chr4,False,27.09
AC147055.4,chr4,False,26.89
AC147055.2,chr4,False,26.89
UGT2B29P,chr4,False,24.9
AC091874.2,chr5,False,24.7
AC091874.1,chr5,False,24.7
AC140125.1,chr5,False,24.5
ARPP19P1,chr5,False,24.3
OR51A2,chr11,False,22.91
RNU1-61P,chr6,False,20.32
BTNL3,chr5,False,19.92
HLA-DRB6,chr6,False,19.72
OR4K1,chr14,False,19.52
OR4N1P,chr14,False,19.52
OR4K6P,chr14,False,19.52
OR4K5,chr14,False,19.52
OR4K4P,chr14,False,19.52
OR4K3,chr14,False,19.52
OR4K2,chr14,False,19.52
HLA-DRB1,chr6,False,19.32
OR7E84P,chr4,False,19.32
OR4H12P,chr14,False,19.32
OR4M1,chr14,False,19.32
AL391156.1,chr14,False,19.32
OR11K2P,chr14,False,19.12
OR4Q3,chr14,False,19.12
AMY1A,chr1,False,18.53
AC105272.1,chr1,False,18.53
AMY1B,chr1,False,18.53
LCE3B,chr1,False,18.53
AC092821.2,chr12,False,18.33
NOS2P2,chr17,False,18.33
LGALS9C,chr17,False,18.33
IGHV3-30-2,chr14,False,18.13
IGHVII-30-1,chr14,False,18.13
OR4C6,chr11,False,17.93
OR4P4,chr11,False,17.93
OR4S2,chr11,False,17.93
TNPO1P2,chr17,False,17.73
FAM242D,chr9,False,17.73
OR4V1P,chr11,False,17.13
AL935212.3,chr9,False,16.73
AMYP1,chr1,False,16.33
AC005225.2,chr14,False,16.33
U6,chr20,False,15.74
FAM106A,chr17,False,15.54
AL512310.6,chr14,False,15.54
AL512310.5,chr14,False,15.54
USP32P2,chr17,False,15.54
Metazoa_SRP,chr22,False,15.34
RHD,chr1,False,15.34
AL512310.10,chr14,False,15.14
AL512310.2,chr14,False,14.94
MRGPRX1,chr11,False,14.94
AC023078.1,chr11,False,14.94
AL512310.7,chr14,False,14.94
AL512310.4,chr14,False,14.94
ARHGAP42P4,chr14,False,14.94
AL512310.9,chr14,False,14.94
AL512310.8,chr14,False,14.94
MED15P6,chr14,False,14.74
OR4N2,chr14,False,14.74
AL512624.1,chr14,False,14.74
SRP68P2,chr17,False,14.74
AL512310.1,chr14,False,14.74
AL512310.11,chr14,False,14.74
AL512310.3,chr14,False,14.74
NF1P11,chr14,False,14.74
NF1P4,chr14,False,14.74
OR11H2,chr14,False,14.74
AC134980.1,chr15,False,14.74
OR11J6P,chr15,False,14.74
CCDC144B,chr17,False,14.34
SDHDP6,chr1,False,14.34
AC243829.2,chr17,False,14.34
RNU6-1268P,chr14,False,13.94
AL512624.2,chr14,False,13.94
AP006437.1,chr11,False,13.94
POTEG,chr14,False,13.94
OR4P1P,chr11,False,13.94
GRAMD4P3,chr14,False,13.75
LINC01297,chr14,False,13.75
AC026740.2,chr5,False,13.35
BRD9P2,chr5,False,13.35
BMS1P17,chr14,False,13.35
AL929602.1,chr14,False,13.35
AC025884.2,chr15,False,12.95
AC025884.1,chr15,False,12.95
AC037471.1,chr15,False,12.75
IGHV3-29,chr14,False,12.75
IGHV4-31,chr14,False,12.75
IGHV3-33,chr14,False,12.75
IGHVII-30-21,chr14,False,12.75
FAM30C,chr15,False,12.75
IGHV1OR15-1,chr15,False,12.55
AL589743.1,chr14,False,12.55
IGHV1OR15-3,chr15,False,12.55
AC025884.3,chr15,False,12.55
MIR1268A,chr15,False,12.55
IGHV1OR15-4,chr15,False,12.55
AL589743.4,chr14,False,12.55
OR2A7,chr7,False,12.55
RPS8P10,chr15,False,12.55
OR4Q1P,chr15,False,12.55
CDRT15P13,chr14,False,12.55
DUXAP10,chr14,False,12.55
KANSL1-AS1,chr17,False,12.55
OR11K1P,chr15,False,12.55
AC010760.1,chr15,False,12.55
OR4H6P,chr15,False,12.55
OR11H3P,chr15,False,12.55
NBEAP6,chr14,False,12.55
AC005829.2,chr17,False,12.55
IGHV4OR15-8,chr15,False,12.55
OR4M2,chr15,False,12.55
AC005829.1,chr17,False,12.55
OR4N3P,chr15,False,12.55
OR4N4,chr15,False,12.55
TOMM40P1,chr14,False,12.55
AC134980.2,chr15,False,12.55
CTAGE8,chr7,False,12.35
TAS2R64P,chr12,False,12.35
IGHD1OR15-1B,chr15,False,12.35
MAPK8IP1P1,chr17,False,12.35
IGHD2OR15-2B,chr15,False,12.35
ARHGEF34P,chr7,False,12.35
OR2A9P,chr7,False,12.35
IGHD3OR15-3B,chr15,False,12.35
OR2A1-AS1,chr7,False,12.35
IGHD4OR15-4B,chr15,False,12.35
IGHD5OR15-5B,chr15,False,12.35
ARL17B,chr17,False,12.15
BCAR1P2,chr15,False,12.15
ALG1L2,chr3,False,11.95
OR2A1,chr7,False,11.95
AC147055.3,chr4,False,11.95
AC026495.1,chr15,False,11.75
RN7SL301P,chr17,False,11.75
OR11J2P,chr15,False,11.55
LINC01193,chr15,False,11.55
LONRF2P3,chr15,False,11.55
RNU6-749P,chr15,False,11.55
AC026495.2,chr15,False,11.55
OR11J5P,chr15,False,11.55
RNU6-498P,chr15,False,11.55
MT2P1,chr4,False,11.55
ZNF519P2,chr15,False,11.55
AC012414.5,chr15,False,11.55
AC012414.6,chr15,False,11.55
MIR5701-1,chr15,False,11.55
AC012414.4,chr15,False,11.55
AC037471.2,chr15,False,11.55
HCP5B,chr6,False,11.55
AC012414.3,chr15,False,11.55
AC012414.1,chr15,False,11.55
MIR3118-2,chr15,False,11.55
POTEB2,chr15,False,11.55
NF1P1,chr15,False,11.55
GRAMD4P5,chr15,False,11.55
AC012414.2,chr15,False,11.55
GOLGA6L6,chr15,False,11.35
CHEK2P2,chr15,False,11.35
POTEB,chr15,False,11.35
AC183088.3,chr15,False,11.35
MIR5701-3,chr15,False,11.35
AC135068.10,chr15,False,11.35
OR11J7P,chr15,False,11.35
ZNF519P3,chr15,False,11.35
RNU6-631P,chr15,False,11.35
AC135068.9,chr15,False,11.35
AC135068.8,chr15,False,11.35
AC135068.7,chr15,False,11.35
AC135068.6,chr15,False,11.35
AC135068.5,chr15,False,11.35
AC135068.4,chr15,False,11.35
AC135068.3,chr15,False,11.35
AC135068.2,chr15,False,11.35
MIR5701-2,chr15,False,11.35
AC135068.12,chr15,False,11.35
AC135068.11,chr15,False,11.35
AC023310.1,chr15,False,11.35
MIR3118-4,chr15,False,11.35
AC134981.1,chr15,False,11.35
LINC02203,chr15,False,11.35
NF1P2,chr15,False,11.35
AC183088.1,chr15,False,11.35
AC183088.2,chr15,False,11.35
NF1P9,chr15,False,11.35
AC183088.4,chr15,False,11.35
AC135068.1,chr15,False,11.35
BMS1P16,chr15,False,11.16
AC126335.1,chr15,False,11.16
HERC2P3,chr15,False,11.16
AC126335.2,chr15,False,11.16
NBEAP4,chr15,False,11.16
RN7SL400P,chr15,False,11.16
AC074386.1,chr7,False,10.96
NBEAP1,chr15,False,10.96
OR2A20P,chr7,False,10.96
GRAMD4P6,chr15,False,10.96
RN7SL759P,chr15,False,10.96
AC131280.1,chr15,False,10.96
GOLGA8CP,chr15,False,10.96
IGHV1OR15-6,chr15,False,10.96
CXADRP2,chr15,False,10.96
RNU6-1235P,chr15,False,10.96
AC068446.1,chr15,False,10.96
AC068446.2,chr15,False,10.96
MIR3118-3,chr15,False,10.96
AC060814.4,chr15,False,10.96
AC023310.4,chr15,False,10.96
AC060814.3,chr15,False,10.96
AC060814.2,chr15,False,10.96
AC060814.1,chr15,False,10.96
SPATA31E2P,chr15,False,10.96
POTEB3,chr15,False,10.96
AC023310.3,chr15,False,10.96
AC023310.2,chr15,False,10.96
LONRF2P4,chr15,False,10.96
SMBD1P,chr3,False,10.76
AL589743.2,chr14,False,10.76
MIR570,chr3,False,10.76
AC139495.1,chr5,False,10.56
GUSBP3,chr5,False,10.56
NAIPP3,chr5,False,10.56
AC139495.2,chr5,False,10.56
OR2A42,chr7,False,10.56
NSFP1,chr17,False,10.16
AL353997.4,chr17,False,10.16
AL353997.1,chr17,False,10.16
OR11H13P,chr14,False,10.16
SNORA70,chr9,False,9.96
RHPN2P1,chr15,False,9.96
OR4K16P,chr14,False,9.96
NT5CP2,chr14,False,9.16
OR52N5,chr11,False,9.16
ACOT1,chr14,False,9.16
ZDHHC11B,chr5,False,8.96
OR52N1,chr11,False,8.96
GGT3P,chr22,False,8.76
C2orf69P4,chr16,False,8.57
OR7E140P,chr12,False,8.57
RARRES2P7,chr16,False,8.57
LINC01566,chr16,False,8.57
SIGLEC14,chr19,False,8.57
FRG2IP,chr16,False,8.57
FRG2GP,chr16,False,8.57
PPP1R26P2,chr22,False,8.57
AC092865.2,chr12,False,8.57
RARRES2P9,chr16,False,8.57
PPP1R26P4,chr22,False,8.57
AC008132.2,chr22,False,8.57
FAM230E,chr22,False,8.57
DEFB108C,chr8,False,8.57
AGGF1P9,chr16,False,8.57
AGGF1P4,chr16,False,8.57
AC018755.4,chr19,False,8.57
AC100757.2,chr15,False,8.37
OR4F5,chr1,False,8.37
AGGF1P5,chr16,False,8.37
GSTM1,chr1,False,8.37
AC100757.1,chr15,False,8.37
U8,chr15,False,8.17
AC083906.4,chr3,False,8.17
C2orf69P3,chr16,False,8.17
AL589182.2,chr14,False,7.97
AC018558.1,chr16,False,7.97
AC018558.3,chr16,False,7.97
AC018558.4,chr16,False,7.97
AGGF1P6,chr16,False,7.97
AGGF1P8,chr16,False,7.97
NBEAP5,chr14,False,7.97
USP17L2,chr8,False,7.97
AC018558.6,chr16,False,7.97
AC018558.7,chr16,False,7.97
TP53TG3HP,chr16,False,7.97
AC018558.2,chr16,False,7.97
RARRES2P6,chr16,False,7.97
FRG2DP,chr16,False,7.97
FRG2JP,chr16,False,7.97
AL589182.3,chr14,False,7.97
ZNF971P,chr16,False,7.97
FRG2HP,chr16,False,7.97
DUXAP9,chr14,False,7.97
AL365272.1,chr6,False,7.97
C2orf69P2,chr16,False,7.97
RARRES2P10,chr16,False,7.97
BX664718.1,chr9,False,7.97
AL589743.3,chr14,False,7.97
GLIDR,chr9,False,7.77
RNU6-17P,chr15,False,7.77
RPL22P20,chr14,False,7.77
AC087203.2,chr8,False,7.57
AL935212.1,chr9,False,7.57
