Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,86.67
Metazoa_SRP,chr11,False,59.49
U3,chr11,False,50.26
U8,chr15,False,43.08
U6,chr10,False,42.56
LCE3C,chr1,False,36.92
SNORD39,chr9,False,34.36
SNORA70,chr6,False,33.33
AC000032.1,chr1,False,31.79
UBA52P6,chr9,False,31.28
CDKN2A-DT,chr9,False,31.28
CDKN2A,chr9,True,31.28
SIGLEC14,chr19,False,31.28
CDKN2B-AS1,chr9,False,30.77
AL354709.1,chr9,False,30.77
ERVFRD-3,chr9,False,30.77
AL449423.1,chr9,False,30.77
OR52N5,chr11,False,30.26
AC018755.4,chr19,False,30.26
AL359922.3,chr9,False,30.26
CDKN2B,chr9,True,30.26
KRTAP9-11P,chr17,False,30.26
OR52N1,chr11,False,29.74
AL359922.2,chr9,False,29.74
AL359922.1,chr9,False,29.23
MTAP,chr9,True,29.23
AL354709.2,chr9,False,28.72
TUBB8P1,chr9,False,28.72
AL157937.1,chr9,False,28.72
HCP5B,chr6,False,28.21
AC092821.2,chr12,False,28.21
RN7SL151P,chr9,False,27.69
KHSRPP1,chr9,False,27.18
H3P30,chr9,False,26.67
IFNA10,chr9,False,26.67
IFNA7,chr9,False,26.67
AL935212.3,chr9,False,26.67
MIR31,chr9,False,26.67
IFNWP9,chr9,False,26.15
IFNA2,chr9,False,26.15
IFNA6,chr9,False,26.15
IFNA4,chr9,False,26.15
IFNA20P,chr9,False,26.15
IFNA13,chr9,False,26.15
IFNA8,chr9,False,26.15
DMRTA1,chr9,False,26.15
IFNA12P,chr9,False,26.15
MIR31HG,chr9,False,26.15
IFNA11P,chr9,False,26.15
IFNE,chr9,False,26.15
IFNWP19,chr9,False,26.15
IFNWP2,chr9,False,26.15
IFNA1,chr9,False,26.15
IFNA5,chr9,False,26.15
AL353732.1,chr9,False,26.15
KLHL9,chr9,False,26.15
AL353732.2,chr9,False,26.15
AC091874.2,chr5,False,25.64
AC091874.1,chr5,False,25.64
IFNWP18,chr9,False,25.64
IFNWP5,chr9,False,25.64
IFNA17,chr9,False,25.64
LINC01239,chr9,False,25.64
IFNA16,chr9,False,25.64
FAM242D,chr9,False,25.13
IFNA14,chr9,False,25.13
SNORA62,chr11,False,25.13
IFNA22P,chr9,False,25.13
IFNWP15,chr9,False,25.13
OR4C6,chr11,False,24.62
IFNW1,chr9,False,24.62
CLIC4P1,chr9,False,24.62
IFNA21,chr9,False,24.62
AC017067.1,chr9,False,24.62
AL391117.1,chr9,False,24.62
OR4P4,chr11,False,24.1
OR4S2,chr11,False,24.1
PSG9,chr19,False,24.1
CEACAMP10,chr19,False,24.1
AL390882.1,chr9,False,24.1
IFNB1,chr9,False,23.59
IFNNP1,chr9,False,23.59
NOS2P2,chr17,False,23.59
TNPO1P2,chr17,False,23.59
AL357614.1,chr9,False,23.59
LGALS9C,chr17,False,23.59
IFNWP4,chr9,False,23.08
NOP56P2,chr9,False,23.08
ELAVL2,chr9,False,23.08
SSU72P2,chr11,False,23.08
HACD4,chr9,False,23.08
AL445623.1,chr9,False,23.08
SSU72P4,chr11,False,23.08
ADAM3A,chr8,False,23.08
HOMER2P1,chr14,False,23.08
SUMO2P2,chr9,False,23.08
SNORA30B,chr9,False,23.08
CCDC144B,chr17,False,22.56
LCE3B,chr1,False,22.56
AL365204.1,chr9,False,22.56
AL512635.1,chr9,False,22.56
MIR4473,chr9,False,22.56
IGHV3-41,chr14,False,22.56
AL161628.1,chr9,False,22.56
AL445623.2,chr9,False,22.56
IGHVII-40-1,chr14,False,22.56
MLLT3,chr9,False,22.56
SSU72P6,chr11,False,22.56
FOCAD-AS1,chr9,False,22.56
MIR491,chr9,False,22.56
FAM106A,chr17,False,22.56
AL049634.3,chr20,False,22.56
AC114786.3,chr4,False,22.56
AC123767.1,chr8,False,22.56
USP32P2,chr17,False,22.56
RNA5SP311,chr10,False,22.56
FOCAD,chr9,False,22.56
OR4V1P,chr11,False,22.05
ARPP19P1,chr5,False,22.05
MIR4474,chr9,False,22.05
SSU72P5,chr11,False,22.05
SRP68P2,chr17,False,22.05
AL365204.2,chr9,False,22.05
AC244452.1,chr14,False,22.05
TAS2R64P,chr12,False,22.05
RNU4-26P,chr9,False,22.05
AL163193.1,chr9,False,22.05
KIR2DS4,chr19,False,22.05
IZUMO3,chr9,False,21.54
AL353811.1,chr9,False,21.54
BTNL3,chr5,False,21.54
AL513317.1,chr9,False,21.54
AL365204.3,chr9,False,21.54
RN7SL761P,chr13,False,21.54
UGT2B28,chr4,False,21.54
AC114786.2,chr4,False,21.54
RHD,chr1,False,21.54
CFAP46,chr10,False,21.03
OR2T11,chr1,False,21.03
AL162274.2,chr10,False,21.03
MIR378C,chr10,False,21.03
AL162274.1,chr10,False,21.03
JAKMIP3,chr10,False,21.03
BNIP3,chr10,False,21.03
AC098483.2,chr1,False,21.03
AL162274.3,chr10,False,21.03
CFHR3,chr1,False,21.03
TCERG1L,chr10,False,20.51
DPYSL4,chr10,False,20.51
SDHDP6,chr1,False,20.51
AL512622.1,chr10,False,20.51
LINC02870,chr10,False,20.51
PWWP2B,chr10,False,20.51
OR2T10,chr1,False,20.51
LINC01164,chr10,False,20.51
AL451069.3,chr10,False,20.51
AL450307.1,chr10,False,20.51
LINC01167,chr10,False,20.51
LINC01166,chr10,False,20.51
AL451069.2,chr10,False,20.51
NKX6-2,chr10,False,20.51
LRRC27,chr10,False,20.51
LINC01168,chr10,False,20.51
TCERG1L-AS1,chr10,False,20.51
AL360181.1,chr10,False,20.0
AL360181.2,chr10,False,20.0
LINC02851,chr9,False,20.0
PPP2R2D,chr10,False,20.0
BANF1P2,chr10,False,20.0
AL607033.1,chr10,False,20.0
CALY,chr10,False,20.0
AL360181.4,chr10,False,20.0
AC016816.1,chr10,False,20.0
LINC01165,chr10,False,20.0
MIR3944,chr10,False,20.0
FP565171.1,chr10,False,20.0
FUOM,chr10,False,20.0
AL158077.1,chr9,False,20.0
KNDC1,chr10,False,20.0
ADGRA1,chr10,False,20.0
KIR3DL1,chr19,False,20.0
MIR202,chr10,False,20.0
MIR202HG,chr10,False,20.0
ADGRA1-AS1,chr10,False,20.0
OR51A2,chr11,False,20.0
AL451069.1,chr10,False,20.0
IGHV3-30-2,chr14,False,20.0
RPL5P28,chr10,False,20.0
PRAP1,chr10,False,20.0
IGHVII-30-1,chr14,False,20.0
ECHS1,chr10,False,20.0
RN7SKP120,chr9,False,20.0
RMRPP5,chr9,False,20.0
TUBGCP2,chr10,False,20.0
INPP5A,chr10,False,20.0
ZNF511,chr10,False,20.0
VENTX,chr10,False,20.0
ZNF511-PRAP1,chr10,False,20.0
MTG1,chr10,False,20.0
UTF1,chr10,False,20.0
AL158077.2,chr9,False,19.49
KIR2DL4,chr19,False,19.49
AL592071.1,chr10,False,19.49
ADAMTSL1,chr9,False,19.49
AL360181.3,chr10,False,19.49
SPRN,chr10,False,19.49
AL158206.1,chr9,False,19.49
SLC24A2,chr9,False,19.49
OR7M1P,chr10,False,19.49
MIR4682,chr10,False,19.49
CYP2E1,chr10,True,19.49
AGGF1P2,chr10,False,19.49
AL591222.3,chr9,False,19.49
ADAM8,chr10,False,19.49
SYCE1,chr10,False,19.49
OR6L2P,chr10,False,19.49
AL591222.2,chr9,False,19.49
AL161909.2,chr9,False,19.49
AC010998.1,chr10,False,19.49
NACAP2,chr10,False,19.49
IGHD5OR15-5B,chr15,False,19.49
IGHD4OR15-4B,chr15,False,19.49
IGHD3OR15-3B,chr15,False,19.49
IGHD2OR15-2B,chr15,False,19.49
IGHD1OR15-1B,chr15,False,19.49
AC010998.2,chr10,False,19.49
AL161645.2,chr10,False,19.49
AL161645.1,chr10,False,19.49
AL355298.1,chr10,False,19.49
PAOX,chr10,False,19.49
MAP1LC3BP1,chr9,False,19.49
RARRES2P2,chr10,False,19.49
AC037471.1,chr15,False,19.49
NDUFA5P3,chr9,False,19.49
RPS6,chr9,False,19.49
AL391834.1,chr9,False,19.49
LINC01153,chr10,False,19.49
DENND4C,chr9,False,19.49
AL591222.1,chr9,False,19.49
ACER2,chr9,False,19.49
FAM30C,chr15,False,19.49
AL442638.1,chr9,False,19.49
SAMM50P1,chr9,False,19.49
AL391834.2,chr9,False,19.49
AL391834.3,chr9,False,19.49
RPL21P16,chr10,False,19.49
RPL19P16,chr10,False,19.49
AC073587.1,chr10,False,19.49
AL162725.2,chr9,False,18.97
CLRN3,chr10,False,18.97
AL161909.1,chr9,False,18.97
AL162725.1,chr9,False,18.97
FRG2B,chr10,False,18.97
CHST15,chr10,False,18.97
GPR26,chr10,False,18.97
AL355531.1,chr10,False,18.97
RNU2-42P,chr10,False,18.97
AL354950.3,chr10,False,18.97
H3P31,chr9,False,18.97
GRK5-IT1,chr10,False,18.97
GRK5,chr10,False,18.97
AL354950.2,chr10,False,18.97
GNG10P1,chr10,False,18.97
HMX3,chr10,False,18.97
GLRX3,chr10,False,18.97
AL354950.1,chr10,False,18.97
SNORA19,chr10,False,18.97
NKX1-2,chr10,False,18.97
PHACTR2P1,chr10,False,18.97
AL353730.1,chr9,False,18.97
HMX2,chr10,False,18.97
ACADSB,chr10,False,18.97
AL157832.1,chr10,False,18.97
CPXM2,chr10,False,18.97
TXNP1,chr10,False,18.97
SCART1,chr10,False,18.97
AL139123.1,chr10,False,18.97
SAXO1,chr9,False,18.97
FAM24B,chr10,False,18.97
DMBT1L1,chr10,False,18.97
INSYN2A,chr10,False,18.97
