Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,78.85
Metazoa_SRP,chr17,False,65.38
U3,chr2,False,57.69
U6,chr16,False,53.85
SNORA70,chr16,False,48.08
U8,chr15,False,48.08
AC000032.1,chr1,False,42.31
AC092821.2,chr12,False,36.54
SNORD39,chr2,False,34.62
KRTAP9-11P,chr17,False,32.69
5S_rRNA,chr16,False,32.69
U4,chr2,False,30.77
LCE3C,chr1,False,28.85
CEACAMP10,chr19,False,28.85
PSG9,chr19,False,28.85
SIGLEC14,chr19,False,26.92
SMAD4,chr18,True,26.92
LINC01881,chr2,False,26.92
AC093642.1,chr2,False,26.92
AC093642.2,chr2,False,26.92
AC093642.3,chr2,False,26.92
AC093642.6,chr2,False,26.92
LINC01880,chr2,False,26.92
SNORA73,chr18,False,26.92
SRSF10P1,chr18,False,26.92
AC010776.3,chr18,False,25.0
AC012301.2,chr18,False,25.0
AC012301.1,chr18,False,25.0
PMAIP1,chr18,False,25.0
AC011155.1,chr18,False,25.0
POLI,chr18,False,25.0
AC010928.3,chr18,False,25.0
AC010928.2,chr18,False,25.0
AC010928.1,chr18,False,25.0
MIR122HG,chr18,False,25.0
AC010776.2,chr18,False,25.0
OR52N5,chr11,False,25.0
AC010776.1,chr18,False,25.0
PRDM7,chr16,False,25.0
PRR13P4,chr18,False,25.0
PRR23D3P,chr8,False,25.0
MIR122,chr18,False,25.0
RAB27B,chr18,False,25.0
RAX,chr18,False,25.0
RN7SL310P,chr18,False,25.0
RN7SL342P,chr18,False,25.0
MIR1539,chr18,False,25.0
OR52N1,chr11,False,25.0
AC016229.2,chr18,False,25.0
AC009271.1,chr18,False,25.0
AC016229.1,chr18,False,25.0
MYO5B,chr18,False,25.0
AC016383.1,chr18,False,25.0
AC016383.2,chr18,False,25.0
AC016383.3,chr18,False,25.0
MRPS5P4,chr18,False,25.0
MRPL37P1,chr18,False,25.0
MRO,chr18,False,25.0
MIR4529,chr18,False,25.0
NARS1,chr18,False,25.0
AC012433.1,chr18,False,25.0
NEDD4L,chr18,False,25.0
NFE2L3P1,chr18,False,25.0
NPIPB15,chr16,False,25.0
MIR4528,chr18,False,25.0
OACYLP,chr18,False,25.0
ONECUT2,chr18,False,25.0
MIR4320,chr18,False,25.0
MIR3591,chr18,False,25.0
AC012433.2,chr18,False,25.0
AC009271.2,chr18,False,25.0
RNU2-69P,chr18,False,25.0
RNA5SP457,chr18,False,25.0
SNORD58B,chr18,False,25.0
SINHCAFP2,chr18,False,25.0
SKA1,chr18,False,25.0
AC006305.3,chr18,False,25.0
AC006305.2,chr18,False,25.0
AC006305.1,chr18,False,25.0
SMUG1P1,chr18,False,25.0
SNHG22,chr18,False,25.0
SNORA108,chr18,False,25.0
SNORA37,chr18,False,25.0
SNORA62,chr16,False,25.0
SNORD58A,chr18,False,25.0
SNORD58C,chr18,False,25.0
RNA5SP458,chr18,False,25.0
SNRPGP2,chr18,False,25.0
SPAG11A,chr8,False,25.0
SRP72P1,chr18,False,25.0
SS18L2P2,chr18,False,25.0
ST8SIA3,chr18,False,25.0
STARD6,chr18,False,25.0
TCF4,chr18,False,25.0
TCF4-AS1,chr18,False,25.0
TCF4-AS2,chr18,False,25.0
TUBB3,chr16,False,25.0
