Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr15,False,64.6
TRGV11,chr7,False,61.95
TRGVB,chr7,False,60.18
TRGV10,chr7,False,59.29
AC006033.1,chr7,False,58.41
TRGJP1,chr7,False,56.64
TRGJP,chr7,False,56.64
TRGV9,chr7,False,53.1
TRDV2,chr14,False,53.1
AC244502.3,chr14,False,51.33
TRGVA,chr7,False,47.79
AC006033.2,chr7,False,44.25
KRTAP9-11P,chr17,False,43.36
TRGJ1,chr7,False,40.71
TRDJ4,chr14,False,39.82
TRDJ2,chr14,False,39.82
TRDJ3,chr14,False,39.82
LCE3C,chr1,False,38.94
TRGV7,chr7,False,38.94
AC000032.1,chr1,False,38.05
TRDD2,chr14,False,37.17
TRDD1,chr14,False,37.17
TRGV8,chr7,False,37.17
TRDC,chr14,False,36.28
LCE3B,chr1,False,35.4
AC092821.2,chr12,False,35.4
TRDV3,chr14,False,34.51
HCP5B,chr6,False,33.63
TRG-AS1,chr7,False,31.86
TRGV6,chr7,False,31.86
TRGJP2,chr7,False,29.2
OR2T11,chr1,False,29.2
TRGC1,chr7,False,29.2
TRGV5P,chr7,False,29.2
AC098483.2,chr1,False,29.2
OR2T10,chr1,False,29.2
SIGLEC14,chr19,False,28.32
AC114786.3,chr4,False,27.43
AC114786.2,chr4,False,27.43
PRSS2,chr7,False,26.55
UGT2B28,chr4,False,26.55
RHD,chr1,False,26.55
WBP1LP1,chr7,False,26.55
PRSS3P1,chr7,False,26.55
TRBV29-1,chr7,False,25.66
TRDJ1,chr14,False,25.66
TRDD3,chr14,False,25.66
AC018755.4,chr19,False,25.66
PRSS1,chr7,False,25.66
PGBD4P1,chr7,False,25.66
AC244472.1,chr7,False,25.66
DDX39BP1,chr6,False,25.66
TRBV28,chr7,False,25.66
TRBV27,chr7,False,24.78
AL935212.3,chr9,False,24.78
TRBVB,chr7,False,24.78
FAM242D,chr9,False,24.78
HLA-K,chr6,False,23.89
AL049634.3,chr20,False,23.89
HCG4B,chr6,False,23.89
TRBV26,chr7,False,23.01
SDHDP6,chr1,False,23.01
AC087203.2,chr8,False,22.12
PSG9,chr19,False,22.12
OR52N1,chr11,False,22.12
FAM66A,chr8,False,22.12
CEACAMP10,chr19,False,22.12
TAS2R64P,chr12,False,22.12
IGHV3-30-2,chr14,False,22.12
IGHVII-30-1,chr14,False,22.12
AC087203.1,chr8,False,22.12
TRBV24-1,chr7,False,21.24
OR52N5,chr11,False,21.24
TRBV25-1,chr7,False,21.24
MTRNR2L6,chr7,False,21.24
TRBVA,chr7,False,20.35
TRBV22-1,chr7,False,20.35
TRAJ61,chr14,False,20.35
TRBV23-1,chr7,False,20.35
TRAJ60,chr14,False,20.35
TRAJ59,chr14,False,20.35
DEFB108E,chr8,False,20.35
ZNF705CP,chr8,False,20.35
BX664718.1,chr9,False,20.35
CCDC144B,chr17,False,20.35
RNA5SP254,chr8,False,20.35
OR2T29,chr1,False,19.47
TNPO1P2,chr17,False,19.47
IGHD1OR15-1B,chr15,False,19.47
TRBV21-1,chr7,False,19.47
IGHD2OR15-2B,chr15,False,19.47
IGHD3OR15-3B,chr15,False,19.47
IGHD4OR15-4B,chr15,False,19.47
LGALS9C,chr17,False,19.47
MCCD1P1,chr6,False,19.47
OR2T34,chr1,False,19.47
IGHD5OR15-5B,chr15,False,19.47
NOS2P2,chr17,False,18.58
AC091874.1,chr5,False,18.58
FAM106A,chr17,False,18.58
GPR42,chr19,False,18.58
AC091874.2,chr5,False,18.58
USP32P2,chr17,False,18.58
AC002525.1,chr13,False,18.58
HLA-DQA1,chr6,False,18.58
AC037471.1,chr15,False,18.58
FAM30C,chr15,False,18.58
RNU1-114P,chr1,False,17.7
ADAM3A,chr8,False,17.7
BX284668.5,chr1,False,17.7
BX284668.4,chr1,False,17.7
RNVU1-23,chr1,False,17.7
RNVU1-18,chr1,False,17.7
RNVU1-17,chr1,False,17.7
AC239800.2,chr1,False,17.7
OR4P4,chr11,False,17.7
AC239800.1,chr1,False,17.7
NBPF17P,chr1,False,17.7
Metazoa_SRP,chr17,False,17.7
OR2T35,chr1,False,17.7
LINC02851,chr9,False,17.7
PFN1P12,chr1,False,17.7
U8,chr15,False,17.7
ALG1L2,chr3,False,16.81
ARPP19P1,chr5,False,16.81
