Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,67.76
Metazoa_SRP,chr3,False,40.93
U8,chr3,False,37.84
LCE3C,chr1,False,36.87
AC092821.2,chr12,False,31.85
U3,chr3,False,30.69
AC000032.1,chr1,False,28.76
HCP5B,chr6,False,28.76
AC109583.2,chr3,False,27.8
SNORA62,chr3,False,27.41
LCE3B,chr1,False,26.64
OR52N1,chr11,False,26.64
OR52N5,chr11,False,25.68
RNU6-670P,chr3,False,23.55
EMC3-AS1,chr3,False,23.55
IL5RA,chr3,False,23.55
AC022007.1,chr3,False,23.55
EMC3,chr3,False,23.55
FANCD2,chr3,False,23.55
CRELD1,chr3,False,23.55
FANCD2OS,chr3,False,23.55
SNORA70,chr14,False,23.55
BRK1,chr3,False,23.55
AC066595.2,chr3,False,23.55
PRRT3-AS1,chr3,False,23.55
CNTN4-AS1,chr3,False,23.55
DNAJC19P4,chr3,False,23.55
AC018809.3,chr3,False,23.55
CYCSP10,chr3,False,23.55
PRRT3,chr3,False,23.55
AC018809.2,chr3,False,23.55
CYCSP11,chr3,False,23.55
AC018809.1,chr3,False,23.55
CIDECP1,chr3,False,23.55
AC022382.2,chr3,False,23.36
AC024060.2,chr3,False,23.36
AC024060.1,chr3,False,23.36
OGG1,chr3,False,23.36
PGAM1P4,chr3,False,23.36
RPUSD3,chr3,False,23.36
BRPF1,chr3,False,23.36
AC026191.1,chr3,False,23.36
SETD5,chr3,False,23.36
AC066595.1,chr3,False,23.36
LRRN1,chr3,False,23.36
CIDEC,chr3,False,23.36
AC026167.1,chr3,False,23.36
AC022382.1,chr3,False,23.36
TRNT1,chr3,False,23.36
TTLL3,chr3,False,23.36
MTMR14,chr3,False,23.36
CHL1-AS2,chr3,False,23.36
RPEP2,chr3,False,23.36
CAMK1,chr3,False,23.36
RNU6-882P,chr3,False,23.36
AC022384.1,chr3,False,23.36
PNPT1P1,chr3,False,23.36
LINC01267,chr3,False,23.36
DUSP5P2,chr3,False,23.36
CPNE9,chr3,False,23.36
CRBN,chr3,False,23.36
IL17RE,chr3,False,23.36
THUMPD3-AS1,chr3,False,23.36
ARPC4,chr3,False,23.36
TADA3,chr3,False,23.36
ARPC4-TTLL3,chr3,False,23.36
GRM7-AS3,chr3,False,23.36
AC034195.1,chr3,False,23.36
SUMF1,chr3,False,23.36
JAGN1,chr3,False,23.36
THUMPD3,chr3,False,23.36
TATDN2,chr3,False,23.36
ZNF385D-AS2,chr3,False,23.36
IL17RC,chr3,False,23.36
LHFPL4,chr3,False,23.36
SSUH2,chr3,False,23.17
MRPS36P1,chr3,False,23.17
RNA5SP128,chr3,False,23.17
SUSD5,chr3,False,23.17
SRGAP3-AS3,chr3,False,23.17
SUMO2P10,chr3,False,23.17
GRM7,chr3,False,23.17
CCR4,chr3,False,23.17
MRPS10P2,chr3,False,23.17
RNU6-243P,chr3,False,23.17
RNF10P1,chr3,False,23.17
AC022384.2,chr3,False,23.17
UBTFL8,chr3,False,23.17
SUGT1P2,chr3,False,23.17
DYNC1LI1,chr3,False,23.17
AC112220.2,chr3,False,23.17
AC112220.1,chr3,False,23.17
AC112211.1,chr3,False,23.17
UBP1,chr3,False,23.17
SRGAP3-AS4,chr3,False,23.17
AC034186.1,chr3,False,23.17
AC018359.1,chr3,False,23.17
TMPPE,chr3,False,23.17
RAD18,chr3,False,23.17
CRTAP,chr3,False,23.17
AC037193.1,chr3,False,23.17
AC023480.1,chr3,False,23.17
AC023483.1,chr3,False,23.17
COX6CP10,chr3,False,23.17
AC087857.1,chr3,False,23.17
CNOT10-AS1,chr3,False,23.17
CNOT10,chr3,False,23.17
CMTM7,chr3,False,23.17
MIR548AY,chr3,False,23.17
PDCD6IP,chr3,False,23.17
OXTR,chr3,False,23.17
CMTM6,chr3,False,23.17
RN7SL296P,chr3,False,23.17
AC123900.1,chr3,False,23.17
AC123023.2,chr3,False,23.17
OR7E122P,chr3,False,23.17
AC034187.1,chr3,False,23.17
AC123023.1,chr3,False,23.17
CLASP2,chr3,False,23.17
AC034186.2,chr3,False,23.17
MIR128-2,chr3,False,23.17
CAV3,chr3,False,23.17
AC066580.1,chr3,False,23.17
SEC13,chr3,False,23.17
AC011816.2,chr3,False,23.17
AC007483.1,chr3,False,23.17
KRT8P18,chr3,False,23.17
ITPR1,chr3,False,23.17
ITPR1-DT,chr3,False,23.17
SETMAR,chr3,False,23.17
GHRL,chr3,False,23.17
TRIM71,chr3,False,23.17
RNU6ATAC4P,chr3,False,23.17
ARPP21-AS1,chr3,False,23.17
SEC13P1,chr3,False,23.17
GLB1,chr3,False,23.17
ARPP21,chr3,False,23.17
GHRLOS,chr3,False,23.17
FBXL2,chr3,False,23.17
FECHP1,chr3,False,23.17
AC011816.1,chr3,False,23.17
SDAD1P3,chr3,False,23.17
AC104306.1,chr3,False,23.17
RPL23AP43,chr3,False,23.17
AC027119.1,chr3,False,23.17
RNU7-110P,chr3,False,23.17
SRGAP3-AS2,chr3,False,23.17
SRGAP3-AS1,chr3,False,23.17
SRGAP3,chr3,False,23.17
LINC01811,chr3,False,23.17
LINC00852,chr3,False,23.17
AC104306.2,chr3,False,23.17
AC069277.2,chr3,False,23.17
RPL30P4,chr3,False,23.17
TOPAZ1,chr3,False,22.97
ATP2B2-IT1,chr3,False,22.97
AC097359.2,chr3,False,22.97
RN7SKP227,chr3,False,22.97
SLC6A11,chr3,False,22.97
ATP2B2-IT2,chr3,False,22.97
AC097359.1,chr3,False,22.97
BHLHE40,chr3,False,22.97
AC126118.1,chr3,False,22.97
THRAP3P1,chr3,False,22.97
SLC6A1-AS1,chr3,False,22.97
RFC3P1,chr3,False,22.97
BHLHE40-AS1,chr3,False,22.97
AC026202.3,chr3,False,22.97
TCEA1P2,chr3,False,22.97
AC097359.3,chr3,False,22.97
ATP2B2,chr3,False,22.97
RPL21P40,chr3,False,22.97
UBE2D3P2,chr3,False,22.97
RNU6-1301P,chr3,False,22.97
AC090955.1,chr3,False,22.97
UBE2FP1,chr3,False,22.97
AC027128.1,chr3,False,22.97
STAC,chr3,False,22.97
STT3B,chr3,False,22.97
RPL29P11,chr3,False,22.97
AC097639.1,chr3,False,22.97
AC097639.2,chr3,False,22.97
CHCHD4P4,chr3,False,22.97
ARL8B,chr3,False,22.97
AC105749.1,chr3,False,22.97
RNA5SP129,chr3,False,22.97
AC026202.1,chr3,False,22.97
