Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr8,False,66.67
Metazoa_SRP,chr8,False,50.77
AL049634.3,chr20,False,37.95
LCE3C,chr1,False,33.85
KRTAP9-11P,chr17,False,31.79
NOS2P2,chr17,False,31.28
LGALS9C,chr17,False,31.28
AC000032.1,chr1,False,30.77
U3,chr8,False,30.26
ADAM3A,chr8,False,29.74
TNPO1P2,chr17,False,29.23
AC123767.1,chr8,False,28.72
FAM106A,chr17,False,27.18
CCDC144B,chr17,False,27.18
SRP68P2,chr17,False,27.18
USP32P2,chr17,False,27.18
AC092821.2,chr12,False,26.67
HLA-DRB5,chr6,False,24.62
AC140125.1,chr5,False,23.59
ALG1L2,chr3,False,22.56
SDHDP6,chr1,False,22.05
UGT2B17,chr4,False,22.05
RHD,chr1,False,21.54
AC091874.1,chr5,False,21.54
AC091874.2,chr5,False,21.54
AC147055.2,chr4,False,21.03
AC147055.4,chr4,False,21.03
HLA-DRB6,chr6,False,21.03
RNU1-61P,chr6,False,21.03
AC243829.2,chr17,False,20.51
HLA-DRB1,chr6,False,19.49
HCP5B,chr6,False,18.46
UGT2B29P,chr4,False,18.46
OR2A7,chr7,False,18.46
U6,chr12,False,18.46
OR2A1-AS1,chr7,False,18.46
TAS2R64P,chr12,False,18.46
LCE3B,chr1,False,18.46
CTAGE8,chr7,False,17.95
RN7SL301P,chr17,False,17.95
ARPP19P1,chr5,False,17.95
OR2A9P,chr7,False,17.95
ARHGEF34P,chr7,False,17.95
AC074386.1,chr7,False,17.44
OR2A1,chr7,False,17.44
AC006971.1,chr7,False,17.44
OR2A20P,chr7,False,17.44
FAM242D,chr9,False,17.44
OR51A2,chr11,False,16.92
BTNL3,chr5,False,16.92
EGFR-AS1,chr7,False,16.92
OR2A42,chr7,False,16.92
EGFR,chr7,True,16.92
OR4C6,chr11,False,16.41
AC083906.4,chr3,False,16.41
OR7E84P,chr4,False,16.41
OR4S2,chr11,False,16.41
U8,chr8,False,16.41
ELDR,chr7,False,16.41
SNORA70,chr8,False,15.9
AC073324.1,chr7,False,15.9
CFHR1,chr1,False,15.9
CFHR3,chr1,False,15.9
AC073264.1,chr7,False,15.9
PAICSP5,chr7,False,15.9
CTAGE15,chr7,False,15.38
CALM1P2,chr7,False,15.38
TCAF1P1,chr7,False,15.38
AL935212.3,chr9,False,15.38
TRGC1,chr7,False,15.38
RNU6-162P,chr7,False,15.38
AC073264.2,chr7,False,15.38
OR4P4,chr11,False,15.38
TRGJP2,chr7,False,15.38
TRGV11,chr7,False,14.87
TRGJP,chr7,False,14.87
TRGJP1,chr7,False,14.87
AC134980.1,chr15,False,14.87
OR11J6P,chr15,False,14.87
AC006033.1,chr7,False,14.36
TRGV10,chr7,False,14.36
BRD9P2,chr5,False,14.36
TRGV9,chr7,False,14.36
TRGVA,chr7,False,14.36
TRGVB,chr7,False,14.36
AC026740.2,chr5,False,14.36
TRGJ1,chr7,False,14.36
PGBD4P1,chr7,False,14.36
TRBVB,chr7,False,14.36
TRBVA,chr7,False,14.36
MTRNR2L6,chr7,False,14.36
AC006033.2,chr7,False,14.36
5S_rRNA,chr7,False,14.36
TRBV27,chr7,False,14.36
TRBV28,chr7,False,14.36
AC244472.1,chr7,False,14.36
TRBV26,chr7,False,14.36
TRBV25-1,chr7,False,14.36
TRBV29-1,chr7,False,14.36
TRBV24-1,chr7,False,14.36
TRBV23-1,chr7,False,13.85
TRBV7-7,chr7,False,13.85
TRBV7-9,chr7,False,13.85
TRBV12-3,chr7,False,13.85
TRBV20-1,chr7,False,13.85
TRBV17,chr7,False,13.85
TRBV11-3,chr7,False,13.85
TRBV7-5,chr7,False,13.85
TRBV22-1,chr7,False,13.85
TRBV21-1,chr7,False,13.85
IGHV3-30-2,chr14,False,13.85
TRBV10-3,chr7,False,13.85
IGHVII-30-1,chr14,False,13.85
TRBV18,chr7,False,13.85
SEC61G-DT,chr7,False,13.85
SEC61G,chr7,False,13.85
TRBV7-6,chr7,False,13.85
TRGV8,chr7,False,13.85
TRBV14,chr7,False,13.85
TRBV6-6,chr7,False,13.85
TRBV12-4,chr7,False,13.85
TRBV5-5,chr7,False,13.85
TRBV5-6,chr7,False,13.85
TRBV5-7,chr7,False,13.85
TRBV12-5,chr7,False,13.85
TRBV13,chr7,False,13.85
PRSS1,chr7,False,13.85
TRBV15,chr7,False,13.85
TRBV19,chr7,False,13.85
TRBV6-7,chr7,False,13.85
TRBV16,chr7,False,13.85
TRBV6-8,chr7,False,13.85
ARL17B,chr17,False,13.33
OR4V1P,chr11,False,13.33
TRBV5-4,chr7,False,13.33
PRSS2,chr7,False,13.33
PRSS3P1,chr7,False,13.33
GSTM1,chr1,False,13.33
TRGV7,chr7,False,13.33
TRGV6,chr7,False,13.33
WBP1LP1,chr7,False,13.33
TRBV7-4,chr7,False,13.33
TRBV6-5,chr7,False,13.33
TRG-AS1,chr7,False,13.33
TRGJ2,chr7,False,13.33
OR4M1,chr14,False,12.82
OR4K1,chr14,False,12.82
OR4N1P,chr14,False,12.82
OR4K2,chr14,False,12.82
AL391156.1,chr14,False,12.82
AC018635.1,chr7,False,12.82
TRBV12-1,chr7,False,12.82
OR4K3,chr14,False,12.82
OR4K4P,chr14,False,12.82
KANSL1-AS1,chr17,False,12.82
LINC-PINT,chr7,False,12.82
AC016831.4,chr7,False,12.82
OR4Q3,chr14,False,12.82
OR4K5,chr14,False,12.82
OR4K6P,chr14,False,12.82
TRBV12-2,chr7,False,12.82
OR4H12P,chr14,False,12.82
IGHD4OR15-4B,chr15,False,12.82
AC011228.2,chr7,False,12.82
AC011228.3,chr7,False,12.82
AC037471.1,chr15,False,12.82
AC058791.1,chr7,False,12.82
MAPK8IP1P1,chr17,False,12.82
FAM30C,chr15,False,12.82
TRBV9,chr7,False,12.82
IGHD1OR15-1B,chr15,False,12.82
TRBV11-2,chr7,False,12.82
IGHD3OR15-3B,chr15,False,12.82
IGHD2OR15-2B,chr15,False,12.82
IGHD5OR15-5B,chr15,False,12.82
RPL31P35,chr7,False,12.82
TRBV11-1,chr7,False,12.82
TRBV10-2,chr7,False,12.82
TRBV10-1,chr7,False,12.82
RNU6-1125P,chr7,False,12.82
AC005829.2,chr17,False,12.82
AC005829.1,chr17,False,12.82
TRGV5P,chr7,False,12.82
AC005225.2,chr14,False,12.31
LRGUK,chr7,False,12.31
MIR29A,chr7,False,12.31
MIR29B1,chr7,False,12.31
OR11K2P,chr14,False,12.31
TRBV5-2,chr7,False,12.31
LINC01445,chr7,False,12.31
AC073347.1,chr7,False,12.31
AL353997.4,chr17,False,12.31
AL353997.1,chr17,False,12.31
VSTM2A,chr7,False,12.31
AC134684.11,chr8,False,12.31
VSTM2A-OT1,chr7,False,12.31
AC016831.1,chr7,False,12.31
RNU6-1010P,chr7,False,12.31
RNU7-27P,chr7,False,12.31
IMPDH1,chr7,False,12.31
AMYP1,chr1,False,12.31
TRBV7-3,chr7,False,12.31
RBM28,chr7,False,12.31
MKLN1,chr7,False,12.31
AMY1A,chr1,False,12.31
LANCL2,chr7,False,12.31
TRBV8-2,chr7,False,12.31
AC011228.1,chr7,False,12.31
TRBV6-4,chr7,False,12.31
TRBV5-3,chr7,False,12.31
AMY1B,chr1,False,12.31
PRRT4,chr7,False,12.31
AC105272.1,chr1,False,12.31
TRBJ1-6,chr7,False,11.79
TNPO3,chr7,False,11.79
SNORD81,chr7,False,11.79
IGHV1OR15-1,chr15,False,11.79
MIR1268A,chr15,False,11.79
TRBJ1-1,chr7,False,11.79
MIR3118-2,chr15,False,11.79
TRBJ1-4,chr7,False,11.79
AC008264.2,chr7,False,11.79
MIR5701-1,chr15,False,11.79
TRBJ2-1,chr7,False,11.79
AC037471.2,chr15,False,11.79
HILPDA,chr7,False,11.79
AC008264.1,chr7,False,11.79
TRBJ1-5,chr7,False,11.79
AC090114.3,chr7,False,11.79
IGHV1OR15-3,chr15,False,11.79
TRBJ1-3,chr7,False,11.79
TRBD1,chr7,False,11.79
LINC00513,chr7,False,11.79
TRBC2,chr7,False,11.79
LINC01193,chr15,False,11.79
TRBC1,chr7,False,11.79
AC009362.1,chr7,False,11.79
TRBJ1-2,chr7,False,11.79
SLC25A5P3,chr7,False,11.79
AC087203.2,chr8,False,11.79
IRF5,chr7,False,11.79
LONRF2P3,chr15,False,11.79
SNORA72,chr8,False,11.79
IMP3P2,chr7,False,11.79
AC090114.1,chr7,False,11.79
AC090114.2,chr7,False,11.79
IGHV4OR15-8,chr15,False,11.79
IGHV1OR15-4,chr15,False,11.79
KCP,chr7,False,11.79
TRBV5-1,chr7,False,11.79
TRBJ2-2,chr7,False,11.79
RPS8P10,chr15,False,11.79
AC018638.2,chr7,False,11.79
AC018638.1,chr7,False,11.79
AC016831.3,chr7,False,11.79
RN7SL306P,chr7,False,11.79
RN7SL81P,chr7,False,11.79
RNA5SP242,chr7,False,11.79
RNA5SP243,chr7,False,11.79
GRAMD4P5,chr15,False,11.79
AC012414.5,chr15,False,11.79
AC012414.4,chr15,False,11.79
AC012414.3,chr15,False,11.79
AC012414.2,chr15,False,11.79
AC012414.1,chr15,False,11.79
AC010655.1,chr7,False,11.79
NBEAP1,chr15,False,11.79
AC010655.2,chr7,False,11.79
AC010655.4,chr7,False,11.79
AC010760.1,chr15,False,11.79
RNU6-177P,chr7,False,11.79
RNU6-498P,chr15,False,11.79
RNU6-749P,chr15,False,11.79
TRBV8-1,chr7,False,11.79
RNU7-54P,chr7,False,11.79
TRBV7-2,chr7,False,11.79
TRBV7-1,chr7,False,11.79
TRBV4-2,chr7,False,11.79
TRBV6-2,chr7,False,11.79
TRBV6-1,chr7,False,11.79
AC018638.3,chr7,False,11.79
AC018638.4,chr7,False,11.79
AC018638.5,chr7,False,11.79
AC018638.6,chr7,False,11.79
AC025884.3,chr15,False,11.79
AC025884.2,chr15,False,11.79
TRBJ2-2P,chr7,False,11.79
AC025884.1,chr15,False,11.79
AC025594.2,chr7,False,11.79
TRBJ2-3,chr7,False,11.79
TRBJ2-4,chr7,False,11.79
AC025594.1,chr7,False,11.79
NF1P1,chr15,False,11.79
TRBJ2-5,chr7,False,11.79
OPN1SW,chr7,False,11.79
OR11H3P,chr15,False,11.79
OR11J2P,chr15,False,11.79
OR11J5P,chr15,False,11.79
TRBJ2-6,chr7,False,11.79
OR11K1P,chr15,False,11.79
TRBJ2-7,chr7,False,11.79
AC023310.4,chr15,False,11.79
OR4H6P,chr15,False,11.79
OR4M2,chr15,False,11.79
OR4N3P,chr15,False,11.79
OR4N4,chr15,False,11.79
OR4Q1P,chr15,False,11.79
PODXL,chr7,False,11.79
POTEB2,chr15,False,11.79
AC018638.8,chr7,False,11.79
AC018638.7,chr7,False,11.79
AC012414.6,chr15,False,11.79
MKLN1-AS,chr7,False,11.79
BMT2,chr7,False,11.79
ATP6V1FNB,chr7,False,11.79
AC131280.1,chr15,False,11.79
AC093106.1,chr7,False,11.79
AC134980.2,chr15,False,11.79
FLNC-AS1,chr7,False,11.79
CICP14,chr7,False,11.79
FLNC,chr7,False,11.79
ZNF519P2,chr15,False,11.79
CALU,chr7,False,11.79
AC108010.1,chr7,False,11.79
ATP6V1F,chr7,False,11.79
CCDC136,chr7,False,11.79
BCAR1P2,chr15,False,11.79
FAM71F2,chr7,False,11.79
FAM71F1,chr7,False,11.79
EEF1B2P6,chr7,False,11.79
AC024085.1,chr7,False,11.28
MZT1P2,chr7,False,11.28
NDUFB2-AS1,chr7,False,11.28
NDUFB2,chr7,False,11.28
NDUFB10P2,chr7,False,11.28
RNY1P11,chr7,False,11.28
ERHP1,chr7,False,11.28
NDUFB9P2,chr7,False,11.28
AC010655.3,chr7,False,11.28
AC005377.1,chr7,False,11.28
MRPS33,chr7,False,11.28
MKRN1,chr7,True,11.28
RNA5SP244,chr7,False,11.28
RPS3AP27,chr7,False,11.28
AC005692.3,chr7,False,11.28
AC005692.2,chr7,False,11.28
AC005531.1,chr7,False,11.28
ODCP,chr7,False,11.28
AC011005.1,chr7,False,11.28
AC005692.1,chr7,False,11.28
AUXG01000058.1,chr7,False,11.28
MIR6509,chr7,False,11.28
AC011005.3,chr7,False,11.28
AC011005.4,chr7,False,11.28
ATP6V0A4,chr7,False,11.28
TRBV4-1,chr7,False,11.28
NRF1,chr7,False,11.28
AC024082.1,chr7,False,11.28
AC024082.2,chr7,False,11.28
TRBV3-1,chr7,False,11.28
AC011005.2,chr7,False,11.28
MIR96,chr7,False,11.28
MIR6133,chr7,False,11.28
AGBL3,chr7,False,11.28
LRRC4,chr7,False,11.28
AKR1D1,chr7,False,11.28
AKR1B15,chr7,False,11.28
AKR1B10,chr7,False,11.28
AC009518.2,chr7,False,11.28
AKR1B1,chr7,False,11.28
AHCYL2,chr7,False,11.28
AGK,chr7,False,11.28
AC147055.3,chr4,False,11.28
EXOC4,chr7,False,11.28
FAM66A,chr8,False,11.28
AC009518.1,chr7,False,11.28
AC009517.1,chr7,False,11.28
AC009365.3,chr7,False,11.28
AC073320.1,chr7,False,11.28
AC009365.2,chr7,False,11.28
AC009365.1,chr7,False,11.28
ZP3P2,chr7,False,11.28
AC069335.1,chr7,False,11.28
AC009542.1,chr7,False,11.28
LUC7L2,chr7,False,11.28
MEST,chr7,False,11.28
BPGM,chr7,False,11.28
MIR593,chr7,False,11.28
ARF5,chr7,False,11.28
MIR570,chr3,False,11.28
WDR91,chr7,False,11.28
MIR490,chr7,False,11.28
WEE2,chr7,False,11.28
